,documents,lastmod,userid,metadata_visibility,eprintid,eprint_status,datestamp,place_of_pub,title,type,creators,date,uri,subjects,date_type,rev_number,ispublished,status_changed,full_text_status,publisher,divisions,dir,publication,issn,volume,corp_creators,abstract,refereed,pagerange,number,editors,pages,isbn,event_type,event_title,event_location,event_dates,pres_type,official_url,contact_email,related_url,id_number
10,"[{'docid': 43346, 'main': 'NASIONAL_Kapasitas petani dalam penerapan teknologi pengendalian hama terpadu (PHT) padi sawah di kelurahan Situgede Kota Bogor.pdf', 'files': [{'mtime': '2021-04-12 08:53:02', 'hash_type': 'MD5', 'filename': 'NASIONAL_Kapasitas petani dalam penerapan teknologi pengendalian hama terpadu (PHT) padi sawah di kelurahan Situgede Kota Bogor.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/259104', 'objectid': 43346, 'filesize': 1822001, 'hash': 'a15921b70536f76f38bcced449147890', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 259104}], 'format': 'text', 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'placement': 1, 'eprintid': 29239, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/43346', 'security': 'public'}]",2021-04-13 01:08:16,609,show,29239,archive,2021-04-13 01:08:16,,Hasil Review_Kapasitas Petani dalam Penerapan Teknologi Pengendalian Hama Terpadu (PHT) Padi Sawah di Kelurahan Situgede Kota Bogor,other,"[{'name': {'family': 'Listiana', 'lineage': None, 'honourific': None, 'given': 'Indah'}, 'id': 'indahlistiana@yahoo.com'}]",2017-06-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/29239,['S1'],,7,pub,2021-04-13 01:08:16,public,Agrica Ekstensia,['FP26'],disk0/00/02/92/39,,,,,Hasil Review Agrica Ekstensia,,,,,,,,,,,,http://www.polbangtanmedan.ac.id/pdf/Jurnal%20Vol%2011/07%20INDAH%20LISTIANA%2017.pdf,,[{'url': 'http://www.polbangtanmedan.ac.id/pdf/Jurnal%20Vol%2011/07%20INDAH%20LISTIANA%2017.pdf'}],
11,"[{'format': 'text', 'docid': 22921, 'main': '3. Indah listiana, publikasi ilmiah.pdf', 'files': [{'mime_type': 'application/pdf', 'hash': '5a977e05f98e116e53114873e4523bc5', 'datasetid': 'document', 'fileid': 93355, 'filename': '3. Indah listiana, publikasi ilmiah.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/93355', 'objectid': 22921, 'filesize': 975618, 'mtime': '2018-11-14 08:10:14', 'hash_type': 'MD5'}], 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'eprintid': 9913, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/22921'}]",2018-11-14 09:53:29,609,show,9913,archive,2018-11-14 09:53:29,,"KAPASITAS PETANI DALAM PENERAPAN TEKNOLOGI PENGENDALIAN HAMA TERPADU (PHT) PADI SAWAH
DI KELURAHAN SITUGEDE KOTA BOGOR",article,"[{'name': {'given': 'Indah', 'lineage': None, 'family': 'Listiana', 'honourific': None}, 'id': 'indahlistiana@yahoo.com'}]",2017-06-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/9913,['H1'],published,6,pub,2018-11-14 09:53:29,public,STPP Medan Press,['FP26'],disk0/00/00/99/13,AGRICA EKSTENSIA,1978-5054,11.0,,"Penelitian ini  bertujuan untuk  mengetahui kapasitas petani  dalam  menerapkan teknologi  PHT  padi  sawah,  dan mengetahui faktor-faktor yang berhubungan dengan kapasitas petani dalam menerapkan teknologi PHT padi sawah. Penelitian ini dilaksanakan pada dua kelompok tani di Kelurahan Situgede kota bogor yang dimulai bulan Desember
2014 sampai April 2015.  Penelitian ini dilakukan dengan metode survei, responden dalam penelitian ini berjumlah 22 orang petani yang diambil secara sengaja (Purposive).  Hipotesis yang diajukan dalam penelitian ini adalah diduga terdapat hubungan yang nyata antara karakteristik petani (X1) miliputi umur, pendidikan dan lamanya berusatani; faktor ekternal petani (X2) meliputi luas lahan, peran penyuluh dan kontak tani serta sifat inovasi, dengan kapasitas petani  dalam  menerapkan  teknologi  PHT  padi  sawah.  Analisis  yang  digunakan  adalah  analisis  statistika  non parametrik menggunakan uji korelasi Rank Sperman (rs). Hasil penelitian menunjukkan bahwa kapasitas petani dalam menerapkan teknologi Pengendalian Hama Terpadu padi sawah sebagian besar dalam klasifikasi rendah.  Hasil uji korelasi Rank’s Spearman menunjukkan bahwa peran penyuluh, peran kontak tani dan sifat inovasi memiliki hubungan nyata dengan kapasitas petani dalam penerapan teknologi PHT padi sawah, sedangkan umur, tingkat pendidikan, lamanya berusahatani dan luas lahan tidak memiliki hubungan nyata dengan kapasitas petani dalam penerapan teknologi PHT padi sawah.

Kata kunci: kapasitas, penerapan teknologi, PHT padi sawah",TRUE,46-52,1.0,,,,,,,,,https://www.stppmedan.ac.id/jurnal/95-jurnal-agrica-extensia,,"[{'type': 'pub', 'url': 'https://www.stppmedan.ac.id/jurnal/95-jurnal-agrica-extensia'}]",1978-5054
12,"[{'placement': 1, 'eprintid': 32527, 'uri': 'http://repository.lppm.unila.ac.id/id/document/147708', 'pos': 1, 'security': 'public', 'main': 'Makalah Ketahanan Pangan (Bu Kordiana).pdf', 'docid': 147708, 'files': [{'mtime': '2021-06-11 05:50:49', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/385003', 'filename': 'Makalah Ketahanan Pangan (Bu Kordiana).pdf', 'filesize': 367169, 'objectid': 147708, 'mime_type': 'application/pdf', 'hash': '19a72ea032a6bc7ad20f1efb0d65785e', 'fileid': 385003, 'datasetid': 'document'}], 'format': 'text', 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1}]",2021-06-11 06:52:08,966,show,32527,archive,2021-06-11 06:52:08,,The Community Ability inSupporting theLocal Resource Based Productive Effort in Food Self-Sufficient  Villages of Lampung Provinsi,article,"[{'id': 'korrangga@yahoo.com', 'name': {'lineage': None, 'family': 'Rangga', 'honourific': None, 'given': 'Kordiyana'}}]",2017-08-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/32527,['S1'],,7,pub,2021-06-11 06:52:08,public,PERTETA,['FP26'],disk0/00/03/25/27,"Proceeding of ISAE International Seminar, Bandar Lampung",978-602-72006-2-3,,,"This research aimed to identify the increase of community’s ability in developing productive enterprises based on local resources as a result of the food self-sufficient villages (Demapan) program in Lampung Province. Demapan in Lampung Province becoming the object of research consisted of 16 villages/ urban villages in 12 districts/cities. The objects of research were selected with the following criteria:  (a) the coverage of all districts/ cities in Lampung Province, (b) the difference of year in starting Demapan Program, and (c) the number of villages implementing Demapan program in each districts/cities. Data collection was conducted in each village from 15 Affinity Group members (KA) respondents, 15 non KA member respondents using a questionnaire, and 10 FGD respondents. The sampling technique (respondent) used was an accidental sampling. Data was analyzed using Excel and SPSS program. This study was conducted from August—September 2015. The results showed that the program Demapan done exerted the following effects: (a) improving the institution, particularly Affinity (KA) and financial village institutions (LKD), but still lacking for food village team (TPD), (b) slightly increasing the productive effort but the business sustainability still needs improvement.  The large potency of area has been utilized less optimally to support the food self-sufficiency due to limited water resources.  As the productive effort conducted by KA members had not developed yet, this research recommended the improvement of its sustainability.",TRUE,785-790,,,,,,,,,,http://abe.fp.unila.ac.id/wp-content/uploads/sites/10/2020/10/ISAE-Tema-H-SYSTEM-AND-AGRICULTURAL-MANAGEMENT.pdf,,[{'url': 'http://abe.fp.unila.ac.id/wp-content/uploads/sites/10/2020/10/ISAE-Tema-H-SYSTEM-AND-AGRICULTURAL-MANAGEMENT.pdf'}],
13,"[{'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'format': 'text', 'files': [{'objectid': 38150, 'filesize': 1292404, 'uri': 'http://repository.lppm.unila.ac.id/id/file/222058', 'filename': 'The_Community_Ability_In_Supporting_The_Local_Reso.pdf', 'hash_type': 'MD5', 'mtime': '2020-10-30 09:10:47', 'fileid': 222058, 'datasetid': 'document', 'hash': '6b0638d824116bf9546dac5f08adc100', 'mime_type': 'application/pdf'}], 'main': 'The_Community_Ability_In_Supporting_The_Local_Reso.pdf', 'docid': 38150, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/38150', 'pos': 1, 'eprintid': 24424, 'placement': 1}]",2020-11-01 00:29:45,966,show,24424,archive,2020-11-01 00:29:45,Hasil Similirity : THE COMMUNITY ABILITY IN SUPPORTING THE LOCAL RESOURCE-BASED PRODUCTIVE EFFORT IN FOOD SELF-SUFFICIENT VILLAGES OF LAMPUNG PROVINCE,Hasil Similirity : THE COMMUNITY ABILITY IN SUPPORTING THE LOCAL RESOURCE-BASED PRODUCTIVE EFFORT IN FOOD SELF-SUFFICIENT VILLAGES OF LAMPUNG PROVINCE,other,"[{'id': 'korrangga@yahoo.com', 'name': {'given': 'Kordiyana', 'honourific': None, 'family': 'Rangga', 'lineage': None}}]",2017-08-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/24424,['S1'],published,10,pub,2020-11-01 00:29:45,public,ISAE International Seminar,['FP26'],disk0/00/02/44/24,,,,,"This research aimed to identify the increase of community’s ability in developing productive enterprises based on local resources as a result of the food self-sufficient villages (Demapan) program in Lampung Province. Demapan in Lampung Province becoming the object of research consisted of 16 villages/ urban villages in 12 districts/cities. The objects of research were selected with the following criteria:  (a) the coverage of all districts/ cities in Lampung Province, (b) the difference of year in starting Demapan Program, and (c) the number of villages implementing Demapan program in each distrincts/cities. Data collection was conducted in each village from 15 Affinity Group members (KA) respondents, 15 non KA member respondents using a questionnaire, and 10 FGD respondents. The sampling technique (respondent) used was an accidental sampling. Data was analyzed using Excel and SPSS program. This study was conducted from August—September 2015. The results showed that the program Demapan done exerted the following effects: (a) improving the institution, particularly Affinity (KA) and financial village institutions (LKD), but still lacking for food village team (TPD), (b) slightly increasing the productive effort but the business sustainability still needs improvement.  The large potency of area has been utilized less optimally to support the food self-sufficiency due to limited water resources.  As the productive effort conducted by KA members had not developed yet, this research recommended the improvement of its sustainability",,,,,,,,,,,,,,[{'url': 'file:///E:/JURNAL%20YANG%20SUDAH%20CEK%20URL/9.%20THE%20COMMUNITY%20ABILITY%20IN%20SUPPORTING%20THE%20LOCAL%20RESOURCE-BASED/THE%20COMMUNITY%20ABILITY%20IN%20SUPPORTING%20THE%20LOCAL%20RESOURCE-BASED.pdf'}],
14,"[{'placement': 1, 'eprintid': 32526, 'uri': 'http://repository.lppm.unila.ac.id/id/document/147702', 'pos': 1, 'security': 'public', 'main': 'MAKALAH PARTISIPASI...ICSAE4  A.N   KORDIYANA.pdf', 'files': [{'fileid': 384992, 'datasetid': 'document', 'hash': 'f8ac5bca45ec4179f22a93c2ddc193a4', 'mime_type': 'application/pdf', 'objectid': 147702, 'filesize': 503534, 'filename': 'MAKALAH PARTISIPASI...ICSAE4  A.N   KORDIYANA.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/384992', 'hash_type': 'MD5', 'mtime': '2021-06-11 05:31:07'}], 'docid': 147702, 'format': 'text', 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1}]",2021-06-11 06:52:03,966,show,32526,archive,2021-06-11 06:52:03,,Paddy farmer households’ participation and food security level in special effort program in Seputih Raman sub-district of Central Lampung Regency,conference_item,"[{'name': {'given': 'Kordiyana', 'lineage': None, 'family': 'Rangga', 'honourific': None}, 'id': 'korrangga@yahoo.com'}, {'name': {'honourific': None, 'family': 'Syarief', 'lineage': None, 'given': 'Yuniar Aviati'}, 'id': 'yuniarafiati@yahoo.com'}]",2017-08-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/32526,['S1'],,7,pub,2021-06-11 06:52:03,public,,['FP26'],disk0/00/03/25/26,,,,,"The objectives of this study were: 1) to study the participation of paddy farmers in the Special Effort program to increase paddy production, 2) to study the level of household food security of paddy farmers, and 3) to analyze the correlation between farmer participation and food security level of paddy farmers. The location was chosen purposively in Seputih Raman sub-district. The data were collected from December 2016 to February 2017. The population of this study was paddy farmers participating in Special Effort program. The hypothesis was tested by using Spearman’s Rank correlation test (Siegel 2011). Farmer household’s food security was measured objectively based on the share of household’s food expenditure and subjectively based on the opinion, views, and attitudes or farmers’ opinions on food availability, food distribution, and household food consumption. This research found that: 1) Farmers’ participation in Special Effort program in Seputih Raman Sub Ditrict, Central Lampung Regency belonged to medium classification, 2) household food security either objectively or subjectively was in food resistant condition of medium classification, and 3) there was significant correlation between farmers’ participation and food security level of paddy farmer household.",TRUE,1-5,,,,,conference,IOP Conf. Series: Earth and Environmental Science,Universitas Negeri Surakarta,10 - 12 Agustus 2017,paper,https://iopscience.iop.org/article/10.1088/1755-1315/142/1/012060,,[{'url': 'https://iopscience.iop.org/article/10.1088/1755-1315/142/1/012060'}],
15,"[{'format': 'text', 'main': '15. Artikel Partisipasi Anggota P3A.pdf', 'files': [{'hash_type': 'MD5', 'mtime': '2017-11-13 12:44:57', 'objectid': 18347, 'filesize': 114268, 'filename': '15. Artikel Partisipasi Anggota P3A.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/50982', 'fileid': 50982, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': '9da146ccba72b8565bf79a683cb809d0'}], 'docid': 18347, 'language': 'id', 'rev_number': 2, 'mime_type': 'application/pdf', 'eprintid': 5403, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/18347'}]",2017-11-16 04:48:08,1194,show,5403,archive,2017-11-16 04:48:08,,TINGKAT PARTISIPASI ANGGOTA P3A DALAM PROGRAM PENGEMBANGAN JARINGAN IRIGASI (PJI) DI KELURAHAN FAJAR ESUK KECAMATAN PRINGSEWU KABUPATEN PRINGSEWU,article,"[{'name': {'honourific': None, 'family': 'Rio Tedi Prayitno', 'lineage': None, 'given': 'RTP'}, 'id': 'rio_tprayitno@yahoo.co.id'}, {'name': {'family': 'Dewangga Nikmatullah', 'lineage': None, 'honourific': None, 'given': 'DN'}, 'id': 'dewangganikmatullah@yahoo.com'}, {'id': 'ayuyuniantika1994@gmail.com', 'name': {'given': 'Ayu', 'honourific': None, 'family': 'Ayu Yuni Antika', 'lineage': None}}]",2017-08-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/5403,['AC'],,7,pub,2017-11-16 04:48:08,public,Juruan Agribisnis Fakultas Pertanian Universitas Lampung,['FP26'],disk0/00/00/54/03,Jurnal Ilmu-Ilmu Agribisnis,2337 7070,5.0,['Universitas Lampung'],"This research aims to analyze the participation level of P3A member on the irrigation network development
(PJI) program and to find out the factors related to participation level of P3A member on the irrigation
network development (PJI) program in Fajar Esuk Village, Pringsewu Subdistrict, Pringsewu Regency. The
location was chosen purposely in P3A Fajar Tirta Kencana with 72 samples. This research was conducted
in September 2016 using a survey method. Data were analyzed descriptivel and used rank Spearman
nonparametric statistics test. The results showed that most of P3A membesr has low participation. The
factor related to participation level of P3A members on the irrigation network development (PJI) program in Fajar Esuk Village, Pringsewu Subdistrict, Pringsewu Regency is intencity of communication. The faremer’s age, level of formal education, the level of knowledge about PJI program, and the level of expectations to benefit program do not have a significant relationship with the participation level of P3A members on the irrigation network development (PJI) program in Fajar Esuk Village, Pringsewu Subdistrict, Pringsewu Regency.
Key words: P3A, participation, PJI program",TRUE,335-343,3.0,,,,,,,,,http://jurnal.fp.unila.ac.id/index.php/JIA/article/view/1647,,,
16,"[{'eprintid': 5402, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/18346', 'pos': 1, 'format': 'text', 'main': '13. Artikel Jar. Komunikasi.pdf', 'docid': 18346, 'files': [{'mime_type': 'application/pdf', 'hash': 'bb267699ead501333faee8b9c4dc5bdb', 'datasetid': 'document', 'fileid': 50973, 'mtime': '2017-11-13 12:36:28', 'hash_type': 'MD5', 'filename': '13. Artikel Jar. Komunikasi.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/50973', 'objectid': 18346, 'filesize': 113147}], 'mime_type': 'application/pdf', 'language': 'id', 'rev_number': 2}]",2017-11-16 04:48:01,1194,show,5402,archive,2017-11-16 04:48:01,,"JARINGAN KOMUNIKASI PETANI DALAM ADOPSI INOVASI PERTANIAN TANAMAN PANGAN DI DESA REJO BINANGUN KECAMATAN RAMAN UTARA
KABUPATEN LAMPUNG TIMUR",article,"[{'id': 'rio_tprayitno@yahoo.co.id', 'name': {'family': 'Rio Tedi Prayitno', 'lineage': None, 'honourific': None, 'given': 'RTP'}}, {'name': {'given': 'IN', 'family': 'Indah Nurmayasari', 'lineage': None, 'honourific': None}, 'id': 'indahnurma1@gmail.com'}, {'name': {'given': 'AM', 'honourific': None, 'family': 'Audina Meutiara', 'lineage': None}, 'id': 'audinameutiarraa@gmail.com'}]",2017-08-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/5402,['AC'],,8,pub,2017-11-16 04:48:01,public,Juruan Agribisnis Fakultas Pertanian Universitas Lampung,['FP26'],disk0/00/00/54/02,Jurnal Ilmu-Ilmu Agribisnis,2337 7070,5.0,['Universitas Lampung'],"This study aims to analyze the level of food crop agriculture adoption-inovation and the relationship between
communication networks and the level of the adoption-inovation. The location of this study was chosen puposively in Rejo Binangun village, Raman Utara subdistrict, East Lampung regency. Respondents of this research are 34 farmers. Data were collected in March-May 2016. The research used a survey method with qualitative and quantitative analysis and used nonparametric statistics test Rank Spearman correlation to test the hypothesis. The results of this research showed that the level of foodcrop agriculture adoptioninovation involving rice and cassava in Rejo Binangun village, Raman Utara subdistrict, East Lampung regency is in medium classification and the level of food crop agriculture adoption-inovation has a significant correlation to the level of diversity of communication networks in Rejo Binangun village, Raman Utara subdistrict, East Lampung regency.
Keywords: adoption-inovation, communication networks, food crop agriculture",TRUE,320-327,3.0,,,,,,,,,http://jurnal.fp.unila.ac.id/index.php/JIA/article/view/1645,,,
17,"[{'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'docid': 38156, 'main': 'Shallot_Farmers__Adaptation_Towards_Climate_Change.pdf', 'files': [{'fileid': 222107, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': '739fb9b05eae41de51e560860722282b', 'filesize': 2259468, 'objectid': 38156, 'filename': 'Shallot_Farmers__Adaptation_Towards_Climate_Change.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/222107', 'hash_type': 'MD5', 'mtime': '2020-10-30 09:32:32'}], 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/38156', 'security': 'public', 'placement': 1, 'eprintid': 24430}]",2020-11-01 00:30:12,966,show,24430,archive,2020-11-01 00:30:12,"Hasil Silimirity : Shallot Farmers’ Adaptation Towards Climate Change in Larangan Village, Brebes","Hasil Silimirity : Shallot Farmers’ Adaptation Towards Climate Change in Larangan Village, Brebes",other,"[{'name': {'family': 'Solichah', 'lineage': None, 'honourific': None, 'given': 'Tri Utami'}, 'id': None}, {'name': {'honourific': None, 'lineage': None, 'family': 'Rangga', 'given': 'Kordiyana'}, 'id': 'korrangga@yahoo.com'}]",1970-01-01 00:00:00.000002017,http://repository.lppm.unila.ac.id/id/eprint/24430,['S1'],published,7,pub,2020-11-01 00:30:12,public,Procceding of the 2nd International Confrence on Tropical Agrivulture,['FP26'],disk0/00/02/44/30,,,,,"This research examined the issue related to farmers’ adaptation towards climate change phenomenon, specifically for farmers whose main commodity was shallot, in Larangan, a village in Larangan Sub District, Brebes District. The purpose of this research was to understand the adaptation strategies, which were done by the shallot farmers in their planting field, toward the climate change phenomenon. The study used a combined method (qualitative and quantitative method). The result of this research showed that the adaptation strategies of shallot farmers toward climate change on direct case consisted of several aspects; cultivation aspect (changing the planting pattern, using the pump, changing the land management, and increasing the utilization of pesticide), agricultural financing aspect (storing shallot in para-para), and cultural diversification aspect (horizontal diversification/planting other commodities and seasonal transmigration). While on the indirect case, there were several strategies grouped by aspects of; cultivation aspect (using the superior seed), and agricultural diversification aspect (merantau).",,,,,,,,,,,,,,[{'url': 'file:///C:/Users/user/Documents/JURNAL%20YANG%20SUDAH%20CEK%20URL/11.%20Shallot%20Farmers’%20Adaptation%20Towards/Shallot%20Farmers’%20Adaptation%20Towards.pdf'}],
18,"[{'eprintid': 32659, 'placement': 2, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/148375', 'pos': 2, 'format': 'text', 'files': [{'objectid': 148375, 'filesize': 443758, 'uri': 'http://repository.lppm.unila.ac.id/id/file/386435', 'filename': 'SUMARYO_UNILA_LA_PUPT.pdf', 'hash_type': 'MD5', 'mtime': '2021-06-17 14:57:48', 'datasetid': 'document', 'fileid': 386435, 'hash': 'ef20bbf315b9c58f7d250081dd347374', 'mime_type': 'application/pdf'}], 'main': 'SUMARYO_UNILA_LA_PUPT.pdf', 'docid': 148375, 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1}]",2021-06-18 01:50:09,966,show,32659,archive,2021-06-18 01:50:09,,"MODEL PENGEMBANGAN SUMBERDAYA MANUSIA PERTANIAN
MELALUI IMPLEMENTASI CYBER EXTENSION
DI PROVINSI LAMPUNG Tahun ke-1 dari rencana dua tahun",other,"[{'name': {'honourific': None, 'lineage': None, 'family': 'Sumaryo', 'given': 'Gitosaputro'}}, {'name': {'given': 'K. Rangga', 'honourific': None, 'lineage': None, 'family': 'Kordiyana'}}, {'name': {'given': 'Listiana', 'family': 'Indah', 'lineage': None, 'honourific': None}}]",1970-01-01 00:00:00.000002017,http://repository.lppm.unila.ac.id/id/eprint/32659,['S1'],,9,pub,2021-06-18 01:50:09,public,Fakultas Pertanian Universitas Lampung,['FP26'],disk0/00/03/26/59,,,,,"Percepatan pembangunan pertanian membutuhkan kualitas sumberdaya
manusia (SDM) yang berkualitas dan memiliki daya saing. Untuk memenuhi
kebutuhan tersebut, kualitas dan daya saing SDM pertanian salah satunya dapat
ditempuh melalui implementasi cyber extension. Cyber extension merupakan
sarana penyebaran informasi dan penyediaan materi penyuluhan guna membantu
penyuluh, petani, dan pelaku usaha dalam mengatasi keterbatasan informasi dan
inovasi pertanian. Provinsi Lampung sebagai Bumi Agribisnis memiliki wilayah
pertanian yang cukup luas dan jumlah petani yang cukup besar. Namun demikian,
jumlah dan kompetensi penyuluh pertanian yang ada masih kurang dan kualitas
SDM-nya masih rendah. Implementasi cyber extension merupakan terobosan yang
strategis untuk mengatasi berbagai kendala tersebut. Tujuan jangka panjang
penelitian adalah menghasilkan model pengembangan implementasi cyber
extension pada lembaga penyuluhan di berbagai tingkatan, mulai dari provinsi
(UPTD Penyuluh Pertanian), kabupaten (Bidang/seksi/Kelompok Jabatan
Fungsional), kecamatan (BPP), desa (Gapoktan), dan petani (kelompok tani), sehingga kapasitas SDM para penyuluh pertanian meningkat serta mampu
menyebarluaskan informasi dan inovasi pertanian yang diperoleh dari berbagai
sumber untuk mempercepat proses pembangunan pertanian di kawasan perdesaan. Untuk mencapai tujuan tersebut, dalam jangka pendek penelitian ini diharapkan
menghasilkan: daftar kebutuhan penyuluh pertanian dan petani dalam
pengembangan cyber extension. Kabupaten Lampung Selatan terpilih sebagai
sampel wilayah, dengan pertimbangan keterjangkauan sinyal telepon serta tingkat
produksi komoditas tanaman semusim (pangan dan hortikultura). Hasil penelitian
menunjukkan adanya berbagai kendala dalam penerapan cyber extension. Kendala tersebut dirasakan pada lembaga di semua tingkatan, baik provinsi,
kabupaten, kecamatan/BPP, maupun di tingkat petani (poktan/gapoktan). Kendala
tersebut berupa aspek manajamen lembaga/dinas terkait, keterbatasan sarana
prasarana, rendahnya kompetensi penyuluh mengelola informasi dan teknologi,
rendahnya kompetensi petani memanfaatkan informasi dan teknologi, dan budaya
petani dalam pemanfaatan sarana komunikasi.
Key words: cyber extension, pengembangan SDM, Lampung",,,,,,,,,,,,,,,
19,"[{'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'files': [{'datasetid': 'document', 'fileid': 42382, 'hash': '6ff3255dac850957db8fc2acc4507d29', 'mime_type': 'application/pdf', 'objectid': 17086, 'filesize': 86344, 'filename': 'repository.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/42382', 'hash_type': 'MD5', 'mtime': '2017-10-30 23:21:34'}], 'main': 'repository.pdf', 'docid': 17086, 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/17086', 'security': 'public', 'placement': 1, 'eprintid': 4191}]",2017-11-10 15:25:37,442,show,4191,archive,2017-11-10 15:25:37,,CORN PEASENTS EMPOWERMENT THROUGH ENHANCING ENTREPRENEURIAL COMPETENCE IN THE DISTRICT  GROBOGAN CENTRAL  OF JAVA,conference_item,"[{'name': {'given': 'Yuniar Aviati', 'family': 'Syarief', 'lineage': None, 'honourific': None}, 'id': 'yuniarafiati@yahoo.com'}]",2017-11-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/4191,['S1'],published,7,pub,2017-11-10 15:25:37,public,,['FP26'],disk0/00/00/41/91,,,,,"Central Of Java Province is the 2nd corn producer in Indonesia, but the empirical still exist problems in the farming of corn, among others, the level of productivity of corn an average of 4.99 tonnes / ha, under potential productivity between 7-8 tonnes / ha for type land in  Province. It identifies the low productivity of corn peasents competence in the management of farming has not been optimal. Besides moisture corn by KA 35% - 40%, indicating that the competence of peasents in post-harvest handling is still less so that peasents can not meet the standards prescribed by the feed mill the water content of a maximum of 14%. Corn peasents in Central Of Javaare currently at 80 percent have yet to implement appropriate post-harvest technologies applicable standards (Soefian, 2014). Corn cultivation requires human resources (HR) peasents who have entrepreneurial competencies that peasents in addition to master the knowledge and insight into the techniques of cultivation and also had managerial competence as a reliable farmer.  Peasents who have a positive competence make it as a farmer creative and innovative as an entrepreneur in the field of agriculture. This study used a qualitative research with the number of sources by 25 votes corn peasents. The study was conducted in June-August Month Year 2017. The results found that corn growers in South Central Of Javaregency have a moderate level of competence, meaning the technical ability in corn cultivation has average productivity 6-7 ton / ha, is already doing diversification farming corn, corn farming has been able to manage an area of 4-8 hectares, and is able to seize opportunities corn farming in accordance with market demand. The results showed also that the corn growers in Grobogan regency have 4 types namely the type of technical entrepreneurial competencies, futuristic type, types of managerial and universal type. Factors that influence the entrepreneurial competence corn growers that formal education, motivation, peasents' participation in social institutions in society, access to information and learning processes in education.
Key words: Peasents, entrepreneurship, competencies, corn",TRUE,1-12,,,,,conference,"International Conference on Social Sciences, Toward Community, Environmental and Sustainable Development",Jakarta,1-2 November 2017,speech,,,,
