,publication,publisher,divisions,dir,rev_number,ispublished,issn,full_text_status,status_changed,subjects,uri,abstract,title,refereed,type,creators,metadata_visibility,datestamp,eprint_status,eprintid,lastmod,documents,userid,id_number,official_url,corp_creators,event_type,event_title,date_type,related_url,pres_type,event_dates,event_location,pagerange,volume,number,contributors,book_title,contact_email,succeeds,isbn,editors,pages,place_of_pub
35,,STISIPOL Raja Haji Tanjung Pinang Kepulauan Riau,['FISIP2'],disk0/00/04/22/88,7,pub,,public,2022-06-10 06:28:16,['H1'],http://repository.lppm.unila.ac.id/id/eprint/42288,,LOCAL GOVERNMENT IN MIGRANT WORKER GOVERNANCE,,other,"[{'id': 'susana.indriyati@fisip.unila.ac.id', 'name': {'given': 'Susana', 'honourific': None, 'lineage': None, 'family': 'Indriyati Caturiani'}}]",show,2022-06-10 06:28:16,archive,42288,2022-06-10 06:28:16,"[{'docid': 163994, 'main': 'LOCAL GOVERNMENT.pdf', 'files': [{'mime_type': 'application/pdf', 'hash': 'd2670b439e89d55fad2ca2c0acbe42b5', 'datasetid': 'document', 'fileid': 465411, 'mtime': '2022-06-10 04:02:54', 'hash_type': 'MD5', 'filename': 'LOCAL GOVERNMENT.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/465411', 'filesize': 444196, 'objectid': 163994}], 'format': 'text', 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'placement': 1, 'eprintid': 42288, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/163994', 'security': 'public'}]",141,,,,,,,,,,,,,,,,,,,,,
36,,STISIPOL RAJA HAJI TANJUNGPINANG,['FISIP2'],disk0/00/04/24/39,7,pub,,public,2022-06-14 04:23:31,['H1'],http://repository.lppm.unila.ac.id/id/eprint/42439,,"Migrant Worker Governance in Developing Countries (Case Study on Governance of Migrant Worker in West Java, Indonesia)",,other,"[{'name': {'family': 'Indriyati Caturiani', 'lineage': None, 'honourific': None, 'given': 'Susana'}, 'id': 'susana.indriyati@fisip.unila.ac.id'}]",show,2022-06-14 04:23:31,archive,42439,2022-06-14 04:23:31,"[{'main': 'Migrant Worker.pdf', 'docid': 164149, 'files': [{'mtime': '2022-06-14 03:20:34', 'hash_type': 'MD5', 'filename': 'Migrant Worker.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/466484', 'objectid': 164149, 'filesize': 471432, 'hash': 'c0c51789442a67fb5ada398b30d3e201', 'mime_type': 'application/pdf', 'fileid': 466484, 'datasetid': 'document'}], 'format': 'text', 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'placement': 1, 'eprintid': 42439, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/164149', 'security': 'public'}]",141,,,,,,,,,,,,,,,,,,,,,
37,,Jurusan Ilmu Administrasi Negara FISIP Unila,['FISIP2'],disk0/00/04/22/90,7,pub,,public,2022-06-10 06:28:23,['H1'],http://repository.lppm.unila.ac.id/id/eprint/42290,,PENATAAN KAWASAN KONSERVASI DI DAERAH PERKOTAAN (Studi Kasus di Bukit Camang Kota Bandar Lampung),,other,"[{'name': {'lineage': None, 'family': 'Indriyati Caturiani', 'honourific': None, 'given': 'Susana'}, 'id': 'susana.indriyati@fisip.unila.ac.id'}]",show,2022-06-10 06:28:23,archive,42290,2022-06-10 06:28:23,"[{'format': 'text', 'docid': 163996, 'main': 'PENATAAN KAWASAN.pdf', 'files': [{'hash_type': 'MD5', 'mtime': '2022-06-10 04:10:07', 'filesize': 470909, 'objectid': 163996, 'filename': 'PENATAAN KAWASAN.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/465424', 'datasetid': 'document', 'fileid': 465424, 'hash': '19a0588c57956aad52eb198a0575d14d', 'mime_type': 'application/pdf'}], 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'eprintid': 42290, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/163996'}]",141,,,,,,,,,,,,,,,,,,,,,
38,,FISIP Universitas Lampung,['FISIP2'],disk0/00/04/22/92,7,pub,,public,2022-06-10 06:28:24,['H1'],http://repository.lppm.unila.ac.id/id/eprint/42292,,"Pemetaan Permasalahan Tenaga Kerja Indonesia (TKI) Asal Kabupaten Pringsewu, Provinsi Lampung (Studi di Pekon Pujodadi, Kecamatan Pardasuka)",,other,"[{'name': {'lineage': None, 'family': 'Indriyati Caturiani', 'honourific': None, 'given': 'Susana'}, 'id': 'susana.indriyati@fisip.unila.ac.id'}]",show,2022-06-10 06:28:24,archive,42292,2022-06-10 06:28:24,"[{'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'format': 'text', 'docid': 163998, 'main': 'PEMETAAN PERMASALAHAN.pdf', 'files': [{'datasetid': 'document', 'fileid': 465438, 'hash': 'd089617930b98560794c629c35e4d9ef', 'mime_type': 'application/pdf', 'filesize': 478163, 'objectid': 163998, 'uri': 'http://repository.lppm.unila.ac.id/id/file/465438', 'filename': 'PEMETAAN PERMASALAHAN.pdf', 'hash_type': 'MD5', 'mtime': '2022-06-10 04:17:24'}], 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/163998', 'eprintid': 42292, 'placement': 1}]",141,,,,,,,,,,,,,,,,,,,,,
39,,Atlantis Press,['FISIP2'],disk0/00/04/24/37,7,pub,,public,2022-06-14 04:23:27,['H1'],http://repository.lppm.unila.ac.id/id/eprint/42437,,Social Capital Mapping of Indonesia Return Migrant Workers as Development Resource in Lampung Timur Regency,,other,"[{'id': 'susana.indriyati@fisip.unila.ac.id', 'name': {'honourific': None, 'lineage': None, 'family': 'Indriyati Caturiani', 'given': 'Susana'}}]",show,2022-06-14 04:23:27,archive,42437,2022-06-14 04:23:27,"[{'main': 'Social capital.pdf', 'files': [{'filesize': 411542, 'objectid': 164146, 'uri': 'http://repository.lppm.unila.ac.id/id/file/466466', 'filename': 'Social capital.pdf', 'hash_type': 'MD5', 'mtime': '2022-06-14 03:10:23', 'fileid': 466466, 'datasetid': 'document', 'hash': 'f2f1e13f9e6fd0379bb7bc61fe15cc40', 'mime_type': 'application/pdf'}], 'docid': 164146, 'format': 'text', 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'placement': 1, 'eprintid': 42437, 'uri': 'http://repository.lppm.unila.ac.id/id/document/164146', 'pos': 1, 'security': 'public'}]",141,,,,,,,,,,,,,,,,,,,,,
40,"Administrativa: Jurnal Birokrasi, Kebijakan dan Pelayanan Publik",Jurusan Administrasi Negara,['FISIP2'],disk0/00/03/13/56,6,pub,2714-7673,public,2021-05-30 15:30:36,['H1'],http://repository.lppm.unila.ac.id/id/eprint/31356,"Minat baca di Indonesia masih tergolong rendah dikarenakan jumlah buku yang beredar tidak merata dan
sebagian besar buku beredar hanya di kota-kota besar. Untuk mengatasi hal tersebut, Dinas Perpustakaan dan
Kearsipan Daerah Kota Metro sesuai dengan visi dan misinya dalam memanfaatkan teknologi informasi, yaitu
dengan menciptakan inovasi baru sebagai langkah yang membuat perpustakaan menarik, salah satunya yakni
melalui program ebook. Program ini merupakan suatu inovasi pelayanan yang diberikan oleh Dinas Perpustakaan
dan Kearsipan Daerah Kota Metro yaitu perpustakaan berbasis aplikasi digital yang dapat memberikan
kemudahan dalam mencari sekaligus membaca buku datang ke perpustakaan. Penelitian ini berupaya untuk
mengetahui penerapan inovasi pelayanan Dinas Perpustakaan dan Kearsipan Kota Metro melalui program ebook
serta faktor pendukung dan penghambat dalam penerapan inovasi program ebook di Dinas Perpustakaan dan
Kearsipan Kota Metro. Penelitian ini adalah penelitian deskriptif dengan pendekatan kualitatif. Hasil penelitian ini
menunjukan bahwa Inovasi Program ebook yang dilakukan oleh Dinas Perpustakaan Dan Kearsipan Kota Metro
sudah cukup baik dalam penerapannya, hal ini terlihat dari terpenuhinya empat dari enam indikator tipologi
inovasi yaitu : pelayanan baru atau pelayanan yang diperbaiki, inovasi administratif, inovasi sistem dan perubahan
radikal. Beberapa hal yang menjadi perhatian adalah inovasi yang dilakukan masih menunjukan kelemahan secara
konseptual karena Dinas Perpustakaan Dan Kearsipan Kota Metro masih mengusung perpustakaan dengan Tipe B
serta secara proses pembuatan sistem aplikasi membutuhkan waktu yang lama serta pemeliharaan sistem aplikasi
yang harus dilakukan secara berkala oleh sumber daya manusia yang kompeten dibidangnya","INOVASI PELAYANAN DINAS PERPUSTAKAAN DAN KEARSIPAN KOTA
METRO MELALUI PROGRAM EBOOK DALAM UPAYA MENUMBUHKAN MINAT
BACA REMAJA",TRUE,article,"[{'id': None, 'name': {'given': 'Made', 'honourific': None, 'family': 'Jaya Muna', 'lineage': None}}, {'name': {'family': 'Meutia', 'lineage': None, 'honourific': None, 'given': 'Intan Fitri'}, 'id': 'intan.fitri@fisip.unila.ac.id'}, {'id': 'devi.yulianti@fisip.unila.ac.id', 'name': {'given': 'Devi', 'family': 'Yulianti', 'lineage': None, 'honourific': None}}]",show,2021-05-30 15:30:36,archive,31356,2021-05-30 15:30:36,"[{'eprintid': 31356, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/141678', 'pos': 1, 'format': 'text', 'main': 'Inovasi Pelayanan Dinas Perpustakaan dan Kearsipan Kota Metro Melalui Program E-Book dalam Upaya Menumbuhkembangkan Minat Baca Remaja.pdf', 'files': [{'objectid': 141678, 'filesize': 627448, 'uri': 'http://repository.lppm.unila.ac.id/id/file/371457', 'filename': 'Inovasi Pelayanan Dinas Perpustakaan dan Kearsipan Kota Metro Melalui Program E-Book dalam Upaya Menumbuhkembangkan Minat Baca Remaja.pdf', 'hash_type': 'MD5', 'mtime': '2021-05-30 04:55:04', 'fileid': 371457, 'datasetid': 'document', 'hash': '90baa43e1d3e7565c8c5aa164cf022d5', 'mime_type': 'application/pdf'}], 'docid': 141678, 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1}]",63,,,,,,,,,,,,,,,,,,,,,
41,,AURA Publisher,['FISIP2'],disk0/00/01/05/14,10,inpress,,public,2019-01-29 04:46:26,['H1'],http://repository.lppm.unila.ac.id/id/eprint/10514,"Daerah Otonom Baru harus memiliki strategi inovasi yang terarah dan simultan (Innovative Government) dalam rangka percepatan pembangunan daerah termasuk tatakelola pemerintahan yang baik, peningkatan partisipasi publik dan pemberdayaan masyarakat lokal dalam kegiatan pembangunan, termasuk pembangunan kepariwisataan. Kebijakan pengembangan pariwisata di daerah otonom baru ini meliputi kajian tentang kebijakan pengembangan pariwisata di Kabupaten Pesawaran. Penatakelolaan kawasan wisata Kabupaten Pesawaran jelas akan memberikan dampak ekonomi bagi  masyarakat khususnya, dan pembangunan pariwisata Lampung secara umum sekaligus menstimulan pembangunan infrastruktur di kawasan tersebut. Berdasarkan catatan Dinas Pariwisata dan Ekonomi Kreatif,  jumlah wisatawan yang datang ke Provinsi Lampung tahun  2015  adalah 4 juta wisatawan lokal dan 95 ribu wisatawan mancanegara. Data yang diperoleh dari Dinas Pariwisata dan Ekonomi Kreatif Propinsi Lampung, dan berdasarkan hasil kajian Tim (2016), saat ini terdapat 6 (enam) permasalahan besar yang membayangi penataan kawasan wisata  pesisir di beberapa wilayah di Propinsi Lampung, tidak terkecuali kawasan wisata pesisir Kabupaten Pesawaran sebagai daerah otonom baru. Ke-6 (enam) permasalahan tersebut adalah sebagai berikut:
(1).perbaikan infrastruktur menuju lokasi wisata dan sarana prasarana yang masih minim (2).kemiskinan struktural pada  mayoritas penduduk disepanjang kawasan pesisir (3).pola pembangunan kawasan pesisir tidak terencana hal ini dibuktikan dengan adanya sejumlah reklamasi pantai yang mengabaikan kontur asli lengkungan Teluk Lampung, selain merusak hal ini berimbas abrasi dan sedimentasi (4).belum terantisipasinya bahaya laten seperti mitigasi bencana (seluruh kawasan pesisir Indonesia rentan terhadap bahaya tsunami)  (5).penatakelolaaan wisata desa-desa pesisir di Propinsi Lampung belum sepenuhnya melibatkan masyarakat lokal (6).persoalan pariwisata di Propinsi Lampung masih berjalan sendiri-sendiri (7).belum terbentuknya zona-zona yang akan dijadikan obyek wisata serta penatakelolaan wisata desa pesisir harus mematangkan pola studi penataan kawasan pesisir yang diharapkan dapat berperan sebagai pusat pertumbuhan ekonomi menuju ecocity, yang dikenal dengan istilah Integrated Coastal Zone Management  
	Tujuan penulisan buku referensi ini adalah memberikan kontribusi mendasar bagi pengembangan ilmu kebijakan publik terutama yang menyangkut kebijakan penatakelolaan wisata desa pesisir Kabupaten Pesawaran, Propinsi Lampung dalam arti penatakalolaan tersebut berpihak pada masyarakat lokal (melibatkan masyarakat lokal ) dan  memberikan manfaat ekonomi bagi masyarakat dengan demikian diharapkan kesejahteraan masyarakat akan semakin meningkat. Buku referensi ini dapat pula dipergunakan oleh mahasiswa dalam matakuliah Administrasi Pembangunan, dengan demikian khasanah ilmu pengetahuan mahasiswa diharapkan semakin meningkat.
Pemerintah Kabupaten Pesawaran berkomitmen menjadikan pariwisata sebagai salah satu sektor penggerak pembangunan, olehkarena Kabupaten Pesawaran  memiliki berbagai  kawasan wisata unggulan baik berbasis alam maupun budaya. Salah satu upaya konkrit Pemerintah Kabupaten Pesawaran adalah dengan mengalokasikan anggaran untuk penyusunan Panduan Pengembangan Pariwisata  Kabupaten Pesawaran (Rencana Induk Pengembangan Pariwisata Daerah/Ripda). Rencana Induk Pengembangan Pariwisata Daerah (Ripda) adalah dokumen perencanaan dalam pengembangan/pembangunan kepariwisataan di Kabupaten Pesawaran. 
	Data lainnya dari Kepala Kecamatan Teluk Pandan, bahwa selain melakukan kunjungan kerja dan kunjungan belajar tentang pengelolaan Badan Usaha Milik Desa (Bumdes), para Kepala Desa di Kabupaten Pesawaran tersebut juga melakukan studi banding ke beberapa obyek wisata yang berada di Yogyakarta dan Jawa Tengah, mengingat potensi yang terdapat di Kecamatan TelukPandan dan Kecamatan Padang Cermin kaya akan potensi pariwisata diharapkan para pimpinan Desa tersebut dapat menyerap ilmu dalam upaya pengembangan potensi pariwisata di desanya masing-masing.
	Berkenaan dengan kebijakan pengembangan pariwisata di Kabupaten Pesawaran, Pemerintah kabupaten Pesawaran mempersiapkan Rencana Induk Pengembangan Pariwisata Daerah (RIPDA) Kabupaten Pesawaran memuat konsep rencana pengembangan destinasi wisata industri, pemasaran dan sumber daya manusia kelembagaan Pariwisata Kabupaten Peswaran selama 15 tahun ke depan. Tujuan disusunnya Ripda Kabupaten Pesawaran adalah agar pengembangan pariwisata Kabupaten Pesawaran dapat terarah, komperehensif dan manjaga kelestarian alam dan lingkungan hidup. 
 Pada kesempatan ini penulis mengucapkan terimakasih kepada Kementerian Riset Teknologi dan Pendidikan Tinggi Republik Indonesia, Rektor Universitas Lampung, Ketua LPPM, Dekan Fisip Universitas Lampung beserta jajaran, ke dua orang tuaku, rekan rekan dosen dan semua pihak yang tidak dapat penulis sebutkan satu persatu. Kritik dan saran dari khalayak sangat penulis harapkan mengingat penulis masih dalam tahap belajar demi perbaikan tulisan ini ke depan.
Terimakasih",Kebijakan Penatakelolaan Pariwisata Di Daerah Otonomi Baru,TRUE,book_section,"[{'name': {'given': 'dian', 'lineage': None, 'family': 'Kagungan', 'honourific': None}, 'id': 'dian.kagungan@fisip.unila.ac.id'}]",show,2019-01-29 04:46:26,archive,10514,2019-01-29 04:46:26,"[{'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/23529', 'eprintid': 10514, 'placement': 1, 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'format': 'text', 'main': 'Kebijakan Penatakelolaan Pariwisata Di Daerah Otonomi Baru.pdf', 'docid': 23529, 'files': [{'fileid': 97573, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': '8084172145b20c40d0fc3b66b01d3e02', 'hash_type': 'MD5', 'mtime': '2019-01-03 04:20:00', 'filesize': 1837081, 'objectid': 23529, 'filename': 'Kebijakan Penatakelolaan Pariwisata Di Daerah Otonomi Baru.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/97573'}]}]",508,,,,,,,,,,,,,,,Kebijakan Penatakelolaan Pariwisata Di Daerah Otonomi Baru,,,,,,
42,,GRAHA ILMU YOGYAKARTA,['FISIP2'],disk0/00/04/48/00,7,pub,,public,2022-09-06 06:20:55,['H1'],http://repository.lppm.unila.ac.id/id/eprint/44800,,"SELAYANG PANDANG LAMPUNG BARAT ""KAMPOENG KOPI"" : SINERGITAS PENGEMBANGAN POTENSI PARIWISATA KAMPOENG KOPI BUMI BEGUAY JEJAMA",,other,"[{'id': 'dian.kagungan@fisip.unila.ac.id', 'name': {'honourific': None, 'lineage': None, 'family': 'Kagungan', 'given': 'dian'}}]",show,2022-09-06 06:20:55,archive,44800,2022-09-06 06:20:55,"[{'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'format': 'text', 'docid': 166690, 'main': 'selayang pandang.pdf', 'files': [{'mime_type': 'application/pdf', 'hash': 'cb35e0cb4496e453996d602a4e68e604', 'fileid': 483653, 'datasetid': 'document', 'mtime': '2022-09-06 02:05:09', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/483653', 'filename': 'selayang pandang.pdf', 'filesize': 4032285, 'objectid': 166690}], 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/166690', 'eprintid': 44800, 'placement': 1}]",508,,,,,,,,,,,,,,,,,,,,,
43,"Administrativa: Jurnal Birokrasi, Kebijakan dan Pelayanan Publik",Jurusan Administrasi Negara,['FISIP2'],disk0/00/03/07/32,6,pub,2714-7673,public,2021-05-27 02:29:52,['H1'],http://repository.lppm.unila.ac.id/id/eprint/30732,"Lampung merupakan salah satu provinsi yang memiliki potensi wisata yang cukup besar dimana setiap daerah
memiliki potensi pariwisata dengan daya tariknya tersendiri salah satunya di Kabupaten Lampung Selatan.
Namun, Bencana Tsunami yang melanda wilayah pesisir Banten dan Lampung Selatan pada tanggal 22 desemeber
2018, berdampak pada penurunannya jumlah kunjungan wisatawan nusantara dan mancanegara ke destinasi
wisata pada akhir Tahun 2018. Berdasarkan permasalahan yang diangkat di atas, maka tujuan penelitian ini
adalah untuk mendeskripsikan dan menganalisis strategi yang dilakukan Dinas Pariwisata dan Kebudayaan
Kabupaten Lampung Selatan dalam upaya pengembangan sektor pariwisata di Kabupaten Lampung Selatan pasca
Bencana Tsunami. Berdasarkan hasil penelitian diketahui bahwa Dinas Pariwisata dan Kebudayaan Kabupaten
Lampung Selatan mempunyai strategi untuk mengembangkan potensi pariwisata di Kabupaten Lampung Selatan.
Dalam menentukan sebuah strategi pengembangan pariwisata di Kabupaten Lampung Selatan Pasca Bencana
Tsunami memperhatikan empat faktor dasar. Keempat faktor tersebut ialah Kekuatan, kelemahan, peluang dan
ancaman dengan beberapa sektor yang terlibat dalam proses pengembangan pariwisata tersebut. Kesimpulan
penelitian ini berdasarkan anilisis SWOT yang menghasilkan empat strategi yakni strategi SO, Strategi WO,
Strategi ST, dan Strategi WT.","STRATEGI PENGEMBANGAN PARIWISATA PASCA BENCANA TSUNAMI DI
KABUPATEN LAMPUNG SELATAN",TRUE,article,"[{'id': 'dian.kagungan@fisip.unila.ac.id', 'name': {'given': 'dian', 'family': 'Kagungan', 'lineage': None, 'honourific': None}}]",show,2021-05-27 02:29:52,archive,30732,2021-05-27 02:29:52,"[{'format': 'text', 'main': 'STRATEGI PENGEMBANGAN PARIWISATA.pdf', 'docid': 138580, 'files': [{'filesize': 604310, 'objectid': 138580, 'filename': 'STRATEGI PENGEMBANGAN PARIWISATA.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/364482', 'hash_type': 'MD5', 'mtime': '2021-05-25 04:21:34', 'datasetid': 'document', 'fileid': 364482, 'mime_type': 'application/pdf', 'hash': 'ef6c7215a69f67a131caf11d8e4799de'}], 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'eprintid': 30732, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/138580', 'pos': 1}]",508,,,,,,,,,,,,,,,,,,,,,
44,,abacademies.org,['FISIP2'],disk0/00/04/40/05,8,pub,,public,2022-08-15 01:33:35,['H1'],http://repository.lppm.unila.ac.id/id/eprint/44005,"Tourism is one of the most threatened sectors due to the Corona Virus pandemic. Concerning the Covid-19 pandemic, the Lampung Provincial Government needs to address the threatening factors to formulate a policy strategy for rebuilding the tourism industry in the new normal era. The location of this research is Lampung Provincial Government, Tanggamus Government, and Pesawaran district government. The method used is qualitative descriptive obtained through interviews and FGD, with a quantitative data approach. This study’s results indicate the tourism industry development strategy in Pesawaran Regency and Tanggamus Regency consisting of four components: attraction, accessibility, amenities, and additional services (ancillary). The long-term objective of this research: to produce a model of tourism industry development policy based on local wisdom through synergistic cooperation between Lampung Provincial, Tanggamus Regency, and Pesawaran Regency Government. The Lampung government has not issued strategic policy in the tourism sector affected by Covid-19. However, the Department of Tourism and Economic Creative Lampung Province must prepare a scenario to accelerate their cover of the tourism industry based on a SWOT analysis as research advice. The scenarios include local tourists’ local wisdom; prepare environmentally, health, and safety insight; increase capacity, knowledge, and public awareness. The Lampung government this not issued a strategic policy in the tourism sector affected by Covid-19",PROSPECTIVE STUDY OF THE TOURISM INDUSTRY STRATEGY IN THE NEW NORMAL ERA,,other,"[{'name': {'given': 'dian', 'family': 'Kagungan', 'lineage': None, 'honourific': None}, 'id': 'dian.kagungan@fisip.unila.ac.id'}, {'id': 'karomani@kpa.unila.ac.id', 'name': {'honourific': None, 'family': 'Karomani', 'lineage': None, 'given': 'Karomani'}}, {'id': 'yulia.neta@fh.unila.ac.id', 'name': {'given': 'Yulianeta', 'honourific': None, 'lineage': None, 'family': 'Yulianeta'}}, {'name': {'given': 'Anna Gustina', 'family': 'Zainal', 'lineage': None, 'honourific': None}, 'id': 'annarudi76@gmail.com'}, {'name': {'lineage': None, 'family': 'Meutia', 'honourific': None, 'given': 'Intan Fitri'}, 'id': 'intan.fitri@fisip.unila.ac.id'}, {'name': {'given': 'Devi', 'honourific': None, 'lineage': None, 'family': 'Yulianti'}, 'id': 'devi.yulianti@fisip.unila.ac.id'}]",show,2022-08-15 01:33:35,archive,44005,2022-08-15 01:33:35,"[{'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'main': 'artikel scopus (1) similarity check.pdf', 'files': [{'hash': 'b1e348b2887d4aa4e7ee3321969ca253', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 478758, 'mtime': '2022-08-13 08:17:13', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/478758', 'filename': 'artikel scopus (1) similarity check.pdf', 'filesize': 1912952, 'objectid': 166005}], 'docid': 166005, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/166005', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 44005}]",508,,,,,,,,,,,,,,,,,,,,,
45,International Journal of Entrepreneurship,,['FISIP2'],disk0/00/03/00/67,7,pub,1939-4675-25-3-474,public,2021-05-10 01:23:43,['H1'],http://repository.lppm.unila.ac.id/id/eprint/30067,"Tourism is one of the most threatened sectors due to the Corona Virus pandemic.
Concerning the Covid-19 pandemic, the Lampung Provincial Government needs to address the
threatening factors to formulate a policy strategy for rebuilding the tourism industry in the new
normal era. The location of this research is Lampung Provincial Government, Tanggamus
Government, and Pesawaran district government. The method used is qualitative descriptive
obtained through interviews and FGD, with a quantitative data approach. This study’s results
indicate the tourism industry development strategy in Pesawaran Regency and Tanggamus
Regency consisting of four components: attraction, accessibility, amenities, and additional
services (ancillary). The long-term objective of this research: to produce a model of tourism
industry development policy based on local wisdom through synergistic cooperation between
Lampung Provincial, Tanggamus Regency, and Pesawaran Regency Government. The Lampung
government has not issued strategic policy in the tourism sector affected by Covid-19. However,
the Department of Tourism and Economic Creative Lampung Province must prepare a scenario
to accelerate their cover of the tourism industry based on a SWOT analysis as research advice.
The scenarios include local tourists’ local wisdom; prepare environmentally, health, and safety
insight; increase capacity, knowledge, and public awareness. The Lampung government this not
issued a strategic policy in the tourism sector affected by Covid-19","PROSPECTIVE STUDY OF THE TOURISM INDUSTRY
STRATEGY IN THE NEW NORMAL ERA",TRUE,article,"[{'id': 'dian.kagungan@fisip.unila.ac.id', 'name': {'given': 'dian', 'lineage': None, 'family': 'Kagungan', 'honourific': None}}, {'name': {'family': 'Karomani', 'lineage': None, 'honourific': None, 'given': 'Karomani'}, 'id': None}, {'name': {'family': 'Yulianti', 'lineage': None, 'honourific': None, 'given': 'Devi'}, 'id': 'devi.yulianti@fisip.unila.ac.id'}, {'name': {'honourific': None, 'family': 'Meutia', 'lineage': None, 'given': 'Intan Fitri'}, 'id': 'intan.fitri@fisip.unila.ac.id'}, {'id': 'yulia.neta@fh.unila.ac.id', 'name': {'family': 'Yulianeta', 'lineage': None, 'honourific': None, 'given': 'Yulianeta'}}, {'name': {'family': 'Zainal', 'lineage': None, 'honourific': None, 'given': 'Anna Gustina'}, 'id': 'annarudi76@gmail.com'}]",show,2021-05-10 01:23:43,archive,30067,2021-05-10 01:23:43,"[{'format': 'text', 'main': 'Prospective Study of the Tourism Industry Strategy in The New Normal Era.pdf', 'docid': 134983, 'files': [{'hash': 'ab400a6d3888375560bb80d9a3ae558d', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 356431, 'mtime': '2021-05-08 16:01:17', 'hash_type': 'MD5', 'filename': 'Prospective Study of the Tourism Industry Strategy in The New Normal Era.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/356431', 'objectid': 134983, 'filesize': 381581}], 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 30067, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/134983'}]",63,,,,,,,,,,,,,,,,,,,,,
