,event_title,subjects,uri,date,divisions,dir,event_type,full_text_status,status_changed,ispublished,rev_number,datestamp,eprintid,eprint_status,metadata_visibility,pagerange,userid,lastmod,documents,type,pres_type,creators,title,refereed,publisher,publication,issn,corp_creators,abstract,official_url,number,keywords,volume,date_type,event_location,event_dates,pages,editors,place_of_pub,contact_email,isbn,projects,related_url,funders,id_number
10,,['K1'],http://repository.lppm.unila.ac.id/id/eprint/13923,2011-12-01 00:00:00.000000000,['FH3'],disk0/00/01/39/23,,public,2019-08-25 17:06:52,pub,6,2019-08-25 17:06:52,13923,archive,show,,235,2019-08-25 17:06:52,"[{'format': 'text', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/121406', 'filename': '2011 09 Pengaduan Konstitusional di Negara Federal Jerman.pdf', 'filesize': 362096, 'objectid': 26958, 'mtime': '2019-08-23 02:31:32', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'hash': '6fd7e81d3207c5d10d41dbfb16c5c331', 'fileid': 121406, 'datasetid': 'document'}], 'main': '2011 09 Pengaduan Konstitusional di Negara Federal Jerman.pdf', 'docid': 26958, 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'eprintid': 13923, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/26958', 'pos': 1}]",article,,"[{'id': 'zulkarnain.ridlwan@fh.unila.ac.id', 'name': {'given': 'Zulkarnain', 'honourific': None, 'family': 'Ridlwan', 'lineage': None}}]",PENGADUAN KONSTITUSIONAL DI NEGARA FEDERAL JERMAN,TRUE,Fakultas Hukum Universitas Lampung,Fiat Justicia Jurnal Ilmu Hukum Fakultas Hukum Universitas Lampung,1978-5186,,"Tujuan  penulisan  ini  adalah  untuk  mendeskripsikan  konsep  pengaduan 
konstitusional di Jerman. Berdasarkan tinjauan normatif dan perbandingan dengan 
Indonesia, didapatkan fakta bahwa Negara Federal Jerman merupakan salah satu 
contoh  yang  tepat  dalam  hal  memahami  dan  mempraktekkan  suatu  model 
perlindungan  hak-hak  konstitusional  warga  negara  dengan  menjalankan 
mekanisme  pengaduan  konstitusional  (constitutional  complaint).  Kewenangan 
untuk  memproses  pengaduan  tersebut  dimiliki  oleh  Mahkamah  Federal  Jerman. 
Indonesia  sebagai  negara  yang  telah  memiliki  rumusan  perlindungan  hak-hak 
warga  negara  serta  telah  menegaskan  sebagai  negara  hukum  hendaknya  dapat 
mengadopsi dan mengadaptasikan apa yang telah dijalankan di Jerman dalam hal 
pengaduan  konstitusional.  Sebab  pengakuan  hak-hak  dasar  warga  negara  tanpa 
perlindungan  atau  mendengung-dengungkan  perlindungan  tanpa  tersedia  upaya 
hukum  yang  cukup  adalah  sama-sama  pengingkaran  terhadap  pengakuan  dan 
perlindungan hak-hak dasar setiap warga negara. Hal penting yang dapat diadopsi 
dan diadaptasikan dari model pengaduan konstitusional di negara Jerman adalah 
memposisikannya sebagai upaya hukum luar biasa.",,3.0,,5,published,,,,,,,,,,,
11,Seminar Nasional Pembangunan Hukum: Mewujudkan Agenda Reformasi di Era Globalisasi,['K1'],http://repository.lppm.unila.ac.id/id/eprint/13922,1970-01-01 00:00:00.000002011,['FH3'],disk0/00/01/39/22,conference,public,2019-08-25 17:10:10,pub,7,2019-08-25 17:10:10,13922,archive,show,265-277,235,2019-08-25 17:10:10,"[{'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'docid': 26956, 'main': '2011 05 Pembangunan Hukum Nasional, Internalisasi Hukum Islam Secara Eklektis, Proceeding Semnas FH.pdf', 'files': [{'filesize': 211557, 'objectid': 26956, 'filename': '2011 05 Pembangunan Hukum Nasional, Internalisasi Hukum Islam Secara Eklektis, Proceeding Semnas FH.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/121394', 'hash_type': 'MD5', 'mtime': '2019-08-23 02:05:06', 'datasetid': 'document', 'fileid': 121394, 'hash': '0fdfb97a8dc9e07b424c85e6e907f41f', 'mime_type': 'application/pdf'}], 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/26956', 'security': 'public', 'placement': 1, 'eprintid': 13922}]",conference_item,paper,"[{'id': 'zulkarnain.ridlwan@fh.unila.ac.id', 'name': {'honourific': None, 'family': 'Ridlwan', 'lineage': None, 'given': 'Zulkarnain'}}]",Pembangunan Hukum Nasional: Internalisasi Hukum Islam Secara Eklektis,TRUE,,,,,"Pembangunan hukum nasional dengan menyempurnakan hukum barat yang berlaku di Indonesia berdasarkan asas konkordansi hendaknya  dapat dilakukan menggunakan bahan  bangunan hukum yang berasal dari jiwa bangsa Indonesia. Dalam negara Indonesia yang tidak sekuler, hukum Islam diberi porsi menjadi bagian dari unsur pembentuk hukum nasional. Metode yang digunakan dalam internalisasi nilai  dan norma hukum Islam ke dalam produk hukum nasional yaitu metode eklektis dengan maksud memilih yang terbaik. Memilih nilai yang terbaik guna dinormakan dalam hukum nasional juga memerlukan sistem kerja positivisasi yang dapat diterima secara keilmuan dan dalam proses demokratisasi, bukan indoktrinasi.",,,,,published,Lampung,2011,,,,,,,,,
12,"Seminar Nasional ""Pembangunan Hukum: Mewujudkan Agenda Reformasi di Era Globalisai""",['K1'],http://repository.lppm.unila.ac.id/id/eprint/10690,2011-05-01 00:00:00.000000000,['FH3'],disk0/00/01/06/90,conference,public,2019-02-08 02:06:32,pub,7,2019-02-08 02:06:32,10690,archive,show,141-150,940,2019-02-08 02:06:32,"[{'eprintid': 10690, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/23696', 'format': 'text', 'main': 'Prosiding_Semnas 2011_Pembanguan HK-Mewujudkan agenda reformasi...Harmonisasi (Mandiri-asli).pdf', 'docid': 23696, 'files': [{'filesize': 115395, 'objectid': 23696, 'uri': 'http://repository.lppm.unila.ac.id/id/file/98765', 'filename': 'Prosiding_Semnas 2011_Pembanguan HK-Mewujudkan agenda reformasi...Harmonisasi (Mandiri-asli).pdf', 'hash_type': 'MD5', 'mtime': '2019-02-06 02:09:08', 'fileid': 98765, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': '7dabc7aa6f1d18583e48841df6e0dae3'}], 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1}]",conference_item,paper,"[{'id': 'fxsmj.unila@gmail.com', 'name': {'honourific': None, 'family': 'Sumarja', 'lineage': None, 'given': 'FX'}}]",HARMONISASI PEMBANGUNAN HUKUM TANAH NASIONAL,TRUE,,,,['Fakultas Hukum Universitas Lampung'],"Tujuan penulisan ini adalah untuk mengetahui penyusunan rancangan undang-undang yang terkait dengan tanah sebagai upaya menggantikan Undang-Undang Nomor 5 Tahun 1960 tentang Peraturan Dasar Pokok-Pokok Agraria (UUPA). Rancangan undang-undang sebagai aturan pelaksanaan UUPA, dan penyusunan RUU secara harmonis. Pembangunan hukum tanah nasional yang tertuang di dalam prolegnas tahun 2010-2014, terdapat 14 dari 247 RUU yang terkait dengan tanah. Dalam prolegnas tersebut tidak terdapat RUU yang berupaya menggantikan UUPA. RUU yang ada sebagai aturan pelaksanaan UUPA, baik perubahan undang-undang yang telah ada maupun undang-undang yang belum ada.
Kata Kunci: prolegnas, hukum tanah",http://repository.lppm.unila.ac.id,,,,published,Bandar Lampung,Mei 2011,,,,,,['---'],[{'url': 'http://repository.lppm.unila.ac.id'}],['---'],
13,,['K1'],http://repository.lppm.unila.ac.id/id/eprint/10643,2011-11-01 00:00:00.000000000,['FH3'],disk0/00/01/06/43,,public,2019-01-28 08:22:09,pub,8,2019-01-28 08:22:09,10643,archive,show,9-26,940,2019-01-28 08:22:09,"[{'eprintid': 10643, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/23655', 'pos': 1, 'format': 'image', 'files': [{'hash': '094c52f18d86184e74287cb4a9cc33e8', 'mime_type': 'application/pdf', 'fileid': 98372, 'datasetid': 'document', 'mtime': '2019-01-25 09:29:31', 'hash_type': 'MD5', 'filename': 'Jurnal MK-PKK Fak Hukum Unila,Vol III, No. 2_2011.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/98372', 'filesize': 1404568, 'objectid': 23655}], 'main': 'Jurnal MK-PKK Fak Hukum Unila,Vol III, No. 2_2011.pdf', 'docid': 23655, 'content': 'published', 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 3}]",article,,"[{'name': {'given': 'FX', 'honourific': None, 'family': 'Sumarja', 'lineage': None}, 'id': 'fxsmj.unila@gmail.com'}]",Hasil dan Prosprek Amandemen UUD 1945,TRUE,Kepaniteraan dan Sekretariat Jenderal Mahkamah Konstitusi Republik Indonesia,Jurnal Konstitusi,1829-7706,['Fakultas Hukum Universitas Lampung'],"This study aims to determine the amendments to the Constitution in 1945, during the period 1999-2002 period, the implementation of the amendments to the Constitution in 1945, and the prospects for the future. Found that the amendments to the Constitution, in 1945, gave birth to a new State constitutional law. Development of the judiciary to the Supreme Court, Constitutional Court and the judicial Commission, changes in the system of representation in the DPR, DPD and MPR; way of impeachment the President and/or Vice President. But there are still issues facing, namely, the power of the constitutional question before the Court and the constitutional complaint; limitations of DPD in the legislative function, the intervention of Parliament in the placement of the ambassadors, and to fill certain positions. 

Keywords: prospect-to amend the Constitution of 1945, after the amendment.",http://repository.lppm.unila.ac.id,2.0,,3,published,,,,,,,,['---'],[{'url': 'http://repository.lppm.unila.ac.id'}],['---'],940.0
14,Pembangunan Hukum: Mewujudkan Agenda Reformasi di Era Globalisasi,['K1'],http://repository.lppm.unila.ac.id/id/eprint/3751,2011-05-01 00:00:00.000000000,['FH3'],disk0/00/00/37/51,conference,public,2017-08-14 06:42:00,pub,7,2017-08-14 06:42:00,3751,archive,show,,888,2017-08-14 06:42:00,"[{'placement': 1, 'eprintid': 3751, 'uri': 'http://repository.lppm.unila.ac.id/id/document/3609', 'pos': 1, 'security': 'public', 'main': 'Yulia neta (Prosiding) Pembangunan Hukum.pdf', 'docid': 3609, 'files': [{'hash_type': 'MD5', 'mtime': '2017-08-02 09:17:51', 'filesize': 1406258, 'objectid': 3609, 'uri': 'http://repository.lppm.unila.ac.id/id/file/26332', 'filename': 'Yulia neta (Prosiding) Pembangunan Hukum.pdf', 'fileid': 26332, 'datasetid': 'document', 'hash': 'b211cfbfc33f03bab88238a91b5841d4', 'mime_type': 'application/pdf'}], 'format': 'text', 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf'}]",conference_item,paper,"[{'name': {'family': 'Yulia Neta', 'lineage': None, 'honourific': None, 'given': 'Yulia'}, 'id': 'yulia.neta@fh.unila.ac.id'}]",Demokrasi dan Hak Asasi Manusia Dalam Konsep Negara Hukum (quo vadis demokrasi dan HAM di Indonesia di Era Globalisasi),FALSE,,,,,,,,,,,,,,,,,,,,,
15,Demokrasi dan Hak Asasi Manusia dalam konsep Negara Hukum (Quo Vadis Demokrasi dan Ham di Indonesia di era globalisasi),['K1'],http://repository.lppm.unila.ac.id/id/eprint/14037,1970-01-01 00:00:00.000002011,['FH3'],disk0/00/01/40/37,conference,public,2019-09-04 08:04:07,pub,7,2019-09-04 08:04:07,14037,archive,show,,888,2019-09-04 08:04:07,"[{'format': 'text', 'main': 'Review Yulia Neta Demokrasi dan HAM dalam Konsep Negara Hukum.pdf', 'files': [{'filesize': 707301, 'objectid': 27069, 'filename': 'Review Yulia Neta Demokrasi dan HAM dalam Konsep Negara Hukum.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/122185', 'hash_type': 'MD5', 'mtime': '2019-09-04 07:24:41', 'fileid': 122185, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': '38526c4d3ee67b7a5df2883226981cae'}], 'docid': 27069, 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'eprintid': 14037, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/27069'}]",conference_item,paper,"[{'name': {'honourific': None, 'family': 'Yulia Neta', 'lineage': None, 'given': 'Yulia'}, 'id': 'yulia.neta@fh.unila.ac.id'}]",Demokrasi dan Hak Asasi Manusia dalam konsep Negara Hukum (Quo Vadis Demokrasi dan Ham di Indonesia di era globalisasi),TRUE,,,,['Universitas Lampung'],hasil penilaian sejawat sebidang atau peer review,,,,,,,,,,,,,,,,
16,,['K1'],http://repository.lppm.unila.ac.id/id/eprint/14039,1970-01-01 00:00:00.000002011,['FH3'],disk0/00/01/40/39,,public,2019-09-04 08:03:45,pub,6,2019-09-04 08:03:45,14039,archive,show,,888,2019-09-04 08:03:45,"[{'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/27071', 'eprintid': 14039, 'placement': 1, 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'format': 'text', 'docid': 27071, 'main': 'Review Yulia Neta Fungsi Partai Politik dalam Pemilihan Umum.pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/122197', 'filename': 'Review Yulia Neta Fungsi Partai Politik dalam Pemilihan Umum.pdf', 'filesize': 762553, 'objectid': 27071, 'mtime': '2019-09-04 07:33:16', 'hash_type': 'MD5', 'hash': '187ef334cd7b97b2b78ada513a581d00', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 122197}]}]",article,,"[{'name': {'honourific': None, 'lineage': None, 'family': 'Yulia Neta', 'given': 'Yulia'}, 'id': 'yulia.neta@fh.unila.ac.id'}]",Fungsi partai politik dalam pemilihan umum yang Demokratis (Analisis KOrtis terhadap Teori Fungsi Partai politik),TRUE,,konstitusi,18297706,['Universitas Lampung'],hasil penilaian sejawat sebidang atau peer review,,,,,,,,,,,,,,,,
17,,['K1'],http://repository.lppm.unila.ac.id/id/eprint/13706,1970-01-01 00:00:00.000002011,['FH3'],disk0/00/01/37/06,,public,2019-08-05 05:00:55,pub,6,2019-08-05 05:00:55,13706,archive,show,,888,2019-08-05 05:00:55,"[{'main': 'review3.pdf', 'docid': 26717, 'files': [{'hash_type': 'MD5', 'mtime': '2019-08-05 03:54:16', 'objectid': 26717, 'filesize': 98193, 'filename': 'review3.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/119597', 'datasetid': 'document', 'fileid': 119597, 'mime_type': 'application/pdf', 'hash': '6497c89699f66c5f02983dfc1c1f4d9a'}], 'format': 'text', 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'placement': 1, 'eprintid': 13706, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/26717', 'security': 'public'}]",article,,"[{'id': 'yulia.neta@fh.unila.ac.id', 'name': {'given': 'Yulia', 'lineage': None, 'family': 'Yulia Neta', 'honourific': None}}]",Upaya peningkatan peran dewan perwakilan daerah (DPD) di Indonesia,TRUE,Fakultas Hukum Universitas Lampung,Fiat Justicia Jurnal Ilmu Hukum Fakultas Hukum Universitas Lampung,1978-5186,,Hasil penilaian sejawat sebidang atau peer review,,,,,,,,,,,,,,,,
18,,['K1'],http://repository.lppm.unila.ac.id/id/eprint/14043,1970-01-01 00:00:00.000002011,['FH3'],disk0/00/01/40/43,,public,2019-09-04 08:03:59,pub,6,2019-09-04 08:03:59,14043,archive,show,,888,2019-09-04 08:03:59,"[{'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/27075', 'eprintid': 14043, 'placement': 1, 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'format': 'text', 'main': 'Review Yulia Neta Upaya Peningkatan Peran Dewan Perwakilan Daerah.pdf', 'docid': 27075, 'files': [{'fileid': 122222, 'datasetid': 'document', 'hash': '09f76ac1eebfb36f39f168033c4e5e75', 'mime_type': 'application/pdf', 'objectid': 27075, 'filesize': 753598, 'uri': 'http://repository.lppm.unila.ac.id/id/file/122222', 'filename': 'Review Yulia Neta Upaya Peningkatan Peran Dewan Perwakilan Daerah.pdf', 'hash_type': 'MD5', 'mtime': '2019-09-04 08:01:13'}]}]",article,,"[{'id': 'yulia.neta@fh.unila.ac.id', 'name': {'given': 'Yulia', 'honourific': None, 'family': 'Yulia Neta', 'lineage': None}}]",Upaya peningkatan peran dewan perwakilan daerah (DPD) di indonesia,TRUE,Fakultas Hukum Universitas Lampung,Fiat Justicia Jurnal Ilmu Hukum Fakultas Hukum Universitas Lampung,1978-5186,['Universitas Lampung'],hasil penilaian sejawat sebidang atau peer review,,,,,,,,,,,,,,,,
19,Prosiding seminar nasional,['K1'],http://repository.lppm.unila.ac.id/id/eprint/13717,2011-05-01 00:00:00.000000000,['FH3'],disk0/00/01/37/17,conference,public,2019-08-05 05:00:46,pub,7,2019-08-05 05:00:46,13717,archive,show,,888,2019-08-05 05:00:46,"[{'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/26728', 'security': 'public', 'placement': 1, 'eprintid': 13717, 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'main': 'review7.pdf', 'files': [{'datasetid': 'document', 'fileid': 119675, 'hash': 'd12ec944a4c6a437b60137953d87a7f7', 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2019-08-05 04:47:31', 'filesize': 101602, 'objectid': 26728, 'uri': 'http://repository.lppm.unila.ac.id/id/file/119675', 'filename': 'review7.pdf'}], 'docid': 26728, 'format': 'text'}]",conference_item,paper,"[{'id': 'yulia.neta@fh.unila.ac.id', 'name': {'honourific': None, 'lineage': None, 'family': 'Yulia Neta', 'given': 'Yulia'}}]",demokrasi dan hak asasi manusia dalam konsep negara hukum (Quo vadis demokrasi dan ham di indonesia di era globalisasi),TRUE,,,,['Universitas Lampung'],hasil penilaian sejawat sebidang atau peer review,,,,,published,,mei 2011,,,,,,,,,
20,,['K1'],http://repository.lppm.unila.ac.id/id/eprint/13714,1970-01-01 00:00:00.000002011,['FH3'],disk0/00/01/37/14,,public,2019-08-05 05:01:13,pub,6,2019-08-05 05:01:13,13714,archive,show,,888,2019-08-05 05:01:13,"[{'format': 'text', 'main': 'review4.pdf', 'docid': 26725, 'files': [{'filesize': 103135, 'objectid': 26725, 'filename': 'review4.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/119650', 'hash_type': 'MD5', 'mtime': '2019-08-05 04:31:24', 'datasetid': 'document', 'fileid': 119650, 'mime_type': 'application/pdf', 'hash': '3518f2d57ba3736365d7af25ad24d0cb'}], 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'eprintid': 13714, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/26725', 'pos': 1}]",article,,"[{'name': {'family': 'Yulia Neta', 'lineage': None, 'honourific': None, 'given': 'Yulia'}, 'id': 'yulia.neta@fh.unila.ac.id'}]",fungsi partai politik dalam pemilihan umum yang demokratis (analisis kortis terhadap teori fungsi partai politik),TRUE,,konstitusi,18297706,['Universitas Lampung'],hasil penilaian sejawat sebidang atau peer review,,,,,,,,,,,,,,,,
21,,['K1'],http://repository.lppm.unila.ac.id/id/eprint/51603,2011-07-01 00:00:00.000000000,['FH3'],disk0_bak/00/05/16/03,,public,2023-05-15 01:22:36,pub,7,2023-05-15 01:22:36,51603,archive,show,173-184,903,2023-05-15 01:22:36,"[{'main': '20230.pdf', 'docid': 249401, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/611213', 'filename': '20230.pdf', 'filesize': 3300081, 'objectid': 249401, 'mtime': '2023-05-14 14:46:46', 'hash_type': 'MD5', 'hash': '5c6b138761192d9de24d0df6cc790518', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 611213}], 'format': 'text', 'rev_number': 2, 'language': 'en', 'mime_type': 'application/pdf', 'placement': 1, 'eprintid': 51603, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/249401', 'security': 'public'}]",article,,"[{'id': 'firganefi.unila@gmail.com', 'name': {'lineage': None, 'family': 'firganefi', 'honourific': None, 'given': 'firganefi'}}]",Analisis Faktor Penyebab dan Penanggulangan Tindak Pidana Perkosaan dalam Keluarga,TRUE,Program Pascasarjana Program Magister Hukum FH Unila,Praevia,1907-8714,,,,2.0,,5,published,,,,,,,,,,,
