,subjects,date,uri,publisher,dir,divisions,status_changed,full_text_status,ispublished,rev_number,eprint_status,eprintid,datestamp,metadata_visibility,contributors,userid,documents,lastmod,type,creators,title,date_type,abstract,volume,publication,issn,pagerange,official_url,number,refereed,corp_creators,related_url,event_title,event_type,event_location,event_dates,pres_type,id_number,succeeds,place_of_pub
10,"['L1', 'LB', 'LB2300']",2020-12-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/29036,FKIP Univeresitas Lampung,disk0/00/02/90/36,['FKIP4'],2021-04-08 06:44:07,public,unpub,9,archive,29036,2021-04-08 06:44:07,show,"[{'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'type': 'http://www.loc.gov/loc.terms/relators/AUT'}]",1028,"[{'eprintid': 29036, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/43146', 'pos': 1, 'format': 'text', 'files': [{'fileid': 257600, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': '93426de2a7ece71ecb9995b42ad07187', 'filesize': 5382327, 'objectid': 43146, 'filename': 'LKS Inkuiri Terbimbing Mempengaruhi Peningkatan Keterampilan Mengidentifikasi Variabel dan Menentukan Langkah Kerja.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/257600', 'hash_type': 'MD5', 'mtime': '2021-04-08 05:37:58'}], 'main': 'LKS Inkuiri Terbimbing Mempengaruhi Peningkatan Keterampilan Mengidentifikasi Variabel dan Menentukan Langkah Kerja.pdf', 'docid': 43146, 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf'}]",2021-04-08 06:44:07,other,"[{'id': None, 'name': {'honourific': None, 'family': 'Dwiputri', 'lineage': None, 'given': 'Hanni'}}, {'id': 'kadaritna@yahoo.com', 'name': {'given': 'Nina', 'honourific': None, 'family': 'Kadaritna', 'lineage': None}}, {'name': {'lineage': None, 'family': 'Sunyono', 'honourific': None, 'given': 'Sunyono'}, 'id': 'sunyono.1965@fkip.unila.ac.id'}]",LKS Inkuiri Terbimbing Mempengaruhi Peningkatan Keterampilan Mengidentifikasi Variabel dan Menentukan Langkah Kerja.,completed,,,,,,,,,"['Prodi S1 Pendidikan Kimia', 'Prodi S2 Keguruan IPA', 'Prodi S1 Pendidikan Kimia`']",,,,,,,,,
11,"['L1', 'LB2300']",2020-04-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/28906,IOSR Journal,disk0/00/02/89/06,['FKIP4'],2021-04-06 06:36:53,public,pub,8,archive,28906,2021-04-06 06:36:53,show,"[{'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'type': 'http://www.loc.gov/loc.terms/relators/AUT'}]",1028,"[{'format': 'text', 'docid': 43000, 'main': 'The_Validity_of_the_Online_Module_of_Flipped_Class.pdf', 'files': [{'filesize': 1920097, 'objectid': 43000, 'uri': 'http://repository.lppm.unila.ac.id/id/file/256484', 'filename': 'The_Validity_of_the_Online_Module_of_Flipped_Class.pdf', 'hash_type': 'MD5', 'mtime': '2021-04-06 05:05:50', 'fileid': 256484, 'datasetid': 'document', 'hash': '118bc793e3733e80dfbb47daeb4aee2a', 'mime_type': 'application/pdf'}], 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'eprintid': 28906, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/43000'}]",2021-04-06 06:36:53,other,"[{'id': None, 'name': {'honourific': None, 'lineage': None, 'family': 'El Shinta', 'given': 'Zaskia'}}, {'id': 'sunyono.1965@fkip.unila.ac.id', 'name': {'lineage': None, 'family': 'Sunyono', 'honourific': None, 'given': 'Sunyono'}}, {'name': {'given': 'M.', 'honourific': None, 'lineage': None, 'family': 'Setyarini'}, 'id': 'marina_setyorini@yahoo.com'}]",The Validity of the Online Module of Flipped Classroom Based on Socioscientific Issues Towards Students’ Literacy Skills.,published,,,,,,http://www.iosrjournals.org/iosr-jrme.html,,,"['Prodi S2 Keguruan IPA', 'Prodi S1 Pendidikan Kimia', 'Prodi S1 Pendidikan Kimia`']",,,,,,,,,
12,"['L1', 'LB2300']",2020-12-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/29007,FKIP Univeresitas Lampung,disk0/00/02/90/07,['FKIP4'],2021-04-08 01:11:49,public,unpub,8,archive,29007,2021-04-08 01:11:49,show,"[{'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'type': 'http://www.loc.gov/loc.terms/relators/AUT'}]",1028,"[{'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'format': 'text', 'docid': 43110, 'main': 'The Validity of the Online Module of Flipped Classroom Based on Socioscientific Issues Towards Students Literacy Skills.pdf', 'files': [{'hash_type': 'MD5', 'mtime': '2021-04-07 09:25:45', 'filesize': 2998384, 'objectid': 43110, 'filename': 'The Validity of the Online Module of Flipped Classroom Based on Socioscientific Issues Towards Students Literacy Skills.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/257326', 'fileid': 257326, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': '3e67b15b48d80c49699fb317a17d37c2'}], 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/43110', 'eprintid': 29007, 'placement': 1}]",2021-04-08 01:11:49,other,"[{'name': {'given': 'Zhakia', 'honourific': None, 'family': 'El Shinta', 'lineage': None}, 'id': 'daengelzhakia@gmail.com'}, {'name': {'family': 'Sunyono', 'lineage': None, 'honourific': None, 'given': 'Sunyono'}, 'id': 'sunyono.1965@fkip.unila.ac.id'}, {'id': 'marina_setyorini@yahoo.com', 'name': {'family': 'Setyarini', 'lineage': None, 'honourific': None, 'given': 'M.'}}]",The Validity of the Online Module of Flipped Classroom Based on Socioscientific Issues Towards Students’ Literacy Skills.,completed,,,,,,,,,"['Prodi S2 Keguruan IPA', 'Prodi S2 Keguruan IPA', 'Prodi S1 Pendidikan Kimia`']",,,,,,,,,
13,"['L1', 'LB1501', 'LC5201']",1970-01-01 00:00:00.000002020,http://repository.lppm.unila.ac.id/id/eprint/28793,Atlantis Press,disk0/00/02/87/93,['FKIP4'],2021-04-01 01:59:25,public,pub,9,archive,28793,2021-04-01 01:59:25,show,,705,"[{'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'format': 'text', 'main': 'Analysis of Students Inquiry Skills in Senior High School Though Learning Based on the Hierarchy of Inquiry Model.pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/255399', 'filename': 'Analysis of Students Inquiry Skills in Senior High School Though Learning Based on the Hierarchy of Inquiry Model.pdf', 'filesize': 2828398, 'objectid': 42861, 'mtime': '2021-03-31 08:30:00', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'hash': '48ff79b5f72eedc014401b1d9b5d832f', 'datasetid': 'document', 'fileid': 255399}], 'docid': 42861, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/42861', 'pos': 1, 'eprintid': 28793, 'placement': 1}]",2021-04-01 01:59:26,other,"[{'id': None, 'name': {'given': 'Elisanti', 'honourific': None, 'family': 'Evi', 'lineage': None}}, {'name': {'honourific': None, 'family': 'Rudibyani', 'lineage': None, 'given': 'Ratu Betta'}, 'id': 'ratubetta.rudibyani@fkip.unila.ac.id'}, {'name': {'lineage': None, 'family': 'Sajidan', 'honourific': None, 'given': 'Sajidan'}, 'id': None}, {'id': None, 'name': {'honourific': None, 'family': 'Perdana', 'lineage': None, 'given': 'Ryzal'}}]",Analysis of Students Inquiry Skills in Senior High School Though Learning Based on the Hierarchy of Inquiry Model.,,,,,,,,,,,,,,,,,,,
14,"['L1', 'LB2300']",2020-12-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/29011,FKIP Univeresitas Lampung,disk0/00/02/90/11,['FKIP4'],2021-04-08 01:11:56,public,unpub,9,archive,29011,2021-04-08 01:11:56,show,"[{'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'type': 'http://www.loc.gov/loc.terms/relators/AUT'}]",1028,"[{'eprintid': 29011, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/43115', 'pos': 1, 'format': 'text', 'docid': 43115, 'main': 'Efektivitas Pre Lecture Quiz untuk Meningkatkan Keterampilan Berpikir Kritis Siswa_compressed.pdf', 'files': [{'mtime': '2021-04-07 09:31:58', 'hash_type': 'MD5', 'filename': 'Efektivitas Pre Lecture Quiz untuk Meningkatkan Keterampilan Berpikir Kritis Siswa_compressed.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/257356', 'objectid': 43115, 'filesize': 537463, 'mime_type': 'application/pdf', 'hash': '2901fefec33e48c68d26cab94fb5c1c4', 'fileid': 257356, 'datasetid': 'document'}], 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf'}]",2021-04-08 01:11:56,other,"[{'id': None, 'name': {'family': 'Fitri', 'lineage': None, 'honourific': None, 'given': 'Nur Qomaril'}}, {'id': 'tasviriefkar@yahoo.com.', 'name': {'honourific': None, 'lineage': None, 'family': 'Efkar', 'given': 'Tasviri'}}, {'name': {'honourific': None, 'family': 'Sunyono', 'lineage': None, 'given': 'Sunyono'}, 'id': 'sunyono.1965@fkip.unila.ac.id'}]",Efektivitas Pre-Lecture Quiz untuk Meningkatkan Keterampilan Komunikasi Siswa.,completed,,,,,,,,,"['Prodi S1 Pendidikan Kimia', 'Prodi S1 Pendidikan Kimia', 'Prodi S2 Keguruan IPA']",,,,,,,,,
15,['L1'],2020-03-26 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/21250,International Organization of Scientific Research,disk0/00/02/12/50,['FKIP4'],2020-05-31 06:25:39,public,pub,9,archive,21250,2020-05-31 06:25:39,show,,812,"[{'files': [{'objectid': 34641, 'filesize': 419324, 'filename': 'trijalmo-Hamzah.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/197776', 'hash_type': 'MD5', 'mtime': '2020-05-31 04:43:39', 'fileid': 197776, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': '05da7d1fd69f90e071dd94acbfcacbbe'}], 'main': 'trijalmo-Hamzah.pdf', 'docid': 34641, 'format': 'text', 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'placement': 1, 'eprintid': 21250, 'uri': 'http://repository.lppm.unila.ac.id/id/document/34641', 'pos': 1, 'security': 'public'}, {'placement': 2, 'eprintid': 21250, 'pos': 2, 'uri': 'http://repository.lppm.unila.ac.id/id/document/34642', 'security': 'public', 'files': [{'hash_type': 'MD5', 'mtime': '2020-05-31 04:43:57', 'filesize': 419324, 'objectid': 34642, 'uri': 'http://repository.lppm.unila.ac.id/id/file/197778', 'filename': 'trijalmo-Hamzah.pdf', 'datasetid': 'document', 'fileid': 197778, 'mime_type': 'application/pdf', 'hash': '05da7d1fd69f90e071dd94acbfcacbbe'}], 'main': 'trijalmo-Hamzah.pdf', 'docid': 34642, 'format': 'text', 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1}, {'placement': 3, 'eprintid': 21250, 'uri': 'http://repository.lppm.unila.ac.id/id/document/34643', 'pos': 3, 'security': 'public', 'docid': 34643, 'main': 'trijalmo-Hamzah.pdf', 'files': [{'mime_type': 'application/pdf', 'hash': '05da7d1fd69f90e071dd94acbfcacbbe', 'fileid': 197780, 'datasetid': 'document', 'filename': 'trijalmo-Hamzah.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/197780', 'filesize': 419324, 'objectid': 34643, 'mtime': '2020-05-31 04:44:33', 'hash_type': 'MD5'}], 'format': 'text', 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1}]",2020-05-31 06:25:39,article,"[{'id': None, 'name': {'lineage': None, 'family': 'Hamzah', 'honourific': None, 'given': 'Hamzah'}}, {'id': 'marina_setyorini@yahoo.com', 'name': {'given': 'M.', 'honourific': None, 'family': 'Setyarini', 'lineage': None}}, {'name': {'given': 'Tri', 'honourific': None, 'lineage': None, 'family': 'Jalmo'}, 'id': 'tri.jalmo@fkip.unila.ac.id'}]",The Importance of Animation inGuided Inquiryof Human Excretory System Material,published,"21st century learning demands various skills that must be mastered by students, so education can prepare students to master these skills in order to become successful individuals in their lives. In order for students to have these skills, the teacher must be able to practice using the right strategy in the learning process. One of them is using guided inquiry learning model, because this learning model can have a positive influence on students and the learning process will be more effective and efficient. The skills developed in the guided inquiry learning model can be more interesting and meaningful, if it is performed through the right media. One of the media that can attract attention during the learning process is animation. This preliminary study was conducted on 150 public and private junior high school students in 6 regencies or cities in Lampung Province, Indonesia. This study used descriptive qualitative method and the data was collected by using a questionnaire. The results of the study showed that science learning with guided inquiry learning model was not implemented properly, especially in the following variables, namely the formulation of problems, make hypotheses and prove hypotheses. The animation in the learning process was still rarely used. Therefore the use of animation in learning process is very necessary because it can have a positive impact on the understanding of students on something abstract.",10.0,IOSR Journal of Research & Method in Education,2320-7388,51-55,https://www.iosrjournals.org/iosr-jrme/papers/Vol-10%20Issue-2/Series-3/I1002035155.pdf,2.0,TRUE,,,,,,,,10.9790/7388-1002035155,,
16,"['L1', 'LB2300']",2020-12-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/29043,FKIP Univeresitas Lampung,disk0/00/02/90/43,['FKIP4'],2021-04-08 06:44:24,public,unpub,8,archive,29043,2021-04-08 06:44:24,show,"[{'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'type': 'http://www.loc.gov/loc.terms/relators/AUT'}]",1028,"[{'placement': 1, 'eprintid': 29043, 'uri': 'http://repository.lppm.unila.ac.id/id/document/43153', 'pos': 1, 'security': 'public', 'main': 'The effectiveness of multiple representation based student worksheet of inheritance properties topic to improve students critical thinking skill.pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/257655', 'filename': 'The effectiveness of multiple representation based student worksheet of inheritance properties topic to improve students critical thinking skill.pdf', 'objectid': 43153, 'filesize': 2899340, 'mtime': '2021-04-08 06:21:14', 'hash_type': 'MD5', 'hash': 'c399ee3bceb7612299c07d817e01feba', 'mime_type': 'application/pdf', 'fileid': 257655, 'datasetid': 'document'}], 'docid': 43153, 'format': 'text', 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf'}]",2021-04-08 06:44:24,other,"[{'name': {'honourific': None, 'lineage': None, 'family': 'Hidayati', 'given': 'D.F.'}, 'id': 'dwifebrihidayati@gmail.com'}, {'name': {'given': 'Abdurrahman', 'honourific': None, 'family': 'Abdurrahman', 'lineage': None}, 'id': 'abdurrahman.1968@fkip.unila.ac.id'}, {'id': 'sunyono.1965@fkip.unila.ac.id', 'name': {'given': 'Sunyono', 'family': 'Sunyono', 'lineage': None, 'honourific': None}}]",The effectiveness of multiple representation-based student worksheet of inheritance properties topic to improve students’ critical thinking skill.,completed,,,,,,,,,"['Prodi S2 Keguruan IPA', 'Prodi S2 Pendidikan Fisika', 'Prodi S2 Keguruan IPA']",,,,,,,,,
17,"['L1', 'LB2300']",2020-04-06 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/28905,OSR Journal of Research & Method in Education (IOSR-JRME),disk0/00/02/89/05,['FKIP4'],2021-04-06 06:36:49,public,pub,8,archive,28905,2021-04-06 06:36:49,show,"[{'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'type': 'http://www.loc.gov/loc.terms/relators/AUT'}]",1028,"[{'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/42999', 'eprintid': 28905, 'placement': 1, 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'format': 'text', 'docid': 42999, 'main': 'Validity_of_Student_Worksheets_Based_on_Socioscien.pdf', 'files': [{'fileid': 256476, 'datasetid': 'document', 'hash': 'a4a7d794b4cf49c75dd60858de009d34', 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2021-04-06 04:59:54', 'filesize': 1707743, 'objectid': 42999, 'filename': 'Validity_of_Student_Worksheets_Based_on_Socioscien.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/256476'}]}]",2021-04-06 06:36:49,other,"[{'name': {'given': 'Nining', 'honourific': None, 'family': 'Kurniasih', 'lineage': None}, 'id': 'nia.nia.generous@gmail.com'}, {'name': {'honourific': None, 'family': 'Sunyono', 'lineage': None, 'given': 'Sunyono'}, 'id': 'sunyono.1965@fkip.unila.ac.id'}, {'id': 'kkartini.herlina@gmail.com', 'name': {'lineage': None, 'family': 'Herlina', 'honourific': None, 'given': 'Kartini'}}]",Validity of Student Worksheets Based on Socioscientific Issues Towards improve Students' Literacy Skills,published,,,,,,http://www.iosrjournals.org/iosr-jrme.html,,,"['Prodi S2 Keguruan IPA', 'Prodi S2 Keguruan IPA', 'Prodi S2 Pendidikan Fisika']",,,,,,,,,
18,"['L1', 'LB2300']",2020-12-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/29017,FKIP Univeresitas Lampung,disk0/00/02/90/17,['FKIP4'],2021-04-08 01:12:07,public,unpub,8,archive,29017,2021-04-08 01:12:07,show,"[{'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'type': 'http://www.loc.gov/loc.terms/relators/AUT'}]",1028,"[{'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/43123', 'eprintid': 29017, 'placement': 1, 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'format': 'text', 'main': 'Pengaruh Pembelajaran SiMaYang dalam Meningkatkan Sikap Kreatif Siswa pada Materi Larutan Elektrolit dan Non Elektrolit.pdf', 'files': [{'mime_type': 'application/pdf', 'hash': '2ec3c29271680ee8bc9862c41a573eb6', 'datasetid': 'document', 'fileid': 257406, 'uri': 'http://repository.lppm.unila.ac.id/id/file/257406', 'filename': 'Pengaruh Pembelajaran SiMaYang dalam Meningkatkan Sikap Kreatif Siswa pada Materi Larutan Elektrolit dan Non Elektrolit.pdf', 'objectid': 43123, 'filesize': 4883764, 'mtime': '2021-04-07 10:14:59', 'hash_type': 'MD5'}], 'docid': 43123}]",2021-04-08 01:12:07,other,"[{'id': None, 'name': {'given': 'Fitry', 'family': 'Ledyani', 'lineage': None, 'honourific': None}}, {'id': 'sunyono.1965@fkip.unila.ac.id', 'name': {'honourific': None, 'lineage': None, 'family': 'Sunyono', 'given': 'Sunyono'}}, {'name': {'given': 'Ratu Betta', 'honourific': None, 'lineage': None, 'family': 'Rudibyani'}, 'id': 'ratubetta.rudibyani@fkip.unila.ac.id'}]",Pengaruh Pembelajaran SiMaYang dalam Meningkatkan Sikap Kreatif Siswa pada Materi Larutan Elektrolit dan Non-Elektrolit.,completed,,,,,,,,,"['Prodi S1 Pendidikan Kimia', 'Prodi S2 Keguruan IPA', 'Prodi S1 Pendidikan Kimia`']",,,,,,,,,
19,"['L1', 'LB2300']",2020-12-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/29033,FKIP Univeresitas Lampung,disk0/00/02/90/33,['FKIP4'],2021-04-08 06:42:08,public,unpub,8,archive,29033,2021-04-08 06:42:08,show,"[{'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'type': 'http://www.loc.gov/loc.terms/relators/AUT'}]",1028,"[{'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/43141', 'eprintid': 29033, 'placement': 1, 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'format': 'text', 'files': [{'mtime': '2021-04-08 04:09:13', 'hash_type': 'MD5', 'filename': 'Efektivitas LKPD Berbasis Project Based Learning untuk Meningkatkan Keterampilan Proses Sains Siswa.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/257576', 'objectid': 43141, 'filesize': 4183479, 'hash': '9849bd8d39d583825483babd333bce34', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 257576}], 'main': 'Efektivitas LKPD Berbasis Project Based Learning untuk Meningkatkan Keterampilan Proses Sains Siswa.pdf', 'docid': 43141}]",2021-04-08 06:42:08,other,"[{'name': {'given': 'Maryani', 'honourific': None, 'family': 'Maryani', 'lineage': None}, 'id': None}, {'id': 'sunyono.1965@fkip.unila.ac.id', 'name': {'honourific': None, 'family': 'Sunyono', 'lineage': None, 'given': 'Sunyono'}}, {'id': 'abdurrahman.1968@fkip.unila.ac.id', 'name': {'given': 'Abdurrahman', 'honourific': None, 'lineage': None, 'family': 'Abdurrahman'}}]",Efektivitas LKPD Berbasis Project Based Learning untuk Meningkatkan Keterampilan Proses Sains Siswa.,completed,,,,,,,,,"['Prodi S2 Keguruan IPA', 'Prodi S2 Keguruan IPA', 'Prodi S2 Pendidikan Fisika']",,,,,,,,,
20,"['L1', 'LB2300']",2020-12-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/29041,FKIP Univeresitas Lampung,disk0/00/02/90/41,['FKIP4'],2021-04-08 06:44:17,public,unpub,8,archive,29041,2021-04-08 06:44:17,show,"[{'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'type': 'http://www.loc.gov/loc.terms/relators/AUT'}]",1028,"[{'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'format': 'text', 'main': 'The Effectiveness of Interactive Media Simayang Model to Increase the Skill of Science Process.pdf', 'docid': 43151, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/257638', 'filename': 'The Effectiveness of Interactive Media Simayang Model to Increase the Skill of Science Process.pdf', 'objectid': 43151, 'filesize': 3474834, 'mtime': '2021-04-08 06:16:29', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'hash': '7f7b6a001db795b3780a4d89eea5ec62', 'fileid': 257638, 'datasetid': 'document'}], 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/43151', 'eprintid': 29041, 'placement': 1}]",2021-04-08 06:44:17,other,"[{'name': {'given': 'Mutmainah', 'lineage': None, 'family': 'Mutmainah', 'honourific': None}, 'id': 'mutmainah59@yahoo.co.id'}, {'name': {'honourific': None, 'lineage': None, 'family': 'Sunyono', 'given': 'Sunyono'}, 'id': 'sunyono.1965@fkip.unila.ac.id'}, {'id': 'jalmotri@yahoo.com', 'name': {'lineage': None, 'family': 'Jalmo', 'honourific': None, 'given': 'Tri'}}]",The Effectiveness of Interactive Media Simayang Model to Increase the Skill of Science Process.,completed,,,,,,,,,,,,,,,,,,
21,['LB'],2020-10-17 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/24830,,disk0/00/02/48/30,['FKIP4'],2020-11-10 07:14:00,public,pub,9,archive,24830,2020-11-10 07:14:00,show,"[{'type': 'http://www.loc.gov/loc.terms/relators/AUT', 'name': {'given': 'Ratna', 'honourific': None, 'family': 'Ni Made', 'lineage': None}, 'id': None}, {'id': 'dewilenglana76@gmail.com', 'type': 'http://www.loc.gov/loc.terms/relators/CCP', 'name': {'lineage': None, 'family': 'Dewi', 'honourific': None, 'given': 'Lengkana'}}, {'name': {'honourific': None, 'family': 'Setyarini', 'lineage': None, 'given': 'Marina'}, 'type': 'http://www.loc.gov/loc.terms/relators/CSL', 'id': None}, {'name': {'honourific': None, 'family': 'Trijalmo', 'lineage': None, 'given': 'Trijalmo'}, 'type': 'http://www.loc.gov/loc.terms/relators/CSP', 'id': None}]",992,"[{'placement': 1, 'eprintid': 24830, 'uri': 'http://repository.lppm.unila.ac.id/id/document/38583', 'pos': 1, 'security': 'public', 'docid': 38583, 'main': 'representasi vetikal.docx', 'files': [{'hash_type': 'MD5', 'mtime': '2020-11-10 06:45:05', 'objectid': 38583, 'filesize': 78614, 'filename': 'representasi vetikal.docx', 'uri': 'http://repository.lppm.unila.ac.id/id/file/225074', 'datasetid': 'document', 'fileid': 225074, 'hash': '761df5eff42f7d8f8bd66f2cd353a807', 'mime_type': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document'}], 'format': 'text', 'language': 'en', 'mime_type': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'rev_number': 1}]",2020-11-10 07:14:00,conference_item,"[{'name': {'honourific': None, 'lineage': None, 'family': 'Ni Made', 'given': 'Ratna'}, 'id': None}, {'name': {'given': 'Lengkana', 'honourific': None, 'family': 'Dewi', 'lineage': None}, 'id': 'dewilengkana76@gmail.com'}, {'name': {'given': 'Marina', 'family': 'Setyarini', 'lineage': None, 'honourific': None}, 'id': None}, {'name': {'honourific': None, 'lineage': None, 'family': 'Trijalmo', 'given': 'Trijalmo'}, 'id': None}]",The Use of Vertical Representation in Studens’ Science Book on Matter Particles Topic and Its Impact on Students’ HOTS and Visual Literacy,published,"This study aimed to identify the use of vertical representation presented in students’ science book in explaining scientific concepts, theories, and phenomena on matter particles and its impact on students’ HOTS and visual literacy. The method used in this study is quantitatively descriptive method. The samples of this study were one hundred students in ten senior high schools in the city of Bandar Lampung and Central Lampung District. The data collection used questionnaire and students’ science book assessment sheet. The questionnaire was used to know the usage of students learning materials. Students’ science book assessment sheet was used to know the type of vertical representation on science book and determined its impact on HOTS and visual literacy achievement based on evaluation and students’ activities on the book. The result showed that the teaching materials most widely used by student was students’ science book of 2013 curriculum published by Indonesia’ ministry of education and culture in 2018 which in the very high category (96%).  The type of vertical representation that was mostly presented in matter particles topic in the science book was symbolic level which in a very high category (82.22%), while the macro level and sub micro level were in the very low category. The percentage of evaluation and student activities on the science book which accordance with HOTS indicators was in the low category (26.08%), while in accordance with visual literacy indicators was in the very low category (15.21%).
KEYWORDS
Vertical representation, HOTS, visual literacy",,,,1-4,,,TRUE,,,"The 2nd ICOPE 2020, October 17-18, Lampung, Indonesia",conference,Bandar Lampung,October 17-18,paper,,,
