,publication,publisher,divisions,dir,full_text_status,issn,status_changed,rev_number,ispublished,date_type,subjects,abstract,volume,uri,date,creators,type,title,refereed,datestamp,eprintid,eprint_status,metadata_visibility,pagerange,userid,number,official_url,lastmod,documents,contact_email,related_url,corp_creators,contributors,id_number,event_type,event_title,event_location,event_dates,pres_type,referencetext,funders
17,Jurnal Pendidikan Matematika Unila,FKIP Universitas Lampung,['FKIP22'],disk0/00/02/19/60,public,2338-1183,2020-06-05 05:39:15,6,pub,published,['L1'],"This quasi-experimental research aimed to find out the effectiveness of cooperativelearning model think pair sharein terms of Students’ Mathematical conceptualunderstanding ability and self confidence. The population of this research was all students of grade VII of SMPN 10Bandarlampung in academic year of 2017/2018. The sample of this research were students of class VIIF and VIIG, that were chosen by purposive sampling technique. This research used pretest-posttest control group design. The data analysis used t’-test and proportion test. Hypothesis test results showed that gain of students’ mathematical conceptual understanding abilities and self confidence in the think pair sharemodel class was higher than the conventional class. Propotion of students’s score at least 70 in mathematical concept understanding abilities was more than 60% of total students in think pair share model class. Based on the research, it can be concluded that cooperativelearning model think pair sharewas effective interms of students’ mathematical conceptual understanding ability and self confidence.",7,http://repository.lppm.unila.ac.id/id/eprint/21960,2019-10-30 00:00:00.000000000,"[{'name': {'given': 'Rizkana', 'lineage': None, 'family': 'Fitri', 'honourific': None}, 'id': None}, {'name': {'given': 'Sugeng', 'honourific': None, 'lineage': None, 'family': 'Sutiarso'}, 'id': 'sugeng.sutiarso@fkip.unila.ac.id'}, {'name': {'given': 'Widyastuti', 'family': 'Widyastuti', 'lineage': None, 'honourific': None}, 'id': 'widyaa58@gmail.com'}]",article,Efektivitas Model Pembelajaran Kooperatif Tipe Think Pair Share Ditinjau Dari Pemahaman Konsep Matematis Dan Self Confidence Siswa,TRUE,2020-06-05 05:39:15,21960,archive,show,645-656,1140,5,http://jurnal.fkip.unila.ac.id/index.php/MTK,2020-06-05 05:39:15,"[{'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/35374', 'eprintid': 21960, 'placement': 1, 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'format': 'text', 'docid': 35374, 'main': 'JPM Rizkana Widya Februari 2020.pdf', 'files': [{'filename': 'JPM Rizkana Widya Februari 2020.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/202726', 'filesize': 356256, 'objectid': 35374, 'mtime': '2020-06-05 04:20:24', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'hash': 'aed84dc037a5e5740ba4c75048ca30ce', 'datasetid': 'document', 'fileid': 202726}]}]",,,,,,,,,,,,
18,Jurnal Pendidikan Matematika Unila,FKIP Universitas Lampung,['FKIP22'],disk0/00/02/18/96,public,2338-1183,2020-06-04 17:07:45,6,pub,published,['LB1603'],"The Effectiveness of Guided Inquiry Learning Models on students’ mathematical
representation skills. This research aimed to find out the effectiveness of guided inquiry
learning model on students’ mathematical representation skills. The population of this
research were all students of grade 7
th of SMPN 31 Bandarlampung in academic year of
2018/2019 that were distributed into nine classes. The sample of this research were students
of class VII D and VII E that were selected by purposive sampling technique. This research
used posttest only control group design and test technique to collect data. The data was
analyzed using t-test and proportion test with 5% of significance level. The results showed
that students’ mathematical representation skills through guided inquiry learning model was
higher than students’ mathematical representation skills through conventional learning, but
the mathematical representation skills ability of students who followed the guided inquiry
learning model reached less than 60% of the number of students. So that, guided inquiry
learning was non effective on students’ mathematical representation skills.
Keywords: effectiveness, guided inquiry, mathematical representation",7,http://repository.lppm.unila.ac.id/id/eprint/21896,2019-10-30 00:00:00.000000000,"[{'id': 'ameliakesuma.akw@gmail.com', 'name': {'lineage': None, 'family': 'Kesumawati', 'honourific': None, 'given': 'Amelia'}}, {'id': 'rini.asnawati@fkip.unila.ac.id', 'name': {'family': 'Asnawati', 'lineage': None, 'honourific': None, 'given': 'Rini'}}, {'id': 'widyaa58@gmail.com', 'name': {'lineage': None, 'family': 'Widyastuti', 'honourific': None, 'given': 'Widyastuti'}}]",article,"EFEKTIVITAS MODEL PEMBELAJARAN INKUIRI TERBIMBING
DITINJAU DARI KEMAMPUAN REPRESENTASI
MATEMATIS SISWA",TRUE,2020-06-04 17:07:45,21896,archive,show,618-629,806,5,http://jurnal.fkip.unila.ac.id/index.php/MTK/index,2020-06-04 17:07:45,"[{'placement': 1, 'eprintid': 21896, 'uri': 'http://repository.lppm.unila.ac.id/id/document/35315', 'pos': 1, 'security': 'public', 'main': '19474-45981-1-PB AMELIA KESUMAWATI_compressed (1).pdf', 'docid': 35315, 'files': [{'hash_type': 'MD5', 'mtime': '2020-06-04 16:12:15', 'filesize': 121162, 'objectid': 35315, 'filename': '19474-45981-1-PB AMELIA KESUMAWATI_compressed (1).pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/202277', 'datasetid': 'document', 'fileid': 202277, 'hash': '847ec25fa74c2120b4ff0a8b6f45ab51', 'mime_type': 'application/pdf'}], 'format': 'text', 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf'}]",,,,,,,,,,,,
19,Jurnal Pendidikan Matematika Unila,FKIP Universitas Lampung,['FKIP22'],disk0/00/02/19/44,public,2338-1183,2020-06-05 03:30:42,6,pub,published,['L1'],"This research aimed to find out the effectiveness of guided inquiry learning model on students’ mathematical representation skills. The population of this research were all students of grade 7th of SMPN 31 Bandarlampung in academic year of 2018/2019 that were distributed into nine classes. The sample of this research were students of class VII D and VII E that were selected by purposive sampling technique. This research used posttest only control group design and test technique to collect data. The data was analyzed using t-test and proportion test with 5% of significance level. The results showed that students’ mathematical representation skills through guided inquiry learning model was higher than students’ mathematical representation skills through conventional learning, but the mathematical representation skills ability of students who followed the guided inquiry learning model reached less than 60% of the number of students. So that, guided inquiry learning was non effective on students’ mathematical representation skills",7,http://repository.lppm.unila.ac.id/id/eprint/21944,2019-10-30 00:00:00.000000000,"[{'name': {'given': 'Amelia', 'lineage': None, 'family': 'Kesumawati', 'honourific': None}, 'id': 'ameliakesuma.akw@gmail.com'}, {'name': {'given': 'Rini', 'honourific': None, 'family': 'Asnawati', 'lineage': None}, 'id': 'rini.asnawati@fkip.unila.ac.id'}, {'name': {'honourific': None, 'lineage': None, 'family': 'Widyastuti', 'given': 'Widyastuti'}, 'id': 'widyaa58@gmail.com'}]",article,EFEKTIVITAS MODEL PEMBELAJARAN INKUIRI TERBIMBING  DITINJAU DARI KEMAMPUAN REPRESENTASI  MATEMATIS SISWA,TRUE,2020-06-05 03:30:42,21944,archive,show,618-629,1140,5,http://jurnal.fkip.unila.ac.id/index.php/MTK,2020-06-05 03:30:42,"[{'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/35358', 'pos': 1, 'eprintid': 21944, 'placement': 1, 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'format': 'text', 'files': [{'datasetid': 'document', 'fileid': 202599, 'mime_type': 'application/pdf', 'hash': '590d41d24dd73c3271bc2744f3867a77', 'objectid': 35358, 'filesize': 284747, 'filename': 'JPM Amelia Widya Oktober 2019.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/202599', 'hash_type': 'MD5', 'mtime': '2020-06-05 03:13:40'}], 'main': 'JPM Amelia Widya Oktober 2019.pdf', 'docid': 35358}]",,,,,,,,,,,,
20,Limacon: Journal of Mathematics Education,"Mathematics Education, Lampung University",['FKIP22'],disk0/00/02/21/93,public,2686-2549,2020-06-10 07:29:56,7,pub,,['LB1603'],"Penelitian kualitatif ini bertujuan untuk mendeskripsikan self-efficacy berpikir kritis matematis siswa pada pembelajaran Socrates saintifik. Subjek penelitian ini adalah siswa kelas VII-A SMP Negeri 1 Natar tahun pelajaran 2017/2018. Data penelitian ini merupakan data kualitatif tentang self-efficacy berpikir kritis matematis siswa yang diperoleh melalui lembar skala self-efficacy, lembar observasi, wawancara, dan jurnal. Analisis data dilakukan melalui tiga tahapan, yaitu reduksi data, penyajian data, dan penarikan simpulan. Berdasarkan hasil penelitian, diperoleh simpulan bahwa self-efficacy berpikir kritis matematis siswa yang dominan muncul pada saat pembelajaran matematika dengan menggunakan metode Socrates Saintifik adalah merasa berminat, optimis dan yakin dalam dimensi magnitude/level, meningkatkan upaya dalam dimensi strength, dan berpedoman pada pengalaman belajar sebelumnya dalam dimensi generality.",1,http://repository.lppm.unila.ac.id/id/eprint/22193,2019-06-30 00:00:00.000000000,"[{'name': {'family': 'Khotimah', 'lineage': None, 'honourific': None, 'given': 'Khusnul'}, 'id': 'kkhusnulkhm@gmail.com'}, {'id': 'tina_yunarti@yahoo.com', 'name': {'given': 'Tina', 'lineage': None, 'family': 'Yunarti', 'honourific': None}}]",article,Deskripsi Self-Efficacy Berpikir Kritis Matematis Siswa pada Pembelajaran Socrates Saintifik,TRUE,2020-06-10 07:29:56,22193,archive,show,18-27,809,1,http://jurnal.fkip.unila.ac.id/index.php/limacon,2020-06-10 07:29:56,"[{'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'main': 'Khusnul Khotimah.pdf', 'docid': 35609, 'files': [{'mtime': '2020-06-10 07:11:36', 'hash_type': 'MD5', 'filename': 'Khusnul Khotimah.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/204314', 'filesize': 242174, 'objectid': 35609, 'mime_type': 'application/pdf', 'hash': 'e3a70806ae7be989b177f924ba2af92a', 'fileid': 204314, 'datasetid': 'document'}], 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/35609', 'security': 'public', 'placement': 1, 'eprintid': 22193}]",,[{'url': 'http://jurnal.fkip.unila.ac.id/index.php/limacon'}],,,Journal of Mathematics Education,,,,,,,
21,Jurnal Pendidikan Matematika Unila,FKIP Universitas Lampung,['FKIP22'],disk0/00/02/04/68,public,2338-1183,2020-05-26 01:52:43,6,pub,published,['L1'],"This research aimed to find out the influence of discovery learning models on student's mathematical representation ability. The population of this research was all of the 7th-grade students of junior high school of 23 Bandar Lampung in academic years of 2018/2019 that distributed in eight classes. Sampling was carried out by using purposive sampling techniques so that selected as class 7C and 7D as a research sample. The design was used was the pretest and posttest control group design. The research data was obtained through mathematical representation ability test in the form of a essay on rectangular and triangular material. The analysis of the data of this study used the t-test. Based on the results of this research analysis, the discovery learning model influences the student's mathematical representation ability. 

Keywords: influence, mathematical representation ability, discovery learning.",7,http://repository.lppm.unila.ac.id/id/eprint/20468,2019-12-30 00:00:00.000000000,"[{'id': 'ranidewi148@gmail.com', 'name': {'honourific': None, 'lineage': None, 'family': 'Maharani', 'given': 'Dewi'}}, {'name': {'family': 'Gunowibowo', 'lineage': None, 'honourific': None, 'given': 'Pentatito'}, 'id': 'pentatito.gunowibowo@fkip.unila.ac.id'}, {'id': 'agung.wijaya@fkip.unila.ac.id', 'name': {'given': 'Agung Putra', 'honourific': None, 'lineage': None, 'family': 'Wijaya'}}]",article,PENGARUH MODEL DISCOVERY LEARNING TERHADAP KEMAMPUAN REPRESENTASI MATEMATIS SISWA,TRUE,2020-05-26 01:52:43,20468,archive,show,717-727,1116,6,http://jurnal.fkip.unila.ac.id/index.php/MTK/article/view/19926,2020-05-26 01:52:43,"[{'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/33808', 'pos': 1, 'eprintid': 20468, 'placement': 1, 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'format': 'text', 'main': '19926-46738-1-PB_Dewi Maharani.pdf', 'docid': 33808, 'files': [{'hash_type': 'MD5', 'mtime': '2020-05-25 13:29:07', 'objectid': 33808, 'filesize': 359729, 'uri': 'http://repository.lppm.unila.ac.id/id/file/192299', 'filename': '19926-46738-1-PB_Dewi Maharani.pdf', 'fileid': 192299, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': '1b72ae3cea2207e39fa3e7fbd8893eee'}]}]",,,,,,,,,,,,
22,Limacon: Journal of Mathematics Education,"Mathematics Education, Lampung University",['FKIP22'],disk0/00/02/21/91,public,2686-2549,2020-06-10 07:13:00,7,pub,published,['LB1603'],"Penelitian kualitatif ini bertujuan untuk mendeskripsikan percakapan kritis matematis siswa dalam pembelajaran Socrates saintifik. Subjek penelitian ini sebanyak 9 siswa kelas VII-2 SMP Global Madani Bandar Lampung tahun pelajaran 2018/2019 yang dipilih secara purposif. Kemudian, dipilih 9 siswa sebagai subjek penelitian yang terdiri dari tiga siswa berkemampuan matematis tinggi, sedang, dan rendah. Data penelitian ini merupakan data kualitatif tentang percakapan kritis matematis siswa yang diperoleh melalui observasi, wawancara dan dokumentasi. Selanjutnya, dilakukan analisis data melalui tiga tahapan, yaitu reduksi data, penyajian data, dan penarikan kesimpulan. Berdasarkan hasil penelitian, diperoleh simpulan bahwa (1) Percakapan kritis matematis siswa yang terjadi dalam pembelajaran Socrates saintifik lebih dominan memunculkan indikator kemampuan berpikir kritis siswa yaitu interpretasi dan analisis, (2) Percakapan kritis matematis siswa lebih sering muncul saat guru mengajukan pertanyaan Socrates tipe klarifikasi dan alasan-alasan dan bukti penyelidikan, (3) Percakapan kritis matematis siswa lebih dominan muncul saat siswa melakukan tahapan saintifik yaitu menalar dan mengomunikasikan.",1,http://repository.lppm.unila.ac.id/id/eprint/22191,2019-12-30 00:00:00.000000000,"[{'id': 'detamarlitadeta@gmail.com', 'name': {'given': 'Deta', 'honourific': None, 'lineage': None, 'family': 'Marlita'}}, {'name': {'given': 'Tina', 'lineage': None, 'family': 'Yunarti', 'honourific': None}, 'id': 'tina_yunarti@yahoo.com'}, {'id': 'widyaa58@gmail.com', 'name': {'given': 'Widyastuti', 'family': 'Widyastuti', 'lineage': None, 'honourific': None}}]",article,Deskripsi Percakapan Kritis Matematis Siswa dalam Pembelajaran Socrates Saintifik,TRUE,2020-06-10 07:13:00,22191,archive,show,70-80,809,2,http://jurnal.fkip.unila.ac.id/index.php/MTK/articel,2020-06-10 07:13:00,"[{'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'files': [{'mime_type': 'application/pdf', 'hash': '0c02545a99d4387452f60f8e7fabd5fb', 'datasetid': 'document', 'fileid': 204298, 'mtime': '2020-06-10 06:43:46', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/204298', 'filename': 'Deta Marlita.pdf', 'objectid': 35606, 'filesize': 298367}], 'main': 'Deta Marlita.pdf', 'docid': 35606, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/35606', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 22191}]",,,,,,,,,,,,
23,AKSIOMA: Jurnal Program Studi Pendidikan Matematika,"Mathematics Education, University of Muhammadiyah Metro",['FKIP22'],disk0/00/01/54/12,public,2442-5419,2019-11-15 02:35:12,10,pub,published,['L1'],"The quality of a student can be demonstrated from academic success as reflected in the cumulative achievement index (GPA) achieved. This study aims to analyze the factors that influence the academic success of students of the Mathematics Education Study Program at Muhammadiyah Metro University, examine the significance of the overall and individual model parameters, and form a binary logistic model of student success. The subjects of this study were students in Mathematics Education at Muhammadiyah University of Metro. While the sample used is students of the 2-6 semester Mathematics Education of Muhammadiyah Metro University 2017/2018 Academic Year as many as 108 students. Based on the results of the study and discussion, the conclusions are: 1) Based on the variables that have been included in this study, the factors that most influence the academic success of students as indicated by GPA acquisition with the ""With Praise"" category are the major factors taken students while studying in high school (SMA) / equivalent; 2) The overall model parameters have a significant influence on the academic success of students and individually / partially the most significant influence is the departmental factor; 3) The regression model that is formed isg(x) = -0,924-2,575(Jurusan_1)",8,http://repository.lppm.unila.ac.id/id/eprint/15412,2019-06-30 00:00:00.000000000,"[{'id': 'nego_mtk@yahoo.co.id', 'name': {'family': 'Nego Linuhung', 'lineage': None, 'honourific': None, 'given': 'Nego'}}, {'id': 'nurain.suryadinata@fkip.unila.ac.id', 'name': {'given': 'Nata', 'lineage': None, 'family': 'Nurain Suryadinata', 'honourific': None}}]",article,ANALISIS KEBERHASILAN AKADEMIK MAHASISWA PROGRAM STUDI PENDIDIKAN MATEMATIKA UNIVERSITAS MUHAMMADIYAH METRO,TRUE,2019-11-15 02:35:12,15412,archive,show,73-82,2754,1,http://ojs.fkip.ummetro.ac.id/index.php/matematika/index,2019-11-15 02:35:12,"[{'format': 'text', 'main': '1469-5799-1-PB.pdf', 'docid': 28535, 'files': [{'mime_type': 'application/pdf', 'hash': '64302ff00177a8c37014a807ee6c4723', 'fileid': 132924, 'datasetid': 'document', 'mtime': '2019-11-04 12:48:33', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/132924', 'filename': '1469-5799-1-PB.pdf', 'objectid': 28535, 'filesize': 314448}], 'content': 'published', 'rev_number': 3, 'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 15412, 'license': 'cc_by_4', 'placement': 1, 'security': 'public', 'formatdesc': 'ANALISIS KEBERHASILAN AKADEMIK MAHASISWA PROGRAM STUDI PENDIDIKAN MATEMATIKA UNIVERSITAS MUHAMMADIYAH METRO', 'uri': 'http://repository.lppm.unila.ac.id/id/document/28535', 'pos': 1}]",,"[{'url': 'http://ojs.fkip.ummetro.ac.id/index.php/matematika/article/view/1469/pdf', 'type': 'pub'}]",,"[{'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'type': 'http://www.loc.gov/loc.terms/relators/AUT'}]",http://dx.doi.org/10.24127/ajpm.v8i1.1469,,,,,,,
24,Jurnal Pendidikan Matematika Unila,FKIP Universitas Lampung,['FKIP22'],disk0/00/02/19/62,public,2338-1183,2020-06-05 05:39:24,6,pub,published,['L1'],"This research aimed to find out the effect of problem based learning models that utilizing edutainment on students’ mathematical communication skills. The population of this research was all students of grades X IPA of SMA Negeri 3 Bandar Lampung in academic year 2018/2019. The sample of this research were students of class X IPA 1 as many as 31 students and X IPA 2 as many as 32 students, that were choosen by cluster random sampling technique. This reseach used pretest-posttest control group design. Data analized using Mann-Whitney U test with",7,http://repository.lppm.unila.ac.id/id/eprint/21962,2019-12-30 00:00:00.000000000,"[{'name': {'given': 'Santi Mulya', 'lineage': None, 'family': 'Ningsih', 'honourific': None}, 'id': None}, {'id': 'sugeng.sutiarso@fkip.unila.ac.id', 'name': {'given': 'Sugeng', 'honourific': None, 'lineage': None, 'family': 'Sutiarso'}}, {'id': 'widyaa58@gmail.com', 'name': {'given': 'Widyastuti', 'honourific': None, 'family': 'Widyastuti', 'lineage': None}}]",article,PENGARUH MODEL PROBLEM BASED LEARNING YANG MEMANFAATKAN EDUTAINMENT TERHADAP KEMAMPUAN  KOMUNIKASI MATEMATIS SISWA,TRUE,2020-06-05 05:39:24,21962,archive,show,669-680,1140,6,http://jurnal.fkip.unila.ac.id/index.php/MTK,2020-06-05 05:39:24,"[{'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'files': [{'fileid': 202740, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': 'eabb71c02e8bacfb0cbaef188c3df364', 'objectid': 35376, 'filesize': 380858, 'filename': 'JPM Santi Widya Desember 2019.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/202740', 'hash_type': 'MD5', 'mtime': '2020-06-05 04:24:49'}], 'main': 'JPM Santi Widya Desember 2019.pdf', 'docid': 35376, 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/35376', 'security': 'public', 'placement': 1, 'eprintid': 21962}]",,,,,,,,,,,,
25,"Advances in Social Science, Education and Humanities Research (ASSEHR)",Atlantis Press,['FKIP22'],disk0/00/01/19/19,public,2352-5398,2019-05-08 07:33:22,7,pub,,['L1'],"The development of critical thinking ability needs
attention in learning. To achieve this goal, collaborative activities
must create in learning. The teacher can giving students a
jumping task as a stimulated to collaborative activities. This
study aims to examine in depth the results of learning
observations for subjects in Social Sciences, Natural Sciences,
and English in two partner schools of the Teacher Training and
Education Faculty - University of Lampung, Indonesia. The
study was conduct on 33 Senior high school students and 62
junior high school students from 2 partner schools. The focus of
the research is observing collaborative activities, and improving
students' critical thinking ability. Data analysis was carried out
descriptively to an overview of the jumping tasks provided by
educators, collaborative activities that occur to be able to create a
learning community, and increase of students' critical thinking
skills. The results of the study show that giving jumping tasks in
learning activities (Social Sciences, Natural Sciences, and
English) enables collaborative activities in the learning
community to trigger students' critical thinking ability in solving
problem.
Keywords—jumping task; collaborative activity; critical
thinking abillity",295,http://repository.lppm.unila.ac.id/id/eprint/11919,2019-04-01 00:00:00.000000000,"[{'name': {'given': 'Sri Hastuti', 'family': 'Noer', 'lineage': None, 'honourific': None}, 'id': 'hastuti_noer@yahoo.com'}, {'name': {'given': 'Abdurrahman', 'honourific': None, 'lineage': None, 'family': 'Abdurrahman'}, 'id': 'abdurrahman.1968@fkip.unila.ac.id'}, {'id': 'nenihasnunidah@gmail.com', 'name': {'honourific': None, 'family': 'Hasnunidah', 'lineage': None, 'given': 'Neni'}}]",article,"The Effect of Jumping Task and Collaborative
Activity on Enhancement of Student Critical
Thinking Ability",TRUE,2019-05-08 07:33:22,11919,archive,show,,548,,https://dx.doi.org/10.2991/icetep-18.2019.71,2019-05-08 07:33:22,"[{'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'format': 'text', 'files': [{'hash_type': 'MD5', 'mtime': '2019-05-07 05:35:40', 'objectid': 24905, 'filesize': 2731636, 'uri': 'http://repository.lppm.unila.ac.id/id/file/106987', 'filename': 'ICETEP071.pdf', 'datasetid': 'document', 'fileid': 106987, 'hash': '32c8b980598425e184e7a70a739874f6', 'mime_type': 'application/pdf'}], 'main': 'ICETEP071.pdf', 'docid': 24905, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/24905', 'pos': 1, 'eprintid': 11919, 'placement': 1}]",,,,,978-94-6252-695-2,,,,,,,
26,IOP Conf. Series: Journal of Physics: Conf. Series 1320 (2019) 012007 doi:10.1088/1742-6596/1320/1/012007,,['FKIP22'],disk0/00/02/14/87,public,,2020-06-02 13:53:21,7,pub,published,['L1'],"This study aims to determine the contribution of scientific learning in terms of Problem Based Learning (PBL), Contextual Teaching and Learning (CTL), and Guide Discovery Learning (GDL) to student’s self-confidence and learning outcomes (critical thinking ability and mathematical representation). The population in this research is students of eight-class from State Junior High School in Bandar Lampung City which is distributed in 31 schools. The samples of the study were students from three selected schools representing high-rank schools, middle-rank schools and low-rank schools. The sample was chosen by purposive random sampling technique. The research design is Pre-test Post-test Control Group Design. The results showed that (1) student’s self-confidence in CTL and student’s self-confidence in PBL were higher than student's self-confidence in conventional learning, (2) student’s self-confidence in
GDL did not differ from student’s self-confidence in conventional learning; (3) student’s mathematical critical thinking skills in CTL and student’s mathematical critical thinking skills in PBL are higher than student’s mathematical critical thinking skills in conventional learning; (4) student’s mathematical representation in GDL is higher than student’s mathematical representation in conventional learning. Related to the completeness of the student’s learning
outcomes, it is known that: (1) the percentage of students who have critical thinking skills are
good- categorized in the CTL class and in the PBL class is more than 60% of the total number of students; (2) the percentage of students who have mathematical representation are goodcategorized in the GDL class is not more than 60% of the total number of students. Thus it can be concluded that in general, scientific learning contributes to the development of selfconfidence
and student’s learning outcomes.",1320,http://repository.lppm.unila.ac.id/id/eprint/21487,2019-11-29 00:00:00.000000000,"[{'id': 'hastuti_noer@yahoo.com', 'name': {'given': 'Sri Hastuti', 'family': 'Noer', 'lineage': None, 'honourific': None}}, {'id': 'pentatito.gunowibowo@fkip.unila.ac.id', 'name': {'honourific': None, 'lineage': None, 'family': 'Gunowibowo', 'given': 'Pentatito'}}]",article,"Scientific Learning and Its Contributions to Increase the
Student’s Self Confidence and Learning Outcomes",TRUE,2020-06-02 13:53:21,21487,archive,show,,403,,,2020-06-02 13:53:21,"[{'main': 'Noer_2019_J._Phys.__Conf._Ser._1320_012007.pdf', 'files': [{'hash_type': 'MD5', 'mtime': '2020-06-02 07:51:07', 'filesize': 689617, 'objectid': 34890, 'uri': 'http://repository.lppm.unila.ac.id/id/file/199438', 'filename': 'Noer_2019_J._Phys.__Conf._Ser._1320_012007.pdf', 'fileid': 199438, 'datasetid': 'document', 'hash': '1df96a5989fabac2adc15928d9ed9698', 'mime_type': 'application/pdf'}], 'docid': 34890, 'format': 'text', 'language': 'en', 'rev_number': 2, 'mime_type': 'application/pdf', 'content': 'published', 'placement': 1, 'eprintid': 21487, 'uri': 'http://repository.lppm.unila.ac.id/id/document/34890', 'pos': 1, 'security': 'public'}]",,[{'url': 'doi:10.1088/1742-6596/1320/1/012007'}],,,,,,,,,,
27,Journal of Physics: Conference Series,IOP Publishing,['FKIP22'],disk0/00/02/18/58,public,,2020-06-04 14:12:39,8,pub,published,['LB1603'],"This study aims to determine the contribution of scientific learning in terms of Problem Based Learning (PBL), Contextual Teaching and Learning (CTL), and Guide Discovery Learning (GDL) to student’s self-confidence and learning outcomes (critical thinking ability and
mathematical representation). The population in this research is students of eight-class from
State Junior High School in Bandar Lampung City which is distributed in 31 schools. The samples of the study were students from three selected schools representing high-rank schools, middle-rank schools and low-rank schools. The sample was chosen by purposive random sampling technique. The research design is Pre-test Post-test Control Group Design. The results showed that (1) student’s self-confidence in CTL and student’s self-confidence in PBL were higher than student's self-confidence in conventional learning, (2) student’s self-confidence in GDL did not differ from student’s self-confidence in conventional learning; (3) student’s
mathematical critical thinking skills in CTL and student’s mathematical critical thinking skills in PBL are higher than student’s mathematical critical thinking skills in conventional learning; (4) student’s mathematical representation in GDL is higher than student’s mathematical representation in conventional learning. Related to the completeness of the student’s learning outcomes, it is known that: (1) the percentage of students who have critical thinking skills are
good- categorized in the CTL class and in the PBL class is more than 60% of the total number of students; (2) the percentage of students who have mathematical representation are goodcategorized in the GDL class is not more than 60% of the total number of students. Thus it can be concluded that in general, scientific learning contributes to the development of selfconfidence and student’s learning outcomes",1320,http://repository.lppm.unila.ac.id/id/eprint/21858,2019-11-29 00:00:00.000000000,"[{'name': {'given': 'Sri Hastuti', 'honourific': None, 'lineage': None, 'family': 'Noer'}, 'id': 'hastuti_noer@yahoo.com'}, {'id': 'pentatito.gunowibowo@fkip.unila.ac.id', 'name': {'lineage': None, 'family': 'Gunowibowo', 'honourific': None, 'given': 'Pentatito'}}]",article,"Scientific Learning and Its Contributions to Increase the
Student’s Self Confidence and Learning Outcomes",TRUE,2020-06-04 14:12:39,21858,archive,show,,548,,https://iopscience.iop.org/issue/1742-6596/1320/1,2020-06-04 14:12:39,"[{'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'main': 'Noer_2019_J._Phys.__Conf._Ser._1320_012007 (2).pdf', 'files': [{'mime_type': 'application/pdf', 'hash': '1df96a5989fabac2adc15928d9ed9698', 'fileid': 202064, 'datasetid': 'document', 'mtime': '2020-06-04 13:51:21', 'hash_type': 'MD5', 'filename': 'Noer_2019_J._Phys.__Conf._Ser._1320_012007 (2).pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/202064', 'filesize': 689617, 'objectid': 35272}], 'docid': 35272, 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/35272', 'security': 'public', 'placement': 1, 'eprintid': 21858}]",,[{'url': 'https://doi.org/10.1088/1742-6596/1320/1/012007'}],,,,,,,,,,
