,creators,type,title,place_of_pub,datestamp,eprintid,eprint_status,metadata_visibility,userid,official_url,lastmod,documents,related_url,divisions,publisher,dir,full_text_status,status_changed,ispublished,rev_number,date_type,subjects,abstract,date,uri,issn,publication,volume,refereed,number,pagerange,id_number,event_location,pres_type,event_dates,corp_creators,event_title,event_type,contributors,contact_email
10,"[{'name': {'given': 'Marselina', 'lineage': None, 'family': 'Marselina', 'honourific': None}, 'id': 'ikbal_tawakal@yahoo.com'}, {'name': {'given': 'Joko', 'lineage': None, 'family': 'Prasetyo', 'honourific': None}, 'id': 'joko.prasetyo@fp.unila.ac.id'}]",other,"The Effect of Natural Resources Rent
And Institutional Factors on Investment
Inflow",QUALITY Access to Success,2023-01-09 01:31:51,47629,archive,show,810,https://admin.calitatea.ro/assets/Documents/Archive/PDF/20221211_1ef84007-970b-44e0-9cab-0ddb423bdc43.pdf,2023-01-09 01:31:51,"[{'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/186695', 'security': 'public', 'placement': 1, 'eprintid': 47629, 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'main': 'SIMILIRITY ARTIKEL NATURAL RENT.pdf', 'docid': 186695, 'files': [{'mtime': '2023-01-06 10:31:48', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/521864', 'filename': 'SIMILIRITY ARTIKEL NATURAL RENT.pdf', 'objectid': 186695, 'filesize': 322093, 'mime_type': 'application/pdf', 'hash': '4d644624039a688b395c67da6297101c', 'datasetid': 'document', 'fileid': 521864}], 'format': 'text'}]",,['FEB5'],Fakultas Ekonomi dan Bisnis Universitas Lampung,disk0_bak/00/04/76/29,public,2023-01-09 01:31:51,pub,7,published,['H1'],"In addition to the rental price of natural resources and economic growth, institutional factors are one of the important
factors influencing the interest of foreign investors in investing their capital in a country. According to the Heritage
Organization, the important institutional factors are economic freedom and political stability. This study investigates
the effect of economic freedom, political stability, natural resource rental rates and economic growth on the interest
of investors to invest in a country. This study was conducted in 10 ASEAN countries during the period 2005-2019.
The method used in this research is panel data regression. The results showed that through the Chow and Hausman tests, it was found that the Random Effect Model (REM) is the best choice of model to predict this investment
inflow phenomenon. Furthermore, the variables of economic freedom and political stability as institutional factors, as
well as economic growth in 9 ASEAN countries are able to attract foreign investors, and conversely, the relatively
more expensive rental price for natural resources reduces the interest of foreign investors to invest their capital. For
this reason, ASEAN member countries need to improve the structure of rental prices and the quality of natural resources as well as improve the quality of institutions, especially local institutions by reforming regulations to facilitate free and safe business operations and maintain political stability in their countries, through the implementation of consistent policies. which gives a sense of security to investing. Bureaucratic reform through simplification of regulations must be carried out so that business infrastructure is created efficiently.",2022-12-10 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/47629,,,,,,,,,,,,,,,
11,"[{'id': 'ikbal_tawakal@yahoo.com', 'name': {'honourific': None, 'lineage': None, 'family': 'Marselina', 'given': 'Marselina'}}, {'id': 'joko.prasetyo@fp.unila.ac.id', 'name': {'honourific': None, 'family': 'Prasetyo', 'lineage': None, 'given': 'Joko'}}]",other,"The Effect of Natural Resources Rent
And Institutional Factors on Investment
Inflow",QUALITY Access to Success,2023-01-09 01:32:07,47631,archive,show,810,https://admin.calitatea.ro/assets/Documents/Archive/PDF/20221211_1ef84007-970b-44e0-9cab-0ddb423bdc43.pdf,2023-01-09 01:32:07,"[{'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/186697', 'pos': 1, 'eprintid': 47631, 'placement': 1, 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'format': 'text', 'main': 'KORESPONDENSI MARSELINA.pdf', 'docid': 186697, 'files': [{'mtime': '2023-01-06 10:47:47', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/521879', 'filename': 'KORESPONDENSI MARSELINA.pdf', 'objectid': 186697, 'filesize': 535786, 'hash': 'e8fa7f87cfb8a9b15bbf6a94034f5e42', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 521879}]}]",,['FEB5'],Fakultas Ekonomi dan Bisnis Universitas Lampung,disk0_bak/00/04/76/31,public,2023-01-09 01:32:07,pub,7,published,['H1'],"In addition to the rental price of natural resources and economic growth, institutional factors are one of the important
factors influencing the interest of foreign investors in investing their capital in a country. According to the Heritage
Organization, the important institutional factors are economic freedom and political stability. This study investigates
the effect of economic freedom, political stability, natural resource rental rates and economic growth on the interest
of investors to invest in a country. This study was conducted in 10 ASEAN countries during the period 2005-2019.
The method used in this research is panel data regression. The results showed that through the Chow and Hausman tests, it was found that the Random Effect Model (REM) is the best choice of model to predict this investment
inflow phenomenon. Furthermore, the variables of economic freedom and political stability as institutional factors, as
well as economic growth in 9 ASEAN countries are able to attract foreign investors, and conversely, the relatively
more expensive rental price for natural resources reduces the interest of foreign investors to invest their capital. For
this reason, ASEAN member countries need to improve the structure of rental prices and the quality of natural resources as well as improve the quality of institutions, especially local institutions by reforming regulations to facilitate
free and safe business operations and maintain political stability in their countries, through the implementation of
consistent policies. which gives a sense of security to investing. Bureaucratic reform through simplification of regulations must be carried out so that business infrastructure is created efficiently.",2022-12-10 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/47631,,,,,,,,,,,,,,,
12,"[{'name': {'given': 'Nairobi', 'honourific': None, 'family': 'Nairobi', 'lineage': None}, 'id': 'nairobi@feb.unila.ac.id'}, {'name': {'given': 'Arif', 'honourific': None, 'lineage': None, 'family': 'Darmawan'}, 'id': 'arif.darmawan@feb.unila.ac.id'}]",article,"Determinants of Public Debt Ratio in Middle-Income
Countries",,2022-10-06 05:22:59,45554,archive,show,2788,http://journal2.uad.ac.id/index.php/optimum/article/view/6352,2022-10-06 05:22:59,"[{'main': 'Optimum Jurnal.pdf', 'docid': 184333, 'files': [{'hash_type': 'MD5', 'mtime': '2022-10-06 05:00:37', 'objectid': 184333, 'filesize': 847019, 'uri': 'http://repository.lppm.unila.ac.id/id/file/505749', 'filename': 'Optimum Jurnal.pdf', 'datasetid': 'document', 'fileid': 505749, 'hash': '7eef3266d93f39519b2374b2c71155e9', 'mime_type': 'application/pdf'}], 'format': 'text', 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'placement': 1, 'eprintid': 45554, 'uri': 'http://repository.lppm.unila.ac.id/id/document/184333', 'pos': 1, 'security': 'public'}]",,['FEB5'],Universitas Ahmad Dahlan,disk0/00/04/55/54,public,2022-10-06 05:22:59,pub,7,completed,"['HB', 'HC']","The existence of the Covid-19 pandemic, which hampers mobility and productivity, creates a slowdown in the movement of the wheels of the economy, thus indirectly requiring several countries to increase their sources of revenue through public debt to meet the needs of the people
and maintain economic stability in each country. the problems faced by middle-income countries are related to the participation of government and other public institutions both in the formulation of public policies, the management of public resources, to the realization of human rights
that should be free from abuse of the position of relevant policymakers.
As a result, not a few countries experience an uncertainty about the actual situation from public accounts, which has encouraged the creation of doubts and conflicts among the public about the role of governments in dealing with the global economic crisis, which among others, is illustrated through several economic problems that occur in middle-income countries. The purpose of this study is to answer the question of whether, in middle-income countries, the factors of the previous year's debt-to-GDP ratio, fiscal transparency, and corruption, simultaneously and partially influence the debt-to-GDP balance in 74 middle-income countries in 2021. The method used is OLS regression analysis of crosssection data. This study found that the previous year's debt accumulation and corruption significantly affected the debt ratio to GDP. Meanwhile, fiscal transparency hurt the insignificant debt-to-GDP ratio.",1970-01-01 00:00:00.000002022,http://repository.lppm.unila.ac.id/id/eprint/45554,,Optimum: Jurnal Ekonomi dan Pembangunan,12.0,TRUE,2.0,168-182,https://dx.doi.org/10.12928/optimum.v12i2.6352,,,,['Ghania Atiqasani'],,,,
13,"[{'name': {'honourific': None, 'family': 'Purniawati', 'lineage': None, 'given': 'Iis'}, 'id': 'iispurniawati@gmail.com,'}, {'name': {'given': 'NELI', 'honourific': None, 'family': 'AIDA', 'lineage': None}, 'id': 'neli.aida@feb.unila.ac.id'}, {'id': 'arivina.ratih@feb.unila.ac.id', 'name': {'lineage': None, 'family': 'Ratih', 'honourific': None, 'given': 'Arivina'}}, {'id': 'asih.murwiati@feb.unila.ac.id', 'name': {'lineage': None, 'family': 'Murwiati', 'honourific': None, 'given': 'Asih'}}]",article,"Strategi Pengembangan Wisata Religi
Pura Giri Sutra Mandala",,2023-03-31 07:43:43,49480,archive,show,515,https://journal.mediapublikasi.id/index.php/bullet/article/view/745,2023-03-31 07:43:43,"[{'format': 'text', 'main': '31.+Iis+Purniawati.pdf', 'docid': 189105, 'files': [{'fileid': 536892, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': '680384d8e97efde84fc7509e400f3764', 'hash_type': 'MD5', 'mtime': '2023-03-31 04:07:53', 'objectid': 189105, 'filesize': 434765, 'uri': 'http://repository.lppm.unila.ac.id/id/file/536892', 'filename': '31.+Iis+Purniawati.pdf'}], 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'eprintid': 49480, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/189105'}]",[{'url': 'https://journal.mediapublikasi.id/index.php/bullet/article/view/745'}],['FEB5'],BULLET : Jurnal Multidisiplin Ilmu,disk0_bak/00/04/94/80,public,2023-03-31 07:43:43,pub,6,published,['H1'],"Pura Giri Sutra Mandala merupakan objek wisata religi yang berpotensi untuk dikembangkan. 
Pengembangan pariwisata Pura Giri Sutra Mandala diharapkan dapat meningkatkan perekonomian masyarakat 
lokal dan penerimaan daerah Kabupaten Pringsewu. Penelitian ini bertujuan untuk mengetahui strategi yang 
tepat dalam pengembangan pariwisata Pura Giri Sutra Mandala dengan menggunakan analisis SWOT. Peneliti 
akan melakukan identifikasi faktor internal dan faktor eksternal yang dimiliki Pura Giri Sutra Mandala dengan 
cara observasi dan wawancara kepada narasumber. Kemudian di input kedalam bentuk kuesioner yang akan 
digunakan untuk menganalisis bobot dan rating pada Matriks IFAS dan Matriks. Selanjutnya yaitu membuat 
Matriks SWOT, Matriks SWOT digunakan unutk memformulasikan strategi dengan mengkombinasikan faktor 
kekuatan, kelemahan, ancaman, dan peluang yang ada. Langkah terakhir yaitu pengambilan keputusan dengan 
menggunakan Kuadran SWOT Hasil penelitian ini menunjukkan bahwa strategi pengembangan wisata Pura 
Giri Sutra Mandala yaitu Memaksimalkan potensi Pura seperti pengoptimalan bangunan Pura serta keasrian 
alam di sekitar Pura, Meningkatkan berbagai kegiatan keagamaan, Mengoptimalkan fasilitas dan aksesibilitas, 
dan Penambahan anggota pecalang serta BHABINKAMTIBMAS.",2022-07-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/49480,ISSN 2829-2049,Strategi Pengembangan Wisata Religi Pura Giri Sutra Mandala,1.0,TRUE,3.0,381-390,,,,,,,,,
14,"[{'id': 'anugrah.raja@gmail.com', 'name': {'given': 'Anugrah Martua', 'honourific': None, 'family': 'Raja', 'lineage': None}}, {'name': {'given': 'Marselina', 'lineage': None, 'family': 'Djayasinga', 'honourific': None}, 'id': 'ikbal_tawakal@yahoo.com'}, {'name': {'honourific': None, 'family': 'AIDA', 'lineage': None, 'given': 'NELI'}, 'id': 'neli.aida@feb.unila.ac.id'}]",article,"Logistics Performance Dimensions of Customs Clearance 
Efficiency and Export in ASEAN Economy",,2023-03-31 07:43:41,49477,archive,show,515,https://www.bircu-journal.com/index.php/birci/article/view/3591/pdf,2023-03-31 07:43:41,"[{'main': '3591-10597-1-PB.pdf', 'files': [{'hash': '0a72f110e7f3ccc1a3829d2208cff8a2', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 536871, 'uri': 'http://repository.lppm.unila.ac.id/id/file/536871', 'filename': '3591-10597-1-PB.pdf', 'objectid': 189101, 'filesize': 968295, 'mtime': '2023-03-31 03:40:06', 'hash_type': 'MD5'}], 'docid': 189101, 'format': 'text', 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'placement': 1, 'eprintid': 49477, 'uri': 'http://repository.lppm.unila.ac.id/id/document/189101', 'pos': 1, 'security': 'public'}]","[{'type': 'pub', 'url': 'https://www.bircu-journal.com/index.php/birci/article/view/3591'}]",['FEB5'],Budapest International Research and Critics Institute-Journal (BIRCI-Journal),disk0_bak/00/04/94/77,public,2023-03-31 07:43:41,pub,8,published,['H1'],"One of the dimensions of logistics performance is the efficiency of 
customs that evaluate the speed and ease of resolving customs 
affairs. It can be measured from service time and determined by 
human resources supported by internet utilization. This study 
analyzed the role of the efficiency of customs and export activities 
in supporting the economies of the Association of South East 
Asian Nations (ASEAN) by analyzing relevant variables such as 
export time, number of customs staff, internet users and export 
value. The research data used is secondary data from various 
sources starting from 2014 to 2019 which was analyzed with the 
Fixed Effect Model approach panel data regression method using 
E-Views 10. The results showed simultaneously export time, 
number of customs staff, internet users and export values had a 
significant effect on the ASEAN economy. Partially, the internet 
users and export values have a positive and significant effect 
while export time and the number of customs staff have a negative 
and significant effect. ASEAN governments should focus on 
accelerating the customs clearance process towards digitalization 
through application development by utilizing the internet rather 
than increasing the number of human resources to support exports 
and improve the ASEAN economy.",2022-02-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/49477,"e-ISSN: 2615-3076(Online), p-ISSN: 2615-1715(Print)",Logistics Performance Dimensions of Customs Clearance  Efficiency and Export in ASEAN Economy,5.0,TRUE,1.0,180-192,DOI: https://doi.org/10.33258/birci.v5i1.3591,,,,,,,,
15,"[{'id': 'muhiddinsirat@yahoo.com', 'name': {'given': 'Muhiddin', 'honourific': None, 'family': 'Sirat', 'lineage': None}}, {'name': {'given': 'Darma', 'lineage': None, 'family': 'Yuliana', 'honourific': None}, 'id': 'darma.yuliana@fp.unila.ac.id'}, {'id': 'deny.utomo@fp.unila.ac.id', 'name': {'given': 'Deny Sapto Chondro', 'honourific': None, 'family': 'Utomo', 'lineage': None}}, {'name': {'given': 'Muhammad Mirandy Pratama', 'lineage': None, 'family': 'Sirat', 'honourific': None}, 'id': 'm.mirandy@fp.unila.ac.id'}, {'name': {'honourific': None, 'family': 'Ermawati', 'lineage': None, 'given': 'Ratna'}, 'id': 'ratna.ermawati@fp.unila.ac.id'}]",article,Business Integration Analysis of Aquaponic Technology on Catfish (Clarias sp.) Cultivation in The Strengthening of The Business MSME Scale in Pandemic Covid-19,,2022-04-11 01:03:46,41181,archive,show,1193,http://jurnal.feb.unila.ac.id/index.php/jep/index,2022-04-11 01:03:46,"[{'language': 'en', 'rev_number': 4, 'mime_type': 'application/pdf', 'content': 'published', 'files': [{'filename': '443-Article Text-1597-1-10-20220403.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/457017', 'filesize': 414768, 'objectid': 162650, 'mtime': '2022-04-08 07:35:26', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'hash': 'b8efe810cf1db771ad7c5bd307dd81d4', 'fileid': 457017, 'datasetid': 'document'}], 'main': '443-Article Text-1597-1-10-20220403.pdf', 'docid': 162650, 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/162650', 'security': 'public', 'placement': 1, 'eprintid': 41181}]",,['FEB5'],"Fakultas Ekonomi dan Bisnis, Universitas Lampung",disk0/00/04/11/81,public,2022-04-11 01:03:46,pub,8,published,['HB'],"The aim of this study was analyzed the effort to implement the integration of aquaponic technology in conventional fish cultivation. The study was conducted for 6 months (May - October 2021) in the Mandiri Sentosa fish farming unit in Marga Agung Village, Jati Agung District, South Lampung Regency. Experimental research with quantitative methods with descriptive analysis of two treatments is the analysis of the feasibility of catfish cultivation business that has not been integrated with Aquaponik technology (P0) and which has been integrated with Aquaponic technology (P1). Each treatment pool with a 2,000 catfish density with 5-7 cm/fish marked size was maintained for 3 months for harvest. The integration of aquaponic technology in the treatment pool (P1) with the number of vegetable seeds of lettuce was 100 seeds per treatment pool. Quantitative method was doing by business analysis to determine the activities of catfish cultivation business (Clarias sp.) Has benefits and deserves to be developed from the parameters of business cost analysis, depreciation, acceptance analysis, net cash flow (net cash flow), R/C ratio, B/C ratio, Break-Even Point (BEP), Payback Period. The conclusion of this research was the farming business based on aquaponic technology in Catfish (Clarias sp.) cultivation was profitable business or very suitable to be developed.",2022-03-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/41181,2302-9595,Jurnal Ekonomi Pembangunan,11.0,TRUE,1.0,42-51,https://doi.org/10.23960/jep.v11i1.443,,,,,,,,
16,"[{'name': {'family': 'Wibowo', 'lineage': None, 'honourific': None, 'given': 'Febrianto'}, 'id': 'Wibowo.mie1001@gmail.com'}, {'name': {'honourific': None, 'lineage': None, 'family': 'Djayasinga', 'given': 'Marselina'}, 'id': 'ikbal_tawakal@yahoo.com'}, {'name': {'given': 'NELI', 'honourific': None, 'lineage': None, 'family': 'AIDA'}, 'id': 'neli.aida@feb.unila.ac.id'}]",article,"Comparison of the Realization of Investment Flows and 
Disaster Risks on the Economy of Sumatra and Java Islands in 
Indonesia",,2023-03-31 07:43:33,49478,archive,show,515,https://bircu-journal.com/index.php/birci/article/view/5742/pdf,2023-03-31 07:43:33,"[{'format': 'text', 'docid': 189103, 'main': '5742-16276-1-PB.pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/536879', 'filename': '5742-16276-1-PB.pdf', 'filesize': 960946, 'objectid': 189103, 'mtime': '2023-03-31 03:58:32', 'hash_type': 'MD5', 'hash': '6b5c9a3e3410d37c69c6624111bd0eec', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 536879}], 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 49478, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/189103', 'pos': 1}]","[{'type': 'pub', 'url': 'https://bircu-journal.com/index.php/birci/article/view/5742/pdf'}]",['FEB5'],Budapest International Research and Critics Institute-Journal (BIRCI-Journal),disk0_bak/00/04/94/78,public,2023-03-31 07:43:33,pub,6,published,['H1'],"Investment is still included in the important macroeconomic model 
of the region in helping to smoothen the movement of the economy, 
while the disaster risk side plays a role in seeing how it impacts the 
economic rate of a region. This study focuses on looking at the 
comparison of investment conditions and disaster risk on 2 major 
islands in Indonesia, namely the islands of Sumatra and Java on 
economic growth. Secondary data is used in the form of panel 
data, using multiple linear regression analysis tools. The area used 
includes 10 provinces on the island of Sumatra and 6 provinces on 
the island of Java in the 2015-2020 time series. The results of the 
study explain that the model on the islands of Sumatra and Java 
has a significant positive effect and the disaster risk index has a 
significant negative effect on economic growth. Investments in the 
islands of Sumatra and Java are very helpful in spurring the 
economy of each province, while disaster risk is a negative threat 
to the economy of the two islands.",2022-05-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/49478,"e-ISSN: 2615-3076 (Online), p-ISSN: 2615-1715 (Print)",Comparison of the Realization of Investment Flows and  Disaster Risks on the Economy of Sumatra and Java Islands in  Indonesia,5.0,TRUE,2.0,17725-17739,DOI: https://doi.org/10.33258/birci.v5i2.5742,,,,,,,,
17,"[{'id': 'dedy.yuliawan@feb.unila.ac.id', 'name': {'family': 'Yuliawan', 'lineage': None, 'honourific': None, 'given': 'Dedy'}}]",article,Integrated rural socio-economic vulnerability analysis in Lampung Province,,2022-11-14 03:26:44,46558,archive,show,279,https://online-journal.unja.ac.id/JES/index,2022-11-14 03:26:44,"[{'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/185436', 'security': 'public', 'placement': 1, 'eprintid': 46558, 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'main': '17591-Article Text-58432-1-10-20220919.pdf', 'docid': 185436, 'files': [{'filename': '17591-Article Text-58432-1-10-20220919.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/513330', 'objectid': 185436, 'filesize': 937106, 'mtime': '2022-11-13 10:44:09', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'hash': '73e48e7a0faebe21d7beda6a933c39a7', 'fileid': 513330, 'datasetid': 'document'}], 'format': 'text'}]",,['FEB5'],Program Magister Ilmu Ekonomi Program Pascasarjana Universitas Jambi,disk0/00/04/65/58,public,2022-11-14 03:26:44,pub,8,published,"['HB', 'HC', 'HJ']","One of the common characteristics of rural areas is their vulnerability to socio-economic and environmental shocks. Therefore, rural development policies should consider these features to take full advantage of the benefits of rural development. This study aims to develop a pastoral assessment based on the TOPSIS-Etropy-Inhomogeneity Method. This research was conducted in Lampung Province using data at the regency level. The data uses village data from the 2018 Village Potential Survey (PODES). The results show that rural areas' exposure, sensitivity, and adaptive capacity factors play an essential role in rural development regarding vulnerability and resilience. Pesisir Barat, Mesuji, and Tulang Bawang Regencies are highly susceptible to low adaptation factors such as difficult access to health centers, inadequate credit facilities from the government, quiet village anticipation and mitigation, and a lack of security systems. The lowest vulnerabilities are in Tanggamus and North Lampung Regencies with common sensitivity factors, where people with malnutrition, persons with disabilities, households living in slums, and the habit of not using river water or the like for drinking or cooking have lower scores. In addition, other factors contribute to vulnerability, and these factors should be considered in rural development policies.",2022-08-31 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/46558,2355-8520,Jurnal Perspektif Pembiayaan dan Pembangunan Daerah,10.0,TRUE,3.0,175-188,,,,,,,,,
18,"[{'id': 'emalia.zulfa@gmail.com', 'name': {'family': 'Zulfa', 'lineage': None, 'honourific': None, 'given': 'Emalia'}}, {'id': 'Budiarty_ida@yahoo.com', 'name': {'lineage': None, 'family': 'Budiarty', 'honourific': None, 'given': 'Ida'}}]",article,"Spatial Phenomenon of Multidimentional Poverty in Sumatera
Island",,2022-03-24 07:08:06,40505,archive,show,103,https://www.bircu-journal.com/index.php/birci/index,2022-03-24 07:08:06,"[{'main': 'BIRCI Journal.pdf', 'docid': 161832, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/451481', 'filename': 'BIRCI Journal.pdf', 'objectid': 161832, 'filesize': 761288, 'mtime': '2022-03-24 06:53:02', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'hash': '684de003c738e8652f5d380b09f33e18', 'datasetid': 'document', 'fileid': 451481}], 'format': 'text', 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'placement': 1, 'eprintid': 40505, 'uri': 'http://repository.lppm.unila.ac.id/id/document/161832', 'pos': 1, 'security': 'public'}]",,['FEB5'],Bircu Publisher,disk0/00/04/05/05,public,2022-03-24 07:08:06,pub,6,published,['HB'],"This research aims to analyze the conditions and developments,
and factors affecting the provincial Multidimentional Poverty in
Sumatera Island. The analysis methods that used in this research
are spatial concepts and non-spatial concepts. The independent
variable that used are Open Unemployment Rate, Per-capita
Spending Rate, and The Level of Proper Sanitation. Results of this
research suggest that Multidimentional Poverty shows a trend that
decreases each year. Additionally, there is spatial autocorrelation
of Multidimentional Poverty in the Province of Sumatera Island.
Based on the estimation result, there is a positive significant effect
of Open Unemployment Rate on Multidimentional Poverty without
spatial concepts. And also, Per-capita Spending Rate as well as
The Level of Proper Sanitation show a negative significant effect
on Multidimentional Poverty without spatial concepts.",2022-02-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/40505,ISSN : 2615-3076 (Online),Budapest International Research and Critics Institute (BIRCI-Journal) : Humanities and Social Sciences,5.0,TRUE,1.0,7488-7500,,,,,,,,"[{'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'type': 'http://www.loc.gov/loc.terms/relators/AUT'}]",
19,"[{'name': {'lineage': None, 'family': 'ambya', 'honourific': None, 'given': 'ambya'}, 'id': 'ambya.1959@feb.unila.ac.id'}, {'id': 'ukhti.ciptawaty@feb.unila.ac.id', 'name': {'lineage': None, 'family': 'Ciptawaty', 'honourific': None, 'given': 'Ukhti'}}]",other,"Hubungan antara belanja pemerintah, tingkat kemiskinan, dan 
pertumbuhan ekonomi daerah otonomi baru di Provinsi 
Lampung",Jurnal Paradigma Ekonomika,2022-11-10 01:09:10,46444,archive,show,2787,https://online-journal.unja.ac.id/paradigma/article/view/17747,2022-11-10 01:09:10,"[{'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'main': 'luaran iptek lainnya_bukti terbit jurnal_ukhti ciptawaty_dipa 2022_17747-Article Text-51046-1-10-20220508.pdf', 'files': [{'hash_type': 'MD5', 'mtime': '2022-11-09 17:10:38', 'filesize': 271600, 'objectid': 185322, 'uri': 'http://repository.lppm.unila.ac.id/id/file/512460', 'filename': 'luaran iptek lainnya_bukti terbit jurnal_ukhti ciptawaty_dipa 2022_17747-Article Text-51046-1-10-20220508.pdf', 'fileid': 512460, 'datasetid': 'document', 'hash': 'a0c8b51114ef97a19b7485ddf687b5c5', 'mime_type': 'application/pdf'}], 'docid': 185322, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/185322', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 46444}]",,['FEB5'],Fakultas Ekonomi dan Bisnis Universitas Lampung,disk0/00/04/64/44,public,2022-11-10 01:09:10,pub,7,published,['H1'],"Penerapan Partial Least Square (PLS) untuk pemodelan kausal telah banyak digunakan 
di banyak bidang studi, terutama di bidang ekonomi. Makalah ini akan menggunakan 
analisis PLS untuk diterapkan pada model pengujian hubungan antara variabel: 
pengeluaran pemerintah, tingkat kemiskinan, dan pertumbuhan ekonomi. Pendidikan 
(Education Spending) dan Belanja Kesehatan (Health Spending) diproyeksikan dengan 
kemiskinan (Poverty) dan angka kemiskinan dengan pertumbuhan ekonomi (PDRB). 
Hasil analisis menunjukkan bahwa terdapat pengaruh tidak langsung pendidikan 
(education spending) terhadap kemiskinan sebesar -0,509 dan pengeluaran kesehatan 
terhadap kemiskinan dengan pengaruh -0,510, perkiraan parameter dan kebermaksaan 
yang signifikan; Terdapat efek total kemiskinan terhadap PDRB adalah -0,983, dengan 
perkiraan parameter yang sangat signifikan dan bermakna. Aplikasi, menjadi urgensi 
membangun analisis untuk mengetahui bagaimana hubungan antara pengeluaran 
pemerintah, tingkat kemiskinan, dan pertumbuhan ekonomi. Analisis ini akan lebih 
membantu memahami bagaimana alokasi anggaran belanja pemerintah dapat 
mempengaruhi tingkat kemiskinan, sejauh ini tingkat kemiskinan pada akhirnya 
mempengaruhi pertumbuhan ekonomi di DOB di Lampung.",2022-05-09 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/46444,,,,,,,,,,,,,,,
