,subjects,date_type,volume,abstract,uri,date,divisions,publisher,publication,dir,related_url,status_changed,issn,full_text_status,ispublished,rev_number,eprint_status,id_number,eprintid,datestamp,pagerange,metadata_visibility,number,userid,documents,lastmod,official_url,type,creators,refereed,title,place_of_pub,corp_creators,contributors,event_type,event_title,event_location,pres_type,event_dates,keywords,referencetext,funders,contact_email,succeeds,monograph_type,pages,isbn,editors,book_title,patent_applicant
22,['HD28'],,,,http://repository.lppm.unila.ac.id/id/eprint/49328,1970-01-01 00:00:00.000002022,['FEB6'],AJEBA,,disk0_bak/00/04/93/28,,2023-03-28 08:35:22,,restricted,pub,8,archive,,49328,2023-03-28 08:35:22,,show,,108,"[{'placement': 1, 'eprintid': 49328, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/188873', 'security': 'validuser', 'docid': 188873, 'main': '2022_transfromational leadership korespondensi 2.pdf', 'files': [{'hash_type': 'MD5', 'mtime': '2023-03-28 08:13:41', 'objectid': 188873, 'filesize': 1562672, 'filename': '2022_transfromational leadership korespondensi 2.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/535601', 'fileid': 535601, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': '7545079aee9f0b362545c94024b0b0f7'}], 'format': 'text', 'rev_number': 2, 'language': 'en', 'mime_type': 'application/pdf'}]",2023-03-28 08:35:22,,other,"[{'id': 'umi_asra@yahoo.co.id', 'name': {'honourific': None, 'family': 'Hayati', 'lineage': None, 'given': 'Keumala'}}]",,HISTORY OF MANUSCRIPT PUBLICATION TRANSFORMATIONAL LEADERSHIP: HOW ITS EFFECT WORK-LIFE BALANCE AND EMPLOYEE ENGAGEMENT,,,,,,,,,,,,,,,,,,,
23,['HD28'],,,"Entrepreneurship teaching has an important role that contributes to the creation of new businesses. However, what kind of teaching method can make this happen? This paper conducts a literature study on project-based learning research in the teaching of entrepreneurship for 20 years (2000-2021). By using systematic review, this paper collects
over 200 articles indexed on Scopus. The findings show three types of project-based learning in teaching entrepreneurship: project-based learning focusing on business development, project-based learning focusing on product development, and project-based learning focusing on business consulting. How it is applied and its effect in the teaching of entrepreneurship is further discussed. Suggestions for implementing project-based learning in the teaching of entrepreneurship in the future are also present. 

Keywords: Entrepreneurship Teaching, Project Based Learning, Business Development, Product Development, Business Consultancy",http://repository.lppm.unila.ac.id/id/eprint/43362,1970-01-01 00:00:00.000002022,['FEB6'],,,disk0/00/04/33/62,,2022-07-19 01:12:59,,restricted,pub,10,archive,,43362,2022-07-19 01:12:59,,show,,108,"[{'placement': 1, 'eprintid': 43362, 'uri': 'http://repository.lppm.unila.ac.id/id/document/165235', 'pos': 1, 'security': 'validuser', 'main': '2022_PBL in Teaching entrepreneurship.pdf', 'files': [{'filesize': 227614, 'objectid': 165235, 'filename': '2022_PBL in Teaching entrepreneurship.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/473640', 'hash_type': 'MD5', 'mtime': '2022-07-18 09:52:53', 'fileid': 473640, 'datasetid': 'document', 'hash': 'ba11bd237ad1773a0f3f9c32488319fd', 'mime_type': 'application/pdf'}], 'docid': 165235, 'format': 'text', 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 2, 'content': 'published'}]",2022-07-19 01:12:59,https://eprints.eudl.eu/id/eprint/11299/1/eai.7-10-2021.2316244.pdf,conference_item,"[{'name': {'given': 'Keumala', 'family': 'Hayati', 'lineage': None, 'honourific': None}, 'id': 'umi_asra@yahoo.co.id'}]",TRUE,Project-Based Learning in Teaching Entrepreneurship: A Review of the Literature,,,,conference,icebe 4,NOVOTEL HOTEL,paper,7 OKTOBER 2021,,,,,,,,,,,
24,['HD28'],,22,"Aims: The previous survey showed that employee engagement in Indonesia is shallow. This study attempts to test the effect of transformational leadership on work-life balance and employee engagement.

Study Design / Methodology: Data was obtained by distributing questionnaires to 107 bank employees in Bandarlampung, Indonesia. The characteristics of respondents show that males (57.9%) are higher than females (42.1%). Data analysis was performed using Smart PLS.


Results: The analysis results support the hypothesis that transformational leadership positively affects work-life balance and employee engagement.

Conclusion: This finding shows that most of the banking leaders in Bandar Lampung apply transformational leadership. Transformational leadership will enhance work-life balance and employee engagement. This research implies that the leader stimulates and inspires his followers to achieve extraordinary results and develop his capacity, the more positive state of mind, satisfaction, and employee engagement with the organization will be. Leaders with a transformational are also able to encourage employee work-life balance.",http://repository.lppm.unila.ac.id/id/eprint/46088,2022-08-01 00:00:00.000000000,['FEB6'],"Asian Journal of Economics, Business and Accounting","Asian Journal of Economics, Business and Accounting",disk0/00/04/60/88,,2022-10-31 01:04:14,2456-639X,public,pub,8,archive,,46088,2022-10-31 01:04:14,75-82,show,22,108,"[{'mime_type': 'text/html', 'language': 'en', 'rev_number': 2, 'format': 'text', 'main': 793, 'docid': 184912, 'files': [{'hash': 'eb1a08613cc0b418ba7fc975fc71a85e', 'mime_type': 'text/html', 'datasetid': 'document', 'fileid': 509824, 'mtime': '2022-10-29 22:43:34', 'hash_type': 'MD5', 'filename': 793, 'uri': 'http://repository.lppm.unila.ac.id/id/file/509824', 'objectid': 184912, 'filesize': 29937}], 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/184912', 'eprintid': 46088, 'placement': 1}]",2022-10-31 01:04:14,https://journalajeba.com/index.php/AJEBA/article/view/793,article,"[{'name': {'honourific': None, 'family': 'Hayati', 'lineage': None, 'given': 'Keumala'}, 'id': 'umi_asra@yahoo.co.id'}]",TRUE,Transformational Leadership How its Effect Work-Life Balance and Employee Engagement,,,,,,,,,,,,,,,,,,,
25,['HD'],,,,http://repository.lppm.unila.ac.id/id/eprint/49081,1970-01-01 00:00:00.000002022,['FEB6'],"Asian Journal of Economics, Business and Accounting",,disk0_bak/00/04/90/81,,2023-03-21 09:03:56,,restricted,pub,8,archive,10.9734/ajeba/2022/v22i2230711,49081,2023-03-21 09:03:56,,show,,108,"[{'docid': 188529, 'main': '2022_Transformational Leadership How its Effect Work-Life Balance and Employee engage TURNITIN.pdf', 'files': [{'fileid': 533640, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': 'c6b12749227874e64a08ad5caddb13b9', 'objectid': 188529, 'filesize': 1898043, 'uri': 'http://repository.lppm.unila.ac.id/id/file/533640', 'filename': '2022_Transformational Leadership How its Effect Work-Life Balance and Employee engage TURNITIN.pdf', 'hash_type': 'MD5', 'mtime': '2023-03-21 06:41:50'}], 'format': 'text', 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 2, 'placement': 1, 'eprintid': 49081, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/188529', 'formatdesc': 'Turnitin', 'security': 'validuser'}]",2023-03-21 09:03:56,https://journalajeba.com/index.php/AJEBA/article/view/793,other,"[{'id': 'umi_asra@yahoo.co.id', 'name': {'given': 'Keumala', 'family': 'Hayati', 'lineage': None, 'honourific': None}}]",,"Turnitin Artikel ""Transformational Leadership How its effect Work-Life Balance and Employee Engagement""",AJEBA,,,,,,,,,,,,,,,,,,
26,['HD28'],,,,http://repository.lppm.unila.ac.id/id/eprint/49104,1970-01-01 00:00:00.000002022,['FEB6'],Jurnal Bisnis dan Manajemen,,disk0_bak/00/04/91/04,,2023-03-24 01:28:07,,restricted,pub,10,archive,10.23960/jbm.v17i3.417,49104,2023-03-24 01:28:07,,show,,108,"[{'placement': 1, 'eprintid': 49104, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/188549', 'security': 'validuser', 'formatdesc': 'Turnitin', 'main': '2022_Turnitin JBM Keumala.pdf', 'files': [{'filename': '2022_Turnitin JBM Keumala.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/533808', 'objectid': 188549, 'filesize': 3156489, 'mtime': '2023-03-21 14:08:18', 'hash_type': 'MD5', 'hash': '60f35b4b89e16f2df7c6c971712ef9bb', 'mime_type': 'application/pdf', 'fileid': 533808, 'datasetid': 'document'}], 'docid': 188549, 'format': 'text', 'rev_number': 2, 'language': 'en', 'mime_type': 'application/pdf'}]",2023-03-24 01:28:07,http://jurnal.feb.unila.ac.id/index.php/jbm/article/view/417,other,"[{'name': {'honourific': None, 'lineage': None, 'family': 'Hayati', 'given': 'Keumala'}, 'id': 'umi_asra@yahoo.co.id'}]",,"Turnitin Artikel ""ekonomi kreatif melalui sinergisitas Bumdes dan desa pintar""",FEB Unila,,,,,,,,,,,,,,,,,,
27,['HD28'],,,,http://repository.lppm.unila.ac.id/id/eprint/49163,1970-01-01 00:00:00.000002022,['FEB6'],EAI,,disk0_bak/00/04/91/63,,2023-03-24 01:30:40,,restricted,pub,11,archive,10.4108/eai.7-10-2021.2316244,49163,2023-03-24 01:30:40,,show,,108,"[{'docid': 188611, 'main': '2021_Prosiding ICEBE 2021 Turnitin (2).pdf', 'files': [{'mime_type': 'application/pdf', 'hash': '60b30d90a1f51974013944b50166ddb8', 'fileid': 534196, 'datasetid': 'document', 'mtime': '2023-03-23 02:21:14', 'hash_type': 'MD5', 'filename': '2021_Prosiding ICEBE 2021 Turnitin (2).pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/534196', 'objectid': 188611, 'filesize': 1274123}], 'format': 'text', 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 2, 'placement': 1, 'eprintid': 49163, 'uri': 'http://repository.lppm.unila.ac.id/id/document/188611', 'pos': 1, 'security': 'validuser', 'formatdesc': 'Turnitin'}]",2023-03-24 01:30:40,https://eudl.eu/doi/10.4108/eai.7-10-2021.2316244,other,"[{'id': 'umi_asra@yahoo.co.id', 'name': {'given': 'Keumala', 'family': 'Hayati', 'lineage': None, 'honourific': None}}]",,"Turnitin ICEBE "" Projectbase Learning""","Proceedings of the 4th International Conference of Economics, Business, and Entrepreneurship, ICEBE 2021, 7 October 2021, Lampung, Indonesia",,,,,,,,,,,,,,,,,,
28,['HG'],submitted,,,http://repository.lppm.unila.ac.id/id/eprint/47763,2022-11-09 00:00:00.000000000,['FEB6'],AFEBI (Asosiasi Fakultas Ekonomi & Bisnis),,disk0_bak/00/04/77/63,"[{'type': 'pub', 'url': 'https://journal.afebi.org/index.php/ambr/article/view/466'}]",2023-01-12 09:22:03,,public,submitted,8,archive,DOI: https://doi.org/10.47312/ambr.v6i2.466,47763,2023-01-12 09:22:03,,show,,667,"[{'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/186864', 'security': 'public', 'formatdesc': 'CEK PLAGIARISME', 'placement': 1, 'eprintid': 47763, 'language': 'en', 'rev_number': 2, 'mime_type': 'application/pdf', 'main': '#2021(~1.PDF', 'docid': 186864, 'files': [{'filesize': 279151, 'objectid': 186864, 'filename': '#2021(~1.PDF', 'uri': 'http://repository.lppm.unila.ac.id/id/file/522972', 'hash_type': 'MD5', 'mtime': '2023-01-12 08:17:31', 'datasetid': 'document', 'fileid': 522972, 'mime_type': 'application/pdf', 'hash': '8c2c31045e3f31c8dbff9ca99049714c'}], 'format': 'other'}]",2023-01-12 09:22:03,https://journal.afebi.org/index.php/ambr/article/view/466,other,"[{'id': 'ernie.hendrawaty@feb.unila.ac.id', 'name': {'given': 'Ernie', 'honourific': None, 'lineage': None, 'family': 'Hendrawaty'}}, {'id': None, 'name': {'family': 'Adlina', 'lineage': None, 'honourific': None, 'given': 'Syifa Fadiah'}}]",,CEK PLAGIARISM ARTIKEL: Ownership-Retention and The Value of Indonesian Initial Public Offering (IPO) Firms in 2013-2016,,,,,,,,,,,,,,,,,,,
29,['HG'],submitted,,"The study investigates information asymmetry between security issuers and other market participants. Investors 
and entrepreneurs require reliable information about the firms. Therefore, it is crucial to examine how the top 
management information can be communicated to other market participants. The empirical implications of the 
model are tested on the set of 28 of 89 Indonesian firms that made an initial public offering in 2013-2016. The 
asymmetry problem is most significant when a firm makes a first public issue. Furthermore, the study explains the 
number of shares retained by the entrepreneur as a signal of IPO firm value. The test results are generally consistent 
with the signaling model's predictions, while the role of the controlling variables does not support the firm value.",http://repository.lppm.unila.ac.id/id/eprint/47745,2022-11-09 00:00:00.000000000,['FEB6'],AFEBI (Asosiasi Fakultas Ekonomi & Bisnis),,disk0_bak/00/04/77/45,"[{'type': 'pub', 'url': 'https://journal.afebi.org/index.php/ambr/article/view/466'}]",2023-01-12 04:34:11,,public,submitted,9,archive,https://doi.org/10.47312/ambr.v6i2.466,47745,2023-01-12 04:34:11,,show,,667,"[{'language': 'en', 'rev_number': 2, 'mime_type': 'application/pdf', 'format': 'other', 'files': [{'fileid': 522803, 'datasetid': 'document', 'hash': '8c2c31045e3f31c8dbff9ca99049714c', 'mime_type': 'application/pdf', 'filesize': 279151, 'objectid': 186846, 'uri': 'http://repository.lppm.unila.ac.id/id/file/522803', 'filename': '#2021(~1.PDF', 'hash_type': 'MD5', 'mtime': '2023-01-12 04:12:02'}], 'main': '#2021(~1.PDF', 'docid': 186846, 'security': 'public', 'formatdesc': 'CEK PLAGIARISME ARTIKEL', 'uri': 'http://repository.lppm.unila.ac.id/id/document/186846', 'pos': 1, 'eprintid': 47745, 'placement': 1}]",2023-01-12 04:34:11,https://journal.afebi.org/index.php/ambr/article/view/466,other,"[{'id': 'ernie.hendrawaty@feb.unila.ac.id', 'name': {'given': 'Ernie', 'honourific': None, 'family': 'Hendrawaty', 'lineage': None}}, {'name': {'honourific': None, 'family': 'Adlina', 'lineage': None, 'given': 'Syifa Fadiah'}, 'id': None}]",,CEK PLAGIARISME ARTIKEL: Do Independent Commissioners Control The Family-Owned Business Characteristics Effects On Dividend Policy?,,,,,,,,,,,,,,,,,,,
30,['HG'],submitted,,"This study aims to determine the role of independent 
Commissioners to control the effect of family-owned business 
characteristics on dividend policy. This study construct panel data 
that estimate using panel regression with a fixed-effect model. The 
model is estimated using financial data of 64 Indonesian 
manufacturing companies that were observed from the period 2016-
2018. The result showed that family-owned business characteristics 
have a positive effect on dividens. The Independent Commisioners 
were able to control the effect of family business characteristics on 
the dividend policy. The Independent Commissioners have a role in 
reducing the positive effect of family-owned businesses 
characteristics on dividends.",http://repository.lppm.unila.ac.id/id/eprint/47744,2022-11-09 00:00:00.000000000,['FEB6'],CATRA RESEARCH INSTITUTE,,disk0_bak/00/04/77/44,"[{'url': 'https://journalkeberlanjutan.com/index.php/ijesss/issue/view/8', 'type': 'pub'}]",2023-01-12 04:07:02,,public,submitted,8,archive,https://doi.org/10.38142/ijesss.v2i2.71,47744,2023-01-12 04:07:02,,show,,667,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/186845', 'pos': 1, 'formatdesc': 'CEK PLAGIARISME ARTIKEL', 'security': 'public', 'placement': 1, 'eprintid': 47744, 'language': 'en', 'rev_number': 2, 'mime_type': 'application/pdf', 'main': '#2021(~1.PDF', 'docid': 186845, 'files': [{'mtime': '2023-01-12 04:00:43', 'hash_type': 'MD5', 'filename': '#2021(~1.PDF', 'uri': 'http://repository.lppm.unila.ac.id/id/file/522791', 'filesize': 197846, 'objectid': 186845, 'mime_type': 'application/pdf', 'hash': 'f5f9ce15d82264c142e268b22334a0de', 'datasetid': 'document', 'fileid': 522791}], 'format': 'other'}]",2023-01-12 04:07:02,https://journalkeberlanjutan.com/index.php/ijesss/issue/view/8,other,"[{'id': 'ernie.hendrawaty@feb.unila.ac.id', 'name': {'given': 'Ernie', 'honourific': None, 'family': 'Hendrawaty', 'lineage': None}}, {'id': 'sri.hasnawati@feb.unila.ac.id', 'name': {'honourific': None, 'lineage': None, 'family': 'Hasnawati', 'given': 'Sri'}}, {'name': {'given': 'Lia', 'honourific': None, 'family': 'Purnamasari', 'lineage': None}, 'id': None}]",,CEK PLAGIARISME ARTIKEL: Do Independent Commissioners Control The Family-Owned Business Characteristics Effects On Dividend Policy?,,,,,,,,,,,,,,,,,,,
31,['HG'],published,,"Since the end of 2019, world economic conditions have experienced a 
difficult time due to the determination of the Covid-19 corona virus outbreak 
as a pandemic by the World Health Organization (WHO). One of the sectors 
that has felt the direct impact of this pandemic is the commodity sector, one of 
which is the crude oil commodity. The world crude oil price has decreased to 
reach a negative figure in the middle of Semester 1 2020, so that the level of 
uncertainty over the world crude oil price is relatively high due to fluctuations 
in the level of the economy. This study aims to measure the minimum level of 
risk posed by world crude oil prices through the Value at Risk (VaR) approach 
by applying the volatility rate modeling and the average Generalized 
Autoregressive Conditional Heteroscedasticity (GARCH) model. The results of 
the study found that the AR (1)-GARCH (1,1) model is the best model for 
measuring the level of volatility and the average world crude oil price which is 
used as a measure of the minimum risk level for the VaR model. Furthermore, 
from the calculation results, the VaR value obtained with a time period of 15 
days and a confidence level of 95% is 0.039108 or 3.91%. This means, with the 
level of uncertainty over world economic conditions, the world crude oil price 
has the potential to decline by a maximum of 3.91%.",http://repository.lppm.unila.ac.id/id/eprint/47742,2022-11-09 00:00:00.000000000,['FEB6'],the ASEAN University Network for Business and Economics,,disk0_bak/00/04/77/42,"[{'type': 'pub', 'url': 'https://www.researchgate.net/publication/356355663_Prediction_Model_of_Sustainability_Practices_on_the_Financial_Performance_of_Philippine_Rural_Banks_2021_ASEAN_UNIVERSITY_NETWORK_BUSINESS_AND_ECONOMICS_VIRTUAL_CONFERENCE'}]",2023-01-12 04:06:58,,public,pub,7,archive,,47742,2023-01-12 04:06:58,,show,,667,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/186843', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 47742, 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'main': '#2021 (16 Apr) Value at Risk Crude Oil Price during the Covid-19 Pandemic hal 201-202-207.pdf.pdf', 'docid': 186843, 'files': [{'fileid': 522776, 'datasetid': 'document', 'hash': '2b5c596f11eaeef169c3b1801c915f30', 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2023-01-12 03:37:46', 'objectid': 186843, 'filesize': 569347, 'filename': '#2021 (16 Apr) Value at Risk Crude Oil Price during the Covid-19 Pandemic hal 201-202-207.pdf.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/522776'}], 'format': 'text'}]",2023-01-12 04:06:58,https://www.researchgate.net/publication/356355663_Prediction_Model_of_Sustainability_Practices_on_the_Financial_Performance_of_Philippine_Rural_Banks_2021_ASEAN_UNIVERSITY_NETWORK_BUSINESS_AND_ECONOMICS_VIRTUAL_CONFERENCE,other,"[{'id': 'ernie.hendrawaty@feb.unila.ac.id', 'name': {'family': 'Hendrawaty', 'lineage': None, 'honourific': None, 'given': 'Ernie'}}, {'name': {'lineage': None, 'family': 'Kesumah', 'honourific': None, 'given': 'Fajrin Satria Dwi'}, 'id': None}]",,CEK PLAGIARISME ARTIKEL: Value at Risk: Crude Oil Price during the Covid-19 Pandemic,ASEAN,,,,,,,,,,,,,,,,,,
32,"['HG', 'HJ']",submitted,,,http://repository.lppm.unila.ac.id/id/eprint/47746,2022-11-09 00:00:00.000000000,['FEB6'],EconJournals,,disk0_bak/00/04/77/46,"[{'type': 'pub', 'url': 'https://www.econjournals.com/index.php/ijeep/issue/view/190'}]",2023-01-12 07:24:16,,public,submitted,11,archive,https://doi.org/10.32479/ijeep.12670,47746,2023-01-12 07:24:16,,show,,667,"[{'language': 'en', 'rev_number': 2, 'mime_type': 'application/pdf', 'main': '#2022(~1.PDF', 'files': [{'filename': '#2022(~1.PDF', 'uri': 'http://repository.lppm.unila.ac.id/id/file/522813', 'filesize': 471370, 'objectid': 186847, 'mtime': '2023-01-12 04:36:18', 'hash_type': 'MD5', 'hash': 'f37c4715d2491133d6dfa1d3b427e253', 'mime_type': 'application/pdf', 'fileid': 522813, 'datasetid': 'document'}], 'docid': 186847, 'format': 'other', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/186847', 'formatdesc': 'CEK PLAGIARISME ARTIKEL', 'security': 'public', 'placement': 1, 'eprintid': 47746}]",2023-01-12 07:24:16,https://www.econjournals.com/index.php/ijeep/issue/view/190,other,"[{'id': 'ernie.hendrawaty@feb.unila.ac.id', 'name': {'given': 'Ernie', 'lineage': None, 'family': 'Hendrawaty', 'honourific': None}}, {'name': {'honourific': None, 'lineage': None, 'family': 'Shaari', 'given': 'Mohd Shahidan'}, 'id': 'shahidanshaari@unimap.edu.my'}, {'name': {'given': 'Fajrin Satria Dwi', 'honourific': None, 'lineage': None, 'family': 'Kesumah'}, 'id': None}, {'id': None, 'name': {'given': 'Abdul Rahim', 'honourific': None, 'lineage': None, 'family': 'Ridzuan'}}]",,"CEK PLAGIARISME ATIKEL: Economic Growth, Financial Development, Energy Consumption and Life Expectancy: Fresh Evidence from ASEAN countries",,,,,,,,,,,,,,,,,,,
33,"['HG', 'HJ']",published,12,"The study examines the relationship between economic growth and life expectancy by considering the potential role of financial development and 
energy consumption in ASEAN Countries. Unit root testing was applied to check the level stationarity data before checking for cointegration between 
variables using the error correction term (ECT) approach, and ARDL bounds testing was applied for cointegration with structural damage that occurred 
at a specific time using the pooled mean group (PMG) and pooled mean group (MG). The empirical results showed the existence of cointegration among 
variables. PMG was selected based on Hausmann Test that indicated energy consumption could significantly and positively affect life expectancy. 
Therefore, ASEAN countries would be extensively dependent on non-renewable energy to generate their economic activities in the long run. In contrast, 
in the short run, higher economic growth can reduce life expectancy in most developing countries, as energy consumption is examined to affect life.",http://repository.lppm.unila.ac.id/id/eprint/47683,2022-03-20 00:00:00.000000000,['FEB6'],EconJournals,"Economic Growth, Financial Development, Energy Consumption  and Life Expectancy: Fresh Evidence from ASEAN Countries",disk0_bak/00/04/76/83,"[{'type': 'pub', 'url': 'https://www.econjournals.com/index.php/ijeep/issue/view/190'}]",2023-01-11 01:58:17,2146-4553,public,pub,9,archive,https://doi.org/10.32479/ijeep.12670,47683,2023-01-11 01:58:17,444-448,show,2,667,"[{'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'main': '2022 (26 Jan) Economic Growth, Financial Development, Energy Consumption and Life Expectancy Fresh Evidence.pdf', 'docid': 186775, 'files': [{'filename': '2022 (26 Jan) Economic Growth, Financial Development, Energy Consumption and Life Expectancy Fresh Evidence.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/522319', 'objectid': 186775, 'filesize': 398468, 'mtime': '2023-01-10 08:28:05', 'hash_type': 'MD5', 'hash': '0f3e5e7b2f1940cee82ce1f7f29d567e', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 522319}], 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/186775', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 47683}, {'eprintid': 47683, 'placement': 2, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/186776', 'pos': 2, 'format': 'text', 'main': 190, 'files': [{'mtime': '2023-01-10 08:28:22', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/522322', 'filename': 190, 'objectid': 186776, 'filesize': 67315, 'hash': 'ec8cc12744158fe842c700709eb97f3d', 'mime_type': 'text/html', 'datasetid': 'document', 'fileid': 522322}], 'docid': 186776, 'language': 'en', 'mime_type': 'text/html', 'rev_number': 2}]",2023-01-11 01:58:17,https://www.econjournals.com/index.php/ijeep/issue/view/190,article,"[{'name': {'honourific': None, 'lineage': None, 'family': 'Hendrawaty', 'given': 'Ernie'}, 'id': 'ernie.hendrawaty@feb.unila.ac.id'}, {'id': 'shahidanshaari@unimap.edu.my', 'name': {'given': 'Mohd Shahidan', 'honourific': None, 'lineage': None, 'family': 'Shaari'}}, {'id': None, 'name': {'given': 'Fajrin Satria Dwi', 'honourific': None, 'family': 'Kesumah', 'lineage': None}}, {'id': None, 'name': {'honourific': None, 'lineage': None, 'family': 'Ridzuan', 'given': 'Abdul Rahim'}}]",FALSE,"Economic Growth, Financial Development, Energy Consumption 
and Life Expectancy: Fresh Evidence from ASEAN Countries",,,,,,,,,,,,,,,,,,,
34,['HG'],completed,,"Kinerja perusahaan merupakan suatu capaian nilai yang dihasilkan oleh suatu perusahaan melalui aktivitas operasionalnya dalam rangka menghasilkan keuntungan. Suatu perusahaan dapat dikatakan berhasil apabila perusahaan tersebut mampu mengelola kinerjanya dengan baik. Ada banyak faktor yang dapat mempengaruhi kinerja perusahaan, diantaranya adalah ukuran perusahaan, kebijakan hutang, kebijakan investasi, kebijakan deviden, koneksi politik, cash holdings, dan kepemilikan publik. 
Penelitian ini bertujuan untuk mengetahui pengaruh koneksi politik, Cash holdings, dan kepemilikan publik terhadap kinerja perusahaan yang tergabung dalam indeks LQ45 di Bursa Efek Indonesia. Sampel yang digunakan adalah seluruh perusahaan yang tergabung dalam indeks LQ45 di Bursa Efek Indonesia selama tahun 2018-2021. Hasil penelitian menunjukkan bahwa, cash holdings, dan kepemilikan publik terbukti berpengaruh positif terhadap kinerja perusahaan, sedangkan koneksi politik terbukti tidak berpengaruh terhadap kinerja perusahaan yang tergabung dalam indeks LQ45.

Kata Kunci : Kinerja Perusahaan, Koneksi Politik, Cash holdings, Kepemilikan Publik.",http://repository.lppm.unila.ac.id/id/eprint/49774,2022-09-22 00:00:00.000000000,['FEB6'],,,disk0_bak/00/04/97/74,,2023-04-06 08:44:30,,public,unpub,8,archive,,49774,2023-04-06 08:44:30,,show,,1084,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/189410', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 49774, 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 2, 'main': 'LAPORAN AKHIR PENELITIAN FULL (UPLOAD SILEMLIT).pdf', 'files': [{'mime_type': 'application/pdf', 'hash': 'c4d411caea27addb5cb68bf8e9acdf0e', 'datasetid': 'document', 'fileid': 539195, 'mtime': '2023-04-06 07:40:53', 'hash_type': 'MD5', 'filename': 'LAPORAN AKHIR PENELITIAN FULL (UPLOAD SILEMLIT).pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/539195', 'objectid': 189410, 'filesize': 4635704}], 'docid': 189410, 'format': 'text'}]",2023-04-06 08:44:30,,experiment,"[{'id': 'hidayatwiweko@yahoo.com', 'name': {'lineage': None, 'family': 'Hidayah Wiweko, S.E., M.Si.', 'honourific': None, 'given': 'Hidayah'}}, {'name': {'given': 'Mahatma', 'honourific': None, 'lineage': None, 'family': 'Kufepaksi'}, 'id': 'mahapaksi@yahoo.com'}]",,"PERAN KONEKSI POLITIK, CASH HOLDINGS, DAN KEPEMILIKAN PUBLIK DALAM RANGKA PENINGKATAN KINERJA PERUSAHAAN LQ45 DI BURSA EFEK INDONESIA",,"['Universitas Lampung', 'Universitas Lampung']",,,,,,,,,,,,,,,,,
