,place_of_pub,title,type,creators,documents,lastmod,userid,metadata_visibility,eprintid,eprint_status,datestamp,ispublished,rev_number,status_changed,full_text_status,divisions,publisher,dir,uri,abstract,subjects,event_type,event_title,pres_type,refereed,pagerange,official_url,output_media,date_type,funders,event_location,event_dates,corp_creators,contributors,publication,related_url,number,volume,issn,id_number,contact_email,succeeds,monograph_type,book_title,pages,pedagogic_type,keywords
20,,Lembar Penilaian Karya Ilmiah Agus Haryanto: Buku Referensi Energi Terbarukan,other,"[{'id': 'agus.haryanto@fp.unila.ac.id', 'name': {'given': 'Agus', 'honourific': None, 'lineage': None, 'family': 'Haryanto'}}]","[{'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'files': [{'objectid': 37365, 'filesize': 1932055, 'uri': 'http://repository.lppm.unila.ac.id/id/file/216648', 'filename': '1Buku Energi Terbarukan.pdf', 'hash_type': 'MD5', 'mtime': '2020-08-28 07:17:36', 'fileid': 216648, 'datasetid': 'document', 'hash': '094a9195cb486289a5bcfde8e00b680c', 'mime_type': 'application/pdf'}], 'main': '1Buku Energi Terbarukan.pdf', 'docid': 37365, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/37365', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 23735}]",2020-08-31 02:07:07,988,show,23735,archive,2020-08-31 02:07:07,pub,13,2020-08-31 02:07:07,public,['FP18'],Fakultas Pertanian,disk0/00/02/37/35,http://repository.lppm.unila.ac.id/id/eprint/23735,,['S1'],,,,,,,,,,,,['Universitas Lampung'],[{'type': 'http://www.loc.gov/loc.terms/relators/AUT'}],,,,,,,,,,,,,
21,,Life cycle assessment of biogas digester in small scale tapioca industry,conference_item,"[{'id': 'agus.haryanto@fp.unila.ac.id', 'name': {'given': 'Agus', 'lineage': None, 'family': 'Haryanto', 'honourific': None}}]","[{'eprintid': 9999, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/23020', 'format': 'image', 'main': 'IMG_20181115_131900.jpg', 'files': [{'hash': '72768cd9a794fb833f489803c676c701', 'mime_type': 'image/jpeg', 'fileid': 94002, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/94002', 'filename': 'IMG_20181115_131900.jpg', 'filesize': 92756, 'objectid': 23020, 'mtime': '2018-11-15 06:32:46', 'hash_type': 'MD5'}], 'docid': 23020, 'mime_type': 'image/jpeg', 'language': 'en', 'rev_number': 1}]",2018-11-15 08:09:55,988,show,9999,archive,2018-11-15 08:09:55,unpub,7,2018-11-15 08:09:55,public,['FP18'],,disk0/00/00/99/99,http://repository.lppm.unila.ac.id/id/eprint/9999,"Biogas was mentioned to be the source of sustainable energy, but the digester materials could create environmental footprints within the manufacturing and transportation process. Hence, the sustainability of biogas digester need to be evaluated. .....",['TP'],conference,"International Conference on Science, Technology, Infrastructure and Regional Development (ICoSITeR)",paper,FALSE,,,,,,ITERA (Institut Teknologi Sumatera),19-20 Oktober 2018,['University of Lampung'],"[{'name': {'lineage': None, 'family': 'Haryanto', 'honourific': None, 'given': 'Agus'}, 'id': 'agus.haryanto@fp.unila.ac.id'}]",,,,,,,,,,,,,
22,,Biogas production from anaerobic codigestion of cowdung and elephant grass (Pennisetum Purpureum) using batch digester,article,"[{'name': {'given': 'Agus', 'honourific': None, 'lineage': None, 'family': 'Haryanto'}, 'id': 'agus.haryanto@fp.unila.ac.id'}, {'name': {'given': 'Udin', 'honourific': None, 'family': 'Hasanudin', 'lineage': None}, 'id': 'udinha@fp.unila.ac.id'}, {'id': None, 'name': {'given': 'Chandra', 'lineage': None, 'family': 'Afrian', 'honourific': None}}, {'name': {'honourific': None, 'lineage': None, 'family': 'Zulkarnain', 'given': 'Iskandar'}, 'id': 'iskandar.zulkarnain@fp.unila.ac.id'}]","[{'eprintid': 4872, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/17792', 'pos': 1, 'format': 'text', 'docid': 17792, 'main': 'IOP-ICB Juli 18 ke UH.docx', 'files': [{'fileid': 47261, 'datasetid': 'document', 'mime_type': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'hash': 'bef51b5bec4a0adc239564f5fa05fa67', 'filesize': 554136, 'objectid': 17792, 'uri': 'http://repository.lppm.unila.ac.id/id/file/47261', 'filename': 'IOP-ICB Juli 18 ke UH.docx', 'hash_type': 'MD5', 'mtime': '2017-11-08 09:50:15'}], 'language': 'en', 'rev_number': 1, 'mime_type': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document'}]",2017-11-16 03:31:34,353,show,4872,archive,2017-11-16 03:31:34,unpub,10,2017-11-16 03:31:34,public,['FP18'],,disk0/00/00/48/72,http://repository.lppm.unila.ac.id/id/eprint/4872,"This study aimed at determining biogas production from codigestion of Elephant grass and cowdung using batch digester. Fresh grass was manually chopped with a maximum length of 3 cm. Chopped grass (25 kg) was perfectly mixed with fresh cowdung (25 kg). The mixture was introduced into a 220-liter batch drum digester. The substrate was diluted with water at different rates (P1 = 50 L, P2 = 75 L, and P3 = 100 L) and was stirred thoroughly. Six digesters were prepared as duplicate for each treatment. Two other digesters containing only 25 kg cowdung diluted with 25 L water were also provided as control treatment (P0). The digesters were air tightly sealed for 70 days. Observation was conducted on daily temperature, substrate pH (initial and final), TS and VS content, biogas yield and biogas composition. Results showed that final pH of grass containing substrate was in the acidic range, namely 4.50, 4.62, 6.82, whereas that of control (P0) was normal with pH of 7.30. Digester with substrate composition 25:25:100 (cowdung:grass:water) produced the highest biogas total (524.3 L). Biogas yield of codigestion, however, was much lower as compared to that of control, namely 7.35, 16.75, and 111.72 L/kg VSr respectively for treatment P1, P2, P3. with dilution rate of 50, 75, and 100 L. Biogas produced from control digester had methane content of 53.88%. In contrast, biogas resulted from all treatments contained low methane (the highest was 31.37%). Methane yield of 39.3 L/kg TS removal was achieved from digester with dilution 100 L (P3). Mechanical pretreatment is suggested to break Elephant grass down into smaller particles prior to introducing it into the digestion process.",['S1'],,,,FALSE,,,,,,,,,,2nd International Conference on Biomass,,,,,,,,,,,,
23,,Energi Terbarukan dari Jerami Padi Potensi dan Tantangan bagi Indonesia,article,"[{'id': 'agus.haryanto@fp.unila.ac.id', 'name': {'given': 'Agus', 'family': 'Haryanto', 'lineage': None, 'honourific': None}}, {'id': 'siti.suharyatun@fp.unila.ac.id', 'name': {'lineage': None, 'family': 'Suharyatun', 'honourific': None, 'given': 'Siti'}}, {'name': {'family': 'Rahmawati', 'lineage': None, 'honourific': None, 'given': 'Winda'}, 'id': 'winda.rahmawati@fp.unila.ac.id'}, {'name': {'given': 'Sugeng', 'honourific': None, 'lineage': None, 'family': 'Triyono'}, 'id': 'sugeng.triyono@fp.unila.ac.id'}]","[{'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/23152', 'security': 'public', 'placement': 1, 'eprintid': 10143, 'language': 'en', 'mime_type': 'image/jpeg', 'rev_number': 2, 'content': 'submitted', 'files': [{'hash_type': 'MD5', 'mtime': '2018-11-16 05:23:32', 'filesize': 373750, 'objectid': 23152, 'filename': '001_b.jpg', 'uri': 'http://repository.lppm.unila.ac.id/id/file/94939', 'fileid': 94939, 'datasetid': 'document', 'hash': '34094c6d2eb09ea6a493a6c7475d527f', 'mime_type': 'image/jpeg'}], 'main': '001_b.jpg', 'docid': 23152, 'format': 'image'}]",2018-11-16 17:27:31,45,show,10143,archive,2018-11-16 17:27:31,unpub,7,2018-11-16 17:27:31,public,['FP18'],,disk0/00/01/01/43,http://repository.lppm.unila.ac.id/id/eprint/10143,Jerami merupakan limbah budidaya tanaman padi yang dihasilkan dari proses perontokan dan atau pemanenan padi. Selama ini jerami padi hanya dibuang atau dikelola secara kurang optimal.............,['S1'],,,,FALSE,,,,submitted,,,,,,Seminar Nasional PERTETA Yogya 2018,,,,,,,,,,,,
24,,"APLIKASI UV SPECTROSCOPY DAN METODE SIMCA UNTUK
KLASIFIKASI KOPI LIBERIKA TUNGKAL JAMBI DAN",article,"[{'id': 'saptokuncoro579@gmail.com', 'name': {'honourific': None, 'lineage': None, 'family': 'Kuncoro', 'given': 'Sapto'}}, {'id': 'diding.sughandy@fp.unila.ac.id', 'name': {'given': 'Diding', 'lineage': None, 'family': 'Suhandy', 'honourific': None}}]","[{'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'docid': 163963, 'main': '4741-13102-1-PB.pdf', 'files': [{'objectid': 163963, 'filesize': 241648, 'filename': '4741-13102-1-PB.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/465225', 'hash_type': 'MD5', 'mtime': '2022-06-09 06:39:05', 'datasetid': 'document', 'fileid': 465225, 'mime_type': 'application/pdf', 'hash': 'f1ba2118d18cc2ee8cc735306a30bf06'}], 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/163963', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 42262}]",2022-06-09 06:51:57,695,show,42262,archive,2022-06-09 06:51:57,pub,9,2022-06-09 06:51:57,public,['FP18'],Jurusan Teknik Pertanian Fakultas Pertanian Unila,disk0/00/04/22/62,http://repository.lppm.unila.ac.id/id/eprint/42262,"Tungkal Composite Jambi Liberika Coffee is one of the top qualities of Indonesian coffees that has received a
geographic indication certificate (IGs). With its limited production and high prices, currently Tungkal Jambi
Liberika coffee is one of the coffees that is prone to being counterfeited. The counterfeiting of Tungkal Jambi
Liberika coffee is increasingly difficult to identify, especially in the form of ground roasted coffee. This study
evaluated the potential application of UV spectroscopy technology to classify Tungkal Jambi Liberika coffee (with
geographic indications) and normal Probolinggo Liberika coffee (non- geographic indications). A total of 120
samples for each Liberika coffee were prepared weighing 1 gram for each sample. Spectra measurements were
carried out in the form of a coffee solution. Spectral data were taken using a UV-visible spectrometer with a
wavelength interval of 200-400 nm (Genesys™ 10S UV-Vis, Thermo Scientific, USA). By using the average
transformed spectra in the 250-350 nm interval, the differences between the two types of Liberika coffee can be
clearly seen, especially at some wavelength peaks, namely 270 nm, 300 nm, 315 nm and 346 nm. The classification
accuracy obtained for the SIMCA classification is 100% for both Tungkal Jambi Liberika and Probolinggo
Liberika coffee.
Keywords: authentication, classification accuracy, Tungkal Jambi Liberika coffee, SIMCA, UV
Spectroscopy",['S1'],,,,TRUE,,,,published,,,,,,Jurnal Teknik Pertanian Lampung,,,10.0,2302-559X,,,,,,,,
25,,APLIKASI IRIGASI PORTABLE SPRINKLER PADA TANAMAN PAKCOY (BRASSICA JUNCEA L.) DI DESA MARGA AGUNG KECAMATAN JATI AGUNG LAMPUNG SELATAN,article,"[{'name': {'lineage': None, 'family': 'Okvidiantoro', 'honourific': None, 'given': 'Kiki Dwi'}, 'id': 'kikidwidiantoro27@gmail.com'}, {'name': {'lineage': None, 'family': 'Tusi', 'honourific': None, 'given': 'Ahmad'}, 'id': 'ahmad.tusip@fp.unila.ac.id'}, {'name': {'given': 'Budianto', 'lineage': None, 'family': 'Lanya', 'honourific': None}, 'id': 'budianto.lanya@fp.unila.ac.id'}]","[{'placement': 6, 'license': 'cc_public_domain', 'eprintid': 3485, 'uri': 'http://repository.lppm.unila.ac.id/id/document/25130', 'pos': 6, 'formatdesc': 'Aplikasi Irigasi Sprinker Portabel', 'security': 'public', 'main': '8827-17835-1-PB.pdf', 'docid': 25130, 'files': [{'filesize': 715186, 'objectid': 25130, 'uri': 'http://repository.lppm.unila.ac.id/id/file/108732', 'filename': '8827-17835-1-PB.pdf', 'hash_type': 'MD5', 'mtime': '2019-05-09 03:16:27', 'datasetid': 'document', 'fileid': 108732, 'mime_type': 'application/pdf', 'hash': '989b5073937fd085a680e687eb922c2f'}], 'format': 'archive', 'rev_number': 2, 'language': 'en', 'mime_type': 'application/pdf', 'content': 'published'}, {'formatdesc': 'Aplikasi Irigasi Sprinker Portabel', 'security': 'public', 'pos': 7, 'uri': 'http://repository.lppm.unila.ac.id/id/document/25132', 'eprintid': 3485, 'placement': 7, 'license': 'cc_by_nc_4', 'content': 'published', 'mime_type': 'application/xml', 'language': 'id', 'rev_number': 4, 'format': 'archive', 'docid': 25132, 'main': 'pdf', 'files': [{'filename': 'pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/108753', 'filesize': 26896, 'objectid': 25132, 'mtime': '2019-05-09 03:20:24', 'hash_type': 'MD5', 'hash': '0c9f802f4db79303543ca05c3f0bde0b', 'mime_type': 'application/xml', 'datasetid': 'document', 'fileid': 108753}]}]",2019-05-15 02:04:46,605,show,3485,archive,2019-05-15 02:04:46,pub,15,2019-05-15 02:04:46,public,['FP18'],Universitas padjajaran,disk0/00/00/34/85,http://repository.lppm.unila.ac.id/id/eprint/3485,"Mayoritas petani di Desa Marga Agung menggunakan air hujan sebagai sumber air untuk
memenuhi kebutuhan air tanaman. Pada musim kemarau, petani tidak dapat melakukan aktivitas
budidaya tanaman karena terbatasnya sumber air. Upaya yang dapat dilakukan untuk
meningkatkan produksi dan efesiensi pemakaian air irigasi yang tepat guna yaitu dengan
menggunakan irigasi sprinkler. Penelitian bertujuan untuk mengetahui kinerja dan aplikasi portable
sprinkler pada budidaya tanaman pakcoy (Brassica juncea L.). Hasil menunjukkan laju infiltrasi
tanah (52 mm/jam) di lokasi penelitian lebih besar dibandingkan laju aplikasi sprinkler sebesar
(6.49 mm/jam), sehingga pada saat dilakukan penyiraman tidak terjadi aliran permukaan (run off).
Nilai koefisien keseragaman/coeficient uniformity (CU) sebesar 53.13%. Rendahnya nilai koefisien
keseragaman yang diperoleh disebabkan karena penggunaan metode single nozzle head sprinkler
dan tingginya kecepatan angin yang terjadi di lokasi penelitian sebesar 0.66 m/det. Hasil produksi
tanaman pakcoy sebesar 1.7 kg/m2 dengan berat per tanaman 70 gram/tanaman.",['S1'],,,,TRUE,30-36,http://jurnal.unpad.ac.id/teknotan,,published,,,,['Universitas Lampung'],,Jurnal Teknotan,[{'url': 'http://jurnal.unpad.ac.id/teknotan/article/view/8827'}],1.0,10.0,2528-6285,Doi 10.24198/jt,,,,,,,
26,Bandar Lampung,Analisis Spasial Lahan Pertanian Pangan Berkelanjutan (LP2B) di Kabupaten Pesawaran,other,"[{'name': {'honourific': None, 'lineage': None, 'family': 'Pratama', 'given': 'Agung'}, 'id': None}, {'id': None, 'name': {'given': 'Mohamad', 'honourific': None, 'lineage': None, 'family': 'Amin'}}, {'name': {'honourific': None, 'lineage': None, 'family': 'Asmara', 'given': 'Sandi'}, 'id': 'Shandiasmara@yahoo.com'}, {'id': None, 'name': {'honourific': None, 'family': 'Rosadi', 'lineage': None, 'given': 'Bustomi'}}]","[{'placement': 1, 'eprintid': 28728, 'uri': 'http://repository.lppm.unila.ac.id/id/document/42787', 'pos': 1, 'security': 'public', 'main': 'Scan2020-Reviewer Penelitian5.pdf', 'files': [{'datasetid': 'document', 'fileid': 254866, 'mime_type': 'application/pdf', 'hash': '28443199d9076caf01016048c794df58', 'hash_type': 'MD5', 'mtime': '2021-03-30 17:21:12', 'filesize': 1300536, 'objectid': 42787, 'filename': 'Scan2020-Reviewer Penelitian5.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/254866'}], 'docid': 42787, 'format': 'text', 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf'}, {'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/42788', 'pos': 2, 'eprintid': 28728, 'placement': 2, 'content': 'other', 'mime_type': 'application/xml', 'language': 'en', 'rev_number': 3, 'format': 'text', 'main': 2466, 'files': [{'mime_type': 'application/xml', 'hash': '64549753779b72354273d57001300d88', 'fileid': 254869, 'datasetid': 'document', 'mtime': '2021-03-30 17:21:46', 'hash_type': 'MD5', 'filename': 2466, 'uri': 'http://repository.lppm.unila.ac.id/id/file/254869', 'filesize': 26612, 'objectid': 42788}], 'docid': 42788}]",2021-03-31 02:14:57,432,show,28728,archive,2021-03-31 02:14:57,unpub,10,2021-03-31 02:14:57,public,['FP18'],Universitas Lampung,disk0/00/02/87/28,http://repository.lppm.unila.ac.id/id/eprint/28728,Lembar Hasil Penilaian Reviewer Jurnal Teknik Pertanian Lampung,['S1'],,,,,,,,,,,,,,,,,,,,,,,,,,
27,,"Model Jaringan Syaraf Tiruan untuk Memprediksi 
Indeks Plastisitas Tanah",article,"[{'name': {'given': 'Winda', 'honourific': None, 'lineage': None, 'family': 'Rahmawati'}, 'id': 'winda.rahmawati@fp.unila.ac.id'}, {'name': {'given': 'Siti', 'family': 'Suharyatun', 'lineage': None, 'honourific': None}, 'id': 'siti.suharyatun@fp.unila.ac.id'}, {'name': {'given': 'cicih', 'honourific': None, 'lineage': None, 'family': 'sugianti'}, 'id': 'cicih.sugianti@fp.unila.ac.id'}]","[{'content': 'presentation', 'language': 'en', 'mime_type': 'application/msword', 'rev_number': 2, 'date_embargo': '2020-12-18', 'format': 'text', 'files': [{'hash': '02c2901d4e7d5b720d49f9a938af76d8', 'mime_type': 'application/msword', 'fileid': 143436, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/143436', 'filename': 'Makalah-Seminar Palembang-2019 Winda Rahmawati1.doc', 'objectid': 29986, 'filesize': 135680, 'mtime': '2019-11-18 05:04:18', 'hash_type': 'MD5'}], 'main': 'Makalah-Seminar Palembang-2019 Winda Rahmawati1.doc', 'docid': 29986, 'security': 'validuser', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/29986', 'eprintid': 16883, 'placement': 1}]",2019-11-18 07:14:43,1160,show,16883,archive,2019-11-18 07:14:43,pub,9,2019-11-18 07:14:43,restricted,['FP18'],,disk0/00/01/68/83,http://repository.lppm.unila.ac.id/id/eprint/16883,"Soil index plasticity is an important soil physical property of the soil related to the tillage intensity , especially if it is done by machine such as a tractor. This study aim is to build an artificial neural network (ANN) model that connects the soil texture with the  soil index plasticity. The research was conducted in several stages, namely: (1) soil texture determination, plastic limit and liquid limit in the laboratory, (2) plasticity index calculation, (3) Soil texture-soil plasticity index ANN model built. ANN models are created using 3 input variables, namely x1: clay content, x2: silt content and x3: sand content. The model uses 2 layers, with a logsig-tangig-purelin activation function. The results of the model training resulted in a RMSE (Root Mean Square Error) value of 1.6542 and an R2 value of 0.9570. Model validation produces a correlation value of predictive data and R2 observation data of 0.9332
Keywords: artificial neural network models, soil consistency, soil physical properties, soil texture",['S1'],,,,FALSE,,,,,,,,,,"Prosiding Seminar Nasional Lahan Suboptimal 2019, Palembang  4-5 September 2019 “Smart Farming yang Berwawasan Lingkungan untuk Kesejahteraan Petani”",,,,,,winda.rahmawati@fp.unila.ac.id,,,,,,
28,,9.	KINETIKA FILTRASI LIMBAH CAIR INDUSTRI TAHU DENGAN MENGGUNAKAN METODE BIOFILTER MEDIA ZEOLIT,article,"[{'name': {'lineage': None, 'family': 'Rodiyanti', 'honourific': None, 'given': 'Rodiyanti'}, 'id': 'odiyanti66@gmail.com'}, {'name': {'given': 'Sugeng', 'honourific': None, 'lineage': None, 'family': 'Triyono'}, 'id': 'sugeng.triyono@fp.unila.ac.id'}, {'name': {'given': 'Nugroho', 'family': 'Haryono', 'lineage': None, 'honourific': None}, 'id': None}]","[{'placement': 1, 'eprintid': 46127, 'uri': 'http://repository.lppm.unila.ac.id/id/document/184954', 'pos': 1, 'security': 'public', 'files': [{'mime_type': 'application/pdf', 'hash': 'd29b5319dac8ecfef879a791750e8235', 'fileid': 510109, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/510109', 'filename': '9 Zeolit Lengkap (Non Sinta) GEA.pdf', 'filesize': 2448926, 'objectid': 184954, 'mtime': '2022-10-31 08:37:45', 'hash_type': 'MD5'}], 'main': '9 Zeolit Lengkap (Non Sinta) GEA.pdf', 'docid': 184954, 'format': 'text', 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf'}]",2022-10-31 08:48:31,832,show,46127,archive,2022-10-31 08:48:31,pub,6,2022-10-31 08:48:31,public,['FP18'],Jurusan Teknik Pertanian Fakultas Pertanian Unila,disk0/00/04/61/27,http://repository.lppm.unila.ac.id/id/eprint/46127,"Penelitian ini bertujuan untuk mengetahui kinetika reaksi air limbah industri tahu dengan menggunakan media
zeolit.  Pada penelitian ini dibuat sebuah reaktor biofilter tetap menggunakan media zeolit.  Air limbah tahu
disirkulasi melewati media dengan variasi waktu tinggal atau Hydraulic Retention Times (HRT): 0, 3, 6, 12, 24,
36, 48 jam.  Reaksi orde pertama diterapkan pada kinetika ini.  Hasil penelitian menunjukkan bahwa pH meningkat
dari 4,1 menjadi 8,02.  P total dalam air limbah menurun dari 12,1 mg/L menjadi 6,91 mg/L (penurunan 42%),
sementara P total di media meningkat dari 3,04 mg/L menjadi 5,97 mg/L saat filtrasi 48 jam.  N-NH
 menurun
dari 64,184 mg/L menjadi 12.85 mg/L (penurunan 79,9%).  Total Solids menurun dari 10,404 mg/L menjadi
4003 mg/L (penurunan 61,5%).
Kata kunci : air limbah, biofilter, zeolit
4
+",['S1'],,,,TRUE,,ttps://jurnal.fp.unila.ac.id/index.php/JTP/article/view/662/604,,,,,,,,Jurnal Teknik Pertanian Lampung,,,,2302-559X,,sugeng.triyono@fp.unila.ac.id,,,,,,
29,,PENGEMBANGAN MODEL PREDIKSI LAJU PENGERINGAN PADA IRISAN WORTEL (Daucus carota) BERBASIS REGRESI LINIER BERGANDA (RLB) DAN JARINGAN SYARAF TIRUAN (JST),article,"[{'id': None, 'name': {'given': 'Tri Wahyu', 'family': 'Saputra', 'lineage': None, 'honourific': None}}, {'name': {'family': 'Waluyo', 'lineage': None, 'honourific': None, 'given': 'Sri'}, 'id': 'sri.waluyo@fp.unila.ac.id'}, {'name': {'given': 'Andrie', 'lineage': None, 'family': 'Septiawan', 'honourific': None}, 'id': None}, {'name': {'lineage': None, 'family': 'Ristiyana', 'honourific': None, 'given': 'Suci'}, 'id': None}]","[{'eprintid': 49868, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/189525', 'format': 'text', 'files': [{'hash_type': 'MD5', 'mtime': '2020-11-15 16:26:21', 'objectid': 189525, 'filesize': 586866, 'uri': 'http://repository.lppm.unila.ac.id/id/file/539934', 'filename': 'Jurnal JRPB vol 8 no 2 Thn 2020.pdf', 'fileid': 539934, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': '81787bc99d0df820a65d0cd68c584280'}], 'main': 'Jurnal JRPB vol 8 no 2 Thn 2020.pdf', 'docid': 189525, 'rev_number': 2, 'language': 'en', 'mime_type': 'application/pdf'}, {'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'main': 'Turnitin-5. Pengembangan Model Prediksi Laju Pengeringan Pada Irisan Wortel (Daucus carota) Berbasis Regresi .pdf', 'docid': 189531, 'files': [{'fileid': 539941, 'datasetid': 'document', 'hash': 'd1112a99b7aff882338648ad7f6d1321', 'mime_type': 'application/pdf', 'filesize': 1016670, 'objectid': 189531, 'filename': 'Turnitin-5. Pengembangan Model Prediksi Laju Pengeringan Pada Irisan Wortel (Daucus carota) Berbasis Regresi .pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/539941', 'hash_type': 'MD5', 'mtime': '2023-04-07 10:30:54'}], 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/189531', 'pos': 7, 'security': 'public', 'placement': 7, 'eprintid': 49868}, {'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'main': 'Turnitin-5. Pengembangan Model Prediksi Laju Pengeringan Pada Irisan Wortel (Daucus carota) Berbasis Regresi .pdf', 'docid': 189532, 'files': [{'datasetid': 'document', 'fileid': 539943, 'mime_type': 'application/pdf', 'hash': 'd1112a99b7aff882338648ad7f6d1321', 'objectid': 189532, 'filesize': 1016670, 'uri': 'http://repository.lppm.unila.ac.id/id/file/539943', 'filename': 'Turnitin-5. Pengembangan Model Prediksi Laju Pengeringan Pada Irisan Wortel (Daucus carota) Berbasis Regresi .pdf', 'hash_type': 'MD5', 'mtime': '2023-04-07 10:31:23'}], 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/189532', 'pos': 8, 'security': 'public', 'placement': 8, 'eprintid': 49868}]",2023-04-08 13:27:15,439,show,49868,archive,2023-04-08 13:27:15,pub,6,2023-04-08 13:27:15,public,['FP18'],Universitas Mataram,disk0_bak/00/04/98/68,http://repository.lppm.unila.ac.id/id/eprint/49868,"Drying is a process of reducing water content as a result of heat transfer and water mass. Carrots (Daucus carota) are one of the ingredients that are often dried for additional instant food serving and their drying rate is an essential part to be studied. This research conducted to analyze the effect of thickness variations of carrot slices and developed prediction models for dry rate. The samples were fresh carrot slices at a thickness of 2 mm, 4 mm, and 6 mm with a water content of 90.72%. The measurement time was every 0.5 hours for 5.5 hours of drying with three replications. The one-way ANOVA test and DMRT resulted in a significant difference of each carrot slices thickness to dry rate with a significance level of 99%. Two prediction models were developed, namely the Multiple Linear Regression model (MLR) and the Artificial Neural Network model (ANN). Training and validation of the RLB model resulted in RMSE values of 10.622 and 10.409, then R2 values of 0.66 and 0.64. While training and validation of the ANN model resulted in RMSE values of 1.237 and 2.099 then R2 values of 0.996 and 0.992.",['S1'],,,,TRUE,209-218,https://jrpb.unram.ac.id/index.php/jrpb/article/view/191,,,,,,,,Jurnal Rekayasa Pertanian dan Biosistem,,2.0,8.0,"2301-8119,",,,25380.0,,,,,
30,Bandar Lampung,Aplikasi Sistem Informasi Geografis untuk Analisis Potensi Alat dan Mesin Pertanian Kabupaten Lampung Tengah.,other,"[{'name': {'given': 'Dodi', 'honourific': None, 'family': 'Setiawan', 'lineage': None}, 'id': 'dodisetiawan323@gmail.com'}, {'id': None, 'name': {'given': 'M', 'lineage': None, 'family': 'Amin', 'honourific': None}}, {'id': 'Shandiasmara@yahoo.com', 'name': {'given': 'Sandi', 'honourific': None, 'lineage': None, 'family': 'Asmara'}}, {'id': 'zahabridwan@gmail.com', 'name': {'honourific': None, 'lineage': None, 'family': 'Ridwan', 'given': 'Ridwan'}}]","[{'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/42847', 'eprintid': 28783, 'placement': 1, 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'format': 'text', 'main': 'Scan2020-Reviewer Penelitian9.pdf', 'docid': 42847, 'files': [{'fileid': 255314, 'datasetid': 'document', 'hash': '33a010a97ea9956f10b6e73d10101bef', 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2021-03-31 05:16:07', 'objectid': 42847, 'filesize': 1301964, 'uri': 'http://repository.lppm.unila.ac.id/id/file/255314', 'filename': 'Scan2020-Reviewer Penelitian9.pdf'}]}, {'format': 'text', 'docid': 42849, 'main': 2512, 'files': [{'hash': '55f416d9c281c43875e6fbb2ca0a49b1', 'mime_type': 'application/xml', 'datasetid': 'document', 'fileid': 255323, 'uri': 'http://repository.lppm.unila.ac.id/id/file/255323', 'filename': 2512, 'objectid': 42849, 'filesize': 26876, 'mtime': '2021-03-31 05:16:59', 'hash_type': 'MD5'}], 'content': 'other', 'language': 'en', 'mime_type': 'application/xml', 'rev_number': 3, 'eprintid': 28783, 'placement': 2, 'security': 'public', 'pos': 2, 'uri': 'http://repository.lppm.unila.ac.id/id/document/42849'}]",2021-04-01 01:57:10,432,show,28783,archive,2021-04-01 01:57:10,unpub,13,2021-04-01 01:57:10,public,['FP18'],Universitas Lampung,disk0/00/02/87/83,http://repository.lppm.unila.ac.id/id/eprint/28783,Lembar Hasil Penilaian Peer Review Jurnal Teknik Pertanian Lampung,['S1'],,,,,,,,,,,,,,,,,,,,,,,,,,
