,metadata_visibility,eprint_status,eprintid,datestamp,documents,lastmod,userid,refereed,title,creators,type,subjects,uri,date,abstract,divisions,publisher,publication,dir,rev_number,ispublished,status_changed,full_text_status,book_title,pres_type,event_type,event_title,place_of_pub,id_number,official_url,funders,date_type,projects,corp_creators,number,volume
11,show,archive,50089,2023-04-10 09:19:25,"[{'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/189788', 'pos': 1, 'eprintid': 50089, 'placement': 1, 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'format': 'text', 'files': [{'hash_type': 'MD5', 'mtime': '2023-04-10 07:25:43', 'objectid': 189788, 'filesize': 3635986, 'uri': 'http://repository.lppm.unila.ac.id/id/file/541747', 'filename': 'HUKUM INTERNASIONAL (2).pdf', 'datasetid': 'document', 'fileid': 541747, 'mime_type': 'application/pdf', 'hash': 'b09967ee4d4ee6580467fb1953e6be3f'}], 'main': 'HUKUM INTERNASIONAL (2).pdf', 'docid': 189788}]",2023-04-10 09:19:25,230,FALSE,hukum internasional,"[{'name': {'honourific': None, 'lineage': None, 'family': 'Ahmad Syofyan', 'given': 'Ahmad S'}, 'id': 'ahmad.syofyan@fh.unila.ac.id'}]",book_section,['K1'],http://repository.lppm.unila.ac.id/id/eprint/50089,1970-01-01 00:00:00.000002022,,['FH2'],Pusat Kajian Konstitusi dan Perundang-undangan Universitas Lampung,,disk0_bak/00/05/00/89,7,pub,2023-04-10 09:19:25,public,hukum internasional,,,,,,,,,,,,
12,show,archive,49958,2023-04-10 00:57:17,"[{'main': 'JURNAL NEW.pdf', 'files': [{'mime_type': 'application/pdf', 'hash': '001c665dc44641088179da86641c37ba', 'fileid': 540722, 'datasetid': 'document', 'filename': 'JURNAL NEW.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/540722', 'objectid': 189647, 'filesize': 31348649, 'mtime': '2023-04-09 06:17:41', 'hash_type': 'MD5'}], 'docid': 189647, 'format': 'text', 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'placement': 1, 'eprintid': 49958, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/189647', 'security': 'public'}]",2023-04-10 00:57:17,196,FALSE,"The Relevance of the Keduk’an System to the Realization of
Food Sovereignty: A Study in Juku Batu Village, Indonesia","[{'name': {'lineage': None, 'family': 'Dewi Septiana', 'honourific': None, 'given': 'Dewi Septiana'}, 'id': 'dewiseptiana80@yahoo.co.id'}]",article,['K1'],http://repository.lppm.unila.ac.id/id/eprint/49958,1970-01-01 00:00:00.000002022,Hasil Check Similarity,['FH2'],FoFJ,"Future of Food: Journal on Food, Agriculture and Society",disk0_bak/00/04/99/58,6,pub,2023-04-10 00:57:17,public,,,,,,,,,,,,,
13,show,archive,51130,2023-05-08 02:03:51,"[{'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/190848', 'eprintid': 51130, 'placement': 1, 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'format': 'text', 'docid': 190848, 'main': 'LEGAL POLICY IN HANDLING CYBER.pdf', 'files': [{'filename': 'LEGAL POLICY IN HANDLING CYBER.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/549644', 'objectid': 190848, 'filesize': 2998671, 'mtime': '2023-05-06 01:41:08', 'hash_type': 'MD5', 'hash': '3195c1926bf800df579082fcef204d6c', 'mime_type': 'application/pdf', 'fileid': 549644, 'datasetid': 'document'}]}]",2023-05-08 02:03:51,37,FALSE,LEGAL POLICY IN HANDLING CYBER CRIME FOR CREATING PERSONAL DATA SECURITY,"[{'id': 'dona.raisa@fh.unila.ac.id', 'name': {'given': 'Raisa Monica', 'honourific': None, 'family': 'Dona', 'lineage': None}}]",article,['K1'],http://repository.lppm.unila.ac.id/id/eprint/51130,1970-01-01 00:00:00.000002022,Hasil Check Similarity,['FH2'],IJCRT (IJCRT.ORG),INTERNATIONAL JOURNAL OF CREATIVE RESEARCH THOUGHTS - IJCRT (IJCRT.ORG),disk0_bak/00/05/11/30,6,pub,2023-05-08 02:03:51,public,,,,,,,,,,,,,
14,show,archive,41375,2022-04-19 08:42:40,"[{'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'docid': 163008, 'main': 'Reviewer Analisis.pdf', 'files': [{'datasetid': 'document', 'fileid': 458613, 'hash': '3bc363b18cd1b562d5e0a9101ef4bbde', 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2022-04-19 08:01:40', 'objectid': 163008, 'filesize': 531251, 'uri': 'http://repository.lppm.unila.ac.id/id/file/458613', 'filename': 'Reviewer Analisis.pdf'}], 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/163008', 'security': 'public', 'placement': 1, 'eprintid': 41375}]",2022-04-19 08:42:40,61,FALSE,Analisis Hukum Jaminan Pembiayaan Modal Usaha Dalam Akad Mudharabah Pada Perbankan Syariah,"[{'name': {'given': 'Kasmawati', 'family': 'Kasmawati', 'lineage': None, 'honourific': None}}]",article,['K1'],http://repository.lppm.unila.ac.id/id/eprint/41375,2022-03-01 00:00:00.000000000,Hasil Penilaian Sejawat Sebidang atau Peer Reviewe,['FH2'],"Program Pascasarjana Hukum, Universitas Pattimura",PAMALI: Pattimura Magister Law Review,disk0/00/04/13/75,6,pub,2022-04-19 08:42:40,public,,,,,,,,,,,,,
15,show,archive,41372,2022-04-19 08:42:35,"[{'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/163005', 'pos': 1, 'eprintid': 41372, 'placement': 1, 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'format': 'text', 'main': 'Reviewer The Effectiveness.pdf', 'docid': 163005, 'files': [{'datasetid': 'document', 'fileid': 458594, 'mime_type': 'application/pdf', 'hash': 'aeb35e1bc01c8e057029a17a606ee220', 'filesize': 553445, 'objectid': 163005, 'uri': 'http://repository.lppm.unila.ac.id/id/file/458594', 'filename': 'Reviewer The Effectiveness.pdf', 'hash_type': 'MD5', 'mtime': '2022-04-19 07:46:51'}]}]",2022-04-19 08:42:35,61,FALSE,The Effectiveness of Partnership Programs and Environmental Development by State-Owned Enterprises (BUMN) in Empowering Micro and Small Businesses in Lampung,"[{'name': {'honourific': None, 'family': 'Kasmawati', 'lineage': None, 'given': 'Kasmawati'}}]",article,['K1'],http://repository.lppm.unila.ac.id/id/eprint/41372,2022-03-01 00:00:00.000000000,Hasil Penilaian Sejawat Sebidang atau Peer Review,['FH2'],Scholars Middle East Publisher,"IScholars International Journal of Law, Crime and Justice (SIJLCJ)",disk0/00/04/13/72,6,pub,2022-04-19 08:42:35,public,,,,,,,,,,,,,
16,show,archive,41373,2022-04-19 08:42:37,"[{'placement': 1, 'eprintid': 41373, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/163006', 'security': 'public', 'main': 'Reviewer Legal Respon.pdf', 'files': [{'mtime': '2022-04-19 07:51:42', 'hash_type': 'MD5', 'filename': 'Reviewer Legal Respon.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/458600', 'filesize': 530068, 'objectid': 163006, 'mime_type': 'application/pdf', 'hash': 'b4219d45c65e2d0e11e29364f2d4d959', 'datasetid': 'document', 'fileid': 458600}], 'docid': 163006, 'format': 'text', 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1}]",2022-04-19 08:42:37,61,FALSE,Legal Responsibilities of the Parties in Issuance of Commercial Paper Based on Bank Indonesia Regulation No: 19/9/PBI/2017,"[{'name': {'given': 'Kasmawati', 'family': 'Kasmawati', 'lineage': None, 'honourific': None}}]",article,['K1'],http://repository.lppm.unila.ac.id/id/eprint/41373,2022-03-01 00:00:00.000000000,Hasil Penilaian Sejawat Sebidang atau Peer Review,['FH2'],Scholars Middle East Publisher,"IScholars International Journal of Law, Crime and Justice (SIJLCJ)",disk0/00/04/13/73,7,pub,2022-04-19 08:42:37,public,,,,,,,,,,,,,
17,show,archive,41684,2022-05-18 09:07:56,"[{'placement': 1, 'eprintid': 41684, 'uri': 'http://repository.lppm.unila.ac.id/id/document/163345', 'pos': 1, 'security': 'public', 'main': 'KASMAWATI-Urgency.pdf', 'files': [{'hash_type': 'MD5', 'mtime': '2022-05-18 07:58:35', 'filesize': 2542714, 'objectid': 163345, 'uri': 'http://repository.lppm.unila.ac.id/id/file/460909', 'filename': 'KASMAWATI-Urgency.pdf', 'datasetid': 'document', 'fileid': 460909, 'mime_type': 'application/pdf', 'hash': '3c24fbac04384003f0232ad16727a852'}], 'docid': 163345, 'format': 'text', 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1}]",2022-05-18 09:07:56,61,FALSE,Urgency of Electronic Licensing Management Licensing Services in Improving the Community Economy,"[{'name': {'given': 'Kasmawati', 'honourific': None, 'family': 'Kasmawati', 'lineage': None}}]",conference_item,['K1'],http://repository.lppm.unila.ac.id/id/eprint/41684,1970-01-01 00:00:00.000002022,Hasil Check Similarity,['FH2'],,,disk0/00/04/16/84,8,pub,2022-05-18 09:07:56,public,,paper,conference,"Advances in Social Science, Education and Humanities Research",,,,,,,,,
18,show,archive,41360,2022-04-19 08:42:19,"[{'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'main': 'LEGAL RESPONSIBILITY.pdf', 'docid': 162996, 'files': [{'datasetid': 'document', 'fileid': 458528, 'mime_type': 'application/pdf', 'hash': '786e7633f1e82a6c8a59664f9cf98cac', 'objectid': 162996, 'filesize': 1878068, 'uri': 'http://repository.lppm.unila.ac.id/id/file/458528', 'filename': 'LEGAL RESPONSIBILITY.pdf', 'hash_type': 'MD5', 'mtime': '2022-04-19 03:09:31'}], 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/162996', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 41360}]",2022-04-19 08:42:19,61,FALSE,Legal Responsibilities of the Parties in Issuance of Commercial Paper Based on Bank Indonesia Regulation No: 19/9/PBI/2017,"[{'name': {'given': 'kingkin', 'lineage': None, 'family': 'Kingkin wahyuningdiah', 'honourific': None}}, {'name': {'given': 'Kasmawati', 'family': 'Kasmawati', 'lineage': None, 'honourific': None}}]",article,['K1'],http://repository.lppm.unila.ac.id/id/eprint/41360,2022-03-01 00:00:00.000000000,Hasil Check Similarity,['FH2'],Scholars Middle East Publisher,"IScholars International Journal of Law, Crime and Justice (SIJLCJ)",disk0/00/04/13/60,6,pub,2022-04-19 08:42:19,public,,,,,,,,,,,,,
19,show,archive,38851,2022-02-02 07:18:37,"[{'main': 'Searching For Justice in The Policy for Combating.pdf', 'docid': 159993, 'files': [{'objectid': 159993, 'filesize': 2065611, 'filename': 'Searching For Justice in The Policy for Combating.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/438781', 'hash_type': 'MD5', 'mtime': '2022-02-02 06:10:32', 'fileid': 438781, 'datasetid': 'document', 'hash': '7895284277e91b9648a8941340ab3b21', 'mime_type': 'application/pdf'}], 'format': 'text', 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'placement': 1, 'eprintid': 38851, 'uri': 'http://repository.lppm.unila.ac.id/id/document/159993', 'pos': 1, 'security': 'public'}]",2022-02-02 07:18:37,318,FALSE,Searching For Justice in The Policy for Combating Illegal Fishing in Indonesia: The Dignified Justice Perspective,"[{'id': 'mayashafira@fh.unila.ac.id', 'name': {'honourific': None, 'family': 'Maya Shafira', 'lineage': None, 'given': 'Maya Shafira'}}]",article,['K1'],http://repository.lppm.unila.ac.id/id/eprint/38851,1970-01-01 00:00:00.000002022,Hasil Check Similarity,['FH2'],"University of Tehran, Iran",Webology,disk0/00/03/88/51,7,pub,2022-02-02 07:18:37,public,,,,,,,,,,,,,
20,show,archive,39320,2022-02-16 01:16:04,"[{'placement': 1, 'eprintid': 39320, 'uri': 'http://repository.lppm.unila.ac.id/id/document/160603', 'pos': 1, 'security': 'public', 'main': 'Reviewer Searching.pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/442428', 'filename': 'Reviewer Searching.pdf', 'objectid': 160603, 'filesize': 396791, 'mtime': '2022-02-15 08:18:07', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'hash': '096a63f8d7dee758350e66e7f97c1464', 'datasetid': 'document', 'fileid': 442428}], 'docid': 160603, 'format': 'text', 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf'}]",2022-02-16 01:16:04,318,FALSE,Searching For Justice in The Policy for Combating Illegal Fishing in Indonesia: The Dignified Justice Perspective,"[{'id': 'mayashafira@fh.unila.ac.id', 'name': {'honourific': None, 'family': 'Maya Shafira', 'lineage': None, 'given': 'Maya Shafira'}}]",article,['K1'],http://repository.lppm.unila.ac.id/id/eprint/39320,1970-01-01 00:00:00.000002022,Hasil Penilaian Sejawat Sebidang atau Peer Review,['FH2'],"University of Tehran, Iran",Webology,disk0/00/03/93/20,6,pub,2022-02-16 01:16:04,public,,,,,,,,,,,,,
