,type,title,lastmod,editors,metadata_visibility,status_changed,rev_number,dir,divisions,funders,volume,uri,date_type,subjects,place_of_pub,isbn,refereed,userid,number,official_url,pages,documents,datestamp,eprint_status,id_number,eprintid,pagerange,full_text_status,ispublished,publisher,abstract,projects,date,book_title,series,publication,creators,pres_type,event_title,event_type,issn,related_url,corp_creators,department,institution,monograph_type,event_dates,event_location
10,article,Implications of the Omnibus Law on Job Creation towards the Indonesian Forestry Sector,2022-02-16 01:16:11,,show,2022-02-16 01:16:11,6,disk0/00/03/93/25,['FH2'],,,http://repository.lppm.unila.ac.id/id/eprint/39325,,['K1'],,,FALSE,318,,,,"[{'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'files': [{'mime_type': 'application/pdf', 'hash': '94ed61ded942114935985ccf07bc449c', 'datasetid': 'document', 'fileid': 442452, 'mtime': '2022-02-15 08:52:37', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/442452', 'filename': 'Reviewer Implications.pdf', 'filesize': 394761, 'objectid': 160608}], 'main': 'Reviewer Implications.pdf', 'docid': 160608, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/160608', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 39325}]",2022-02-16 01:16:11,archive,,39325,,public,pub,"Faculty of Law, Universitas Lampung",Hasil Penilaian Sejawat sebidang atau Peer Review,,1970-01-01 00:00:00.000002021,,,Fiat Justisia,"[{'name': {'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'honourific': None, 'lineage': None, 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali'}, 'id': '<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">mayashafira@fh.unila.ac.id</font></font>'}]",,,,,,,,,,,
11,article,Implications of the Omnibus Law on Job Creation towards the Indonesian Forestry Sector,2022-02-25 10:03:44,,show,2022-02-25 10:03:44,6,disk0/00/03/98/12,['FH2'],,,http://repository.lppm.unila.ac.id/id/eprint/39812,,['K1'],,,FALSE,318,,,,"[{'placement': 1, 'eprintid': 39812, 'uri': 'http://repository.lppm.unila.ac.id/id/document/161090', 'pos': 1, 'security': 'public', 'main': 'Implications_of_the_Omnibus_Law_on_Job_Creation_to.pdf', 'files': [{'fileid': 446245, 'datasetid': 'document', 'hash': '474db9436c31e47f5b2c88214965b617', 'mime_type': 'application/pdf', 'objectid': 161090, 'filesize': 2577674, 'filename': 'Implications_of_the_Omnibus_Law_on_Job_Creation_to.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/446245', 'hash_type': 'MD5', 'mtime': '2022-02-25 06:11:45'}], 'docid': 161090, 'format': 'text', 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1}]",2022-02-25 10:03:44,archive,,39812,,public,pub,"Faculty of Law, Universitas Lampung",Hasil Chcek Similarity,,1970-01-01 00:00:00.000002021,,,Fiat Justisia,"[{'id': '<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">mayashafira@fh.unila.ac.id</font></font>', 'name': {'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'lineage': None, 'honourific': None, 'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali'}}]",,,,,,,,,,,
12,article,Kebijakan Perlindungan Anak Binaan Lembaga Pemasyarakatan Di Masa  Pandemi Covid-19,2021-09-03 02:04:21,,show,2021-09-03 02:04:21,6,disk0/00/03/37/59,['FH2'],,,http://repository.lppm.unila.ac.id/id/eprint/33759,,['K1'],,,FALSE,114,,,,"[{'files': [{'mtime': '2021-09-02 04:58:02', 'hash_type': 'MD5', 'filename': '191-1-476-1-10-20210819.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/399747', 'filesize': 406894, 'objectid': 153990, 'hash': '3ab752172833bf307a37f3ec6b407dc2', 'mime_type': 'application/pdf', 'fileid': 399747, 'datasetid': 'document'}], 'main': '191-1-476-1-10-20210819.pdf', 'docid': 153990, 'format': 'text', 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'placement': 1, 'eprintid': 33759, 'uri': 'http://repository.lppm.unila.ac.id/id/document/153990', 'pos': 1, 'security': 'public'}]",2021-09-03 02:04:21,archive,,33759,,public,pub,UNES,,,2021-04-01 00:00:00.000000000,,,Swara Justisia,"[{'name': {'lineage': None, 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'honourific': None, 'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali'}, 'id': '<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">rini.fathonah@fh.unila.ac.id</font></font>'}]",,,,,,,,,,,
13,article,Lampung Provincial Government Synergy And Bnn In P4gn Program,2022-01-07 07:16:17,,show,2022-01-07 07:16:17,6,disk0/00/03/77/26,['FH2'],,,http://repository.lppm.unila.ac.id/id/eprint/37726,,['K1'],,,FALSE,1231,,,,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/158654', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 37726, 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'main': 'Reviewer Jurnal Sri Riski.pdf', 'files': [{'objectid': 158654, 'filesize': 256657, 'uri': 'http://repository.lppm.unila.ac.id/id/file/430068', 'filename': 'Reviewer Jurnal Sri Riski.pdf', 'hash_type': 'MD5', 'mtime': '2022-01-07 01:28:30', 'fileid': 430068, 'datasetid': 'document', 'hash': '78e86f57e9c2ad3c5e778e314790c7f1', 'mime_type': 'application/pdf'}], 'docid': 158654, 'format': 'text'}]",2022-01-07 07:16:17,archive,,37726,,public,pub,Magister Hukum Universitas Bandar Lampung,Hasil Penilaian Sejawat Sebidang atau Peer Reviewe,,2021-07-01 00:00:00.000000000,,,PRANATA HUKUM,"[{'name': {'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'honourific': None, 'lineage': None, 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali'}}]",,,,,,,,,,,
14,article,Legal Redesignation of Central and Regional Authorities to Strengthen Sinergity in Public Services,2021-05-27 02:30:24,,show,2021-05-27 02:30:24,6,disk0/00/03/07/37,['FH2'],,,http://repository.lppm.unila.ac.id/id/eprint/30737,,['K1'],,,FALSE,1229,,,,"[{'format': 'text', 'main': 'Cia Legal.pdf', 'files': [{'filename': 'Cia Legal.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/364540', 'filesize': 395669, 'objectid': 138603, 'mtime': '2021-05-25 04:37:19', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'hash': 'f94c553fc406b0f53a97b4934b738556', 'datasetid': 'document', 'fileid': 364540}], 'docid': 138603, 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 30737, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/138603'}]",2021-05-27 02:30:24,archive,,30737,23-48,public,pub,"<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">FH Universitas Syiahkuala</font></font>",Hasil Penilaian Sejawat Sebidang atau Peer Review,,2021-04-01 00:00:00.000000000,,,"<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">Kanun Jurnal Ilmu Hukum</font></font>","[{'name': {'honourific': None, 'lineage': None, 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali'}, 'id': '<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">maliciaevendia@yahoo.com</font></font>'}]",,,,"<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">0854-5499</font></font>",,,,,,,
15,article,MEDIA PEMBELAJARAN PENDIDIKAN AGAMA ISLAM (PAI) PADA SISTEM PEMBELAJARAN DALAM JARINGAN (DARING) DI MASA PANDEMI COVID-19,2022-01-11 10:13:27,,show,2022-01-11 10:13:27,6,disk0/00/03/78/19,['FH2'],,,http://repository.lppm.unila.ac.id/id/eprint/37819,,['K1'],,,FALSE,3486,,,,"[{'format': 'text', 'files': [{'hash_type': 'MD5', 'mtime': '2022-01-11 03:33:03', 'filesize': 395751, 'objectid': 158748, 'filename': 'Reviewer Rohani.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/430766', 'datasetid': 'document', 'fileid': 430766, 'hash': '3c1751587fe826528ee7b40b8545c66a', 'mime_type': 'application/pdf'}], 'main': 'Reviewer Rohani.pdf', 'docid': 158748, 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'eprintid': 37819, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/158748'}]",2022-01-11 10:13:27,archive,,37819,,public,pub,JIAI Jurnal Ilmu Agama Islam,Hasil Penilaian Sejawat Sebidang atau Peer Reviewe,,1970-01-01 00:00:00.000002021,,,JIAI Jurnal Ilmu Agama Islam,"[{'name': {'honourific': None, 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'lineage': None, 'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali'}, 'id': '<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">rohani@fh.unila.ac.id</font></font>'}]",,,,,,,,,,,
16,article,"Menelaah Keadilan dalam Kebijakan Penanggulangan Illegal 
Fishing Di Indonesia: Perspektif Konsep Keadilan Thomas 
Aquinas",2021-06-17 07:37:53,,show,2021-06-17 07:37:53,6,disk0/00/03/26/46,['FH2'],,,http://repository.lppm.unila.ac.id/id/eprint/32646,,['K1'],,,FALSE,114,,,,"[{'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'format': 'text', 'main': '357-1750-1-PB.pdf', 'files': [{'mtime': '2021-06-17 02:29:35', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/386257', 'filename': '357-1750-1-PB.pdf', 'objectid': 148301, 'filesize': 785113, 'mime_type': 'application/pdf', 'hash': '2e13bb3d496331f7012c1db67ee74d81', 'datasetid': 'document', 'fileid': 386257}], 'docid': 148301, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/148301', 'pos': 1, 'eprintid': 32646, 'placement': 1}]",2021-06-17 07:37:53,archive,,32646,,public,pub,Universitas Pattimura,,,1970-01-01 00:00:00.000002021,,,S A S I,"[{'name': {'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'honourific': None, 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'lineage': None}, 'id': '<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">rini.fathonah@fh.unila.ac.id</font></font>'}]",,,,,,,,,,,
17,article,Model Kebijakan Pengelolaan Wilayah Pesisir Lampung Berbasis Masyarakat,2022-02-16 01:16:13,,show,2022-02-16 01:16:13,6,disk0/00/03/93/26,['FH2'],,,http://repository.lppm.unila.ac.id/id/eprint/39326,,['K1'],,,FALSE,318,,,,"[{'files': [{'mime_type': 'application/pdf', 'hash': '67d0f7391dd26bb1f98a80b93fd4ee26', 'datasetid': 'document', 'fileid': 442458, 'filename': 'Reviewer Model.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/442458', 'objectid': 160609, 'filesize': 402419, 'mtime': '2022-02-15 08:55:44', 'hash_type': 'MD5'}], 'main': 'Reviewer Model.pdf', 'docid': 160609, 'format': 'text', 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'placement': 1, 'eprintid': 39326, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/160609', 'security': 'public'}]",2022-02-16 01:16:13,archive,,39326,,public,pub,Balai Besar Riset Sosial Ekonomi Kelautan dan Perikanan,Hasil Penilaian Sejawat Sebidang atau Peer Review,,1970-01-01 00:00:00.000002021,,,Jurnal Kebijakan Sosek KP,"[{'id': '<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">mayashafira@fh.unila.ac.id</font></font>', 'name': {'lineage': None, 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'honourific': None, 'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali'}}]",,,,,,,,,,,
18,book_section,PENDEKATAN HUKUM HUMANIS BERBASIS PANCASILA DALAM PENEGAKAN HUKUM TERHADAP ANAK PELAKU TINDAK PIDANA EXTRA ORDINARY,2022-02-04 07:51:16,,show,2022-02-04 07:51:16,7,disk0/00/03/90/20,['FH2'],,,http://repository.lppm.unila.ac.id/id/eprint/39020,,['K1'],,,FALSE,114,,,,"[{'format': 'text', 'files': [{'filesize': 2223967, 'objectid': 160307, 'uri': 'http://repository.lppm.unila.ac.id/id/file/440252', 'filename': 'Pendekatan Hukum HBP.pdf', 'hash_type': 'MD5', 'mtime': '2022-02-04 07:35:32', 'datasetid': 'document', 'fileid': 440252, 'mime_type': 'application/pdf', 'hash': '4da083e1e77e5fea77c47bd4e1f27a17'}], 'main': 'Pendekatan Hukum HBP.pdf', 'docid': 160307, 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 39020, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/160307', 'pos': 1}]",2022-02-04 07:51:16,archive,,39020,,public,pub,PUSAKA MEDIA Anggota IKAPI No. 008/LPU/2020,,,2021-11-01 00:00:00.000000000,PENDEKATAN HUKUM HUMANIS BERBASIS PANCASILA DALAM PENEGAKAN HUKUM TERHADAP ANAK PELAKU TINDAK PIDANA EXTRA ORDINARY,,,"[{'id': '<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">rini.fathonah@fh.unila.ac.id</font></font>', 'name': {'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'honourific': None, 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'lineage': None}}]",,,,,,,,,,,
19,article,"Partnership Agreement for Business Actors in
Improving the Economy in Indonesia",2021-06-28 03:21:02,,show,2021-06-28 03:21:02,6,disk0/00/03/29/12,['FH2'],,,http://repository.lppm.unila.ac.id/id/eprint/32912,,['K1'],,,FALSE,61,,,,"[{'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/150021', 'pos': 1, 'eprintid': 32912, 'placement': 1, 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'format': 'text', 'files': [{'hash': '94eefba9b5fe9b46e775d15f60a1e0a4', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 389736, 'uri': 'http://repository.lppm.unila.ac.id/id/file/389736', 'filename': 'IJISRT21JUN331.pdf', 'filesize': 371935, 'objectid': 150021, 'mtime': '2021-06-28 02:41:11', 'hash_type': 'MD5'}], 'main': 'IJISRT21JUN331.pdf', 'docid': 150021}]",2021-06-28 03:21:02,archive,,32912,,public,pub,IJISRT,,,1970-01-01 00:00:00.000002021,,,International Journal of Innovative Science and Research Technology,"[{'name': {'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'lineage': None, 'honourific': None, 'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali'}}]",,,,,,,,,,,
20,book_section,Perlindungan Hukum terhadap Anak yang Berkonflik dengan Hukum di dalam Sistem Peradilan Pidana Anak di Indonesia pada Masa Pandemi Covid-19,2022-02-15 08:15:44,,show,2022-02-15 08:15:44,7,disk0/00/03/93/14,['FH2'],,,http://repository.lppm.unila.ac.id/id/eprint/39314,,['K1'],,,FALSE,318,,,,"[{'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/160598', 'pos': 1, 'eprintid': 39314, 'placement': 1, 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'format': 'text', 'docid': 160598, 'main': 'Reviewer Perlindungan.pdf', 'files': [{'hash': 'b0bcd5a13fa8c1ef459b8552614a8992', 'mime_type': 'application/pdf', 'fileid': 442377, 'datasetid': 'document', 'filename': 'Reviewer Perlindungan.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/442377', 'objectid': 160598, 'filesize': 382339, 'mtime': '2022-02-15 08:03:36', 'hash_type': 'MD5'}]}]",2022-02-15 08:15:44,archive,,39314,,public,pub,PUSAKA MEDIA Anggota IKAPI,Hasil Penilaian Sejawat Sebidang atau Peer Review,,1970-01-01 00:00:00.000002021,Sistem Peradilan Pidana Anak,,,"[{'id': '<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">mayashafira@fh.unila.ac.id</font></font>', 'name': {'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'honourific': None, 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'lineage': None}}]",,,,,,,,,,,
21,article,The Policy of Cooperative and Small and Medium Enterprises Office in Improving Cooperative Achievement in Lampung Province,2021-06-11 04:11:29,,show,2021-06-11 04:11:29,6,disk0/00/03/25/22,['FH2'],,,http://repository.lppm.unila.ac.id/id/eprint/32522,,['K1'],,,FALSE,1232,,,,"[{'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'format': 'text', 'main': '2201-Article Text-8385-1-10-20210521.pdf', 'files': [{'filesize': 349065, 'objectid': 147689, 'filename': '2201-Article Text-8385-1-10-20210521.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/384966', 'hash_type': 'MD5', 'mtime': '2021-06-11 03:43:29', 'fileid': 384966, 'datasetid': 'document', 'hash': '60a87184a0f6ad048de54466571fa90a', 'mime_type': 'application/pdf'}], 'docid': 147689, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/147689', 'pos': 1, 'eprintid': 32522, 'placement': 1}]",2021-06-11 04:11:29,archive,,32522,,public,pub,,,,1970-01-01 00:00:00.000002021,,,"<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">TINJAUAN HUKUM ADMINISTRATIF DAN LINGKUNGAN</font></font>","[{'name': {'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'lineage': None, 'honourific': None, 'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali'}}]",,,,"<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">E-ISSN: 2745-9330</font></font>",,,,,,,
22,article,The Policy of Cooperative and Small and Medium Enterprises Office in Improving Cooperative Achievement in Lampung Province,2021-06-18 01:49:37,,show,2021-06-18 01:49:37,6,disk0/00/03/26/54,['FH2'],,,http://repository.lppm.unila.ac.id/id/eprint/32654,,['K1'],,,FALSE,1232,,,,"[{'format': 'text', 'main': 'Review Fenny.pdf', 'files': [{'hash_type': 'MD5', 'mtime': '2021-06-17 08:52:23', 'filesize': 409275, 'objectid': 148350, 'uri': 'http://repository.lppm.unila.ac.id/id/file/386371', 'filename': 'Review Fenny.pdf', 'datasetid': 'document', 'fileid': 386371, 'hash': 'f5e9e6f916c194aa07651aa4615aaf1c', 'mime_type': 'application/pdf'}], 'docid': 148350, 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'eprintid': 32654, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/148350'}]",2021-06-18 01:49:37,archive,,32654,,public,pub,Bagian Hukum Administrasi Negara,Hasil Penilaian Sejawat Sebidang atau Peer Review,,1970-01-01 00:00:00.000002021,,,ADMINISTRATIVE AND ENVIRONMENTAL LAW REVIEW,"[{'name': {'lineage': None, 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'honourific': None, 'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali'}}]",,,,,,,,,,,
23,article,Problematics Of The Establishment Of Indonesian Fisheries Specific Court,2022-02-25 10:03:33,,show,2022-02-25 10:03:33,6,disk0/00/03/98/05,['FH2'],,,http://repository.lppm.unila.ac.id/id/eprint/39805,,['K1'],,,FALSE,318,,,,"[{'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'files': [{'mime_type': 'application/pdf', 'hash': 'f17e92b22c274c0c2617028ce18f5dd8', 'datasetid': 'document', 'fileid': 446212, 'mtime': '2022-02-25 04:06:43', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/446212', 'filename': 'Problematics_Of_The_Establishment_Of_Indonesian_Fi.pdf', 'filesize': 2102256, 'objectid': 161084}], 'main': 'Problematics_Of_The_Establishment_Of_Indonesian_Fi.pdf', 'docid': 161084, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/161084', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 39805}]",2022-02-25 10:03:33,archive,,39805,,public,pub,Science Research Society,Hasil Check Similarity,,1970-01-01 00:00:00.000002021,,,Turkish Online Journal of Qualitative Inquiry (TOJQI),"[{'id': '<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">mayashafira@fh.unila.ac.id</font></font>', 'name': {'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'honourific': None, 'lineage': None, 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali'}}]",,,,,,,,,,,
24,article,"Separation of Assets (Land and Buildings) between
Indonesian Citizens and Foreign Citizens Conducting
Mixed Marriages",2021-04-09 04:25:25,,show,2021-04-09 04:25:25,6,disk0/00/02/90/62,['FH2'],,,http://repository.lppm.unila.ac.id/id/eprint/29062,,['K1'],,,FALSE,769,,,,"[{'format': 'text', 'main': 'Separation_of_Assets.pdf', 'files': [{'datasetid': 'document', 'fileid': 257826, 'mime_type': 'application/pdf', 'hash': '7398706abf9d5dc3b5f6ada7b334ddf4', 'objectid': 43176, 'filesize': 2168835, 'uri': 'http://repository.lppm.unila.ac.id/id/file/257826', 'filename': 'Separation_of_Assets.pdf', 'hash_type': 'MD5', 'mtime': '2021-04-09 04:10:08'}], 'docid': 43176, 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 29062, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/43176'}]",2021-04-09 04:25:25,archive,,29062,,public,pub,IJISRT,Hasil Check Similarity,,2021-03-01 00:00:00.000000000,,,International Journal of Innovative Science and Research Technology,"[{'name': {'honourific': None, 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'lineage': None, 'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali'}}]",,,,,,,,,,,
25,article,Separation of Assets (Land and Buildings) between Indonesian Citizens and Foreign Citizens Conducting Mixed Marriages,2021-11-02 08:45:59,,show,2021-11-02 08:45:59,6,disk0/00/03/48/42,['FH2'],,,http://repository.lppm.unila.ac.id/id/eprint/34842,,['K1'],,,FALSE,769,,,,"[{'placement': 1, 'eprintid': 34842, 'uri': 'http://repository.lppm.unila.ac.id/id/document/155525', 'pos': 1, 'security': 'public', 'main': 'Separtion.pdf', 'files': [{'hash_type': 'MD5', 'mtime': '2021-11-02 07:12:58', 'filesize': 427891, 'objectid': 155525, 'filename': 'Separtion.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/408511', 'fileid': 408511, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': '8642cdfca7760fd78d64893c2b6c5306'}], 'docid': 155525, 'format': 'text', 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1}]",2021-11-02 08:45:59,archive,,34842,,public,pub,IJISRT,Hasil Penilaian sejawat Sebidang atau Peer Reviewer,,1970-01-01 00:00:00.000002021,,,International Journal of Innovative Science and Research Technology,"[{'name': {'honourific': None, 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'lineage': None, 'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali'}}]",,,,,,,,,,,
26,article,"Undang-Undang Cipta Kerja: Berbaju Pancasila, Bernapas Kolonial",2021-08-27 08:55:21,,show,2021-08-27 08:55:21,6,disk0/00/03/36/82,['FH2'],,,http://repository.lppm.unila.ac.id/id/eprint/33682,,['K1'],,,FALSE,114,,,,"[{'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/153873', 'security': 'public', 'placement': 1, 'eprintid': 33682, 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'files': [{'fileid': 399061, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': '432c00f348b12db4a3b5d5b376f8b001', 'filesize': 763824, 'objectid': 153873, 'filename': '19725-66143-1-PB.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/399061', 'hash_type': 'MD5', 'mtime': '2021-08-27 06:57:09'}], 'main': '19725-66143-1-PB.pdf', 'docid': 153873, 'format': 'text'}]",2021-08-27 08:55:21,archive,,33682,,public,pub,POSKO LEGNAS,,,1970-01-01 00:00:00.000002021,,,ADALAH Buletin Hukum & Keadilan,"[{'id': '<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">rini.fathonah@fh.unila.ac.id</font></font>', 'name': {'lineage': None, 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'honourific': None, 'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali'}}]",,,,,,,,,,,
27,article,"Undang-Undang Cipta Kerja: Berbaju Pancasila, Bernapas Kolonial",2022-02-16 01:17:17,,show,2022-02-16 01:17:17,6,disk0/00/03/93/73,['FH2'],,,http://repository.lppm.unila.ac.id/id/eprint/39373,,['K1'],,,FALSE,114,,,,"[{'eprintid': 39373, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/160655', 'pos': 1, 'format': 'text', 'files': [{'mtime': '2022-02-16 01:04:22', 'hash_type': 'MD5', 'filename': 'REVIEW UNDANG.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/442763', 'filesize': 595782, 'objectid': 160655, 'mime_type': 'application/pdf', 'hash': 'e1a6f8792406ff137587f114e51c61af', 'datasetid': 'document', 'fileid': 442763}], 'main': 'REVIEW UNDANG.pdf', 'docid': 160655, 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1}]",2022-02-16 01:17:17,archive,,39373,,public,pub,POSKO LEGNAS,Hasil Penilaian Sejawat Sebidang atau Peer Review,,1970-01-01 00:00:00.000002021,,,ADALAH Buletin Hukum & Keadilan,"[{'name': {'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'lineage': None, 'honourific': None}, 'id': '<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">rini.fathonah@fh.unila.ac.id</font></font>'}]",,,,,,,,,,,
