,refereed,title,creators,type,pagerange,metadata_visibility,eprint_status,eprintid,datestamp,documents,official_url,lastmod,number,userid,publication,publisher,divisions,dir,rev_number,ispublished,status_changed,issn,full_text_status,subjects,date,uri,volume,abstract,event_location,event_dates,pres_type,event_title,event_type,place_of_pub,date_type,succeeds,contributors,related_url,corp_creators
10,TRUE,FAKTOR-FAKTOR YANG MEMENGARUHI CONCEPTION RATE PADA SAPI BALI DI KABUPATEN PRINGSEWU,"[{'id': None, 'name': {'given': 'Frandy', 'honourific': None, 'lineage': None, 'family': 'Febrianthoro'}}, {'name': {'honourific': None, 'family': 'Hartono', 'lineage': None, 'given': 'Madi'}, 'id': 'madi.hartono@fp.unila.ac.id'}, {'name': {'family': 'Suharyati', 'lineage': None, 'honourific': None, 'given': 'Sri'}, 'id': None}]",article,239-244,show,archive,6772,2018-04-25 07:51:47,"[{'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'format': 'text', 'docid': 19739, 'main': 'JURNAL MH CR SAPI BALI.pdf', 'files': [{'hash_type': 'MD5', 'mtime': '2018-04-20 03:21:58', 'filesize': 191372, 'objectid': 19739, 'filename': 'JURNAL MH CR SAPI BALI.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/62069', 'fileid': 62069, 'datasetid': 'document', 'hash': 'fccaec994e8eedd78d4ec66f66438a35', 'mime_type': 'application/pdf'}], 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/19739', 'pos': 1, 'eprintid': 6772, 'placement': 1}]",http://jurnal.fp.unila.ac.id/index.php/JIPT,2018-04-25 07:51:47,4.0,787,JURNAL ILMIAH PETERNAKAN TERPADU,Jurusan Peternakan Unila,['FP17'],disk0/00/00/67/72,6,pub,2018-04-25 07:51:47,2303 1956,public,['SF'],2015-11-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/6772,3.0,"The purpose of this reserch are to know value conception rate and the factors and magnitude factors which disturb conception Rate of Bali Cattles in Pringsewu Regency. This Research was held on December 2014 until January 2015 by using Bali Cattles that had been inseminated of 100 farmers as much 131 Bali Cattles and secondary data IB result from 5 Inseminators. Data was analysis by multifactors regression with SPSS (Statistics Packet for Social Science) program. The result showed that Conception Rate of Bali Cattles at Pringsewu Regency is 50,38%.  Factors that affect the conception rate are the system of provision of  water that positively associated with factor value 0,255, shape of enclosure wall that negatively associated with  factor value 0,142; Age of Bali Cattles that negatively associated with factor value 0,015, service per conception  that negatively associated with factor value 0,295.

Keywords : conception rates, Bali cattle, factors.",,,,,,,published,,"[{'name': {'given': 'Madi', 'lineage': None, 'family': 'Hartono', 'honourific': None}, 'id': 'madihartono66@yahoo.co.id'}]",[{'url': 'http://jurnal.fp.unila.ac.id/index.php/JIPT'}],['Universitas Lampung']
11,TRUE,BEBERAPA FAKTOR YANG MEMENGARUHI SERVICE PER CONCEPTION PADA SAPI BALI DI KABUPATEN PRINGSEWU,"[{'id': None, 'name': {'given': 'Dwi', 'honourific': None, 'family': 'Haryanto', 'lineage': None}}, {'name': {'given': 'Madi', 'honourific': None, 'family': 'Hartono', 'lineage': None}, 'id': 'madi.hartono@fp.unila.ac.id'}, {'name': {'given': 'Sri', 'honourific': None, 'family': 'Suharyati', 'lineage': None}, 'id': None}]",article,145-150,show,archive,6763,2018-04-25 07:53:43,"[{'main': 'JURNAL MH SC SAPI BALI.pdf', 'docid': 19730, 'files': [{'mtime': '2018-04-20 02:39:37', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/62018', 'filename': 'JURNAL MH SC SAPI BALI.pdf', 'filesize': 225768, 'objectid': 19730, 'mime_type': 'application/pdf', 'hash': '070ea832603f4a75ab073144c47a65b3', 'fileid': 62018, 'datasetid': 'document'}], 'format': 'text', 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'placement': 1, 'eprintid': 6763, 'uri': 'http://repository.lppm.unila.ac.id/id/document/19730', 'pos': 1, 'security': 'public'}]",http://jurnal.fp.unila.ac.id/index.php/JIPT,2018-04-25 07:53:43,3.0,787,JURNAL ILMIAH PETERNAKAN TERPADU,Jurusan Peternakan Unila,['FP17'],disk0/00/00/67/63,6,pub,2018-04-25 07:53:43,2303 1956,public,['SF'],2015-08-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/6763,3.0,"Research on service per conception  in Bali Cattles in Pringsewu Regency was held on December 2014 until January 2015 with 5 inseminators, 100 farmers and 131 Bali Cattles that had been inseminated. The purpose of this reserch are to know: 1) value service per conception  of Bali Cattles in Pringsewu Regency,  2) the factors and magnitude factors which disturb service per conception  of Bali Cattles in Pringsewu Regency. Data was analysis by multifactors regression with SPSS (Statistics Packet for Social Science) program. The result showed that service per conception of Bali Cattles at Pringsewu Regency is 1,79 ± 1,03.  Factors that affect the service per conception are distance to acceptors that positively associated with  factor value 0,034; correctly inseminator that negatively associated with factor value 1,460; the system of provision of  water that positively associated with factor value 1,293; and large cage that negatively associated with factor value 0,008.

(Keywords : Service per conception , Bali Cattles,  Factor)",,,,,,,published,,"[{'id': 'madihartono66@yahoo.co.id', 'name': {'given': 'Madi', 'honourific': None, 'family': 'Hartono', 'lineage': None}}]",[{'url': 'http://jurnal.fp.unila.ac.id/index.php/JIPT'}],['Universitas Lampung']
12,TRUE,PENGARUH PEMBERIAN EKSTRAK DAUN BINAHONG (ANREDERA CORDIFOLIA (TEN.) STEENIS) DALAM AIR MINUM TERHADAP PERFORMA BROILER,"[{'name': {'honourific': None, 'lineage': None, 'family': 'Hasiib', 'given': 'Etha ‘Azizah'}, 'id': None}, {'name': {'given': 'Riyanti', 'honourific': None, 'lineage': None, 'family': 'Riyanti'}, 'id': None}, {'name': {'given': 'Madi', 'lineage': None, 'family': 'Hartono', 'honourific': None}, 'id': 'madi.hartono@fp.unila.ac.id'}]",article,14-22,show,archive,6788,2018-04-25 04:39:38,"[{'eprintid': 6788, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/19757', 'format': 'text', 'files': [{'datasetid': 'document', 'fileid': 62174, 'hash': '09fcd2f6e6b34647a6af7cb196617e57', 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2018-04-20 06:18:01', 'filesize': 256077, 'objectid': 19757, 'uri': 'http://repository.lppm.unila.ac.id/id/file/62174', 'filename': 'JURNAL MH DAUN BINAHONG.pdf'}], 'main': 'JURNAL MH DAUN BINAHONG.pdf', 'docid': 19757, 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1}]",http://jurnal.fp.unila.ac.id/index.php/JIPT,2018-04-25 04:39:38,1.0,787,JURNAL ILMIAH PETERNAKAN TERPADU,Jurusan Peternakan Unila,['FP17'],disk0/00/00/67/88,7,pub,2018-04-25 04:39:38,2303 1956,public,['SF'],2015-02-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/6788,3.0,"The purpose of this study were to 1) investigate the effects of heartleaf maderavine madevine (Anredera cordifolia (Ten.) Steenis) extract in water on performance of broiler 2) determine the optimal dose of heartleaf maderavine madevine leave extract in water on performance of broiler. This research use Completely Randomized Design (CRD), with 5 treatments (0 mg heartleaf maderavine madevine exract/kg bw, 100 mg heartleaf maderavine madevine exract kg bw, 150 mg heartleaf maderavine madevine exract /kg bw, 200 mg heartleaf maderavine madevine exract /kg bw, and 250 mg heartleaf maderavine madevine exract kg bw) and 4 replications. The material used 100 broilers age 15 days and was carried out for 14 days. Polynomal orthogonal test done if there is a signification variable. Based on result showed that the treatments did not provide significant effect on performance of broiler.


(Key words : Heartleaf maderavine madevine extract, Performance, broiler)",,,,,,,published,,"[{'name': {'given': 'Madi', 'family': 'Hartono', 'lineage': None, 'honourific': None}, 'id': 'madihartono66@yahoo.co.id'}]",[{'url': 'http://jurnal.fp.unila.ac.id/index.php/JIPT'}],['Universitas Lampung']
13,TRUE,"KADAR
AIR
DAN
TOTAL
MIKROBA
PADA
DAGING
SAPI
DI
TEMPAT
PEMOTONGAN
HEWAN
(TPH)
BANDAR
LAMPUNG","[{'id': None, 'name': {'honourific': None, 'family': 'Hernando', 'lineage': None, 'given': 'Deni'}}, {'name': {'given': 'Dian', 'honourific': None, 'family': 'Septinova', 'lineage': None}, 'id': None}, {'id': '.', 'name': {'given': 'Kusuma', 'honourific': None, 'family': 'Adhianto', 'lineage': None}}]",article,61-68,show,archive,1069,2016-11-07 01:17:26,"[{'security': 'public', 'formatdesc': 'Journal', 'uri': 'http://repository.lppm.unila.ac.id/id/document/959', 'pos': 1, 'eprintid': 1069, 'placement': 1, 'language': 'en', 'rev_number': 3, 'mime_type': 'application/xml', 'format': 'other', 'files': [{'hash_type': 'MD5', 'mtime': '2016-11-05 02:15:16', 'filesize': 15194, 'objectid': 959, 'uri': 'http://repository.lppm.unila.ac.id/id/file/7060', 'filename': 617, 'fileid': 7060, 'datasetid': 'document', 'hash': 'a0d22ba949a1d9dd6b4b2f3c3cf754fe', 'mime_type': 'application/xml'}], 'main': 617, 'docid': 959}]",http://jurnal.fp.unila.ac.id/index.php/JIPT/index,2016-11-07 01:17:26,1.0,444,JURNAL ILMIAH PETERNAKAN TERPADU,Jurusan Peternakan Unila,['FP17'],disk0/00/00/10/69,7,pub,2016-11-07 01:17:26,2303 1956,public,['SF'],1970-01-01 00:00:00.000002015,http://repository.lppm.unila.ac.id/id/eprint/1069,3.0,"The aim of this research was: 1) to determine the water content of the meat in Bandar Lapung abattoirs; 2) 
to determine the microbial quality of the meat in Bandar Lampung abattoirs.  The research was conducted at 
March 2014 continously from Bandar Lampung
abattoirs.  The analysis of the water content was conducted 
in Laboratorium Nutrisi Ternak, Jurusan Peternakan while the analysis of the microbial quality conducted in 
Laboratorium Penguji Balai Veteriner Lampung.  The method of research was survey.  
The 
obtain data was 
analyzed by using the descriptive quantitative analysis.
The  analysis  shows  that  water  content  of  the  meat in  Mrs. Mul’s  abattoir  were  71,92%  and  71,55%.    The 
total  microbial  count  were 
0,67  x10
5
CFU/g 
and  1,2  x10
5
CFU/g.
The  water  content
of  the  meat  in  H. 
Bustomi’s abattoir were 74,84% and 74,43%.  The total microbial count were 0,46x10
5
CFU/g 
and 5,9 x10
5
CFU/g.  The water content of the meat in H. Udin’s abattoir were 
74,24% and 73,14%.  The total microbial 
count  were  4,9x  10
5 
CFU/g  and
0,088x10
5 
CFU/g.   The  water content  of the  meat  in Mr. Ampan’s  abattoir 
were 
72,22% dan 72,65%.  The total microbial count
were 
4,4x10
5
CFU/g and 
0,075x10
5
CFU/g.  Based on 
the result, it was concluded that the meat from Bandar Lampung abattoirs were stil
l proper for consumption
.",,,,,,,,,,,
14,TRUE,REPEAT BREEDER PADA SAPI BALI DI KABUPATEN PRINGSEWU,"[{'name': {'given': 'Amita', 'family': 'Juliana', 'lineage': None, 'honourific': None}, 'id': None}, {'id': 'madi.hartono@fp.unila.ac.id', 'name': {'honourific': None, 'lineage': None, 'family': 'Hartono', 'given': 'Madi'}}, {'id': None, 'name': {'given': 'Sri', 'honourific': None, 'family': 'Suharyati', 'lineage': None}}]",article,42-47,show,archive,6761,2018-04-25 07:54:06,"[{'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/19728', 'pos': 1, 'eprintid': 6761, 'placement': 1, 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'format': 'text', 'files': [{'hash_type': 'MD5', 'mtime': '2018-04-20 01:58:53', 'filesize': 350333, 'objectid': 19728, 'filename': 'JURNAL MH RB SAPI BALI.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/62006', 'datasetid': 'document', 'fileid': 62006, 'hash': 'd9458dcec7bf77a686732c80fe3ece16', 'mime_type': 'application/pdf'}], 'main': 'JURNAL MH RB SAPI BALI.pdf', 'docid': 19728}]",http://jurnal.fp.unila.ac.id/index.php/JIPT,2018-04-25 07:54:06,2.0,787,JURNAL ILMIAH PETERNAKAN TERPADU,Jurusan Peternakan Unila,['FP17'],disk0/00/00/67/61,6,pub,2018-04-25 07:54:06,2303 1956,public,['SF'],2015-05-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/6761,3.0,"Research on repeat breeders in Bali Cattles in Pringsewu Regency was held on December 2014 until January 2015 with 5 inseminators, 131 Bali Cattles that had been inseminated belong to 100 farmers. The  purpose  of  this  reserch  are  to  know:  1)  value  repeat  breeder  of  Bali  Cattles  in  Pringsewu Regency,    2)  the  factors  and magnitude  factors which  disturb  repeat  breeder  of  Bali  Cattles  in Pringsewu Regency. Data was analysis by logistic regression with SPSS (Statistics Packet for Social Science)  program.  The  result  showed  that  repeat  breeder  of  Bali  Cattles  at  Pringsewu  Regency  is 19,85%. Factors  that  affect  the  repeat  breeder  are education inseminator  that  negatively  associated with factor value  1,466; the number of acceptors that negatively  associated with factor value  0,390; old ranching that positively associated with factor value 0,067; the amount of provision of water that negatively associated with factor value 0,106; large cage that negatively associated with factor value 
0,114; and sanitation stall that negatively associated with factor value 0,805.
(Keywords : Repeat Breeder, Bali Cattle)",,,,,,,published,,"[{'id': 'madihartono66@yahoo.co.id', 'name': {'given': 'Madi', 'honourific': None, 'family': 'Hartono', 'lineage': None}}]",[{'url': 'http://jurnal.fp.unila.ac.id/index.php/JIPT'}],['Universitas Lampung']
15,TRUE,"PENGARUH PENGGUNAAN SABUT BUAH KELAPA SAWIT AMONIASI SEBAGAI SUMBER SERAT DALAM RANSUM TERHADAP
KECERNAAN IN VITRO","[{'name': {'honourific': None, 'lineage': None, 'family': 'Kusuma Wijaya', 'given': 'Agung'}}]",conference_item,1-10,show,archive,1038,2016-11-03 04:35:04,"[{'format': 'text', 'files': [{'mtime': '2016-11-02 04:36:43', 'hash_type': 'MD5', 'filename': '01 Agung Kusuma Wijaya.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/6718', 'objectid': 928, 'filesize': 614482, 'hash': '29fed8ca909708be4001048a25361568', 'mime_type': 'application/pdf', 'fileid': 6718, 'datasetid': 'document'}], 'main': '01 Agung Kusuma Wijaya.pdf', 'docid': 928, 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'eprintid': 1038, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/928', 'pos': 1}]",http://satek.unila.ac.id/?page_id=323,2016-11-03 04:35:04,,1111,,,['FP17'],disk0/00/00/10/38,7,pub,2016-11-03 04:35:04,,public,['SF'],2015-11-03 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/1038,,"The purpose of this study to determine the effect of differences in the level of use urea and palm without amoniasi as a forage substitute. To get the optimum level of use of oil palm fruit fiber amoniasi that gives the best response to digestibility in vitro. The results are expected to be used as information about the utilization of oil palm fruit waste as an alternative to cattle feed.
The experiment was conducted at the Animal Nutrition Laboratory and field laboratory, Animal Husbandry faculty, Brawijaya University Malang for making the oil palm fruit fiber amoniasi and analysis of nutrient content and digestibility in vitro is carried out from July to August 2011.
Materials on research are oil palm fruit fiber and urea as a feed ingredient substitutions. The research method is experimental by design Factorial Randomized Block Design, study the influence of the addition of urea level and duration of incubation in the oil palm fruit fiber for nutrient content and digestibility in vitro. Variables measured, a research study nutrient content, digestibility of DM and digestibility of OM of oil palm fruit fiber amoniasi. Data were analyzed by variance and if the real test followed byDuncan.
The results of the research showed that the addition of urea level and duration of incubation significant effect (P <0.05) to 50.74% DM and 49.04% OM which is in U4I14.
It can be concluded that higher levels of urea and the incubation period and digestibility of DM and OM increase. Suggested the use of oil palm fruit fiber is to field research to know how impact in dairy cattle.",Bandarlampung,3 Nopember 2015,paper,SATEK VI,conference,,,,,,
16,TRUE,PENGARUH PEMBERIAN PROBIOTIK DARI MIKROBA LOKAL TERHADAP GAMBARAN DARAH AYAM PETELUR,"[{'name': {'given': 'Konita', 'lineage': None, 'family': 'Lutfiana', 'honourific': None}, 'id': None}, {'name': {'given': 'Tintin', 'honourific': None, 'lineage': None, 'family': 'Kurtini'}, 'id': None}, {'id': 'madi.hartono@fp.unila.ac.id', 'name': {'given': 'Madi', 'honourific': None, 'lineage': None, 'family': 'Hartono'}}]",article,151-156,show,archive,6764,2018-04-25 07:53:28,"[{'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'main': 'JURNAL MH PROBIOTIK DAN GAMBARAN DARAH.pdf', 'docid': 19731, 'files': [{'fileid': 62024, 'datasetid': 'document', 'hash': '8863bd0d277e62e94bcff288568b0e71', 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2018-04-20 02:49:14', 'objectid': 19731, 'filesize': 289067, 'filename': 'JURNAL MH PROBIOTIK DAN GAMBARAN DARAH.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/62024'}], 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/19731', 'security': 'public', 'placement': 1, 'eprintid': 6764}]",http://jurnal.fp.unila.ac.id/index.php/JIPT,2018-04-25 07:53:28,3.0,787,JURNAL ILMIAH PETERNAKAN TERPADU,Jurusan Peternakan Unila,['FP17'],disk0/00/00/67/64,6,pub,2018-04-25 07:53:28,2303 1956,public,['SF'],2015-08-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/6764,3.0,"The purpose of this research was 1) investigated the effect of additional probiotic from local microbial to blood description of layer, especially erythrocytes and hemoglobin; 2) investigated the level of optimalitation additional probiotic from local microbial of layer. The research was conducted on 20th of December 2014 until 19th of January 2015 in Varia Agung Jaya village, Seputih Mataram subdistrict, Lampung Tengah.  The fabrication of probiotic from local mikrobial at 8th until 19th December 2014 in the Laboratory of Molecular Biology, Lampung University. This experiment arranged a completely randomized design (CRD) with 4 probiotic levels of local microbes (0%, 1%, 2%, and 3%) and 5 replications. The data obtained were analyzed using Analysis of Variance at 1% and continued with Polynom Orthogonal test at 1%. The result of this research showed that the additional of probiotic from local microbial (0%, 1%, 2%, and 3%) was not significant effect (P>0,05) to the number of erythrocytes of layer, but highly significant effect (P <0,01) to the number of hemoglobin. Probiotic levels of local microbial (0%, 1%, 2%, and 3%) can increase the number of hemoglobin with regression equality (Ŷ = 6,68 + 0,48X).

(Keywords : Layer, Probiotics from local microbial,The number of erythrocytes and Hemoglobin)",,,,,,,published,,"[{'id': 'madihartono66@yahoo.co.id', 'name': {'given': 'Madi', 'family': 'Hartono', 'lineage': None, 'honourific': None}}]",[{'url': 'http://jurnal.fp.unila.ac.id/index.php/JIPT'}],['Universitas Lampung']
17,TRUE,CALVING INTERVAL SAPI PERAH LAKTASI DI BALAI BESAR PEMBIBITAN TERNAK UNGGUL DAN HIJAUAN PAKAN TERNAK (BBPTU-HPT) BATURRADEN PURWOKERTO JAWA TENGAH,"[{'name': {'honourific': None, 'lineage': None, 'family': 'Prasetyo', 'given': 'Yuli'}, 'id': None}, {'name': {'honourific': None, 'lineage': None, 'family': 'Hartono', 'given': 'Madi'}, 'id': 'madi.hartono@fp.unila.ac.id'}, {'name': {'given': 'Siswanto', 'honourific': None, 'family': 'Siswanto', 'lineage': None}, 'id': None}]",article,54-60,show,archive,6790,2018-04-25 04:39:15,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/19759', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 6790, 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'main': 'JURNAL MH CI SAPI PERAH BATURADEN.pdf', 'files': [{'fileid': 62187, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': '6309f42a51e8fe2b4fd97106b42f0097', 'hash_type': 'MD5', 'mtime': '2018-04-20 06:32:22', 'filesize': 379500, 'objectid': 19759, 'uri': 'http://repository.lppm.unila.ac.id/id/file/62187', 'filename': 'JURNAL MH CI SAPI PERAH BATURADEN.pdf'}], 'docid': 19759, 'format': 'text'}]",http://jurnal.fp.unila.ac.id/index.php/JIPT,2018-04-25 04:39:15,1.0,787,JURNAL ILMIAH PETERNAKAN TERPADU,Jurusan Peternakan Unila,['FP17'],disk0/00/00/67/90,9,pub,2018-04-25 04:39:15,2303 1956,public,['SF'],2015-02-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/6790,3.0,"The aim of this research are to know calving interval and factor´s at lactation dairy cattle in BBPTU-HPT Baturraden Purwokerto Central Java. This research was conducted on April 29 th -- May 13 th 2014 to on 151 heads lactating dairy cattle. This research used sensus method, data obtained was real data that present and accuread in BBPTU-HPT Baturraden. Analysis data used regression analysis with SPSS (Statistik Packet for Social Science). The result showed that the calving interval at lactating dairy cattle in BBPTU-HPT Baturraden is 14.80 ± 3.36 months. Factor that effect calving interval at lactating dairy cattle in BBPTU-HPT Baturraden from the herds man level are the number of cattle that maintain positively associated with factor value 0.177 and the distance between the cow shed with office that negatively assosiated with factor value 0.243. factor that efect calving interval on dairy cattle at the level of cattle are the age dairy cattle that positively associated with factor value 0,247;, periode lactation that negatively assosiated with factor value 0,287;, mating partus that positively associated with factor value 0,057;, lactating period that positively associated with factor value 0,904;, and dry priod that positively associated with factor value 0,961.

(Key words:  Calving interval, Lactating dairy cattle, Factors and value)",,,,,,,published,,"[{'id': 'madihartono66@yahoo.co.id', 'name': {'honourific': None, 'family': 'Hartono', 'lineage': None, 'given': 'Madi'}}]",[{'url': 'http://jurnal.fp.unila.ac.id/index.php/JIPT'}],['Universitas Lampung']
18,TRUE,"PENGARUH PEMBERIAN PROBIOTIK DARI MIKROBA LOKAL TERHADAP KUALITAS INDEKS ALBUMEN, INDEKS YOLK, DAN WARNA YOLK PADA UMUR TELUR 10 HARI","[{'id': None, 'name': {'given': 'Arista', 'honourific': None, 'lineage': None, 'family': 'Pribadi'}}, {'name': {'given': 'Tintin', 'honourific': None, 'lineage': None, 'family': 'Kurtini'}, 'id': None}, {'id': 'sumardi_bio@yahoo.co.id', 'name': {'lineage': None, 'family': 'Sumardi', 'honourific': None, 'given': 'Sumardi'}}]",article,180-184,show,archive,24229,2020-10-01 01:05:31,"[{'format': 'text', 'main': 'JN 18 2015 Pengaruh pemberian probiotik.pdf', 'files': [{'objectid': 37936, 'filesize': 190337, 'uri': 'http://repository.lppm.unila.ac.id/id/file/220579', 'filename': 'JN 18 2015 Pengaruh pemberian probiotik.pdf', 'hash_type': 'MD5', 'mtime': '2020-09-28 17:44:55', 'fileid': 220579, 'datasetid': 'document', 'hash': '0c49df7ad900cc15dd29972fb9224c8f', 'mime_type': 'application/pdf'}], 'docid': 37936, 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 24229, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/37936', 'pos': 1}, {'formatdesc': 'Probiotik', 'security': 'public', 'pos': 2, 'uri': 'http://repository.lppm.unila.ac.id/id/document/37937', 'eprintid': 24229, 'placement': 2, 'content': 'published', 'language': 'id', 'mime_type': 'application/xml', 'rev_number': 3, 'format': 'text', 'files': [{'filesize': 24138, 'objectid': 37937, 'uri': 'http://repository.lppm.unila.ac.id/id/file/220582', 'filename': 'index.html', 'hash_type': 'MD5', 'mtime': '2020-09-28 17:45:17', 'datasetid': 'document', 'fileid': 220582, 'hash': 'ea97f9136cdb5586481443728372d2a9', 'mime_type': 'application/xml'}], 'main': 'index.html', 'docid': 37937}]",http://jurnal.fp.unila.ac.id/index.php/JIPT/,2020-10-01 01:05:31,3.0,965,JURNAL ILMIAH PETERNAKAN TERPADU,Jurusan Peternakan Unila,['FP17'],disk0/00/02/42/29,9,pub,2020-10-01 01:05:31,2303 1956,public,['SF'],2015-08-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/24229,3.0,"The purpose of this research were to know 1) the effect of probiotic local microbial to quality of albumen index, yolk index and yolk color; 2) the optimal of probiotic level in feed against to albumen index, yolk index and yolk color. The research was conducted on December 20th 2014-- January 19th 2015 in CV.Varia Agung Jaya , Varia Agung Village, Seputih Mataram Sub district, Central Lampung regency. Manufacture of probiotic from local microbial was made on 8 to 19 December 2014 at the Laboratory of Microbiology Faculty, University of Lampung. This research used completely randomized design (CRD) with four probiotic treatments of local microbial (0%, 1%, 2% and 3%) with 5 replications and use 40 layers. The data were analyzed with the assumptions of variance. Based on these result it can be concluded that probiotic local microbial (0%, 1%, 2% and 3%) was not significant (P> 0.05) on the quality of albumen index, yolk index and yolk color.",,,,,,,published,,,,
19,TRUE,"PENGARUH PEMBERIAN PROBIOTIK DARI MIKROBA LOKAL TERHADAP TEBAL KERABANG, PENURUNAN BERAT, DAN NILAI HAUGH UNIT TELUR YANG DISIMPAN SEPULUH HARI","[{'name': {'family': 'Sari', 'lineage': None, 'honourific': None, 'given': 'Jenny Marthika'}, 'id': None}, {'id': None, 'name': {'given': 'Tintin', 'lineage': None, 'family': 'Kurtini', 'honourific': None}}, {'name': {'given': 'Madi', 'honourific': None, 'family': 'Hartono', 'lineage': None}, 'id': 'madi.hartono@fp.unila.ac.id'}]",article,157-162,show,archive,6768,2018-04-25 07:52:40,"[{'format': 'text', 'docid': 19735, 'main': 'JURNAL MHPROBIOTIK DAN KUALITAS TELUR.pdf', 'files': [{'hash': '41e4ece8e06195e43c5eb5cb11efe8bd', 'mime_type': 'application/pdf', 'fileid': 62045, 'datasetid': 'document', 'filename': 'JURNAL MHPROBIOTIK DAN KUALITAS TELUR.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/62045', 'filesize': 337680, 'objectid': 19735, 'mtime': '2018-04-20 03:12:23', 'hash_type': 'MD5'}], 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'eprintid': 6768, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/19735', 'pos': 1}]",http://jurnal.fp.unila.ac.id/index.php/JIPT,2018-04-25 07:52:40,3.0,787,JURNAL ILMIAH PETERNAKAN TERPADU,Jurusan Peternakan Unila,['FP17'],disk0/00/00/67/68,6,pub,2018-04-25 07:52:40,2303 1956,public,['SF'],2015-08-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/6768,3.0,"This study was conducted to 1) determine the effect local of probiotic supplements on shell thickness, weight loss persentage, and Haugh unit of eggs which stored ten days; 2) determine the optimal  level of supplements local of probiotic on shell thickness, weight loss presentage, and Haugh unit of eggs which stored ten days. This research was held on 08--19 December 2014  in the CV. Varia Agung Jaya henhouse laying  in  the District of  Seputih Mataram, Center of Lampung  Regency and continued on 20 December 2014--18 January 2015 in the Laboratory of Microbiology, Laboratory of Molecular Biology Faculty, University of Lampung. The study used completely randomized design (CRD) with 4 treatments of  local  probiotics in the diet (0%, 1%, 2%, and 3%) and 5 replications. Data obtained was analyzed using analysis of variance at 5% level and continued Orthogonal Polynomial test at 5% level. Based on these results we can conclude: effect of local probiotics in the diet (0,1,2, and 3%) no significant (P> 0.05) on the weight loss presentage and  Haugh unit of eggs which stored ten days, but significant (P <0.05) on  shell thickness. Increasing the percentage of local probiotic on the ration will improve shell thickness indicated by the regression equation ŷ = 0.42 + 0,24x, with r = 0.68 and R2 = 0.47.

(Keywords: Local of  probiotic, Shell thickness, Weight loss, and  Haugh unit).",,,,,,,published,,"[{'name': {'honourific': None, 'lineage': None, 'family': 'Hartono', 'given': 'Madi'}, 'id': 'madihartono66@yahoo.co.id'}]",[{'url': 'http://jurnal.fp.unila.ac.id/index.php/JIPT'}],['Universitas Lampung']
