,metadata_visibility,pagerange,datestamp,eprint_status,eprintid,lastmod,official_url,documents,userid,title,refereed,creators,type,place_of_pub,book_title,date_type,subjects,uri,abstract,corp_creators,divisions,publisher,dir,rev_number,ispublished,full_text_status,status_changed,number,volume,related_url,publication,issn,id_number,contributors,isbn
10,show,,2021-09-16 09:08:18,archive,33935,2021-09-16 09:08:18,,"[{'format': 'text', 'main': 'Komunikasi_IFRJ_ProfilAroma.pdf', 'docid': 154174, 'files': [{'filename': 'Komunikasi_IFRJ_ProfilAroma.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/401097', 'filesize': 522975, 'objectid': 154174, 'mtime': '2021-09-16 08:18:17', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'hash': '2a99c9eda12f743e3056809f589ec011', 'datasetid': 'document', 'fileid': 401097}], 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'eprintid': 33935, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/154174'}]",1017,Komunikasi dengan Jurnal IFRJ: Profile of aroma compounds and acceptability of modified tempeh,,"[{'name': {'given': 'Maria Erna', 'honourific': None, 'lineage': None, 'family': 'Kustyawati'}, 'id': 'maria.erna@fp.unila.ac.id'}]",other,,,,['S1'],http://repository.lppm.unila.ac.id/id/eprint/33935,,,['FP22'],LPPM Unila,disk0/00/03/39/35,8,unpub,public,2021-09-16 09:08:18,,,,,,,,
11,show,,2021-09-22 04:41:36,archive,34081,2021-09-22 04:41:36,,"[{'main': 'Komunikasi_JTIP_Profil_Asam_lemak.pdf', 'docid': 154513, 'files': [{'mtime': '2021-09-22 03:42:48', 'hash_type': 'MD5', 'filename': 'Komunikasi_JTIP_Profil_Asam_lemak.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/402305', 'filesize': 394730, 'objectid': 154513, 'hash': 'efa462ad2dc83e7938f618c3f11e2abd', 'mime_type': 'application/pdf', 'fileid': 402305, 'datasetid': 'document'}], 'format': 'text', 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'placement': 1, 'eprintid': 34081, 'uri': 'http://repository.lppm.unila.ac.id/id/document/154513', 'pos': 1, 'security': 'public'}]",1017,Komunikasi dengan Jurnal Teknologi dan Industri Pangan: Profil Asam dan asam amino Susu Kambing Segar dan Terfermentasi.,,"[{'name': {'given': 'Maria Erna', 'honourific': None, 'family': 'Kustyawati', 'lineage': None}, 'id': 'maria.erna@fp.unila.ac.id'}]",other,,,,['S1'],http://repository.lppm.unila.ac.id/id/eprint/34081,,,['FP22'],LPPM Unila,disk0/00/03/40/81,7,unpub,public,2021-09-22 04:41:36,,,,,,,,
12,show,,2021-09-16 09:08:30,archive,33940,2021-09-16 09:08:30,,"[{'format': 'text', 'files': [{'hash_type': 'MD5', 'mtime': '2021-09-16 08:46:39', 'filesize': 374639, 'objectid': 154179, 'filename': 'Komunikasi_Potravinastvo_ShelfLifeTempe.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/401138', 'fileid': 401138, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': '091976ae404a9e0eb36293f565d2a231'}], 'main': 'Komunikasi_Potravinastvo_ShelfLifeTempe.pdf', 'docid': 154179, 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'eprintid': 33940, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/154179', 'pos': 1}]",1017,Komunikasi dengan Potravinarstvo Slovak J of Food Sci: Shelf life of tempeh processed with sub-supercritical CO2.,,"[{'id': 'maria.erna@fp.unila.ac.id', 'name': {'honourific': None, 'lineage': None, 'family': 'Kustyawati', 'given': 'Maria Erna'}}]",other,,,,['S1'],http://repository.lppm.unila.ac.id/id/eprint/33940,,,['FP22'],LPPM Unila,disk0/00/03/39/40,7,unpub,public,2021-09-16 09:08:30,,,,,,,,
13,show,,2021-09-16 09:08:21,archive,33936,2021-09-16 09:08:21,,"[{'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'main': 'Komunikasi_ASEANFOODSingapore.pdf', 'docid': 154175, 'files': [{'fileid': 401107, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': 'e86098e5de0c7ec9437e81bea8bed1b1', 'objectid': 154175, 'filesize': 436332, 'filename': 'Komunikasi_ASEANFOODSingapore.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/401107', 'hash_type': 'MD5', 'mtime': '2021-09-16 08:20:57'}], 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/154175', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 33936}]",1017,"Komunikasi dengan Prosiding 13th ASEAN FOOD CONFERENCE, Singapore",,"[{'id': 'maria.erna@fp.unila.ac.id', 'name': {'family': 'Kustyawati', 'lineage': None, 'honourific': None, 'given': 'Maria Erna'}}]",other,,,,['S1'],http://repository.lppm.unila.ac.id/id/eprint/33936,,,['FP22'],LPPM Unila,disk0/00/03/39/36,7,unpub,public,2021-09-16 09:08:21,,,,,,,,
14,show,,2021-09-16 09:08:32,archive,33941,2021-09-16 09:08:32,,"[{'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/154180', 'eprintid': 33941, 'placement': 1, 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'format': 'text', 'main': 'Komunikasi_UISFS.pdf', 'docid': 154180, 'files': [{'hash': '9e3bce2defb3886055597af4f43998b1', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 401145, 'uri': 'http://repository.lppm.unila.ac.id/id/file/401145', 'filename': 'Komunikasi_UISFS.pdf', 'objectid': 154180, 'filesize': 162273, 'mtime': '2021-09-16 08:50:36', 'hash_type': 'MD5'}]}]",1017,Komunikasi dengan Prosiding Conference UISFS: The role of Saccharomyces cerevisiae as modified agent on the cassava starch.,,"[{'id': 'maria.erna@fp.unila.ac.id', 'name': {'given': 'Maria Erna', 'honourific': None, 'lineage': None, 'family': 'Kustyawati'}}]",other,,,,['S1'],http://repository.lppm.unila.ac.id/id/eprint/33941,,,['FP22'],LPPM Unila,disk0/00/03/39/41,7,unpub,public,2021-09-16 09:08:32,,,,,,,,
15,show,,2021-09-16 09:08:15,archive,33934,2021-09-16 09:08:15,,"[{'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'main': 'Komunikasi_AIMS_VitB12.pdf', 'files': [{'mtime': '2021-09-16 08:14:02', 'hash_type': 'MD5', 'filename': 'Komunikasi_AIMS_VitB12.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/401090', 'filesize': 244616, 'objectid': 154173, 'mime_type': 'application/pdf', 'hash': '6bd376b6fd4525b638a512f8b87f9c5a', 'fileid': 401090, 'datasetid': 'document'}], 'docid': 154173, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/154173', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 33934}]",1017,Komunikasi dengan jurnal AIMS: Vitamin B12 production in soybean fermentation for tempeh,,"[{'id': 'maria.erna@fp.unila.ac.id', 'name': {'given': 'Maria Erna', 'honourific': None, 'family': 'Kustyawati', 'lineage': None}}]",other,,,,['S1'],http://repository.lppm.unila.ac.id/id/eprint/33934,,,['FP22'],LPPM Unila,disk0/00/03/39/34,7,unpub,public,2021-09-16 09:08:15,,,,,,,,
16,show,,2021-09-16 09:08:35,archive,33942,2021-09-16 09:08:35,,"[{'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/154181', 'security': 'public', 'placement': 1, 'eprintid': 33942, 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'docid': 154181, 'main': 'Kontrak_PenelitianDasar_DRPM_2020.pdf', 'files': [{'hash_type': 'MD5', 'mtime': '2021-09-16 08:53:41', 'objectid': 154181, 'filesize': 4239087, 'uri': 'http://repository.lppm.unila.ac.id/id/file/401152', 'filename': 'Kontrak_PenelitianDasar_DRPM_2020.pdf', 'datasetid': 'document', 'fileid': 401152, 'mime_type': 'application/pdf', 'hash': 'd10d61b70549ce8574c5508a167cd18a'}], 'format': 'text'}]",1017,"Kontrak Penelitian Dasar DRPM 2020: ""Mempelajari teknik pengolahan tanpa panas High Pressure CO2 sebagai alternatif pengawetan udang"".",,"[{'name': {'family': 'Kustyawati', 'lineage': None, 'honourific': None, 'given': 'Maria Erna'}, 'id': 'maria.erna@fp.unila.ac.id'}]",other,,,,['S1'],http://repository.lppm.unila.ac.id/id/eprint/33942,,,['FP22'],LPPM Unila,disk0/00/03/39/42,7,unpub,public,2021-09-16 09:08:35,,,,,,,,
17,show,,2021-05-30 15:27:46,archive,31323,2021-05-30 15:27:46,,"[{'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/141532', 'pos': 1, 'eprintid': 31323, 'placement': 1, 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'format': 'text', 'docid': 141532, 'main': 'Nilai Peer Review_Modifikasi waran_IPB PATPI_2014.pdf', 'files': [{'objectid': 141532, 'filesize': 666015, 'filename': 'Nilai Peer Review_Modifikasi waran_IPB PATPI_2014.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/371129', 'hash_type': 'MD5', 'mtime': '2021-05-30 01:54:22', 'fileid': 371129, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': '5a24d876d6d0c93b4fce642e6171698e'}]}]",1017,"Modifikasi warna, tekstur dan aroma tempe setelah diproses dengan karbon dioksida superkritik",,"[{'id': 'maria.erna@fp.unila.ac.id', 'name': {'honourific': None, 'family': 'Kustyawati', 'lineage': None, 'given': 'Maria Erna'}}]",other,,,,['S1'],http://repository.lppm.unila.ac.id/id/eprint/31323,,,['FP22'],IPB_PATPI,disk0/00/03/13/23,7,unpub,public,2021-05-30 15:27:46,,,,,,,,
18,show,,2021-09-22 04:41:42,archive,34083,2021-09-22 04:41:42,,"[{'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'format': 'text', 'main': 'Penilaian Reviewer_Karil_Quality shelf life udang.pdf', 'docid': 154516, 'files': [{'mtime': '2021-09-22 03:52:43', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/402317', 'filename': 'Penilaian Reviewer_Karil_Quality shelf life udang.pdf', 'filesize': 907716, 'objectid': 154516, 'mime_type': 'application/pdf', 'hash': '9303fa3e6c39156caec0136ce84f209a', 'datasetid': 'document', 'fileid': 402317}], 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/154516', 'pos': 1, 'eprintid': 34083, 'placement': 1}]",1017,Penilaian Reviewer Karil: Quality and shelf life of white shrimp (Litopenaeus vannamei) processed High Pressure CO2 (HPCD) at subcritical and supercritical states.,,"[{'id': 'maria.erna@fp.unila.ac.id', 'name': {'given': 'Maria Erna', 'honourific': None, 'family': 'Kustyawati', 'lineage': None}}]",other,,,,['S1'],http://repository.lppm.unila.ac.id/id/eprint/34083,,,['FP22'],LPPM Unila,disk0/00/03/40/83,7,unpub,public,2021-09-22 04:41:42,,,,,,,,
19,show,,2020-09-22 08:30:42,archive,24137,2020-09-22 08:30:42,http:// iopscience.iop.org/article/10.1088/1755-1315/285/1/012006/pdf,"[{'placement': 1, 'eprintid': 24137, 'uri': 'http://repository.lppm.unila.ac.id/id/document/37839', 'pos': 1, 'security': 'public', 'files': [{'hash': 'd3b1cb1822ae999790e2d57910e9c2a5', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 219794, 'filename': 'Nilai Reviewr Estimation of energy and organic fertilizer generation from small scale tapioka industrial waste.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/219794', 'filesize': 474985, 'objectid': 37839, 'mtime': '2020-09-21 14:33:39', 'hash_type': 'MD5'}], 'main': 'Nilai Reviewr Estimation of energy and organic fertilizer generation from small scale tapioka industrial waste.pdf', 'docid': 37839, 'format': 'text', 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf'}]",1017,Penilaian Reviewer: Estimation of energy and organic fertilizer generation from small scale tapioca industrial waste.,,"[{'name': {'lineage': None, 'family': 'Kustyawati', 'honourific': None, 'given': 'Maria Erna'}, 'id': 'maria.erna@fp.unila.ac.id'}]",other,,,completed,['S1'],http://repository.lppm.unila.ac.id/id/eprint/24137,-,,['FP22'],IOP Publishing,disk0/00/02/41/37,7,unpub,public,2020-09-22 08:30:42,,,,,,,,
