,publisher,publication,divisions,dir,full_text_status,status_changed,rev_number,ispublished,date_type,subjects,abstract,volume,uri,date,type,creators,title,refereed,datestamp,eprintid,eprint_status,metadata_visibility,pagerange,userid,number,official_url,lastmod,documents,issn,event_dates,pres_type,event_location,event_type,event_title,corp_creators,related_url
10,FMIPA Unila,Prosiding Seminar dan Rapat Tahunan BKS PTN Barat 2013,['FMIPA9'],disk0/00/00/68/21,public,2018-04-25 06:38:19,6,pub,published,['QA'],"Turnamen Round-Robin adalah turnamen yang memiliki sistem pertandingan dimana setiap tim dalam turnamen akan bertanding dengan tim lainnya sebanyak satu kali. Turnamen Round-Robin akan direpresentasikan ke dalam bentuk graf lengkap berarah dengan orde 10 dan11 dengan menggunakan dua metode, yaitu untuk turnamen dengan jumlah vertex genap digunakan Metode Penjadwalan dengan menggunakan Kongruen Modulo, dan turnamen dengan jumlah vertex ganjil digunakan Metode Rotational Turnament. Penelitian ini bertujuan untuk mengkaji aplikasi graf Hamiltonian dan merepresentasikan turnamen Round-Robin dalam bentuk matriks turnamen. Dari hasil penelitian ini dapat disimpulkan bahwa bentuk graf turnamen yang diperoleh dengan jumlah vertex genap yaitu 10
vertex, sirkuit Hamiltonian yang terbentuk sebanyak 3 buah, sedangkan untuk turnamen dengan jumlah vertex ganjil yaitu 11 vertex, sirkuit Hamiltonian yang terbentuk sebanyak 5 buah.",1.0,http://repository.lppm.unila.ac.id/id/eprint/6821,2013-05-10 00:00:00.000000000,article,"[{'name': {'honourific': None, 'family': 'Harisman', 'lineage': None, 'given': 'Novenza'}, 'id': None}, {'name': {'honourific': None, 'lineage': None, 'family': 'Wamiliana', 'given': 'Wamiliana'}, 'id': 'wamiliana@gmail.com'}, {'name': {'honourific': None, 'family': 'Fitriani', 'lineage': None, 'given': 'Fitriani'}, 'id': 'fitriani_mathunila@yahoo.co.id'}]",Representasi Turnamen Round-Robin dengan Menggunakan Graf Hamiltonian dan Matriks,TRUE,2018-04-25 06:38:19,6821,archive,show,1-8,263,1.0,,2018-04-25 06:38:19,"[{'eprintid': 6821, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/19794', 'format': 'text', 'docid': 19794, 'main': 'Novenza Harisman_Wamiliana_Fitriani.pdf', 'files': [{'datasetid': 'document', 'fileid': 62493, 'hash': 'fab8bf33e9c712f3515309bc63ebbaa2', 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2018-04-25 04:36:57', 'filesize': 584114, 'objectid': 19794, 'filename': 'Novenza Harisman_Wamiliana_Fitriani.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/62493'}], 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1}]",,,,,,,,
11,,,['FMIPA9'],disk0/00/00/63/36,public,2018-01-11 05:33:24,7,pub,published,['QA'],"Analisis profil merupakan salah satu teknik analisis peubah ganda yang telah diaplikasikan ke berbagai bidang, salah satunya bidang pemerintahan yang biasanya digunakan untuk mengetahui karakteristik kesamaan beberapa kota atau negara. Penelitian ini bertujuan untuk mengetahui kesamaan karakteristik populasi pada masing-masing provinsi di Pulau Jawa berdasarkan enam belas kelompok umur. Pulau Jawa
terdiri dari empat provinsi, yaitu Jawa Barat, Jawa Tengah, Jawa Timur, dan Banten, serta dua wilayah khusus, yaitu DKI Jakarta dan DI Yogyakarta. Pada penelitian ini, analisis profil digunakan untuk membandingkan profil populasi penduduk keenam provinsi di Pulau Jawa berdasarkan enam belas kelompok umur. Berdasarkan uji kesejajaran profil, diketahui bahwa profil keenam provinsi tidak sejajar atau dengan kata lain proporsi penduduk berdasarkan kelompok umur pada beberapa provinsi berbeda. Perbandingan berpasangan dengan metode Tukey juga menunjukkan bahwa ada beberapa perbedaan yang nyata pada beberapa provinsi pada masing-masing kelompok umur.",,http://repository.lppm.unila.ac.id/id/eprint/6336,2013-05-10 00:00:00.000000000,conference_item,"[{'name': {'given': 'Mutiara', 'lineage': None, 'family': 'Hati Agustia', 'honourific': None}, 'id': None}, {'name': {'given': 'Mustofa', 'family': 'Usman', 'lineage': None, 'honourific': None}, 'id': 'usman_alfha@yahoo.com'}, {'id': 'widiarti08@gmail.com', 'name': {'given': 'Widiarti', 'lineage': None, 'family': 'Widiarti', 'honourific': None}}]",Analisis Profil Populasi Penduduk Pulau Jawa Berdasarkan Kelompok Umur,TRUE,2018-01-11 05:33:24,6336,archive,show,,33,,,2018-01-11 05:33:24,"[{'eprintid': 6336, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/19261', 'pos': 1, 'format': 'text', 'main': 'Mutiara Hati.pdf', 'docid': 19261, 'files': [{'fileid': 58934, 'datasetid': 'document', 'hash': 'fabdae852f4814e1c1b7962dc0579579', 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2018-01-11 05:07:48', 'objectid': 19261, 'filesize': 2829379, 'filename': 'Mutiara Hati.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/58934'}], 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf'}]",,10 - 12 Mei 2013,paper,Bandar Lampung,conference,"SEMINAR DAN RAPAT TAHUNAN (SEMIRATA) BIDANG ILMU MIPA 2013 BKS PTN BARAT (10 - 12 Mei) Universitas Lampung, Bandar Lampung",,
12,"The First International Confrence on Law, Bussiness & Governance",,['FMIPA9'],disk0/00/01/91/89,public,2020-04-15 04:06:43,7,pub,published,['AC'],Hasil Penilaian Sejawat Sebidang atau Peer Review Karya Ilmiah Prosiding dan Makalah yang di Presentasikan,,http://repository.lppm.unila.ac.id/id/eprint/19189,1970-01-01 00:00:00.000002013,other,"[{'name': {'family': 'Kurniasari', 'lineage': None, 'honourific': None, 'given': 'Dian'}, 'id': 'dksari13@gmail.com'}]",Application of factor analysis to public sector integrity  in Indonesia,,2020-04-15 04:06:43,19189,archive,show,,752,,,2020-04-15 04:06:43,"[{'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/32426', 'security': 'public', 'placement': 1, 'eprintid': 19189, 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'docid': 32426, 'main': '19. Application of factor analysis to public sector integrity  in Indonesia.pdf', 'files': [{'hash_type': 'MD5', 'mtime': '2020-04-15 03:25:16', 'filesize': 1074401, 'objectid': 32426, 'uri': 'http://repository.lppm.unila.ac.id/id/file/160824', 'filename': '19. Application of factor analysis to public sector integrity  in Indonesia.pdf', 'datasetid': 'document', 'fileid': 160824, 'mime_type': 'application/pdf', 'hash': '5aef8e7b6cb8e4e3125d1215fdbd8896'}], 'format': 'text'}]",,,,,,,,
13,Jurnal Komputasi,,['FMIPA9'],disk0/00/01/91/86,public,2020-04-15 04:02:41,7,pub,published,['AC'],Hasil Penilaian Sejawat Sebidang atau Peer Review Karya Ilmiah Jurnal Ilmiah Nasional,,http://repository.lppm.unila.ac.id/id/eprint/19186,1970-01-01 00:00:00.000002013,other,"[{'name': {'family': 'Kurniasari', 'lineage': None, 'honourific': None, 'given': 'Dian'}, 'id': 'dksari13@gmail.com'}]",Implementasi Algoritma Backtrack untuk Pencarian Solusi Knight's Tour Problem pada Papan Catur m x n,,2020-04-15 04:02:41,19186,archive,show,,752,,,2020-04-15 04:02:41,"[{'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/32423', 'eprintid': 19186, 'placement': 1, 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'format': 'text', 'main': ""16. Implementasi Algoritma Backtrack untuk Pencarian Solusi Knight's Tour Problem pada Papan Catur m x n.pdf"", 'docid': 32423, 'files': [{'hash_type': 'MD5', 'mtime': '2020-04-15 03:19:59', 'filesize': 520973, 'objectid': 32423, 'filename': ""16. Implementasi Algoritma Backtrack untuk Pencarian Solusi Knight's Tour Problem pada Papan Catur m x n.pdf"", 'uri': 'http://repository.lppm.unila.ac.id/id/file/160803', 'datasetid': 'document', 'fileid': 160803, 'hash': 'f0cf7d58bd70970b27b52be8e4579194', 'mime_type': 'application/pdf'}]}]",,,,,,,,
14,Jurnal Komputasi,,['FMIPA9'],disk0/00/01/91/85,public,2020-04-15 04:02:29,7,pub,published,['AC'],Hasil Penilaian Sejawat Sebidang atau Peer Review Karya Ilmiah Jurnal Ilmiah Nasional,,http://repository.lppm.unila.ac.id/id/eprint/19185,1970-01-01 00:00:00.000002013,other,"[{'name': {'given': 'Dian', 'honourific': None, 'lineage': None, 'family': 'Kurniasari'}, 'id': 'dksari13@gmail.com'}]",Implementasi Metode Dynamic Programming pada Aplikasi Penentuan Jarak Minimum,,2020-04-15 04:02:29,19185,archive,show,,752,,,2020-04-15 04:02:29,"[{'eprintid': 19185, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/32422', 'format': 'text', 'files': [{'datasetid': 'document', 'fileid': 160796, 'hash': 'e28db2441ef9b10bd369883072df1fc7', 'mime_type': 'application/pdf', 'filesize': 513731, 'objectid': 32422, 'uri': 'http://repository.lppm.unila.ac.id/id/file/160796', 'filename': '15. Implementasi Metode Dynamic Programming pada Aplikasi Penentuan Jarak Minimum.pdf', 'hash_type': 'MD5', 'mtime': '2020-04-15 03:17:59'}], 'main': '15. Implementasi Metode Dynamic Programming pada Aplikasi Penentuan Jarak Minimum.pdf', 'docid': 32422, 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf'}]",,,,,,,,
15,Prosiding Seminar Nasional dalam rangka SEMIRATA BKS-PTN wilayah Barat,,['FMIPA9'],disk0/00/01/91/95,public,2020-04-15 04:08:03,7,pub,published,['AC'],Hasil Penilaian Sejawat Sebidang atau Peer Review Karya Ilmiah Prosiding dan Makalah yang di Presentasikan,,http://repository.lppm.unila.ac.id/id/eprint/19195,1970-01-01 00:00:00.000002013,other,"[{'name': {'family': 'Kurniasari', 'lineage': None, 'honourific': None, 'given': 'Dian'}, 'id': 'dksari13@gmail.com'}]",Karakteristik Pendugaan Empirical Best Linear Unbased Prediction (EBLUP) pada Pendugaan Area Kecil,,2020-04-15 04:08:03,19195,archive,show,,752,,,2020-04-15 04:08:03,"[{'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/32431', 'pos': 1, 'eprintid': 19195, 'placement': 1, 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'format': 'text', 'docid': 32431, 'main': '24. Karakteristik Pendugaan Empirical Best Linear Unbased Prediction (EBLUP) pada Pendugaan Area Kecil.pdf', 'files': [{'datasetid': 'document', 'fileid': 160861, 'mime_type': 'application/pdf', 'hash': '1ab2db476b4ace3ca67047044a18fea8', 'objectid': 32431, 'filesize': 595258, 'filename': '24. Karakteristik Pendugaan Empirical Best Linear Unbased Prediction (EBLUP) pada Pendugaan Area Kecil.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/160861', 'hash_type': 'MD5', 'mtime': '2020-04-15 03:38:43'}]}]",,,,,,,,
16,Jurnal Komputasi,,['FMIPA9'],disk0/00/01/91/84,public,2020-04-15 04:02:16,7,pub,published,['AC'],Hasil Penilaian Sejawat Sebidang atau Peer Review Karya Ilmiah Jurnal Ilmiah Nasional,,http://repository.lppm.unila.ac.id/id/eprint/19184,1970-01-01 00:00:00.000002013,other,"[{'name': {'honourific': None, 'lineage': None, 'family': 'Kurniasari', 'given': 'Dian'}, 'id': 'dksari13@gmail.com'}]",Pembuatan Media Pembelajaran Pengenalan Tata Surya dan Exoplanet Dengan Mengunakan Unity untuk Sekolah Menengah Pertama,,2020-04-15 04:02:16,19184,archive,show,,752,,,2020-04-15 04:02:16,"[{'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/32421', 'security': 'public', 'placement': 1, 'eprintid': 19184, 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'main': '14. Pembuatan Media Pembelajaran Pengenalan Tata Surya dan Exoplanet Dengan Mengunakan Unity untuk Sekolah Menengah Pertama.pdf', 'docid': 32421, 'files': [{'datasetid': 'document', 'fileid': 160789, 'hash': '60600051b57a89345e4ae12cc8735538', 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2020-04-15 03:16:10', 'filesize': 518457, 'objectid': 32421, 'uri': 'http://repository.lppm.unila.ac.id/id/file/160789', 'filename': '14. Pembuatan Media Pembelajaran Pengenalan Tata Surya dan Exoplanet Dengan Mengunakan Unity untuk Sekolah Menengah Pertama.pdf'}], 'format': 'text'}]",,,,,,,,
17,"Fakultas Matematika dan Ilmu Pengetahuan Alam, Universitas Lampung",Ketakbiasan Dalam Model Analisis Faktor Konfirmatori Pada Metode Pendugaan Kuadrat Terkecil Tak Terboboti (Unweighted Least Square) Untuk Data Ordinal,['FMIPA9'],disk0/00/00/67/09,public,2018-04-25 08:18:16,6,pub,published,['QA'],"Dalam penelitian di bidang ilmu-ilmu sosial sering kali peneliti dihadapkan pada permasalahan tentang
hubungan kausal yang melibatkan faktor yang tidak dapat diukur secara langsung (unobservable factor), maka dapat
dilakukan dengan menggunakan Analisis Faktor Konfirmatori. Bagi pengguna kadang kala mengabaikan ketakbiasan,
padahal hal ini adalah hal terpenting dalam penelitian. Untuk itu dilakukan metode pendugaan Kuadrat Terkecil Tak
Terboboti atau metode Unweighted Least Square (ULS) dengan kelebihan Metode ULS tidak memerlukan asumsi
khusus dari sebaran peubah yang diamati sepanjang parameternya teridentifikasi. Metode ULS merupakan penduga
yang konsisten. Sehingga pada ukuran sampel yang bertambah besar, maka θ head umumnya konvergen ke θ. Sifat
penduga ULS yaitu tak bias dan konsisten. Penelitian ini bertujuan untuk melihat ketakbiasan pada sampel berukuran
150, 200, 250 dan 300 menggunakan metode ULS dan membuktikan dalil limit pusat yang mengatakan ukuran
sampel semakin besar maka akan semakin normal pada data ordinal. Dari hasil penelitian ini dapat disimpulkan
bahwa pendugaan parameter dengan menggunakan metode kuadrat terkecil tak terboboti (ULS) sesuai dengan dalil
limit pusat yang menyatakan bahwa semakin besar ukuran sampel, maka sebaran dari parameter dugaan akan
mendekati normal. Sehingga parameter hasil dugaan mendekati parameter model. Ketakbiasan dengan menggunakan
metode kuadrat terkecil tak terboboti (ULS) pada analisis faktor konfirmatori tidak dipengaruhi oleh besarnya ukuran
sampel. Karena pada ukuran sampel 150, 200, 250, dan 300 grafik ketakbiasan mendekati linear, maka bias semakin
kecil.",,http://repository.lppm.unila.ac.id/id/eprint/6709,2013-05-10 00:00:00.000000000,article,"[{'id': None, 'name': {'honourific': None, 'lineage': None, 'family': 'Maryamma', 'given': 'Sinda'}}, {'name': {'family': 'Setiawan', 'lineage': None, 'honourific': None, 'given': 'Eri'}, 'id': None}, {'id': 'Nusyirwan@fmipa.unila.ac.id', 'name': {'lineage': None, 'family': 'Nusyirwan', 'honourific': None, 'given': 'Nusyirwan'}}]",Ketakbiasan Dalam Model Analisis Faktor Konfirmatori Pada Metode Pendugaan Kuadrat Terkecil Tak Terboboti (Unweighted Least Square) Untuk Data Ordinal,TRUE,2018-04-25 08:18:16,6709,archive,show,1-8,713,,,2018-04-25 08:18:16,"[{'format': 'text', 'docid': 19678, 'main': 'Prosiding BKS PTN B 2013 SINDA MARYAMA_ERI SETIAWAN_Nusyirwan.pdf', 'files': [{'filesize': 782958, 'objectid': 19678, 'uri': 'http://repository.lppm.unila.ac.id/id/file/61706', 'filename': 'Prosiding BKS PTN B 2013 SINDA MARYAMA_ERI SETIAWAN_Nusyirwan.pdf', 'hash_type': 'MD5', 'mtime': '2018-04-16 05:43:51', 'fileid': 61706, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': '05c46aa34319c3e094e78f521c259ca8'}], 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'eprintid': 6709, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/19678', 'pos': 1}]",,,,,,,,
18,FMIPA Universitas Lampung,Prosiding Seminar dan Rapat Tahunan BKS PTN Barat 2013,['FMIPA9'],disk0/00/00/67/99,public,2018-04-25 04:35:45,6,pub,published,['QA'],"Dalam penelitian di bidang ilmu-ilmu sosial sering kali peneliti dihadapkan pada permasalahan tentang hubungan kausal yang melibatkan faktor yang tidak dapat diukur secara langsung (unobservable factor), maka dapat dilakukan dengan menggunakan Analisis Faktor Konfirmatori. Bagi pengguna kadang kala mengabaikan ketakbiasan, padahal hal ini adalah hal terpenting dalam penelitian. Untuk itu dilakukan metode pendugaan Kuadrat Terkecil Tak Terboboti atau metode Unweighted Least Square (ULS) dengan kelebihan Metode ULS tidak memerlukan asumsi khusus dari sebaran peubah yang diamati sepanjang parameternya teridentifikasi. Metode ULS merupakan penduga yang konsisten. Sehingga pada ukuran sampel yang bertambah besar, maka penduga θ umumnya konvergen ke θ. Sifat penduga ULS yaitu tak bias dan konsisten. Penelitian ini bertujuan untuk melihat ketakbiasan pada sampel berukuran 150, 200, 250 dan 300 menggunakan metode ULS dan membuktikan dalil limit pusat yang mengatakan ukuran sampel semakin besar maka akan semakin normal pada data ordinal. Dari hasil penelitian ini dapat disimpulkan bahwa pendugaan parameter dengan menggunakan metode kuadrat terkecil tak terboboti (ULS) sesuai dengan dalil limit pusat yang menyatakan bahwa semakin besar ukuran sampel, maka sebaran dari parameter dugaan akan mendekati normal. Sehingga parameter hasil dugaan mendekati parameter model. Ketakbiasan dengan menggunakan metode kuadrat terkecil tak terboboti (ULS) pada analisis faktor konfirmatori tidak dipengaruhi oleh besarnya ukuran sampel. Karena pada ukuran sampel 150, 200, 250, dan 300 grafik ketakbiasan mendekati linear, maka bias semakin kecil.",1.0,http://repository.lppm.unila.ac.id/id/eprint/6799,2013-05-10 00:00:00.000000000,article,"[{'id': None, 'name': {'honourific': None, 'lineage': None, 'family': 'Maryamma', 'given': 'Sinda'}}, {'id': None, 'name': {'given': 'Eri', 'lineage': None, 'family': 'Setiawan', 'honourific': None}}, {'name': {'honourific': None, 'lineage': None, 'family': 'Nusyirwan', 'given': 'Nusyirwan'}, 'id': 'Nusyirwan@fmipa.unila.ac.id'}]",Ketakbiasan Dalam Model Analisis Faktor Konfirmatori Pada Metode Pendugaan Kuadrat Terkecil Tak Terboboti (Unweighted Least Square) Untuk Data Ordinal,TRUE,2018-04-25 04:35:45,6799,archive,show,1-8,433,1.0,http://fmipa.unila.ac.id/,2018-04-25 04:35:45,"[{'format': 'text', 'main': 'Prosiding BKS PTN B 2013 SINDA MARYAMA_ERI SETIAWAN_Nusyirwan.pdf', 'files': [{'filesize': 782958, 'objectid': 19771, 'uri': 'http://repository.lppm.unila.ac.id/id/file/62256', 'filename': 'Prosiding BKS PTN B 2013 SINDA MARYAMA_ERI SETIAWAN_Nusyirwan.pdf', 'hash_type': 'MD5', 'mtime': '2018-04-24 06:06:37', 'datasetid': 'document', 'fileid': 62256, 'mime_type': 'application/pdf', 'hash': '05c46aa34319c3e094e78f521c259ca8'}], 'docid': 19771, 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'eprintid': 6799, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/19771'}]",,,,,,,,
19,,,['FMIPA9'],disk0/00/00/63/37,public,2018-01-11 05:33:34,7,pub,published,['QA'],"Waktu kelangsungan hidup adalah data yang mengukur waktu untuk kejadian tertentu. Distribusi dari waktu
kelangsungan hidup biasanya digambarkan atau digolongkan oleh tiga fungsi yaitu : fungsi kelangsungan hidup(Survival
Function), fungsi kepekatan peluang (fkp) dan fungsi Hazard. Laju kegagalan (hazard rate) mempunyai bentuk-bentuk kurva
yang telah diketahui, yaitu Increasing (I), Decreasing (D), Bathtub (∪),Upside-down Bathtub (∩) dan konstan. Dengan demikian tujuan dari penelitian ini adalah mengkaji karakteristik laju kegagalan (hazard rate) pada distribusi Gamma dengan menggunakan Teorema Glaser.",,http://repository.lppm.unila.ac.id/id/eprint/6337,2013-05-10 00:00:00.000000000,conference_item,"[{'id': None, 'name': {'honourific': None, 'family': 'Nila Puspita', 'lineage': None, 'given': 'Selvi'}}, {'name': {'given': 'Warsono', 'lineage': None, 'family': 'Warsono', 'honourific': None}, 'id': 'klppm@kpa.unila.ac.id'}, {'name': {'given': 'Widiarti', 'family': 'Widiarti', 'lineage': None, 'honourific': None}, 'id': 'widiarti08@gmail.com'}]","Identifikasi Karakteristik Hazard Rate Distribusi Gamma Dengan
Menggunakan Teorema Glaser",TRUE,2018-01-11 05:33:34,6337,archive,show,,33,,,2018-01-11 05:33:34,"[{'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'format': 'text', 'main': 'Selvi Nila.pdf', 'files': [{'fileid': 58941, 'datasetid': 'document', 'hash': '7908bcad32538522dd28bf36bdcac0b2', 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2018-01-11 05:15:45', 'objectid': 19262, 'filesize': 2812184, 'uri': 'http://repository.lppm.unila.ac.id/id/file/58941', 'filename': 'Selvi Nila.pdf'}], 'docid': 19262, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/19262', 'pos': 1, 'eprintid': 6337, 'placement': 1}]",,10 - 12 Mei 2013,paper,Bandar Lampung,conference,"SEMINAR DAN RAPAT TAHUNAN (SEMIRATA) BIDANG ILMU MIPA 2013 BKS PTN BARAT (10 - 12 Mei) Universitas Lampung, Bandar Lampung",,
20,"Fakultas Matematika dan Ilmu Pengetahuan Alam, Universitas Lampung",Identifikasi Karakteristik Hazard Rate Distribusi Gamma Dengan Menggunakan Teorema Glaser,['FMIPA9'],disk0/00/00/67/00,public,2018-04-25 08:10:09,6,pub,published,['QA'],"Waktu kelangsungan hidup adalah data yang mengukur waktu untuk kejadian tertentu. Distribusi dari waktu kelangsungan hidup biasanya digambarkan atau digolongkan oleh tiga fungsi yaitu : fungsi kelangsungan hidup(Survival Function), fungsi kepekatan peluang (fkp) dan fungsi Hazard. Laju kegagalan (hazard rate) mempunyai bentuk-bentuk kurva yang telah diketahui, yaitu Increasing (I), Decreasing (D), Bathtub (∪),Upside-down Bathtub (∩) dan konstan. Dengan demikian tujuan dari penelitian ini adalah mengkaji karakteristik laju kegagalan (hazard rate) pada distribusi Gamma dengan menggunakan Teorema Glaser. Hasil dari penelitian ini menunjukkan bahwa pola atau bentuk laju hazard dapat diduga oleh ߟ′(ݐ) = 0 dan tanda dari koefisien-koefisiennya dan karakteristik hazard rate distribusi gamma adalah konstan, Increasing, dan Decreasing.

Kata kunci: Distribusi Gamma, Survival Function, Hazard Rate.",,http://repository.lppm.unila.ac.id/id/eprint/6700,2013-05-10 00:00:00.000000000,article,"[{'name': {'given': 'Selvi Nila', 'honourific': None, 'lineage': None, 'family': 'Puspita'}, 'id': None}, {'name': {'honourific': None, 'lineage': None, 'family': 'Warsono', 'given': 'Warsono'}, 'id': 'klppm@kpa.unila.ac.id'}, {'id': 'widiarti08@gmail.com', 'name': {'family': 'Widiarti', 'lineage': None, 'honourific': None, 'given': 'Widiarti'}}]",Identifikasi Karakteristik Hazard Rate Distribusi Gamma Dengan Menggunakan Teorema Glaser,TRUE,2018-04-25 08:10:09,6700,archive,show,1-4,33,,,2018-04-25 08:10:09,"[{'format': 'text', 'docid': 19667, 'main': 'Prosiding BKS BTN B 2013 Selvi Nila P_Warsono_Widiarti.pdf', 'files': [{'datasetid': 'document', 'fileid': 61649, 'mime_type': 'application/pdf', 'hash': '52bcec2b91c5fa371b0fd47ec56dc5a9', 'hash_type': 'MD5', 'mtime': '2018-04-16 03:24:11', 'objectid': 19667, 'filesize': 209297, 'filename': 'Prosiding BKS BTN B 2013 Selvi Nila P_Warsono_Widiarti.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/61649'}], 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 6700, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/19667', 'pos': 1}]",,,,,,,,
21,FMIPA Universitas Lampung,Prosiding Seminar dan Rapat Tahunan BKS PTN Barat 2013,['FMIPA9'],disk0/00/00/67/23,public,2018-04-25 08:05:28,8,pub,published,['QA'],"Waktu kelangsungan hidup adalah data yang mengukur waktu untuk kejadian tertentu. Distribusi dari waktu kelangsungan hidup biasanya digambarkan atau digolongkan oleh tiga fungsi yaitu : fungsi kelangsungan hidup(Survival Function), fungsi kepekatan peluang (fkp) dan fungsi Hazard. Laju kegagalan (hazard rate) mempunyai bentuk-bentuk kurva yang telah diketahui, yaitu Increasing (I), Decreasing (D), Bathtub (∪),Upside-down Bathtub (∩) dan konstan. Dengan demikian tujuan dari penelitian ini adalah mengkaji karakteristik laju kegagalan (hazard rate) pada distribusi Gamma dengan menggunakan Teorema Glaser. Hasil dari penelitian ini menunjukkan bahwa pola atau bentuk laju hazard dapat diduga oleh Ƞ'(t)= 0 dan tanda dari koefisien-koefisiennya dan karakteristik hazard rate distribusi gamma adalah konstan, Increasing, dan Decreasing.",1.0,http://repository.lppm.unila.ac.id/id/eprint/6723,2013-05-10 00:00:00.000000000,article,"[{'name': {'given': 'Selvi Nila', 'honourific': None, 'family': 'Puspita', 'lineage': None}, 'id': 'cime_raykad@yahoo.com'}, {'name': {'given': 'Warsono', 'honourific': None, 'family': 'Warsono', 'lineage': None}, 'id': 'klppm@kpa.unila.ac.id'}, {'id': 'widiarti08@gmail.com', 'name': {'honourific': None, 'family': 'Widiarti', 'lineage': None, 'given': 'Widiarti'}}]",Identifikasi Karakteristik Hazard Rate Distribusi Gamma Dengan Menggunakan Teorema Glaser,TRUE,2018-04-25 08:05:28,6723,archive,show,1-4,516,1.0,http://fmipa.unila.ac.id/,2018-04-25 08:05:28,"[{'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'main': 'Prosiding BKS BTN B 2013 Selvi Nila P_Warsono_Widiarti.pdf', 'files': [{'datasetid': 'document', 'fileid': 62247, 'hash': '52bcec2b91c5fa371b0fd47ec56dc5a9', 'mime_type': 'application/pdf', 'objectid': 19769, 'filesize': 209297, 'filename': 'Prosiding BKS BTN B 2013 Selvi Nila P_Warsono_Widiarti.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/62247', 'hash_type': 'MD5', 'mtime': '2018-04-24 05:53:32'}], 'docid': 19769, 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/19769', 'security': 'public', 'placement': 1, 'eprintid': 6723}]",,,,,,,,
