,type,creators,title,refereed,datestamp,eprintid,eprint_status,metadata_visibility,pagerange,userid,number,official_url,lastmod,documents,divisions,publisher,publication,dir,issn,full_text_status,status_changed,rev_number,ispublished,date_type,subjects,abstract,volume,date,uri,id_number,patent_applicant,pages,related_url
10,article,"[{'id': 'dian.kurniasari@fmipa.unila.ac.id', 'name': {'given': 'Dian', 'family': 'Kurniasari', 'lineage': None, 'honourific': None}}, {'name': {'given': 'Zaenal', 'honourific': None, 'lineage': None, 'family': 'Mukhlisin'}, 'id': None}, {'id': 'wamiliana@gmail.com', 'name': {'lineage': None, 'family': 'Wamiliana', 'honourific': None, 'given': 'Wamiliana'}}, {'name': {'honourific': None, 'family': 'Warsono', 'lineage': None, 'given': 'Warsono'}, 'id': 'warsono.1963@fmipa.unila.ac.id'}]","PERFORMANCE OF THE ACCURACY OF FORECASTING THE 
CONSUMER PRICE INDEX USING THE GARCH AND ANN METHODS",TRUE,2023-08-21 02:46:32,52413,archive,show,931-944,752,2.0,https://ojs3.unpatti.ac.id/index.php/barekeng,2023-08-21 02:46:32,"[{'format': 'text', 'docid': 253918, 'main': 'PERFORMANCE OF THE ACCURACY OF FORECASTING THE CONSUMER PRICE INDEX USING THE GARCH AND ANN METHODS.pdf', 'files': [{'objectid': 253918, 'filesize': 472174, 'filename': 'PERFORMANCE OF THE ACCURACY OF FORECASTING THE CONSUMER PRICE INDEX USING THE GARCH AND ANN METHODS.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/621239', 'hash_type': 'MD5', 'mtime': '2023-08-20 20:45:21', 'datasetid': 'document', 'fileid': 621239, 'mime_type': 'application/pdf', 'hash': '00ed10521cccd6c38f70cd5d61c71864'}], 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 52413, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/253918', 'pos': 1}]",['FMIPA9'],Pattimura University,BAREKENG: Journal of Mathematics and Its Applications,disk0_bak/00/05/24/13,2615-3017,public,2023-08-21 02:46:32,6,pub,published,['QA76'],"The Consumer Price Index (CPI) is the most widely used indicator of the inflation rate. Then, 
the value of CPI in the future must be known to be the basis of the government's making 
appropriate and accurate policies. The CPI data used in this study was taken from the Central 
Statistics Agency (BPS) from January 2006 - to December 2021. The CPI data used has a data 
pattern containing symptoms of heteroskedasticity. To overcome the symptoms of 
heteroskedasticity, the author uses the GARCH and ANN methods to determine the value of CPI 
in the future. The GARCH method can overcome the symptoms of heteroskedasticity in the time 
series forecasting process, while ANN is an effective method in time series forecasting because 
of its high level of accuracy. In this study, MAPE calculation results were obtained with the 
ARIMA model (4,2,2)~GARCH(1.1) of 3.19% or with an accuracy of 96.81%, and ANN using 
two hidden layers of 1.24% or with an accuracy of 98.76%. Thus, the results of this study show 
that the ANN method is the best method of forecasting Consumer Price Index (CPI) data",17.0,2023-06-11 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/52413,,,,
11,article,"[{'id': 'dian.kurniasari@fmipa.unila.ac.id', 'name': {'given': 'Dian', 'honourific': None, 'lineage': None, 'family': 'Kurniasari'}}, {'id': None, 'name': {'honourific': None, 'family': 'Oskavina', 'lineage': None, 'given': 'Sulistian'}}, {'name': {'given': 'Wamiliana', 'lineage': None, 'family': 'Wamiliana', 'honourific': None}, 'id': 'wamiliana@gmail.com'}, {'id': 'warsono.1963@fmipa.unila.ac.id', 'name': {'family': 'Warsono', 'lineage': None, 'honourific': None, 'given': 'Warsono'}}]","Forecasting The Value of Indonesian Oil-Non-Oil and Gas 
Imported Using The Gated Recurrent Unit (GRU)",TRUE,2023-08-21 02:46:34,52414,archive,show,71-83,752,1.0,https://ejournal.uin-suska.ac.id/index.php/IJAIDM/index,2023-08-21 02:46:34,"[{'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/253919', 'security': 'public', 'placement': 1, 'eprintid': 52414, 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'main': 'Forecasting The Value of Indonesian Oil-Non-Oil and Gas Imported Using The Gated Recurrent Unit (GRU).pdf', 'docid': 253919, 'files': [{'datasetid': 'document', 'fileid': 621245, 'hash': '1e3d943f32c6561235f4c300b5558297', 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2023-08-20 20:54:07', 'objectid': 253919, 'filesize': 634425, 'uri': 'http://repository.lppm.unila.ac.id/id/file/621245', 'filename': 'Forecasting The Value of Indonesian Oil-Non-Oil and Gas Imported Using The Gated Recurrent Unit (GRU).pdf'}], 'format': 'text'}]",['FMIPA9'],Puzzle Research Data Technology (Predatech) UIN Sultan Syarif Kasim Riau,Indonesian Journal of Artificial Intelligence and Data Mining (IJAIDM),disk0_bak/00/05/24/14,2614-6150,public,2023-08-21 02:46:34,8,pub,published,['QA76'],"In Indonesia, various factors play a role in economic development. Oil-non-oil and gas imports are one of the main factors. However, the value of oil-non-oil and gas imports in Indonesia fluctuates monthly. Therefore, an appropriate method is required to monitor changes in the value of oil-non-oil and gas imports in Indonesia so that the government can make the right choices. This study uses the GRU method to estimate the amount of oil-non-oil and gas imports in 
Indonesia. The best model for forecasting over the next two years has an optimum structure of 32 GRU units, 16 batch sizes, and 100 epochs, with a dropout of 0.2 and uses 80% training data and 20% test data. The MAPE value obtained is 0.999955%, with an accuracy of 99.000044%. Forecast results suggest an improvement from June 2022 to July 2024.",6.0,2023-06-13 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/52414,,,,
12,article,"[{'id': 'dian.kurniasari@fmipa.unila.ac.id', 'name': {'honourific': None, 'family': 'Kurniasari', 'lineage': None, 'given': 'Dian'}}, {'name': {'honourific': None, 'lineage': None, 'family': 'Putri', 'given': 'Amelia Fallizia'}, 'id': None}, {'name': {'given': 'Warsono', 'honourific': None, 'lineage': None, 'family': 'Warsono'}, 'id': 'warsono.1963@fmipa.unila.ac.id'}, {'name': {'given': 'Notiragayu', 'family': 'Notiragayu', 'lineage': None, 'honourific': None}, 'id': 'notiragayu@fmipa.unila.ac.id'}]","APPLICATION OF ARTIFICIAL NEURAL NETWORK METHOD USING 
HYPERPARAMETER TUNING FOR PREDICTION OF EURO EXCHANGE 
RUPIAH",TRUE,2023-08-21 02:46:38,52415,archive,show,2981-2998,752,1.0,https://ejournal.unsri.ac.id/index.php/jsi/index,2023-08-21 02:46:38,"[{'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'format': 'text', 'docid': 253925, 'main': 'APPLICATION OF ARTIFICIAL NEURAL NETWORK METHOD USING HYPERPARAMETER TUNING FOR PREDICTION OF EURO EXCHANGE RUPIAH.pdf', 'files': [{'objectid': 253925, 'filesize': 1138284, 'uri': 'http://repository.lppm.unila.ac.id/id/file/621258', 'filename': 'APPLICATION OF ARTIFICIAL NEURAL NETWORK METHOD USING HYPERPARAMETER TUNING FOR PREDICTION OF EURO EXCHANGE RUPIAH.pdf', 'hash_type': 'MD5', 'mtime': '2023-08-20 21:22:11', 'fileid': 621258, 'datasetid': 'document', 'hash': '7432487a7bb443a51cee908740169608', 'mime_type': 'application/pdf'}], 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/253925', 'pos': 1, 'eprintid': 52415, 'placement': 1}]",['FMIPA9'],Jurusan Sistem Informasi Fakultas Ilmu Komputer Universitas Sriwijaya,JSI : Jurnal Sistem Informasi (E-Journal),disk0_bak/00/05/24/15,2355-4614,public,2023-08-21 02:46:38,6,pub,published,['QA76'],"The Covid-19 pandemic has significantly impacted the economic decline in many countries, such as Italy, 
the United States and the European Union. Indonesia, also affected by Covid-19, was not spared from economic turmoil, especially in the foreign exchange market, where the rupiah exchange rate against the Euro experienced significant fluctuations in early 2020, hampering international trade and investment activities. Therefore, an appropriate method is needed to predict changes in the rupiah exchange rate against the Euro to minimize the obstacles. This study uses the ANN model to predict the Rupiah (Rp) exchange rate against the Euro (€). The best model is obtained through the hyper-tuning process. The optimal parameter values obtained are the input layer with 10 nodes, 2 hidden layers with 19 nodes and 13 nodes, the output layer, dropout of 0.2, 32 batch sizes, 100 epochs, and the Tanh activation function in the distribution scheme of 90% training data and 10 % testing data. Based on the MAPE value of 0.0042% and 0.0041% obtained, the prediction results on the selling and buying rates of the Rupiah against the Euro, it can be concluded that the model has good predictive ability with an accuracy value of 99.996%.",15.0,2023-06-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/52415,,,,
13,article,"[{'id': 'mira.mustika@ma.itera.ac.id', 'name': {'given': 'Mira', 'honourific': None, 'family': 'Mustika', 'lineage': None}}, {'id': 'wamiliana@gmail.com', 'name': {'given': 'Wamiliana', 'lineage': None, 'family': 'Wamiliana', 'honourific': None}}, {'name': {'given': 'Roni', 'family': 'Setiawan', 'lineage': None, 'honourific': None}, 'id': None}]","MODELLING AND SOLVING COURSE SCHEDULING 
PROBLEMS (CASE STUDY: MATHEMATICS STUDY PROGRAM,
INSTITUT TEKNOLOGI SUMATERA)",TRUE,2023-08-22 01:57:35,52425,archive,show,1-10,791,1.0,,2023-08-22 01:57:35,"[{'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/253990', 'pos': 1, 'eprintid': 52425, 'placement': 1, 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'format': 'text', 'files': [{'mtime': '2023-08-21 13:29:15', 'hash_type': 'MD5', 'filename': 'MODELLING AND SOLVING COURSE SCHEDULING PROBLEMS.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/621409', 'objectid': 253990, 'filesize': 441921, 'mime_type': 'application/pdf', 'hash': '9d68d069bfee62f7146e7e361bd5e998', 'fileid': 621409, 'datasetid': 'document'}], 'main': 'MODELLING AND SOLVING COURSE SCHEDULING PROBLEMS.pdf', 'docid': 253990}]",['FMIPA9'],Universitas Riau,Journal of  Mathematical Sciences and Optimization,disk0_bak/00/05/24/25,,public,2023-08-22 01:57:35,6,pub,,['QA'],"Every educational institution has a standard process for scheduling courses. In scheduling,
there are a lot of constraints that must be fulfilled, including hard and soft constraints. Hard
constraints are constraints that must be met and cannot be disregarded; a lecturer, for instance,
is limited to teaching one course in one room at a time. Soft constraints, on the other hand, are
a type of restriction that can be broken, but breaks are minimized to the greatest extent possible.
The aim of this research is to produce an optimal lecture schedule and to provide alternative solutions. The case study taken is the even semester at Institut Teknologi Sumatera (ITERA) Mathematics Study Program. The problem is modelled using Goal Programming and solved using LINGO. The result shows that the scheduling can fulfill every requirement.
Keywords: scheduling, hard constraint, soft constraint, goal programming",1.0,2023-07-31 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/52425,,,,
14,article,"[{'id': None, 'name': {'given': 'Febi Siti Sutria', 'honourific': None, 'family': 'Ningsih', 'lineage': None}}, {'id': 'purn005@brin.go.id', 'name': {'lineage': None, 'family': 'Khotimah', 'honourific': None, 'given': 'Purnomo Husnul'}}, {'id': None, 'name': {'honourific': None, 'family': 'Arisal', 'lineage': None, 'given': 'Andria'}}, {'id': None, 'name': {'family': 'Rozie', 'lineage': None, 'honourific': None, 'given': 'Andri Fachrur'}}, {'id': None, 'name': {'lineage': None, 'family': 'Munandar', 'honourific': None, 'given': 'Devi'}}, {'id': None, 'name': {'honourific': None, 'lineage': None, 'family': 'Riswantini', 'given': 'Dianadewi'}}, {'name': {'honourific': None, 'family': 'Nugraheni', 'lineage': None, 'given': 'Ekasari'}, 'id': None}, {'id': None, 'name': {'honourific': None, 'lineage': None, 'family': 'Suwarningsih', 'given': 'Wiwin'}}, {'name': {'given': 'Dian', 'honourific': None, 'family': 'Kurniasari', 'lineage': None}, 'id': 'dian.kurniasari@fmipa.unila.ac.id'}]",Synonym-based Text Generation in Restructuring Imbalanced Dataset for Deep Learning Models,TRUE,2023-04-06 00:53:24,49696,archive,show,,752,,https://ieeexplore.ieee.org/xpl/conhome/1848749/all-proceedings,2023-04-06 00:53:24,"[{'format': 'text', 'main': 'Synonym-based_Text_Generation_in_Restructuring_Imbalanced_Dataset_for_Deep_Learning_Models.pdf', 'files': [{'hash': '0e65ec012e4af5e0e59086caeb6528ca', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 538622, 'filename': 'Synonym-based_Text_Generation_in_Restructuring_Imbalanced_Dataset_for_Deep_Learning_Models.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/538622', 'objectid': 189336, 'filesize': 778608, 'mtime': '2023-04-05 08:31:08', 'hash_type': 'MD5'}], 'docid': 189336, 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 49696, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/189336', 'pos': 1}]",['FMIPA9'],IEEE,"Proceedings of the 5th International Conference on Networking, Information Systems & Security: Envisage Intelligent Systems in 5G/6G-based Interconnected Digital Worlds NISS 2022",disk0_bak/00/04/96/96,978-1-6654-5363-9,public,2023-04-06 00:53:24,8,pub,published,['QA75'],"One of which machine learning data processing problems is imbalanced classes. Imbalanced classes could potentially cause bias towards the majority classes due to the nature of machine learning algorithms that presume that the object cardinality in classes is around similar number. Oversampling or generating new objects in minority class are common approaches for balancing the dataset. In text oversampling method, semantic meaning loses often occur when deep learning algorithms are used. We propose synonym-based text generation for restructuring the imbalanced COVID-19 online-news dataset. Three deep learning models (MLP, CNN, and LSTM) using TF/IDF and word embedding (WE) feature are tested with the original and balanced dataset. The results indicate that the balance condition of the dataset and the use of text representative features affect the performance of the deep learning model. Using balanced data and deep learning models with WE greatly affect the classification significantly higher performances as high as 4%, 5%, and 6% in accuracy, precision, recall, and f1-score, respectively.",,2023-04-03 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/49696,,,,
15,article,"[{'id': None, 'name': {'honourific': None, 'lineage': None, 'family': 'Nosa', 'given': 'Ferzy Tryanda'}}, {'name': {'given': 'Dian', 'lineage': None, 'family': 'Kurniasari', 'honourific': None}, 'id': 'dian.kurniasari@fmipa.unila.ac.id'}, {'name': {'given': 'Amanto', 'honourific': None, 'family': 'Amanto', 'lineage': None}, 'id': 'amanto.1973@fmipa.unila.ac.id'}, {'name': {'family': 'Warsono', 'lineage': None, 'honourific': None, 'given': 'Warsono'}, 'id': 'warsono.1963@fmipa.unila.ac.id'}]",Robusta London Coffee Price Forecasting Analysis Using Recurrent Neural Network – Long Short Term Memory (RNN – LSTM),TRUE,2023-04-04 00:56:42,49602,archive,show,30-41,752,2.0,https://journals.usm.ac.id/index.php/transformatika/index,2023-04-04 00:56:42,"[{'format': 'text', 'docid': 189235, 'main': 'Robusta London Coffee Price Forecasting AnalysisUsing Recurrent Neural Network –Long Short Term Memory (RNN –LSTM).pdf', 'files': [{'fileid': 537849, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': '8daabe6127859350dd712a409df1fc43', 'hash_type': 'MD5', 'mtime': '2023-04-03 23:10:34', 'objectid': 189235, 'filesize': 697578, 'filename': 'Robusta London Coffee Price Forecasting AnalysisUsing Recurrent Neural Network –Long Short Term Memory (RNN –LSTM).pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/537849'}], 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'eprintid': 49602, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/189235', 'pos': 1}]",['FMIPA9'],"Department of Information Technology, Faculty of Information Technology and Communication, Semarang University",Jurnal Transformatika,disk0_bak/00/04/96/02,2460-6731,public,2023-04-04 00:56:42,6,pub,published,['QA76'],"Coffee price forecasting has a significant role in preventing price fluctuations at a time. Therefore, a method is needed that can be used to forecast the price of coffee. This study discusses the analysis of coffee price forecasting using the Recurrent Neural Network – Long Short-Term Memory (RNN – LSTM) method. This study will be determined the best LSTM model that aims to get the results of forecasting the price of London Robusta coffee with the smallest Root Mean Square Error (RMSE) and Mean Absolute Percentage Error (MAPE) values. Using the LSTM model with units of 128 and dropouts of 0.1, forecasting the price of London Robusta coffee has an RMSE value of 1,303 and MAPE of 3.53%. Therefore, the LSTM model can indicate the cost of London Robusta coffee with an accuracy rate of 96.47%.

Keywords: Coffee price forecasting, LSTM, Units, Dropout, RMSE, MAP.",20.0,2023-01-30 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/49602,,,,
16,patent,"[{'id': None, 'name': {'given': 'Fiqih Aulia', 'honourific': None, 'family': 'Pradana', 'lineage': None}}, {'id': 'dian.kurniasari@fmipa.unila.ac.id', 'name': {'family': 'Kurniasari', 'lineage': None, 'honourific': None, 'given': 'Dian'}}, {'id': 'wamiliana@gmail.com', 'name': {'honourific': None, 'family': 'Wamiliana', 'lineage': None, 'given': 'Wamiliana'}}, {'id': 'warsono.1963@fmipa.unila.ac.id', 'name': {'given': 'Warsono', 'lineage': None, 'family': 'Warsono', 'honourific': None}}]","Perbandingan Word Embedding Word2Vec, GloVe, Dan FastText
Menggunakan Deep Learning (LSTM) Pada Data Drugs Review",,2023-05-29 01:32:41,52030,archive,show,,752,,,2023-05-29 01:32:41,"[{'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'docid': 251722, 'main': '17. SERTIFIKAT HAKI_Fiqih.pdf', 'files': [{'mime_type': 'application/pdf', 'hash': 'ec34e0fdb3972c8337fc4853815958ac', 'datasetid': 'document', 'fileid': 616463, 'mtime': '2023-05-26 19:58:28', 'hash_type': 'MD5', 'filename': '17. SERTIFIKAT HAKI_Fiqih.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/616463', 'filesize': 2110057, 'objectid': 251722}], 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/251722', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 52030}]",['FMIPA9'],,,disk0_bak/00/05/20/30,,public,2023-05-29 01:32:41,7,pub,published,['QA76'],,,2023-05-23 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/52030,EC00202337407,Program Komputer,,
17,patent,"[{'id': None, 'name': {'family': 'Pradana', 'lineage': None, 'honourific': None, 'given': 'Fiqih Aulia'}}, {'id': 'dian.kurniasari@fmipa.unila.ac.id', 'name': {'honourific': None, 'lineage': None, 'family': 'Kurniasari', 'given': 'Dian'}}, {'name': {'honourific': None, 'family': 'Wamiliana', 'lineage': None, 'given': 'Wamiliana'}, 'id': 'wamiliana@gmail.com'}, {'id': 'warsono.1963@fmipa.unila.ac.id', 'name': {'given': 'Warsono', 'lineage': None, 'family': 'Warsono', 'honourific': None}}]","Perbandingan Word Embedding Word2Vec, GloVe, Dan FastText
Menggunakan Deep Learning (LSTM) Pada Data Drugs Review",,2023-08-21 02:46:40,52417,archive,show,,752,,,2023-08-21 02:46:40,"[{'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'format': 'text', 'main': 'SERTIFIKAT_HaKI Fiqih.pdf', 'files': [{'fileid': 621284, 'datasetid': 'document', 'hash': 'ec34e0fdb3972c8337fc4853815958ac', 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2023-08-20 21:45:41', 'objectid': 253937, 'filesize': 2110057, 'uri': 'http://repository.lppm.unila.ac.id/id/file/621284', 'filename': 'SERTIFIKAT_HaKI Fiqih.pdf'}], 'docid': 253937, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/253937', 'pos': 1, 'eprintid': 52417, 'placement': 1}]",['FMIPA9'],,,disk0_bak/00/05/24/17,,public,2023-08-21 02:46:40,7,pub,published,['QA76'],-,,2023-05-23 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/52417,EC00202337407,Program Komputer,2.0,
18,article,"[{'id': 'rachma.adjiramadanti01@gmail,com', 'name': {'given': 'Ramadanti', 'family': 'Rachma Adji', 'lineage': None, 'honourific': None}}, {'id': 'Nusyirwan@fmipa.unila.ac.id', 'name': {'family': 'Nusyirwan', 'lineage': None, 'honourific': None, 'given': 'Nusyirwan'}}, {'name': {'given': 'Ferdias', 'lineage': None, 'family': 'Pandri', 'honourific': None}, 'id': 'pandri.ferdias@fmipa.unila.ac.id'}, {'id': 'khoirin.nisa@fmipa.unila.ac.id', 'name': {'family': 'Khoirin', 'lineage': None, 'honourific': None, 'given': 'Nisa'}}]","Penerapan Adaptive Neuro Fuzzy Inference System
Menggunakan Fungsi Keanggotaan Generalized Bell
untuk Prediksi Indeks Harga Konsumen",TRUE,2023-08-09 02:04:10,52344,archive,show,1-20,433,2.0,,2023-08-09 02:04:10,"[{'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'files': [{'fileid': 620429, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': 'db44a8194171872a75d274a79495ea35', 'filesize': 716197, 'objectid': 253513, 'filename': 'jurnal JSMS nusyirwan 23.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/620429', 'hash_type': 'MD5', 'mtime': '2023-08-08 01:48:14'}], 'main': 'jurnal JSMS nusyirwan 23.pdf', 'docid': 253513, 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/253513', 'security': 'public', 'placement': 1, 'eprintid': 52344}]",['FMIPA9'],"Program Studi Matematika, Universitas Islam Negeri Sultan Syarif Kasim Riau",Jurnal Sains Matematika dan Statistika,disk0_bak/00/05/23/44,2460-4542,public,2023-08-09 02:04:10,6,pub,published,['QA'],"Indeks Harga Konsumen (IHK) merupakan indikator ekonomi penting terhadap
pasar keuangan dan menjadi indikator umum tingkat inflasi di Indonesia yang
dihitung dan dipublikasikan setiap bulannya oleh Badan Pusat Statistik (BPS).
Perkembangan IHK dapat memperlihatkan perkembangan tingkat harga suatu
barang dan jasa yang dibeli masyarakat dari waktu ke waktu. Berdasarkan hal
tersebut, IHK perlu diprediksi agar harga barang dan jasa di masyarakat bisa
dikontrol sehingga bisa menstabilkan inflasi dan jumlah uang yang beredar yang
terjadi di Indonesia, maka oleh karena itu prediksi IHK pada penelitian ini digunakan
variabel prediktor yaitu inflasi dan uang beredar pada beberapa periode deret waktu.
Dalam prediksi pada penelitian ini digunakan metode Adaptive Neuro Fuzzy Inference
System (ANFIS). ANFIS merupakan salah satu metode yang dapat digunakan untuk
melakukan prediksi pada data time series, ANFIS sendiri merupakan salah satu jenis
neural network yang berbasis pada sistem inferensi fuzzy Takagi Sugeno. Tujuan dari
penelitian ini adalah menerapkan ANFIS untuk memprediksi IHK menggunakan
fungsi keanggotaan generalized bell. Selanjutnya menduga model ANFIS dan
memperoleh tingkat akurasi dari model prediksi Indeks Harga Konsumen (IHK)
dengan metode ANFIS. Variabel prediktor yang digunakan adalah inflasi dan uang
beredar, untuk variabel respon yang digunakan adalah IHK. Model terbaik dipilih
berdasarkan pada nilai RMSE. Hasil analisis menunjukan bahwa penggunaan metode
ANFIS sudah baik untuk prediksi data karena hasil prediksi sudah cukup mendekati
data aktual dan RMSE model ANFIS dengan 2-cluster memberikan tingkat keakuratan
yang baik untuk meramalkan IHK. Dengan kasus data IHK yang nilainya berubah
cukup jauh pada awal tahun 2020 yang diakibatkan oleh perbedaan tahun dasar
perhitungan nilai IHK, hasil ramalan dengan model ANFIS ini sudah cukup
mengikuti dengan data aktualnya, ini sudah cukup menunjukan bahwa metode
ANFIS cocok untuk diterapkan untuk menyelesaikan kasus prediksi IHK.",9.0,2023-07-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/52344,,,,[{'url': 'https://ejournal.uin-suska.ac.id/index.php/JSMS/index'}]
19,article,"[{'id': None, 'name': {'given': 'Hilda L', 'honourific': None, 'lineage': None, 'family': 'Ramadhania'}}, {'name': {'given': 'Widiarti', 'family': 'Widiarti', 'lineage': None, 'honourific': None}, 'id': 'widiarti08@gmail.com'}, {'name': {'family': 'Zakaria', 'lineage': None, 'honourific': None, 'given': 'L'}, 'id': 'lazakaria.1969@fmipa.unila.ac.id'}, {'name': {'honourific': None, 'family': 'Nusyirwan', 'lineage': None, 'given': 'Nusyirwan'}, 'id': 'Nusyirwan@fmipa.unila.ac.id'}]","Aplikasi Metode Sillhouette Coefficient, Metode Elbow dan Metode Gap Staticstic dalam Menentukan K Optimal pada Analisis K-Medoids",TRUE,2023-05-21 03:44:42,51899,archive,show,1-10,33,1.0,https://jurnal.fmipa.unila.ac.id/JSM,2023-05-21 03:44:42,"[{'placement': 1, 'eprintid': 51899, 'uri': 'http://repository.lppm.unila.ac.id/id/document/251024', 'pos': 1, 'security': 'public', 'main': 'Aplikasi Metode Sillhoute Coefficint_Hilda, Widiarti, dkk_Jurnal Siger.pdf', 'docid': 251024, 'files': [{'hash': '9c718f95f9082e0c6574b604209bf25f', 'mime_type': 'application/pdf', 'fileid': 614875, 'datasetid': 'document', 'mtime': '2023-05-20 13:01:44', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/614875', 'filename': 'Aplikasi Metode Sillhoute Coefficint_Hilda, Widiarti, dkk_Jurnal Siger.pdf', 'filesize': 741337, 'objectid': 251024}], 'format': 'text', 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1}]",['FMIPA9'],"Jurusan Matematika, Universitas Lampung",Jurnal Siger Matematika,disk0_bak/00/05/18/99,"2721-5849 (p), 2721-6853(e)",public,2023-05-21 03:44:42,6,pub,published,['QA'],"The K-Medoids method is a non-hierarchical cluster analysis method where information on the exact number of clusters is required. The data used in this study uses simulation data from reference data on the percentage of households according to drinking water sources. The simulation data used uses a multivariate normal distribution, so that the simulation data allows for negative data. In this study, two options were carried out on negative data results, namely being zero and absolute. The method in determining the optimal number of clusters used the Sillhouette Coefficient method, the Elbow method and the Gap Statistics method. The average Dunn Index value from the data on the zeroed option produces the largest Dunn Index value in determining the optimal number of clusters using the Gap Statistic method, which is 0,125734, while in the second option data, the Dunn Index average is greatest in determining the number of clusters optimally using the Sillhouette Coefficient method, which is 0,113315.",4.0,2023-05-18 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/51899,,,,
20,patent,"[{'id': None, 'name': {'given': 'Azzahra Zulfa', 'family': 'Riswinda', 'lineage': None, 'honourific': None}}, {'name': {'honourific': None, 'family': 'Kurniasari', 'lineage': None, 'given': 'Dian'}, 'id': 'dian.kurniasari@fmipa.unila.ac.id'}, {'id': 'wamiliana@gmail.com', 'name': {'given': 'Wamiliana', 'lineage': None, 'family': 'Wamiliana', 'honourific': None}}, {'id': 'warsono.1963@fmipa.unila.ac.id', 'name': {'given': 'Warsono', 'honourific': None, 'lineage': None, 'family': 'Warsono'}}]","Hybrid Convolutional Neural Network (CNN)-Long Short Term
Memory (LSTM) Untuk Klasifikasi Data Text Penilaian Produk
Nutrimax Food Supplement",,2023-05-29 01:32:36,52029,archive,show,,752,,,2023-05-29 01:32:36,"[{'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'docid': 251721, 'main': '16. Sertifikat Haki Azzahra.pdf', 'files': [{'fileid': 616454, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': 'fd5f857266dede0a1bbeb4114834e437', 'hash_type': 'MD5', 'mtime': '2023-05-26 19:52:11', 'filesize': 2109765, 'objectid': 251721, 'filename': '16. Sertifikat Haki Azzahra.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/616454'}], 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/251721', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 52029}]",['FMIPA9'],,,disk0_bak/00/05/20/29,,public,2023-05-29 01:32:36,9,pub,published,['QA76'],,,2023-05-23 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/52029,EC00202337386,Program Komputer,2.0,
