,subjects,book_title,abstract,uri,date,publisher,dir,divisions,status_changed,full_text_status,rev_number,ispublished,eprint_status,editors,eprintid,datestamp,metadata_visibility,contributors,userid,documents,lastmod,type,creators,refereed,title,place_of_pub,volume,projects,publication,funders,issn,keywords,pages,contact_email,official_url,number,pagerange,date_type,isbn,event_dates,pres_type,event_location,event_type,related_url,event_title,corp_creators,id_number,department,institution,monograph_type
10,['HM'],,"ABSTRAK Problem  kualitas  Daftar  Pemilih  Tetap  (DPT)  selalu terjadi  di  setiap  pemilu,  bahkan problem DPT selalu menjadi dasar gugatan di Mahkamah Konstitusi bagi peserta pemilu yang kalah. Komisi Pemilihan Umum yang diberikan kewenangan untuk menyusun DPT menjadi  pihak  yang  dianggap  tidak  profesional.  Padahal  bahan  dasar  untuk  menyusun DPT  adalah  Data  Potensial  Pemilih  Pemilu(DP4).  Validitas  DP4    merupakan  salah  satu variabel  yang  menentukan  kualitas  DPT.    Penelitian tentang    validitas  DP4  dan  proses  penyusunan  DP4   penting  agar  ada proses perbaikan secara sistemik  untuk  DP4  menuju DPT yang berkualitas. Penelitian  menggunakan metode kuantitatif yaitu menghitung data yang  tidak  valid  yang  terdapat  di  dalam  DP4,    dipadukan  metode    kualitatif    untuk menggali  penyebab    data  invalid  di  DP4    melalui  wawancara  dan  Focus  Group Discussion. Hasil  penelitian  menunjukkan  DP4  pada  Pemilu  serentak  2019  di  Lampung tidak      valid      karena   mengandung      elemen   data      yang tidak   memenuhi   syarat;   margin/selisih antara DP4 dan DPT  signifikan. Penyebab DP4 tidak valid karena belum semua  warga   memiliki  KTP  Elektronik.  Penyebabnya  sentralisasi  birokrasi  dalam pembuatan  KTP  Elektronik.  Sentralisasi  birokrasi ini  berakibat  pada  terbatasnya  inovasi daerah  dalam  penyediaan  sarana  prasarana  perekaman   KTP  Elektronik,  pelayanan lambat,   jadwal   pelayanan   tidak   jelas,   ketersediaan blanko   tergantung   dari   pusat.  Meskipun  demikian,  sistem  ini    paling  aman  dalam  menyimpan  data  dan  mengurangi sebanyak mungkin kegandaan KTP Elektronik. 

Kata Kunci: Pemilu, DP4, DPT, KTP Elektronik",http://repository.lppm.unila.ac.id/id/eprint/31954,2020-03,Sosiologi FISIP Universitas Lampung,disk0/00/03/19/54,['FISIP7'],2021-06-04 01:35:33,public,6,pub,archive,,31954,2021-06-04 01:35:33,show,,1144,"[{'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/144755', 'security': 'public', 'placement': 1, 'eprintid': 31954, 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'docid': 144755, 'main': '48-Article Text-172-1-10-20210205.pdf', 'files': [{'hash': '089bdfdd521be10f63dd069528da7bda', 'mime_type': 'application/pdf', 'fileid': 378171, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/378171', 'filename': '48-Article Text-172-1-10-20210205.pdf', 'objectid': 144755, 'filesize': 183744, 'mtime': '2021-06-03 16:08:10', 'hash_type': 'MD5'}], 'format': 'text'}]",2021-06-04 01:35:33,article,"[{'name': {'given': 'Handi', 'family': 'Handi Mulyaningsih', 'lineage': None, 'honourific': None}, 'id': 'handi.mulyaningsih@fisip.unila.ac.id'}, {'name': {'given': 'Hertanto', 'honourific': None, 'family': 'Hertanto', 'lineage': None}, 'id': 'hertanto.1960@fisip.unila.ac.id'}, {'id': 'damar.wibisono@fisip.unila.ac.id', 'name': {'lineage': None, 'family': 'damar wibisono', 'honourific': None, 'given': 'DW'}}]",TRUE,VALIDITAS DATA  PEMILIH POTENSIAL PEMILU (DP4)  PADA  PEMILU SERENTAK 2019 DI LAMPUNG (Studi Di KabupatenPesawaran),,22.0,,SOSIOLOGI: Jurnal Ilmiah Kajian Ilmu Sosial dan Budaya,,p-ISSN 1411-0040 dan e-ISSN 2549-7235,,,,http://jurnalsosiologi.fisip.unila.ac.id/index.php/jurnal,1.0,64-78,published,,,,,,,,,,,,
11,['HM'],,"Salah satu ciri data yang berkualitas adalah data pemilih dimana  semua pemilih yang memenuhi syarat ada di DPT, dan tidak ada satupun yang tidak memenuhi syarat ada di DPT. Realitasnya, mencapai DPT yang berkualitas tidak mudah.  Selalu ada orang yang meninggal ada di DPT, dan ada yang memenuhi syarat belum masuk ke DPT. Secara khusus penelitian ini bertujuan untuk mengukur validitas DP4 Kabupaten Pesawaran; mengetahui faktor penyebab invaliditas DP4 Kabupaten Pesawaran; serta solusi yang diambil Disdukcapil dalam mengatasi hambatan penyusunan DP4. Sehingga penelitian ini akan menjadi dasar bagi kabupaten lain dalam mengukur validitas DP4; berkontribusi dalam perbaikan DP4 dan DPT, serta meningkatkan kepercayaan publik terhadap hasil pemilu. Penelitian ini menggunakan metode kuantitatif yaitu menghitung data yang tidak valid yang terdapat di dalam DP4. Metode kuantitatif dipadukan dengan data kualitatif  untuk menggali penyebab terdapatnya data invalid di DP4 dan upaya mengatasi hambatan penyusunan DP4. Hasil penelitian menunjukkan bahwa 1). Validitas DP4 kabupaten Pesawaran dapat dlihat dari analisis DP4 yang diserahkan ke KPU dinilai baik apabila tidak ada elemen data yang tidak memenuhi syarat, 2). Apabila dibandingkan dengan hasil coklit banyak pemilih baru dan yang tidak memenuhi syarat, 3). Melihat adanya margin/selisih antara DP4 dengan DPT 4). Apabila DP4 diserahkan terlalu jauh jaraknya dari coklit maka dapat dipastikan DP4 tidak valid. Karena data bergerak akibat kematian, migrasi masuk dan keluar atau perpindahan penduduk dari dan ke kabupaten lain 5). DP4 menjadi acuan dalam memperbaiki anomali NIK atau kesalahan-kesalahan di dalam pemutahiran data yang dilakukan KPU. Kesalahan-kesalahan tersebut diantaranya kesalahan penulisan NIK dan penulisan NIK tidak lengkap serta kesalahan karena terbolak-balik penulisan NKK dengan NIK, 6) Apabila DP4 tidak sinkron dengan DPS dan DPT, 7). DP4  menjadi rujukan dalam penyempurnaan DPT terkait koreksi NIK, NKK, nama, tanggal lahir, dan alamat. 

Kata Kunci: Pemilu, KPU, DP4, DPT",http://repository.lppm.unila.ac.id/id/eprint/26740,2020-09-31,,disk0/00/02/67/40,['FISIP7'],2020-11-24 01:30:01,public,8,submitted,archive,,26740,2020-11-24 01:30:01,show,,890,"[{'main': 'NASKAH JURNAL.pdf', 'files': [{'mime_type': 'application/pdf', 'hash': 'd6b1afa852025c7c3b5a5420e6f632dc', 'datasetid': 'document', 'fileid': 240212, 'filename': 'NASKAH JURNAL.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/240212', 'objectid': 40718, 'filesize': 362351, 'mtime': '2020-11-23 13:09:05', 'hash_type': 'MD5'}], 'docid': 40718, 'format': 'text', 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'placement': 1, 'eprintid': 26740, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/40718', 'security': 'public'}]",2020-11-24 01:30:01,conference_item,"[{'id': 'handi.mulyaningsih@fisip.unila.ac.id', 'name': {'lineage': None, 'family': 'Handi Mulyaningsih', 'honourific': None, 'given': 'Handi'}}, {'id': 'hertanto.1960@fisip.unila.ac.id', 'name': {'lineage': None, 'family': 'Hertanto', 'honourific': None, 'given': 'Hertanto'}}, {'name': {'given': 'DW', 'lineage': None, 'family': 'damar wibisono', 'honourific': None}, 'id': 'damar.wibisono@fisip.unila.ac.id'}]",TRUE,VALIDITAS DATA PEMILIH POTENSIAL PEMILU PADA PILKADA SERENTAK 2019 (STUDI DI KABUPATEN PESAWARAN),,,,,,,,,,https://sinta.ristekbrin.go.id/journals/detail?id=737,,1-15,submitted,,30 SEPTEMBER 2020,paper,HOTEL NOVOTEL BANDAR LAMPUNG,conference,"[{'type': 'pub', 'url': 'https://sinta.ristekbrin.go.id/journals/detail?id=737'}]",seminar hasil penelitian dosen UNILA DIPA 2020,,,,,
12,['HM'],,"Purpose – The purpose of this paper is to analyse the effects of socio-demographic factors on ethnic
tolerance (ET) and religious tolerance (RT) as well as the participation of the local community in
peacebuilding in post-ethnic violent conflicts in a multi-cultural society.
Design/methodology/approach – This research was conducted in the rural areas of Indonesia, on the
basis of an empirical study that was performed in Lampung, a province at the southern tip of Sumatra.
Data were collected through a survey of 500 respondents from five districts susceptible to ethnic
conflicts. From each district, two villages that experienced ethnic conflicts were chosen and from each
village, 50 respondents were randomly selected. To strengthen the explanation of quantitative data, indepth
interviews were also conducted with another 50 residents, five informants fromeach of ten villages.
Informants comprised community leaders or traditional leaders, local police officers, local military officers
and district government officials.
Findings – First, the degree of tolerance is not specifically concentrated in the socio-demographic
characteristics. Second, ET affects RT. Third, local community participation in peacebuilding in postethnic
violent conflicts is not influenced by the socio-demographic characteristics but is influenced by ET
and RT. The socio-cultural approach is the main strategy for peacebuilding in post-ethnic (and religious)
conflicts in multi-cultural societies. The weakness of inter-ethnic relations soon improves in the postpeace
period through the reconstruction of social and cultural factors to strengthen social cohesion and
social capital at the local community level by involving various stakeholders
Originality/value – This paper is a valuable source of information regarding current research on the role
of local communities in strengthening and building peace in post-ethnic violent conflicts in multi-cultural
societies",http://repository.lppm.unila.ac.id/id/eprint/23992,2020,Emerald Publishing Limited,disk0/00/02/39/92,['FISIP7'],2020-09-15 06:33:02,public,7,pub,archive,,23992,2020-09-15 06:33:02,show,,950,"[{'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'main': 'JACPR-06-2019-0419.pdf', 'files': [{'mtime': '2020-09-14 03:19:41', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/218653', 'filename': 'JACPR-06-2019-0419.pdf', 'filesize': 127111, 'objectid': 37687, 'hash': 'dc8b4d759a09ff449f87d785e2c31fef', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 218653}], 'docid': 37687, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/37687', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 23992}]",2020-09-15 06:33:02,article,"[{'name': {'given': 'Hartoyo', 'lineage': None, 'family': 'Hartoyo', 'honourific': None}, 'id': 'htyiluh@yahoo.co.id'}, {'id': 'sindungharayanto@yahoo.co.id', 'name': {'lineage': None, 'family': 'Haryanto', 'honourific': None, 'given': 'Sindung'}}, {'name': {'lineage': None, 'family': 'Fahmi', 'honourific': None, 'given': 'Teuku'}, 'id': 'teuku.fahmi@gmail.com'}, {'name': {'given': 'Sunarto', 'family': 'Sunarto', 'lineage': None, 'honourific': None}, 'id': 'sunarto54@fh.unila.ac.id'}]",TRUE,"The role of local communities in
peacebuilding in post-ethnic conﬂict
in a multi-cultural society",,12.0,,"JOURNAL OF AGGRESSION, CONFLICT AND PEACE RESEARCH",,1759-6599,,,,https://www.emerald.com/insight/publication/issn/1759-6599,1.0,33-44,,,,,,,,,"['University of Lampung', 'University of Lampung', 'University of Lampung', 'University of Lampung']",10.1108/JACPR-06-2019-0419,,,
13,['H1'],,"Purpose – The purpose of this paper is to analyse the effects of socio-demographic factors on ethnic
tolerance (ET) and religious tolerance (RT) as well as the participation of the local community in
peacebuilding in post-ethnic violent conflicts in a multi-cultural society.
Design/methodology/approach – This research was conducted in the rural areas of Indonesia, on the
basis of an empirical study that was performed in Lampung, a province at the southern tip of Sumatra.
Data were collected through a survey of 500 respondents from five districts susceptible to ethnic
conflicts. From each district, two villages that experienced ethnic conflicts were chosen and from each
village, 50 respondents were randomly selected. To strengthen the explanation of quantitative data, indepth interviews were also conducted with another 50 residents, five informants from each of ten villages.
Informants comprised community leaders or traditional leaders, local police officers, local military officers
and district government officials.
Findings – First, the degree of tolerance is not specifically concentrated in the socio-demographic
characteristics. Second, ET affects RT. Third, local community participation in peacebuilding in postethnic violent conflicts is not influenced by the socio-demographic characteristics but is influenced by ET
and RT. The socio-cultural approach is the main strategy for peacebuilding in post-ethnic (and religious)
conflicts in multi-cultural societies. The weakness of inter-ethnic relations soon improves in the postpeace period through the reconstruction of social and cultural factors to strengthen social cohesion and
social capital at the local community level by involving various stakeholders
Originality/value – This paper is a valuable source of information regarding current research on the role
of local communities in strengthening and building peace in post-ethnic violent conflicts in multi-cultural
societies.
Keywords Tolerance, Community, Participation, Peacebuilding, Ethnic conflict, Multi-cultural society",http://repository.lppm.unila.ac.id/id/eprint/18920,2020,Emerald Publishing Limited,disk0/00/01/89/20,['FISIP7'],2020-03-30 05:14:13,public,6,pub,archive,,18920,2020-03-30 05:14:13,show,,792,"[{'format': 'text', 'main': 'Artikel Journal JACPR dan Lembar Pengesahan.pdf', 'files': [{'hash': '961eeb90ebd6d1953380654375d38ccf', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 158817, 'filename': 'Artikel Journal JACPR dan Lembar Pengesahan.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/158817', 'objectid': 32158, 'filesize': 306740, 'mtime': '2020-03-30 04:52:56', 'hash_type': 'MD5'}], 'docid': 32158, 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'eprintid': 18920, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/32158'}]",2020-03-30 05:14:13,article,"[{'id': 'htyiluh@yahoo.co.id', 'name': {'given': 'Hartoyo', 'family': 'Hartoyo', 'lineage': None, 'honourific': None}}, {'id': 'sindungharyanto@yahoo.co.id', 'name': {'given': 'sindung', 'lineage': None, 'family': 'haryanto', 'honourific': None}}, {'id': 'teuku.fahmi@fisip.unila.ac.id', 'name': {'given': 'Teuku', 'family': 'Fahmi', 'lineage': None, 'honourific': None}}, {'id': None, 'name': {'honourific': None, 'lineage': None, 'family': 'Sunarto', 'given': 'Sunarto'}}]",TRUE,The role of local communities in peacebuilding in post-ethnic conflict in a multi-cultural society,,12.0,,"journal of agrgression, confloct and peace research",,1759-6599,,,,https://www.emerald.com/insight/content/doi/10.1108/JACPR-06-2019-0419/full/html,1.0,,published,,,,,,,,['Universitas Lampung'],,,,
14,['H1'],,Similarity Authenticate,http://repository.lppm.unila.ac.id/id/eprint/18921,2020,Emerald Publishing Limited,disk0/00/01/89/21,['FISIP7'],2020-03-30 05:14:37,public,7,pub,archive,,18921,2020-03-30 05:14:37,show,,792,"[{'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'files': [{'objectid': 32159, 'filesize': 269330, 'filename': 'Similarity Index atau Report-Journal ACPR-Hartoyo.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/158823', 'hash_type': 'MD5', 'mtime': '2020-03-30 05:03:16', 'datasetid': 'document', 'fileid': 158823, 'hash': '537217601ea590fa777e392d87f40902', 'mime_type': 'application/pdf'}], 'main': 'Similarity Index atau Report-Journal ACPR-Hartoyo.pdf', 'docid': 32159, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/32159', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 18921}]",2020-04-05 06:01:57,article,"[{'name': {'honourific': None, 'lineage': None, 'family': 'Hartoyo', 'given': 'Hartoyo'}, 'id': 'htyiluh@yahoo.co.id'}, {'name': {'given': 'sindung', 'lineage': None, 'family': 'haryanto', 'honourific': None}, 'id': 'sindungharyanto@yahoo.co.id'}, {'name': {'given': 'Teuku', 'family': 'Fahmi', 'lineage': None, 'honourific': None}, 'id': 'teuku.fahmi@fisip.unila.ac.id'}, {'name': {'honourific': None, 'lineage': None, 'family': 'Sunarto', 'given': 'Sunarto'}, 'id': None}]",TRUE,The role of local communities in peacebuilding in post-ethnic conflict in a multi-cultural society,,12.0,,"journal of agrgression, confloct and peace research",,1759-6599,,,,,1.0,,published,,,,,,,,['Universitas Lampung'],,,,
15,['H1'],,Similarity Turnitin,http://repository.lppm.unila.ac.id/id/eprint/18960,2020,Emerald Publishing Limited,disk0/00/01/89/60,['FISIP7'],2020-04-05 06:02:12,public,6,pub,archive,,18960,2020-04-05 06:02:12,show,,792,"[{'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'format': 'text', 'main': 'Hasil Turnitin_Similarity Index atau Report-The role of local communities in peacebuilding in post-ethnic conﬂict in a multi-cultural society (1).pdf', 'files': [{'datasetid': 'document', 'fileid': 159102, 'hash': '2a7bf36ced8c94ce82383b5a8cf7be37', 'mime_type': 'application/pdf', 'filesize': 2541437, 'objectid': 32200, 'uri': 'http://repository.lppm.unila.ac.id/id/file/159102', 'filename': 'Hasil Turnitin_Similarity Index atau Report-The role of local communities in peacebuilding in post-ethnic conﬂict in a multi-cultural society (1).pdf', 'hash_type': 'MD5', 'mtime': '2020-04-05 05:57:52'}], 'docid': 32200, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/32200', 'eprintid': 18960, 'placement': 1}]",2020-04-05 06:02:12,article,"[{'id': 'htyiluh@yahoo.co.id', 'name': {'given': 'Hartoyo', 'honourific': None, 'lineage': None, 'family': 'Hartoyo'}}, {'name': {'given': 'sindung', 'family': 'haryanto', 'lineage': None, 'honourific': None}, 'id': 'sindungharyanto@yahoo.co.id'}, {'id': 'teuku.fahmi@fisip.unila.ac.id', 'name': {'given': 'Teuku', 'family': 'Fahmi', 'lineage': None, 'honourific': None}}, {'id': None, 'name': {'honourific': None, 'family': 'Sunarto', 'lineage': None, 'given': 'Sunarto'}}]",TRUE,The role of local communities in peacebuilding in post-ethnic conflict in a multi-cultural society,,12.0,,"journal of agrgression, confloct and peace research",,1759-6599,,,,,1.0,,published,,,,,,,,['Universitas Lampung'],,,,
16,['H1'],,Peer Review,http://repository.lppm.unila.ac.id/id/eprint/18922,2020,Emerald Publishing Limited,disk0/00/01/89/22,['FISIP7'],2020-03-30 05:14:57,public,7,pub,archive,,18922,2020-03-30 05:14:57,show,,792,"[{'eprintid': 18922, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/32220', 'pos': 1, 'format': 'text', 'docid': 32220, 'main': 'Hasil Penilaian Tiga Profesor-digabungkan.pdf', 'files': [{'filename': 'Hasil Penilaian Tiga Profesor-digabungkan.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/159267', 'objectid': 32220, 'filesize': 644923, 'mtime': '2020-04-06 02:27:55', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'hash': '55447eb309f2d5b322a9b0da72d693fd', 'datasetid': 'document', 'fileid': 159267}], 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1}]",2020-04-06 02:27:55,article,"[{'id': 'htyiluh@yahoo.co.id', 'name': {'given': 'Hartoyo', 'honourific': None, 'lineage': None, 'family': 'Hartoyo'}}, {'name': {'honourific': None, 'lineage': None, 'family': 'haryanto', 'given': 'sindung'}, 'id': 'sindungharyanto@yahoo.co.id'}, {'id': 'teuku.fahmi@fisip.unila.ac.id', 'name': {'family': 'Fahmi', 'lineage': None, 'honourific': None, 'given': 'Teuku'}}, {'id': None, 'name': {'given': 'Sunarto', 'lineage': None, 'family': 'Sunarto', 'honourific': None}}]",TRUE,The role of local communities in peacebuilding in post-ethnic conflict in a multi-cultural society.,,12.0,,"journal of agrgression, confloct and peace research",,1759-6599,,,,,1.0,,published,,,,,,,,['Universitas Lampung'],,,,
17,['HM'],,"The fact is that practice of giving exlusive breastfeeding has not reached favorable numberin
some developing countries because of various factors. This study aims to determine the relationship
between the level of education of mothers, the occupation of mothers, and social support for mothers and 
breastfeeding behavior. The important hypothesis of this study, therefore, is that aspects of economy,
environment, social, culture, and politics can influence mothers to breastfeed their babies. Secondary
data from the Indonesian Family Life Survey (IFLS) 5 in 2014was employed. The total sample in this study
was 5,108 people. STATA software version 13.0 with a probity model was used to analyze the data.
Statistical test technique usingChi-square (X2) and multiple linear regressions were conducted. Results of
this study indicate that there is no relationship between the level of education of mothers, and the
occupation of mothers and breastfeeding behavior. However, there is a strong relationship between social
support and breastfeeding behavior. Therefore, this study suggests that there is a need to develop the
capacity of traditional midwives in order to increase the prevalence of women for breastfeeding",http://repository.lppm.unila.ac.id/id/eprint/23989,2020-01,Global Journal Inc,disk0/00/02/39/89,['FISIP7'],2020-09-15 06:32:56,public,7,pub,archive,,23989,2020-09-15 06:32:56,show,,950,"[{'format': 'text', 'docid': 37685, 'main': 'GJHSS_(C)_Vol_20_Issue_1 (Sindung).pdf', 'files': [{'mime_type': 'application/pdf', 'hash': 'cac0dab8a3f1f896784126a7fb8887f7', 'fileid': 218642, 'datasetid': 'document', 'filename': 'GJHSS_(C)_Vol_20_Issue_1 (Sindung).pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/218642', 'filesize': 696942, 'objectid': 37685, 'mtime': '2020-09-14 03:04:41', 'hash_type': 'MD5'}], 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'eprintid': 23989, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/37685'}]",2020-09-15 06:32:56,article,"[{'name': {'honourific': None, 'lineage': None, 'family': 'Haryanto', 'given': 'Sindung'}, 'id': 'sindungharyanto@yahoo.co.id'}, {'name': {'given': 'Dominica', 'honourific': None, 'family': 'Asthyka', 'lineage': None}, 'id': 'chyta.astika@gmail.com'}]",TRUE,Factors Associated with Breastfeeding Practice in Indonesia,,20.0,,Global Journal of Human Social Science: C Sociology and Culture,,2249-460X,,,,https://globaljournals.org/journals/human-social-science-journal,1.0,24-34,,,,,,,,,"['University of Lampung', 'University of Lampung']",160899,,,
18,"['H1', 'HE', 'HM', 'HT']",,"Informasi dan berita di media mainstream mengenai lingkungan sering kali tidak mendapatkan intensitas maupun durasi yang sama jika dibandingkan dengan berita politik dan ekonomi. Hal ini menyebabkan masyarakat tidak maksimal dalam mendapatkan informasi mengenai kerusakan, antisipasi, dan pelestarian lingkungan. Tujuan penelitian ini adalah untuk mendeskripsikan peran Belantara Fondation baik sebagai Lembaga kemasyarakatan maupun sebagai media dalam memberikan informasi mengenai lingkungan. Metode yang digunakan dalam penelitian ini adalah deskriptif kualitatif. Peneliti mengumpulkan data dengan melakukan observasi di media sosial. Melalui observasi tersebut, peneliti mencermati informasi yang disebarkan media sosial Belantara Fondation dan digunakan sebagai data. Penelitian ini mampu menjelasakan bahwa Belantara Fondation sebagai salah satu organisasi yang memiliki media sosial untuk menyadarkan masyarakat terkait kerusakan dan pelestarain lingkungan memiliki potensi yang sangat besar untuk mengawal kepentingan bersama terkait isu lingkungan. Pada dasarnya, media sosial yang dimiliki Belantara Fondation telah melakukan tugas-tugas informatif dan mengenai lingkungan. Hal yang patut dilakukan ke depan oleh Belantara Fondation adalah konsistensi dalam memberikan informasi mengenai lingkungan. Selain itu, kerjasama dengan ilmuan lingkungan untuk memberikan informasi kepada masyarakat harus terus dilakukan guna menjaga validitas informasi mengenai kerusakan, antisipasi dan pelestarian lingkungan.",http://repository.lppm.unila.ac.id/id/eprint/20664,2020,Journal Of Media and Communication Science,disk0/00/02/06/64,['FISIP7'],2020-05-27 05:48:18,public,17,pub,archive,,20664,2020-05-27 05:48:18,show,,2798,"[{'placement': 1, 'eprintid': 20664, 'uri': 'http://repository.lppm.unila.ac.id/id/document/34005', 'pos': 1, 'security': 'public', 'formatdesc': 'Journal of Media and Communication Science', 'main': 'BELANTARA FOUNDATION SEBAGAI MEDIA KOMUNIKASI LINGKUNGAN.pdf', 'docid': 34005, 'files': [{'mime_type': 'application/pdf', 'hash': '761b6a595b91f2833a15adecdd98c1e1', 'datasetid': 'document', 'fileid': 193759, 'uri': 'http://repository.lppm.unila.ac.id/id/file/193759', 'filename': 'BELANTARA FOUNDATION SEBAGAI MEDIA KOMUNIKASI LINGKUNGAN.pdf', 'filesize': 737540, 'objectid': 34005, 'mtime': '2020-05-27 04:35:33', 'hash_type': 'MD5'}], 'format': 'text', 'language': 'id', 'mime_type': 'application/pdf', 'rev_number': 3, 'content': 'published'}, {'security': 'public', 'formatdesc': 'Journal of Media and Communication Science', 'uri': 'http://repository.lppm.unila.ac.id/id/document/34006', 'pos': 2, 'eprintid': 20664, 'placement': 2, 'content': 'published', 'rev_number': 4, 'language': 'id', 'mime_type': 'application/xml', 'format': 'other', 'docid': 34006, 'main': 57, 'files': [{'mtime': '2020-05-27 04:35:51', 'hash_type': 'MD5', 'filename': 57, 'uri': 'http://repository.lppm.unila.ac.id/id/file/193762', 'filesize': 23949, 'objectid': 34006, 'hash': '4f7468af0b4326baca53b4e20318ea73', 'mime_type': 'application/xml', 'datasetid': 'document', 'fileid': 193762}]}]",2020-05-27 05:48:18,article,"[{'name': {'given': 'Muhammad Jamiluddin', 'lineage': None, 'family': 'Nur', 'honourific': None}, 'id': 'jamilnur@unram.ic.id'}, {'id': 'Junaidi@fisip.unila.ac.id', 'name': {'family': 'Junaidi', 'lineage': None, 'honourific': None, 'given': 'Junaidi'}}]",TRUE,BELANTARA FOUNDATION SEBAGAI MEDIA KOMUNIKASI LINGKUNGAN,,3.0,,Belantara Foundation sebagai Media Komunikasi Lingkungan,,e-ISSN 2620-8709;  p-ISSN 2655-4410,,,,http://jcomm.unram.ac.id/index.php/jcomm/article/view/67,1.0,39-46,published,,,,,,"[{'url': 'http://jcomm.unram.ac.id/index.php/jcomm/article/view/67', 'type': 'pub'}]",,,2620-8709   DOI: https://doi.org/10.29303/jcommsci.v3i1.67,,,
19,"['GN', 'HM']",,"Tulisan ini mengetengahkan tentang pentingnya kedermawanan social sebagai modal sosial dalam menanggulangi dampak dari pandemic Covid-19 ini. Terpuruknya pendapatan masyarakat adalah dampak paling buruk dirasakan saat ini. Geliat perekenomian masyarakat menengah kebawah adalah bagian yang paling merasakan gebukan paling menyakitkan pada masa pandemic ini. Dampak yang paling mengerikan bukan hanya kematian atas virus corona itu sendiri, melainkan kematian akan kemiskinan dan kelaparan akibat banyak tidak mendapatkan pendapatan lagi., kehilangan pekerjaan dan ambruknya bisnis yang dibangun.",http://repository.lppm.unila.ac.id/id/eprint/20997,2020-04-30,"Harian Umum ""Lampung Post""",disk0/00/02/09/97,['FISIP7'],2020-05-29 06:54:55,restricted,9,pub,archive,,20997,2020-05-29 06:54:55,show,,314,"[{'formatdesc': 'opini', 'security': 'staffonly', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/34379', 'eprintid': 20997, 'placement': 1, 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 4, 'date_embargo': '2025-12-21', 'format': 'text', 'main': 'ONLINE_EDISI_13_APRIL_2020-1.pdf', 'docid': 34379, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/196009', 'filename': 'ONLINE_EDISI_13_APRIL_2020-1.pdf', 'objectid': 34379, 'filesize': 18047950, 'mtime': '2020-05-29 05:51:19', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'hash': 'd618058bcb7556e656d1842cb722364c', 'datasetid': 'document', 'fileid': 196009}]}]",2020-05-29 06:54:55,article,"[{'name': {'given': 'Bartoven Vivit', 'honourific': None, 'lineage': None, 'family': 'Nurdin'}, 'id': 'bartovenvivit@gmail.com'}]",TRUE,Covid 19 dan Filantropi,,,,Lampung Post,,1234,,,bartovenvivit@gmail.com,,,1-1,published,,,,,,,,,,,,
