,publisher,divisions,dir,ispublished,rev_number,status_changed,full_text_status,subjects,uri,abstract,title,creators,type,metadata_visibility,eprint_status,eprintid,datestamp,documents,lastmod,userid,date_type,refereed,publication,issn,event_dates,pres_type,event_location,event_type,event_title,official_url,number,pagerange,volume,corp_creators,referencetext,contributors,related_url,id_number,keywords,contact_email,funders,place_of_pub
54,"Dr. Erlina Rufaidah, M,Si",['FP1'],disk0_bak/00/05/07/56,pub,10,2023-04-26 06:47:08,public,['S1'],http://repository.lppm.unila.ac.id/id/eprint/50756,,"Financial Feasibility Analysis of Salted Anchovy Processing 
on Pasaran Island, Bandar Lampung","[{'id': 'erlinarufaidah1958@gmail.com', 'name': {'given': 'ER', 'honourific': None, 'lineage': None, 'family': 'Erlina Rufaidah'}}, {'name': {'given': 'MR', 'honourific': None, 'lineage': None, 'family': 'Maya Riantini'}, 'id': None}, {'name': {'given': 'YS', 'family': 'Yuliana Saleh', 'lineage': None, 'honourific': None}, 'id': None}, {'name': {'given': 'LG', 'honourific': None, 'lineage': None, 'family': ""Lestari Ghita Nur'aini""}, 'id': None}, {'name': {'given': 'Mirza. BR', 'family': 'Aryan Danil', 'lineage': None, 'honourific': None}, 'id': '-'}]",other,show,archive,50756,2023-04-26 06:47:08,"[{'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/190457', 'security': 'public', 'placement': 1, 'eprintid': 50756, 'rev_number': 1, 'language': 'en', 'mime_type': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'main': 'PROSES KORESPONDENSI REVISI 2.docx', 'docid': 190457, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/546827', 'filename': 'PROSES KORESPONDENSI REVISI 2.docx', 'filesize': 163066, 'objectid': 190457, 'mtime': '2023-04-26 04:42:47', 'hash_type': 'MD5', 'mime_type': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'hash': '330c63025692f4f318072e65fad466e7', 'datasetid': 'document', 'fileid': 546827}], 'format': 'text'}, {'security': 'public', 'pos': 2, 'uri': 'http://repository.lppm.unila.ac.id/id/document/190458', 'eprintid': 50756, 'placement': 2, 'mime_type': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'language': 'en', 'rev_number': 1, 'format': 'text', 'main': 'HASIL REVISI 2 (7Nov) (2).docx', 'docid': 190458, 'files': [{'filename': 'HASIL REVISI 2 (7Nov) (2).docx', 'uri': 'http://repository.lppm.unila.ac.id/id/file/546829', 'objectid': 190458, 'filesize': 91603, 'mtime': '2023-04-26 04:43:41', 'hash_type': 'MD5', 'mime_type': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'hash': '0ebdb57c4922a1e285b73fc0685922e2', 'fileid': 546829, 'datasetid': 'document'}]}]",2023-04-26 06:47:08,1000,,,,,,,,,,,,,,,,,,,,,,
55,"Dr. Erlina Rufaidah, M,Si",['FP1'],disk0_bak/00/05/07/57,pub,9,2023-04-26 06:47:23,public,['S1'],http://repository.lppm.unila.ac.id/id/eprint/50757,,"Financial Feasibility Analysis of Salted Anchovy Processing 
on Pasaran Island, Bandar Lampung","[{'name': {'honourific': None, 'lineage': None, 'family': 'Erlina Rufaidah', 'given': 'ER'}, 'id': 'erlinarufaidah1958@gmail.com'}, {'id': None, 'name': {'given': 'MR', 'honourific': None, 'family': 'Maya Riantini', 'lineage': None}}, {'id': None, 'name': {'given': 'YS', 'lineage': None, 'family': 'Yuliana Saleh', 'honourific': None}}, {'name': {'given': 'LG', 'honourific': None, 'lineage': None, 'family': ""Lestari Ghita Nur'aini""}, 'id': None}, {'id': '-', 'name': {'honourific': None, 'lineage': None, 'family': 'Aryan Danil', 'given': 'Mirza. BR'}}]",other,show,archive,50757,2023-04-26 06:47:23,"[{'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'format': 'text', 'docid': 190460, 'main': 'Bukti Submit Jurnal + Draft Awal.pdf', 'files': [{'fileid': 546840, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': 'ec21dfdf568e3a2f888a8767d1c35def', 'hash_type': 'MD5', 'mtime': '2023-04-26 05:16:24', 'objectid': 190460, 'filesize': 85178, 'filename': 'Bukti Submit Jurnal + Draft Awal.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/546840'}], 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/190460', 'pos': 1, 'eprintid': 50757, 'placement': 1}, {'pos': 2, 'uri': 'http://repository.lppm.unila.ac.id/id/document/190461', 'security': 'public', 'placement': 2, 'eprintid': 50757, 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'files': [{'mtime': '2023-04-26 05:16:33', 'hash_type': 'MD5', 'filename': 'Draft Template Scopus Ikan Asin (1).pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/546842', 'objectid': 190461, 'filesize': 259556, 'hash': 'd8c92dc394c30098f204ea03523a0c4e', 'mime_type': 'application/pdf', 'fileid': 546842, 'datasetid': 'document'}], 'main': 'Draft Template Scopus Ikan Asin (1).pdf', 'docid': 190461, 'format': 'text'}]",2023-04-26 06:47:23,1000,,,,,,,,,,,,,,,,,,,,,,
56,"Dr. Erlina Rufaidah, M,Si",['FP1'],disk0_bak/00/05/07/60,pub,9,2023-04-26 06:48:08,public,['S1'],http://repository.lppm.unila.ac.id/id/eprint/50760,,"Publish Jurnal Scopus Financial Feasibility Analysis of Salted Anchovy Processing 
on Pasaran Island, Bandar Lampung","[{'name': {'family': 'Erlina Rufaidah', 'lineage': None, 'honourific': None, 'given': 'ER'}, 'id': 'erlinarufaidah1958@gmail.com'}, {'id': None, 'name': {'given': 'MR', 'lineage': None, 'family': 'Maya Riantini', 'honourific': None}}, {'id': None, 'name': {'given': 'YS', 'lineage': None, 'family': 'Yuliana Saleh', 'honourific': None}}, {'name': {'given': 'LG', 'lineage': None, 'family': ""Lestari Ghita Nur'aini"", 'honourific': None}, 'id': None}, {'id': '-', 'name': {'given': 'Mirza. BR', 'family': 'Aryan Danil', 'lineage': None, 'honourific': None}}]",other,show,archive,50760,2023-04-26 06:48:08,"[{'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/190466', 'eprintid': 50760, 'placement': 1, 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'format': 'text', 'docid': 190466, 'main': 'Jurnal Batin Erlina (1).pdf', 'files': [{'fileid': 546868, 'datasetid': 'document', 'hash': '07bfc123cb60eb380877d3a6358fdc3c', 'mime_type': 'application/pdf', 'objectid': 190466, 'filesize': 905871, 'filename': 'Jurnal Batin Erlina (1).pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/546868', 'hash_type': 'MD5', 'mtime': '2023-04-26 05:31:07'}]}, {'main': 'Bukti Publish Scopus.docx.pdf', 'docid': 190467, 'files': [{'mtime': '2023-04-26 05:38:12', 'hash_type': 'MD5', 'filename': 'Bukti Publish Scopus.docx.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/546872', 'filesize': 286850, 'objectid': 190467, 'hash': '737baf256810cf0a86085f83f6d5fcca', 'mime_type': 'application/pdf', 'fileid': 546872, 'datasetid': 'document'}], 'format': 'text', 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'placement': 2, 'eprintid': 50760, 'pos': 2, 'uri': 'http://repository.lppm.unila.ac.id/id/document/190467', 'security': 'public'}]",2023-04-26 06:48:08,1000,,,,,,,,,,,,,,,,,,,,,,
57,"Dr. Erlina Rufaidah, M,Si",['FP1'],disk0_bak/00/05/07/70,pub,7,2023-04-26 09:15:54,public,['S1'],http://repository.lppm.unila.ac.id/id/eprint/50770,,Kontrak Penelitian Hibah Bersaing 2022 Pengembangan Model Perekonomian Koperasi Sekolah Menengah Pertama (SMP) Melalui Peningkatan Peran Komite Sekolah Dalam Program Bina Lingkungan di Kota Bandar Lampung,"[{'id': 'erlinarufaidah1958@gmail.com', 'name': {'honourific': None, 'lineage': None, 'family': 'Erlina Rufaidah', 'given': 'ER'}}, {'name': {'lineage': None, 'family': 'yon Rizal', 'honourific': None, 'given': 'Yon'}, 'id': 'yon.rizal@fkip.unila.ac.id'}, {'name': {'honourific': None, 'family': 'Wan Abbas Zakaria', 'lineage': None, 'given': 'Zakaria WA'}, 'id': 'wan_abbas@yahoo.com'}]",other,show,archive,50770,2023-04-26 09:15:54,"[{'files': [{'hash': 'c94c0ed9cd4d62ea7d84a5585253c93e', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 546956, 'mtime': '2023-04-26 08:43:33', 'hash_type': 'MD5', 'filename': 'Kontrak Penelitian Hibah Bersaing 2015.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/546956', 'filesize': 478703, 'objectid': 190477}], 'main': 'Kontrak Penelitian Hibah Bersaing 2015.pdf', 'docid': 190477, 'format': 'text', 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'placement': 1, 'eprintid': 50770, 'uri': 'http://repository.lppm.unila.ac.id/id/document/190477', 'pos': 1, 'security': 'public'}]",2023-04-26 09:15:54,1000,,,,,,,,,,,,,,,,,,,,,,
58,"Dr. Erlina Rufaidah, M,Si",['FP1'],disk0_bak/00/05/07/61,pub,7,2023-04-26 06:48:19,public,['S1'],http://repository.lppm.unila.ac.id/id/eprint/50761,,Laporan Akhir Hibah Bersaing tahun 2015 Pengembangan Model Perekonomian Koperasi Sekolah Menengah Pertama (SMP) Melalui Peningkatan Peran Komite Sekolah Di Kota Bandar Lampung,"[{'name': {'honourific': None, 'family': 'Erlina Rufaidah', 'lineage': None, 'given': 'ER'}, 'id': 'erlinarufaidah1958@gmail.com'}, {'name': {'given': 'Yon', 'honourific': None, 'family': 'yon Rizal', 'lineage': None}, 'id': 'yon.rizal@fkip.unila.ac.id'}, {'name': {'honourific': None, 'family': 'Wan Abbas Zakaria', 'lineage': None, 'given': 'Zakaria WA'}, 'id': 'wan_abbas@yahoo.com'}]",other,show,archive,50761,2023-04-26 06:48:19,"[{'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/190468', 'eprintid': 50761, 'placement': 1, 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'format': 'text', 'main': 'Laporan Akhir Hibah Bersaing Tahun 2015.pdf', 'files': [{'mime_type': 'application/pdf', 'hash': '3614bbc0757327f566411b48d6cf0500', 'fileid': 546878, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/546878', 'filename': 'Laporan Akhir Hibah Bersaing Tahun 2015.pdf', 'filesize': 23569903, 'objectid': 190468, 'mtime': '2023-04-26 06:24:27', 'hash_type': 'MD5'}], 'docid': 190468}]",2023-04-26 06:48:19,1000,,,,,,,,,,,,,,,,,,,,,,
59,"Dr. Erlina Rufaidah, M,Si",['FP1'],disk0_bak/00/05/07/62,pub,7,2023-04-26 06:48:31,public,['S1'],http://repository.lppm.unila.ac.id/id/eprint/50762,,Laporan Hibah bersaing Tahun 2016 Pengembangan Model Perekonomian Kopersai Sekolah Menengah Pertama (SMP) Melalui Peningkatan Peran Komite Sekolah Di Kota Bandar Lampung,"[{'id': 'erlinarufaidah1958@gmail.com', 'name': {'honourific': None, 'family': 'Erlina Rufaidah', 'lineage': None, 'given': 'ER'}}, {'id': 'yon.rizal@fkip.unila.ac.id', 'name': {'family': 'yon Rizal', 'lineage': None, 'honourific': None, 'given': 'Yon'}}, {'id': 'wan_abbas@yahoo.com', 'name': {'family': 'Wan Abbas Zakaria', 'lineage': None, 'honourific': None, 'given': 'Zakaria WA'}}]",other,show,archive,50762,2023-04-26 06:48:31,"[{'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'files': [{'mtime': '2023-04-26 06:28:16', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/546885', 'filename': 'Laporan Akhir Hibah Bersaing Tahun 2016.pdf', 'objectid': 190469, 'filesize': 16535489, 'mime_type': 'application/pdf', 'hash': '9a7b7a157cbe9e90ce81a734a36029ca', 'datasetid': 'document', 'fileid': 546885}], 'main': 'Laporan Akhir Hibah Bersaing Tahun 2016.pdf', 'docid': 190469, 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/190469', 'security': 'public', 'placement': 1, 'eprintid': 50762}]",2023-04-26 06:48:31,1000,,,,,,,,,,,,,,,,,,,,,,
60,"Department Agribusiness, Fakultas Pertanian Unila, Unila",['FP1'],disk0/00/03/06/52,pub,11,2021-05-25 01:34:58,public,['S1'],http://repository.lppm.unila.ac.id/id/eprint/30652,"This study aims to study the halal certification process of banana processed products at the Institute forFood, Drugs, and Cosmetics Studies of The Indonesian Ulama Council (LPPOM MUI) Lampung Provinceto find out the increase in sales of banana chips after obtaining a halal certificate, and to explore consumer behavior of Lampung banana chips branded KPS, PD. AS, and KPKK. The research is conducted by surveymethod. Data collection was conducted in March 2019 in which 45 people were selected by using accidentalsampling. The data are analyzed by descriptive analysis and Attitude model of Multiatribute Fishbein. Thehalal certification process carried out by LPPOM MUI Lampung Province on banana chips agroindusty hasseveral online steps on web regs.e-lppommui.org. The increase in sales after obtaining a halal certificate is an increase in the number of production with the turnover reaching 40 percent. When purchasing bananachips, halal is highly considered by consumers. Consumers at KPS, PD. AS, and KPKK are satisfied andmay repurchase.

Key words: banana chips, consumers, halal certificate",PENINGKATAN PENJUALAN KERIPIK PISANG SETELAH MEMPEROLEH SERTIFIKAT HALAL SERTA PERILAKU KONSUMENNYA DI KOTA BANDAR LAMPUNG,"[{'id': None, 'name': {'given': 'Elsa', 'honourific': None, 'lineage': None, 'family': 'Fitriana'}}, {'id': 'yakti_indriani@yahoo.com', 'name': {'honourific': None, 'family': 'Indriani', 'lineage': None, 'given': 'Yaktiworo'}}, {'id': None, 'name': {'given': 'Begem', 'family': 'Viantimala', 'lineage': None, 'honourific': None}}]",article,show,archive,30652,2021-05-25 01:34:58,"[{'security': 'public', 'formatdesc': 'article', 'uri': 'http://repository.lppm.unila.ac.id/id/document/138147', 'pos': 1, 'eprintid': 30652, 'placement': 1, 'rev_number': 3, 'language': 'en', 'mime_type': 'application/xml', 'format': 'text', 'main': 3324, 'files': [{'fileid': 363500, 'datasetid': 'document', 'hash': 'e4af191de594ff27416871cdfec146ed', 'mime_type': 'application/xml', 'filesize': 22550, 'objectid': 138147, 'filename': 3324, 'uri': 'http://repository.lppm.unila.ac.id/id/file/363500', 'hash_type': 'MD5', 'mtime': '2021-05-24 15:11:16'}], 'docid': 138147}]",2021-05-25 01:34:58,938,published,TRUE,Jurnal Ilmu Ilmu Agribisnis,237770,,,,,,http://jurnal.fp.unila.ac.id/index.php/JIA,4.0,649-656,8.0,,,,[{'url': 'http://jurnal.fp.unila.ac.id/index.php/JIA/article/view/4710/3324'}],http://dx.doi.org/10.23960/jiia.v8i4.4710,,,,
61,Politeknik Negeri Lampung,['FP1'],disk0/00/00/95/69,pub,7,2018-11-08 04:22:01,public,['S1'],http://repository.lppm.unila.ac.id/id/eprint/9569,"*1 fitriani@polinela.ac.id
ABSTRACT
The numbers of Lampung residents with average monthly expenditure per capita below the
poverty line are still quite large (14.86%). Most of the poor are in the district (76.26%) and are
rural communities dependent on the agricultural sector for their livelihoods. Rural agricultural
communities face complex problems including: the limitations of land access, capital,
technology, markets, and institutions. This project, conducted in 2014, was a series of research
collaboration of universities (PEKERTI) between State Polytechnic of Lampung (Polinela) as
Research Team Proposer (TPP) with University of Lampung (Unila) as Research Partner Team
(TPM). Method of depth analysis about Lampung rural agriculture society condition during 10
years and cross tabulation were conducted based on Lampung Input Output Table 2010. The
secondary data were obtained from Provincial BPS (Lampung Statistic Office) and some other
related technical agencies. The results of the discussion showed that the portrait of Lampung
agriculture is dominated by rural farming which faces very complex problems. The complexity
of the problems within agricultural society is a resultant of the limitations faced by farmers in
accessing capital, land, technology and institutional resources. This condition boils down to
structural poverty. The key to the work of sustainable rural agricultural development policy is
the occurrence of synergy in overcoming obstacles which include: local agro-climatic
conditions, site-specific technologies, availability of biomass, economic incentives, product
markets, information access, land tenure, institutional, extension, and political constraints.
Keywords: Agriculture, Poverty, Sector, Village","Pertanian Perdesaan Lampung: Peluang dan Tantangan
Lampung Rural Agriculture; Opportunities And Challenges","[{'name': {'honourific': None, 'lineage': None, 'family': 'Fitriani', 'given': 'Fitriani'}, 'id': None}, {'id': None, 'name': {'family': 'Sutarni', 'lineage': None, 'honourific': None, 'given': 'Sutarni'}}, {'id': 'dwih_unila@yahoo.com', 'name': {'lineage': None, 'family': 'Haryono', 'honourific': None, 'given': 'Dwi'}}, {'name': {'lineage': None, 'family': 'Ismono', 'honourific': None, 'given': 'R Hanung'}, 'id': 'hismono@fp.unila.ac.id'}, {'id': 'dyaharing@fp.unila.ac.id', 'name': {'honourific': None, 'family': 'Lestari', 'lineage': None, 'given': 'Dyah Aring Hepiana'}}]",article,show,archive,9569,2018-11-08 04:22:01,"[{'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'format': 'text', 'main': 'Pertanian_Perdesaan_Lampung_Peluang_dan_Tantangan_.pdf', 'files': [{'mime_type': 'application/pdf', 'hash': '29590167d8cd943cebadb6ad1a2a1e22', 'datasetid': 'document', 'fileid': 91030, 'uri': 'http://repository.lppm.unila.ac.id/id/file/91030', 'filename': 'Pertanian_Perdesaan_Lampung_Peluang_dan_Tantangan_.pdf', 'filesize': 387365, 'objectid': 22607, 'mtime': '2018-11-06 08:57:09', 'hash_type': 'MD5'}], 'docid': 22607, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/22607', 'pos': 1, 'eprintid': 9569, 'placement': 1}]",2018-11-08 04:22:01,972,published,TRUE,Journal of Food System & Agribusiness,2597-9426,,,,,,,2.0,61-70,1.0,,,,,,,,,
62,Universitas Lampung,['FP1'],disk0/00/01/98/61,pub,9,2020-05-18 02:24:01,public,['S1'],http://repository.lppm.unila.ac.id/id/eprint/19861,"This research aimes to analyze the structure of rice farming cost, Break Event Point (BEP) of income, production and price, in addition to income level of farming rice.  The research isconducted by survay method with the numbers of respondent as many as 52 farmers who are selected by simple random sampling.  The research location is choosen intentionally in Seputih Raman, Lampung Tengah Regency.  Research data was collected in Januari-Februari 2018 and analyzed by descriptive and quantitative analysis.  The results showed that the biggest cost component of the production cost structure was harvest costs, labor outside of the family costs, fertilizer costs, and tractor fees. The value of revenue BEP was Rp5,291,805.05/ha, production BEP 1,012.76 kg/ha, and price BEP Rp1,846.84/ha.  Total income from rice farming was equal to Rp21,357,297.13/ha and R/C ratio was 2.83 so that the rice farming was profitable and feasible","Struktur Biaya, Titik Impas, dan Pendapatan Usahatani Padi di Kecamatan Seputih Raman Kabupaten Lampung Tengah","[{'id': None, 'name': {'given': 'Geasti', 'lineage': None, 'family': 'Geasti', 'honourific': None}}, {'id': 'dwih_unila@yahoo.com', 'name': {'lineage': None, 'family': 'Haryono', 'honourific': None, 'given': 'Dwi'}}, {'id': 'irfan.affandi@fp.unila.ac.id', 'name': {'given': 'Muhammad Irfan', 'lineage': None, 'family': 'Affandi', 'honourific': None}}]",article,show,archive,19861,2020-05-18 02:24:01,"[{'placement': 1, 'eprintid': 19861, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/33162', 'security': 'public', 'main': 'Jurnal Geasti.pdf', 'files': [{'datasetid': 'document', 'fileid': 187992, 'hash': '0ad7a0ee5e4a73751dd1fbce186e47f1', 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2020-05-17 06:55:14', 'objectid': 33162, 'filesize': 609885, 'filename': 'Jurnal Geasti.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/187992'}], 'docid': 33162, 'format': 'text', 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf'}, {'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'format': 'text', 'docid': 33163, 'main': 'Jurnal Geasti.pdf', 'files': [{'hash': '0ad7a0ee5e4a73751dd1fbce186e47f1', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 187994, 'mtime': '2020-05-17 06:55:27', 'hash_type': 'MD5', 'filename': 'Jurnal Geasti.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/187994', 'objectid': 33163, 'filesize': 609885}], 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/33163', 'pos': 2, 'eprintid': 19861, 'placement': 2}, {'security': 'public', 'pos': 3, 'uri': 'http://repository.lppm.unila.ac.id/id/document/33164', 'eprintid': 19861, 'placement': 3, 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'format': 'text', 'docid': 33164, 'main': 'Jurnal Geasti.pdf', 'files': [{'filename': 'Jurnal Geasti.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/187996', 'objectid': 33164, 'filesize': 609885, 'mtime': '2020-05-17 06:55:35', 'hash_type': 'MD5', 'hash': '0ad7a0ee5e4a73751dd1fbce186e47f1', 'mime_type': 'application/pdf', 'fileid': 187996, 'datasetid': 'document'}]}]",2020-05-18 02:24:01,620,published,TRUE,JIIA (Jurnal Ilmu-Ilmu Agribisnis),2337-7070,,,,,,http://jurnal.fp.unila.ac.id/index.php/JIA/article/view/3765/2766,3.0,292-297,7.0,,,,,,,,,
63,IPB,['FP1'],disk0/00/00/95/97,unpub,7,2018-11-07 05:24:56,public,['S1'],http://repository.lppm.unila.ac.id/id/eprint/9597,"Lampung as the gateway of the island of Sumatra, the progess of development and society
quite rapidly. The development of information communication technology has also been
felt by farmers. This study aims to determine: the accessibility of farmers to conventional
agricultural information sources and farmers accessibilty to ICT in finding agricultural
information. The sample of farmers is taken by rural area of urban border (Kecamatan
Jati Agung, Lampung Selatan Regency adjacent to Bandar Lampung City) where 3G and or
4G cell phone signal coverage is sufficient. The results showed that the accessibility of
farmers to ICT is good enough, but the utilization of conventional media is still relatively
high. Most farmers know the benefits of hp to find agricultural information, but most
farmers use face-to-face with agricultural extension workers to obtain agricultural
information. Currently, radio and television have been abandoned by farmers to find
agricultural information, and the majority of farmers use it as a medium of entertainment. 
Key words: ICT, rural urban famer, Lampung","UTILIZATION OF ICT BY RURAL FARMERS IN LAMPUNG, INDONESIA","[{'name': {'given': 'Sumaryo', 'lineage': None, 'family': 'Gs', 'honourific': None}, 'id': None}, {'id': 'korrangga@yahoo.com', 'name': {'given': 'Kordiyana', 'honourific': None, 'family': 'Rangga', 'lineage': None}}]",article,show,archive,9597,2018-11-07 05:24:56,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/22628', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 9597, 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'docid': 22628, 'main': '2. Utilization ICT-SUMARYO-translate.pdf', 'files': [{'fileid': 91188, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': '261346782f5dbcecce65b31f13f2198c', 'hash_type': 'MD5', 'mtime': '2018-11-07 05:08:13', 'filesize': 528764, 'objectid': 22628, 'uri': 'http://repository.lppm.unila.ac.id/id/file/91188', 'filename': '2. Utilization ICT-SUMARYO-translate.pdf'}], 'format': 'text'}]",2019-01-03 01:33:38,985,,TRUE,Jurnal Penyuluhan,,,,,,,,,,,['Universitas Lampung'],,,,,,,,
64,,['FP1'],disk0/00/02/00/95,pub,6,2020-05-19 06:41:37,public,['H1'],http://repository.lppm.unila.ac.id/id/eprint/20095,,"Akar penyebab kemiskinan petani hortikultura di kabupaten tanggamus, provinsi lampung","[{'name': {'honourific': None, 'family': 'Gultom', 'lineage': None, 'given': 'Dame Trully'}, 'id': 'trully.dame@yahoo.co.id'}]",article,show,archive,20095,2020-05-19 06:41:37,"[{'format': 'text', 'main': '9 Agrikultura.pdf', 'docid': 33434, 'files': [{'hash': 'd61f7dd1743a18729bb05a8919114dc7', 'mime_type': 'application/pdf', 'fileid': 189779, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/189779', 'filename': '9 Agrikultura.pdf', 'filesize': 3065346, 'objectid': 33434, 'mtime': '2020-05-19 06:06:00', 'hash_type': 'MD5'}], 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 20095, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/33434'}]",2020-05-19 06:41:37,719,published,TRUE,"Akar penyebab kemiskinan petani hortikultura di kabupaten tanggamus, provinsi lampung",0853-2885,,,,,,,,,,,,,,,,,,
65,,['FP1'],disk0/00/02/01/02,pub,6,2020-05-19 06:41:57,public,['H1'],http://repository.lppm.unila.ac.id/id/eprint/20102,,HUBUNGAN PENGGUNAAN TIK DENGAN KINERJA PPL DI BP3K JATI AGUNG KABUPATEN LAMPUNG SELATAN,"[{'id': 'trully.dame@yahoo.co.id', 'name': {'given': 'Dame Trully', 'honourific': None, 'lineage': None, 'family': 'Gultom'}}]",article,show,archive,20102,2020-05-19 06:41:57,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/33441', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 20102, 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'docid': 33441, 'main': '2. HUBUNGAN PENGGUNAAN TIK DENGAN KINERJA PPL DI BP3K JATI AGUNG KABUPATEN LAMPUNG SELATAN.pdf', 'files': [{'objectid': 33441, 'filesize': 108313, 'uri': 'http://repository.lppm.unila.ac.id/id/file/189824', 'filename': '2. HUBUNGAN PENGGUNAAN TIK DENGAN KINERJA PPL DI BP3K JATI AGUNG KABUPATEN LAMPUNG SELATAN.pdf', 'hash_type': 'MD5', 'mtime': '2020-05-19 06:28:33', 'datasetid': 'document', 'fileid': 189824, 'mime_type': 'application/pdf', 'hash': '49ce26438c7e7439a4d849dffb38a4dd'}], 'format': 'text'}]",2020-05-19 06:41:57,719,published,TRUE,HUBUNGAN PENGGUNAAN TIK DENGAN KINERJA PPL DI BP3K JATI AGUNG KABUPATEN LAMPUNG SELATAN,,,,,,,,,,,,,,,,,,,
66,,['FP1'],disk0/00/02/01/24,pub,6,2020-05-19 13:58:10,public,['H1'],http://repository.lppm.unila.ac.id/id/eprint/20124,,"PROCEEDING INTERNATIONAL CONFERENCE
ON CASSAVA (Sustainable Management of
Renewable Resources in Tropics)","[{'id': 'trully.dame@yahoo.co.id', 'name': {'honourific': None, 'family': 'Gultom', 'lineage': None, 'given': 'Dame Trully'}}]",article,show,archive,20124,2020-05-19 13:58:10,"[{'main': '1.Proceeding International Conf. on Cassava 2017-1.pdf', 'files': [{'hash_type': 'MD5', 'mtime': '2020-05-19 07:24:35', 'filesize': 649361, 'objectid': 33464, 'uri': 'http://repository.lppm.unila.ac.id/id/file/189977', 'filename': '1.Proceeding International Conf. on Cassava 2017-1.pdf', 'datasetid': 'document', 'fileid': 189977, 'mime_type': 'application/pdf', 'hash': '4b987ea4dbf85386a5277b6b6c1ea6f2'}], 'docid': 33464, 'format': 'text', 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'placement': 1, 'eprintid': 20124, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/33464', 'security': 'public'}]",2020-05-19 13:58:10,719,published,TRUE,PROCEEDING INTERNATIONAL CONFERENCE ON CASSAVA (Sustainable Management of Renewable Resources in Tropics),,,,,,,,,,,,,,,,,,,
