,pagerange,metadata_visibility,id_number,eprint_status,eprintid,datestamp,documents,lastmod,official_url,number,userid,refereed,title,type,creators,subjects,date_type,uri,date,volume,abstract,publication,publisher,dir,divisions,ispublished,rev_number,status_changed,issn,full_text_status,corp_creators,contact_email,event_title,event_type,pres_type,event_dates,event_location,place_of_pub,contributors
10,28-41,show,,archive,3595,2017-07-20 08:46:33,"[{'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'format': 'text', 'files': [{'fileid': 25146, 'datasetid': 'document', 'hash': '86c99710249a9e43d64cc0a0aeaba939', 'mime_type': 'application/pdf', 'filesize': 156107, 'objectid': 3454, 'uri': 'http://repository.lppm.unila.ac.id/id/file/25146', 'filename': 'beras analog406-1209-1-PB.pdf', 'hash_type': 'MD5', 'mtime': '2017-06-15 03:10:05'}], 'main': 'beras analog406-1209-1-PB.pdf', 'docid': 3454, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/3454', 'pos': 1, 'eprintid': 3595, 'placement': 1}]",2017-07-20 08:46:33,http://jurnal.fp.unila.ac.id/index.php/JTHP/article,1.0,565,TRUE,"SIFAT SENSORY DAN FUNGSIONAL BERAS ANALOG DARI CAMP
URAN 
ONGGOK TERFERMENTASI DAN KETAN HITAM 
[Sensory and Functional Properties of Analog Rice P
roduced From Fermented Onggok and 
Black Waxy Rice Mixture]",article,"[{'name': {'honourific': None, 'family': 'Nurdjanah', 'lineage': None, 'given': 'Siti'}, 'id': 'siti.nurdjanah@fp.unila.ac.id'}, {'name': {'lineage': None, 'family': 'Nurainy', 'honourific': None, 'given': 'Fibra'}, 'id': 'fibra.nurainy@fp.unila.ac.id'}, {'name': {'honourific': None, 'family': 'Revialdy', 'lineage': None, 'given': 'Redy'}, 'id': None}]",['S1'],published,http://repository.lppm.unila.ac.id/id/eprint/3595,1970-01-01 00:00:00.000002014,19.0,"There are a lot variety of products can be used for rice substitute as a staple food. One of them is analog rice processed from onggok (solid waste from tapioca production) formulated mixed with black waxy rice (BWR).  Onggok has poor quality when applied on food products, therefore  natural fermentation and addition of BWR can be used as an alternative to improve it. The objective of this research was to find out the proportion of  onggok and BWR in  producing analog rice that has the best organoleptic and contains functional food. This research was conducted within a complete randomized block design with a single factor and four replications. The single factor was the formulation of onggok and BWR consisted of 6 levels: 100:0 (F0), 90:10 (F1), 80:20 (F2), 70:30 (F3), 60:40 (F4), 50:50 (F5)  The results showed that the best formulation was found on F3 (70% onggok and 30% BWR). The best analog rice had the characteristics of purple, a mild BWR  aroma, and  slightly  liked in overall acceptance of raw sample. The cooked rice had the characteristics of black-purple in color, mild BWR  in aroma, slightly chewy in texture,  mild BWR in taste, and slightly liked in overall acceptance. The  moisture, ash, lipid, protein and carbohydrate contents were 3.0%, 0.9%, 1.4%, 6.2%, and 86.3% . The conversion of rice to glucose as hidrolyzed using α amylase was 12.4%, and total phenolic content was 14,5 mg/g.

Keywords: analog rice, black  waxy rice, onggok, total phenolic",Jurnal Teknologi Industri & Hasil Pertanian,Jurusan Teknologi Hasil Pertanian Unila,disk0/00/00/35/95,['FP19'],pub,6,2017-07-20 08:46:33,ISSN 1410-3044 (print) and ISSN 2304-4399 (online),public,,,,,,,,,
11,28-41,show,,archive,17658,2020-02-17 04:17:38,"[{'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/30783', 'pos': 1, 'eprintid': 17658, 'placement': 1, 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'format': 'text', 'main': '2014 no 1, onggok.pdf', 'docid': 30783, 'files': [{'objectid': 30783, 'filesize': 154113, 'uri': 'http://repository.lppm.unila.ac.id/id/file/149073', 'filename': '2014 no 1, onggok.pdf', 'hash_type': 'MD5', 'mtime': '2020-01-21 11:19:31', 'fileid': 149073, 'datasetid': 'document', 'hash': 'eb9621a10c4dd5c74bc48a2a2031751b', 'mime_type': 'application/pdf'}]}]",2020-02-17 04:17:38,https://jurnal.fp.unila.ac.id/index.php/JTHP/index,1.0,961,TRUE,SIFAT SENSORY DAN FUNGSIONAL BERAS ANALOG DARI CAMPURAN ONGGOK TERFERMENTASI DAN KETAN HITAM,article,"[{'name': {'lineage': None, 'family': 'Nurdjanah', 'honourific': None, 'given': 'Siti'}, 'id': 'siti.nurdjanah@fp.unila.ac.id'}, {'id': 'fibranurainy@gmail.com', 'name': {'honourific': None, 'lineage': None, 'family': 'Nurainy', 'given': 'Fibra'}}, {'name': {'lineage': None, 'family': 'Revialdy', 'honourific': None, 'given': 'Redy'}, 'id': None}]",['S1'],published,http://repository.lppm.unila.ac.id/id/eprint/17658,2014-03-01 00:00:00.000000000,19.0,"There are a lot variety of products can be used for rice substitute as a staple food. One of them is analog rice processed from onggok (solid waste from tapioca production) formulated mixed with black waxy rice (BWR).  Onggok has poor quality when applied on food products, therefore  natural fermentation and addition of BWR can be used as an alternative to improve it. The objective of this research was to find out the proportion of  onggok and BWR in  producing analog rice that has the best organoleptic and contains functional food. This research was conducted within a complete randomized block design with a single factor and four replications. The single factor was the formulation of onggok and BWR consisted of 6 levels: 100:0 (F0), 90:10 (F1), 80:20 (F2), 70:30 (F3), 60:40 (F4), 50:50 (F5)  The results showed that the best formulation was found on F3 (70% onggok and 30% BWR). The best analog rice had the characteristics of purple, a mild BWR  aroma, and  slightly  liked in overall acceptance of raw sample. The cooked rice had the characteristics of black-purple in color, mild BWR  in aroma, slightly chewy in texture,  mild BWR in taste, and slightly liked in overall acceptance. The  moisture, ash, lipid, protein and carbohydrate contents were 3.0%, 0.9%, 1.4%, 6.2%, and 86.3% . The conversion of rice to glucose as hidrolyzed using α amylase was 12.4%, and total phenolic content was 14,5 mg/g.

Keywords: analog rice, black  waxy rice, onggok, total phenolic",Jurnal Teknologi Industri & Hasil Pertanian,Jurusan Teknologi Hasil Pertanian Unila,disk0/00/01/76/58,['FP19'],pub,8,2020-02-17 04:17:38,ISSN 1410-3044 (print) and ISSN 2304-4399 (online),public,,,,,,,,,
12,,show,,archive,43836,2022-08-03 01:21:44,"[{'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/165793', 'eprintid': 43836, 'placement': 1, 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'format': 'text', 'docid': 165793, 'main': '24_12%SIFAT SENSORY DAN FUNGSIONAL BERAS ANALOG DARI CAMPURAN ONGGOK TERFERMENTASI DAN KETAN HITAM.pdf', 'files': [{'fileid': 477425, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': '432ea673b262e64807526e209995fc4a', 'hash_type': 'MD5', 'mtime': '2022-08-02 15:25:54', 'objectid': 165793, 'filesize': 214023, 'filename': '24_12%SIFAT SENSORY DAN FUNGSIONAL BERAS ANALOG DARI CAMPURAN ONGGOK TERFERMENTASI DAN KETAN HITAM.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/477425'}]}]",2022-08-03 01:21:44,,,565,,Similarity: SIFAT SENSORY DAN FUNGSIONAL BERAS ANALOG DARI CAMPURAN ONGGOK TERFERMENTASI DAN KETAN HITAM,other,"[{'id': 'siti.nurdjanah@fp.unila.ac.id', 'name': {'lineage': None, 'family': 'Nurdjanah', 'honourific': None, 'given': 'Siti'}}, {'name': {'honourific': None, 'family': 'Nurainy', 'lineage': None, 'given': 'Fibra'}, 'id': 'fibranurainy@gmail.com'}, {'id': None, 'name': {'given': 'Redy', 'lineage': None, 'family': 'Revialdy', 'honourific': None}}]",['S1'],published,http://repository.lppm.unila.ac.id/id/eprint/43836,1970-01-01 00:00:00.000002014,,"There are a lot variety of products can be used for rice 
substitute as a staple food. One of them is analog rice processed from onggok (solid waste from tapioca production) formulated mixed with black waxy rice (BWR). Onggok has poor quality when applied on food products, therefore natural fermentation and addition of BWR can be used as an alternative to improve it. The objective of this research was to find out the proportion of onggok and BWR in producing analog rice that has the best organoleptic and contains functional food. This research was conducted within a complete randomized block design with a single factor and four replications. The single factor was the formulation of onggok and BWR consisted of 6 levels: 100:0 (F0), 90:10 (F1), 80:20 (F2), 70:30 (F3), 60:40 (F4), 50:50 (F5) The results showed that the best formulation was found on F3 (70% onggok and 30% BWR). The best analog rice had the characteristics of purple, a mild BWR aroma, and slightly liked in overall acceptance of raw sample. The cooked rice had the characteristics of black-purple in color, mild BWR in aroma, slightly chewy in texture, mild BWR in taste, and slightly liked in overall acceptance. The moisture, ash, lipid, protein and carbohydrate contents were 3.0%, 0.9%, 1.4%, 6.2%, and 86.3% . The conversion of rice to glucose as hidrolyzed using α amylase was 12.4%, and total phenolic content was 14,5 mg/g.",,Jurnal Teknologi Industri dan Hasil Pertanian Volume 19 No.1.,disk0/00/04/38/36,['FP19'],pub,7,2022-08-03 01:21:44,,public,,,,,,,,,
13,,show,//dx.doi.org/10.23960/jtihp.v19i1.54%20-%2069,archive,27033,2020-12-07 05:05:15,"[{'eprintid': 27033, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/41050', 'format': 'text', 'main': 'Turnitin 22. STUDI KELAYAKAN AGROINDUSTRI FILLET IKAN NILA (Oreochromis niloticus) DI KABUPATEN MESUJI.pdf', 'docid': 41050, 'files': [{'hash_type': 'MD5', 'mtime': '2020-12-07 04:28:27', 'filesize': 2839696, 'objectid': 41050, 'filename': 'Turnitin 22. STUDI KELAYAKAN AGROINDUSTRI FILLET IKAN NILA (Oreochromis niloticus) DI KABUPATEN MESUJI.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/242380', 'fileid': 242380, 'datasetid': 'document', 'hash': '242ceaa54e046cf151a3b709d187bc48', 'mime_type': 'application/pdf'}], 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf'}]",2020-12-07 05:05:15,http://jurnal.fp.unila.ac.id/index.php/JTHP,,1027,,similarity: STUDI KELAYAKAN AGROINDUSTRI FILLET IKAN NILA (Oreochromis niloticus) DI KABUPATEN MESUJI,other,"[{'name': {'family': 'Priyantini', 'lineage': None, 'honourific': None, 'given': 'Mashitoh'}, 'id': None}, {'id': 'neti.yuliana@fp.unila.ac.id', 'name': {'given': 'Neti', 'honourific': None, 'lineage': None, 'family': 'Yuliana'}}, {'id': 'srihidayati.unila@gmail.com', 'name': {'honourific': None, 'family': 'Hidayati', 'lineage': None, 'given': 'Sri'}}]",['S1'],,http://repository.lppm.unila.ac.id/id/eprint/27033,1970-01-01 00:00:00.000002014,,"This study was carried out to examine the feasibility of tilapia’s fillet agroindustry in Mesuji District. A series of analysis including the determination of agroindustry location, feasibility analysis in terms of market, technique and technology, management aspects, as well as the financial aspects, and added value analysis has been done. The results showed that this agroindustry was feasible to be developed in Mesuji District based on significant increasing demand for export every year and great potential of tilapia production as raw material of fillet in Mesuji District. Financially, This fillet industry met all the criteria of feasibility such as NPV value was Rp. 1.601.906.357, break even point was reached on the sale of 34.785 kg, with 2,68 year payback period, IRR was greater than the discount factor of 12.75%, that was 39,85%, and the B/C ratio was 1,12. Based on Hayami Methods, processing of tilapia into fillet gave Rp.10.264 of added value.",,jurusan Teknologi Hasil Pertanian Unila,disk0/00/02/70/33,['FP19'],pub,8,2020-12-07 05:05:15,,public,,,,,,,,Jurnal Teknologi & industri hasil pertanian,
14,104-116,show,,archive,17153,2020-02-14 07:00:17,"[{'language': 'en', 'rev_number': 2, 'mime_type': 'application/pdf', 'content': 'published', 'docid': 30242, 'main': 'Makalah JTIHP Vol 19 No 1 2014_Angelia dkk.PDF', 'files': [{'fileid': 145509, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': 'f7fb684d2200e989969a4a7c8903ee51', 'hash_type': 'MD5', 'mtime': '2019-11-24 23:30:40', 'filesize': 167227, 'objectid': 30242, 'filename': 'Makalah JTIHP Vol 19 No 1 2014_Angelia dkk.PDF', 'uri': 'http://repository.lppm.unila.ac.id/id/file/145509'}], 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/30242', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 17153}]",2020-02-14 07:00:17,http://jurnal.fp.unila.ac.id/index.php/JTHP/issue/archive,1.0,962,TRUE,PENGARUH PENAMBAHAN GLUKOSA DAN SARI BUAH JERUK (Citrus sinensis) TERHADAP KARAKTERISTIK MINUMAN SINBIOTIK CINCAU HIJAU (Premna oblongifolia Merr.),article,"[{'id': None, 'name': {'family': 'Putri', 'lineage': None, 'honourific': None, 'given': 'Angelia'}}, {'id': 'samsul.rizal@fp.unila.ac.id', 'name': {'given': 'Samsul', 'honourific': None, 'lineage': None, 'family': 'Rizal'}}, {'id': None, 'name': {'given': 'Tirza', 'family': 'Hanum', 'lineage': None, 'honourific': None}}, {'id': 'setyani57@gmail.com', 'name': {'given': 'Sri', 'lineage': None, 'family': 'Setyani', 'honourific': None}}]",['QR'],published,http://repository.lppm.unila.ac.id/id/eprint/17153,2014-03-01 00:00:00.000000000,19.0,"This study was aimed to determine the concentration of orange juice (Citrus sinensis) and glucose produced
green grass jelly sinbiotic drink with the best characteristics, has a high concentration of lactic acid bacteria and antioxidant activity as well as good sensory properties. Factorial treatment was arranged in a Complete Randomized Block Design with two factors and three replications. The first factor was the concentration of orange juice (J), consisted of 5 levels (0%, 5%, 10%, 15%, and 20%), and the second factor was the concentration of glucose (K) that consisted of 3 levels (2%,3%, and 4%). The homogeneity and additivity of the data were analyzed using Barlett and Tuckey tests. Then the ata were analyzed with Analysis of Varians, and further analyzed using orthogonal polynomials on the significant level of 5% or 1%. The results showed that the addition of 2% glucose and 0%
orange juice produced the best characteristics of green cincau sinbiotic beverage with concentration of lactic acid bacteria 4,59 x 1010 colonies/ml, total acid 0,29%, pH 4,13, antioxidant activity of 54,88% RSA, taste of 3,52 (like), colors of 2,87 (rather like), and flavor of 2,95 (rather like).","Jurnal Teknologi Industri dan Hasil Pertanian Volume 19 No.1, Maret 2014",Jurusan Teknologi Hasil Pertanian Unila,disk0/00/01/71/53,['FP19'],pub,7,2020-02-14 07:00:17,23024399,public,"['Universitas Lampung', 'University of Lampung']",samsul.rizal@fp.unila.ac.id,,,,,,,
15,137-148,show,,archive,17154,2020-02-14 07:00:19,"[{'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/30243', 'pos': 1, 'eprintid': 17154, 'placement': 1, 'content': 'published', 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 2, 'format': 'text', 'docid': 30243, 'main': 'Makalah JTIHP Vol 19 No 2_2014_Rukmini dkk.PDF', 'files': [{'fileid': 145516, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': 'a03a93c0dfedafe4e183377844cf611f', 'filesize': 206604, 'objectid': 30243, 'uri': 'http://repository.lppm.unila.ac.id/id/file/145516', 'filename': 'Makalah JTIHP Vol 19 No 2_2014_Rukmini dkk.PDF', 'hash_type': 'MD5', 'mtime': '2019-11-24 23:43:58'}]}]",2020-02-14 07:00:19,http://jurnal.fp.unila.ac.id/index.php/JTHP/issue/archive,2.0,962,TRUE,"PROFIL PROSES FERMENTASI RUSIP DENGAN PENAMBAHAN GULA AREN
CAIR",article,"[{'id': None, 'name': {'honourific': None, 'lineage': None, 'family': 'Rukmini', 'given': 'Susilowati'}}, {'id': 'dyah.koesoemawardani.fp.unila.ac.id', 'name': {'lineage': None, 'family': 'Koesoemawardani', 'honourific': None, 'given': 'Dyah'}}, {'id': 'samsul.rizal@fp.unila.ac.id', 'name': {'honourific': None, 'family': 'Rizal', 'lineage': None, 'given': 'Samsul'}}]",['QR'],published,http://repository.lppm.unila.ac.id/id/eprint/17154,2014-07-01 00:00:00.000000000,19.0,"This research was aimed to determine the microbiological
and chemical characteristics of rusip with the addition of liquid palm sugar during fermentation. Fermentation was carried out for 7 days and the observation was done after fermentation time of 0 hours (H1), 12 hours (H2), 24 hours (H3), 36 hours (H4), 2 days (H5), 3 days (H6), 4 days (H7), 5 days (H8), 6 days (H9) and 7 days (H10). To obtain rusip fermentation profiles, the data were presented descriptively in tables and graphs. Total lactic acid bacteria and lactic acid of rusip increased during fermentation, while pH, total fungi and total microbial decreased during fermentation. The chemical and microbiological characteristics of rusip on the seventh day of fermentation were pH of 5.97, total lactic acid bacteria of 8.04 log CFU/g, total fungi of 2.60 log CFU/g, total microbial of 9.87 log CFU/g, total lactic acid of 5.64% and total volatile nitrogen (TVN) of 109.07 mg N/100 g.","Jurnal Teknologi Industri dan Hasil Pertanian Volume 19 No.2, Juli 2014",Jurusan Teknologi Hasil Pertanian Unila,disk0/00/01/71/54,['FP19'],pub,7,2020-02-14 07:00:19,23024399,public,['Universitas Lampung'],samsul.rizal@fp.unila.ac.id,,,,,,,
16,307-319,show,,archive,3568,2017-06-12 01:35:24,"[{'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/3435', 'pos': 1, 'eprintid': 3568, 'placement': 1, 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'format': 'text', 'docid': 3435, 'main': 'JTIHP Vol_19 No_2 Juli_2014 p_307-319.pdf', 'files': [{'mime_type': 'application/pdf', 'hash': '1500a30bfdbb0577d71f6f093a27b845', 'datasetid': 'document', 'fileid': 24764, 'filename': 'JTIHP Vol_19 No_2 Juli_2014 p_307-319.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/24764', 'filesize': 300545, 'objectid': 3435, 'mtime': '2017-06-11 02:33:58', 'hash_type': 'MD5'}]}]",2017-06-12 01:35:24,,2.0,486,TRUE,"Pengaruh Jumlah Pelarut Etanol dan Suhu Fraksinasi terhadap Karekteristik Lemak Kakao Hasil Ekstraksi Non Alkalized Cocoa Powder
[The Effect of Amount of Ethanol Solvent and  Fractionation Temperature on the Characteristic of Cocoa Fat Extracted from  Non Alkalized Cocoa Powder]",article,"[{'name': {'given': 'C.M.', 'honourific': None, 'family': 'Susansi', 'lineage': None}}, {'name': {'given': 'R.', 'honourific': None, 'family': 'Sugiharto', 'lineage': None}}, {'name': {'given': 'S.', 'family': 'Setyani', 'lineage': None, 'honourific': None}}, {'name': {'given': 'S.', 'honourific': None, 'lineage': None, 'family': 'Subeki'}}]",['Q1'],published,http://repository.lppm.unila.ac.id/id/eprint/3568,2014-07-01 00:00:00.000000000,19.0,"Cocoa and its derivative products are examples of very potential export comdities that could contributed to an increase in foreign exchange. The extraction of non- alkalized cocoa powder resulted in pure cocoa extract as the main product and cocoa fat as by product. Cocoa fat can be exploited further to produce some final products, either food or non food products. This research was aimed to study the effects of ethanol addition for extraction and fractionation temperature on the characteristic of cocoa fat. This study used a Complete Randomized Block Design with two factor treatments and three replications. The first factor was quantity of ethanol 450 ml, 600 ml, and 750 ml, and the second factor was temperature for fractionation 15oC, 18oC, and 21oC. The data obtained were analyzed using Bartlett test for homogenity. Tuckey Test was used for analyzing their additivity, then the data were analyzed using ANOVA to see differences among treatments. The data were further tested using Least Significant Difference at of 5% level of significancy to find the best characteristic. The results showed that the best characteristic of cocoa fat obtained from the treatment of the addition of 750 ml ethanol and fractionation temperature 15oC. It resulted in fat yield of 35.0382%, fat content of 86.742%, its flavor was close to characteristic of cocoa flavor ,and the composition of unsaturated fatty acids was 49, 71% of the total fatty acids.",Jurnal Teknologi & Industri Hasil Pertanian,Jurusan Teknologi Hasil Pertanian,disk0/00/00/35/68,['FP19'],pub,6,2017-06-12 01:35:24,,public,,ribut.sugiharto@fp.unila.ac.id,,,,,,,
17,96-103,show,ISSN 1410-3044 (Print) and ISSN 2302-4399 (Online),archive,3807,2017-08-14 03:12:55,"[{'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/3669', 'eprintid': 3807, 'placement': 1, 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'format': 'text', 'docid': 3669, 'main': 'KAJIAN NILAI BIOLOGIS DAN BAL MP-ASI.pdf', 'files': [{'datasetid': 'document', 'fileid': 26674, 'mime_type': 'application/pdf', 'hash': 'd6d2d9dd4f86ac7c2fd9133fe4285154', 'filesize': 150081, 'objectid': 3669, 'filename': 'KAJIAN NILAI BIOLOGIS DAN BAL MP-ASI.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/26674', 'hash_type': 'MD5', 'mtime': '2017-08-09 04:57:18'}]}]",2017-08-14 03:12:55,http://jurnal.fp.unila.ac.id/index.php/JTHP/article/view/414/391,1.0,625,TRUE,"KAJIAN NILAI BIOLOGIS DAN TOTAL BAKTERI ASAM LAKTAT DARI 
MP-ASI BERBAHAN BAKU JAGUNG FERMENTASI",article,"[{'id': None, 'name': {'honourific': None, 'lineage': None, 'family': 'Wardhani', 'given': 'Ayu Kusuma'}}, {'id': None, 'name': {'given': 'Renny', 'lineage': None, 'family': 'Ivanova', 'honourific': None}}, {'name': {'given': 'Sri', 'lineage': None, 'family': 'Setyani', 'honourific': None}, 'id': 'setyani57@gmail.com'}, {'id': 'neti.yuliana@fp.unila.ac.id', 'name': {'given': 'Neti', 'honourific': None, 'lineage': None, 'family': 'Yuliana'}}, {'id': 'sussi.astuti@fp.unila.ac.id', 'name': {'honourific': None, 'lineage': None, 'family': 'Astuti', 'given': 'Sussi'}}]",['S1'],published,http://repository.lppm.unila.ac.id/id/eprint/3807,2014-03-01 00:00:00.000000000,19.0,"The objective of this research was to study the effect of tempeh yeast concentration and the lenght of corn fermentation on the biological value (BV) and NPU of complementary feeding with fermented corn. A factorial experiment was arranged in a Completely Randomized Design (RAL) and replicated four times.  The factors studied were  yeast concentration (2% and 3%) and the length of fermentation (48 and 72 h). Data were analyzed using ANOVA and further tested using LSD at 5% level of signification. The value of pH and total lactic acid bacteria were peported as means of six replications. The best treatment was found on tempeh yeast treatment at concentration of 2%, fermented for 72 hour (K1L2) with the biological value, NPU, pH and total LAB were 88,58%, 67,69%, 3.07, and 8.84 cfu/g.

Keywords : complementary infant food(MP-ASI), fermented corn flour, soybean tempeh flour",Jurnal Teknologi & Industri Hasil Pertanian,Jurusan Teknologi Hasil Pertanian Unila,disk0/00/00/38/07,['FP19'],pub,7,2017-08-14 03:12:55,ISSN 1410-3044 (Print) and ISSN 2302-4399 (Online),public,,,,,,,,,
18,1-8,show,,archive,3562,2017-06-12 01:40:45,"[{'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/3429', 'eprintid': 3562, 'placement': 1, 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'format': 'text', 'main': 'Microbiology Indonesia Vol_8 No_1 Maret_2014 p_1-8.pdf', 'docid': 3429, 'files': [{'objectid': 3429, 'filesize': 235692, 'filename': 'Microbiology Indonesia Vol_8 No_1 Maret_2014 p_1-8.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/24727', 'hash_type': 'MD5', 'mtime': '2017-06-11 00:52:40', 'datasetid': 'document', 'fileid': 24727, 'mime_type': 'application/pdf', 'hash': '6cb497b80b6aacd585194060b368a3b9'}]}]",2017-07-20 09:17:45,,1.0,486,TRUE,Effect of Spontaneous Lactic Acid Fermentation on Physico-Chemical Properties of Sweet Potato Flour.,article,"[{'name': {'given': 'N.', 'lineage': None, 'family': 'Yuliana', 'honourific': None}}, {'name': {'given': 'S.', 'honourific': None, 'family': 'Nurdjanah', 'lineage': None}}, {'name': {'given': 'R.', 'family': 'Sugiharto', 'lineage': None, 'honourific': None}}, {'name': {'lineage': None, 'family': 'Amethy', 'honourific': None, 'given': 'D.'}}]",['QR'],published,http://repository.lppm.unila.ac.id/id/eprint/3562,2014-03-01 00:00:00.000000000,8.0,"Native sweet potato flour is usually has low whiteness index and has limited application in food system due to its inherent functional properties.  Therefore, it needs modification process to improve this properties.  In this study, sweet potato cubes were fermented spontaneously by lactic acid bacteria for 120h before being processed to flour to modify its properties.  Selected physics-chemical properties of flour were then determined and compared with the control (without fermentation).  The results showed that the lactic acid fermentation significantly caused more changes on the flour properties.  The lactic acid fermentation caused alteration in the starch granules as evident by Scanning Electron Microscopy.  When compared to the control flour, spontaneous fermented flour had lower solubility, higher sweeping power and paste viscosity.  The results suggested lactic spontaneous fermentation within 120h period of time could provide a greater elf flour modification.",Microbiology Indonesia,Permi,disk0/00/00/35/62,['FP19'],pub,7,2017-06-12 01:40:45,1978-3477,public,,,,,,,,,
19,298-307,show,,archive,13636,2019-07-23 04:14:59,"[{'format': 'text', 'files': [{'datasetid': 'document', 'fileid': 119031, 'mime_type': 'application/pdf', 'hash': '115e91bde90a8d50a239af62f32e6b21', 'hash_type': 'MD5', 'mtime': '2019-07-23 01:23:10', 'filesize': 109852, 'objectid': 26652, 'filename': 'PENAMBAHAN ASAM ASETAT DAN FUMARAT UNTUK MEMPERTAHANKAN KUALITAS PIKEL UBI JALAR KUNING PASCA FERMENTASI (Addition of Acetic and Fumaric Acid to Maintain (9).pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/119031'}], 'main': 'PENAMBAHAN ASAM ASETAT DAN FUMARAT UNTUK MEMPERTAHANKAN KUALITAS PIKEL UBI JALAR KUNING PASCA FERMENTASI (Addition of Acetic and Fumaric Acid to Maintain (9).pdf', 'docid': 26652, 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 13636, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/26652', 'pos': 1}]",2019-07-23 04:14:59,https://jurnal.ugm.ac.id/agritech,3.0,565,TRUE,PENAMBAHAN ASAM ASETAT DAN FUMARAT UNTUK MEMPERTAHANKAN KUALITAS PIKEL UBI JALAR KUNING PASCA FERMENTAS,article,"[{'name': {'honourific': None, 'family': 'Yuliana', 'lineage': None, 'given': 'Neti'}, 'id': 'neti.yuliana@fp.unila.ac.id'}, {'id': 'siti.nurdjanah@fp.unila.ac.id', 'name': {'honourific': None, 'family': 'Nurdjanah', 'lineage': None, 'given': 'Siti'}}, {'id': 'maya.sari@gmail.com', 'name': {'honourific': None, 'family': 'Sari', 'lineage': None, 'given': 'Maya'}}]",['S1'],published,http://repository.lppm.unila.ac.id/id/eprint/13636,2014-08-01 00:00:00.000000000,34.0,"Tujuan penelitian ini adalah untuk mengetahui dan membandingkan kemampuan asam fumarat, asam asetat dan kombinasinya sebagai pengawet untuk mempertahan kualitas pikel ubi jalar kuning pasca fermentasi yang disimpan pada suhu ruang selama 6 minggu; dan juga membandingkannya dengan pengawet asam benzoat. Perlakuan terdiri dari konsentrasi asam asetat 1; 1,5 dan 2%; konsentrasi asam fumarat 0,1; 0,15 dan 0,2%, dan kombinasi keduanya. Perlakuan dengan asam benzoat dan tanpa pengawet juga disiapkan sebagai kontrol. Perlakuan terbaik diperoleh dari kombinasai asam asetat 1% dan fumarat 0,2%, dengan karakteristik kualitas sebagai berikut: total kapang, khamir, bakteri bukan asam laktat, dan bakteri asam laktat masing masing <30 koloni/ml, total asam 1,35%, pH 3,18 dan total padatan terlarut 2,07o brix, warna orange pucat, beraroma asam dengan tingkat penerimaan panelis 87%. Berdasarkan penerimaan sensoris, perlakuan asam fumarat lebih baik daripada asam asetat ataupun kombinasi asam asetat-fumarat. Hasil penelitian menunjukkan bahwa asam asetat, fumarat dan kombinasi keduanya dapat mempertahankan kualitas pikel ubi jalar kuning yang berpotensi menjadi alternatif pengganti pengawet benzoat",AGRITECH,Fakultas Teknologi Pertanian UGM,disk0/00/01/36/36,['FP19'],pub,6,2019-07-23 04:14:59,0216-0455,public,,,,,,,,,
