,documents,lastmod,userid,metadata_visibility,eprintid,eprint_status,datestamp,title,creators,type,date,uri,subjects,ispublished,rev_number,status_changed,full_text_status,divisions,dir,refereed,publication,id_number,date_type,patent_applicant,abstract,publisher,number,volume,issn,related_url,official_url,event_type,event_title,pres_type,book_title,pagerange,corp_creators
10,"[{'main': 'Sosialisasi Etika Media Sosial.pdf', 'docid': 167413, 'files': [{'fileid': 487897, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': '2b3fb94b471f2bcea1f8ce3310e80641', 'filesize': 218327, 'objectid': 167413, 'filename': 'Sosialisasi Etika Media Sosial.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/487897', 'hash_type': 'MD5', 'mtime': '2022-10-03 00:17:49'}], 'format': 'text', 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'placement': 1, 'eprintid': 45421, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/167413', 'security': 'public'}]",2022-10-03 01:37:23,276,show,45421,archive,2022-10-03 01:37:23,Pemateri dalam Kegiatan Sosialisasi Hukum UU ITE No. 11 Tahun 2008,"[{'name': {'honourific': None, 'lineage': None, 'family': 'Bayu sujadmiko', 'given': 'bayu.sujadmiko@fh.unila.ac.id'}}]",image,1970-01-01 00:00:00.000002022,http://repository.lppm.unila.ac.id/id/eprint/45421,['K1'],submitted,7,2022-10-03 01:37:23,public,['FH1'],disk0/00/04/54/21,,,,,,,,,,,,,,,,,,
11,"[{'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/167412', 'pos': 1, 'eprintid': 45420, 'placement': 1, 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'format': 'text', 'docid': 167412, 'main': 'Rusia Ukraine.pdf', 'files': [{'objectid': 167412, 'filesize': 2121109, 'uri': 'http://repository.lppm.unila.ac.id/id/file/487890', 'filename': 'Rusia Ukraine.pdf', 'hash_type': 'MD5', 'mtime': '2022-10-03 00:16:07', 'datasetid': 'document', 'fileid': 487890, 'hash': '8fa22d3ff2307a6d2ade7ed9a9414d8f', 'mime_type': 'application/pdf'}]}]",2022-10-03 01:37:19,276,show,45420,archive,2022-10-03 01:37:19,"Pemateri dalam Kegiatan Webinar Bidang Internasional UKM-F PSBH UNILA dengan tema ""Konflik Rusia-Ukraina dalam Perspektif Hukum Internasional""","[{'name': {'given': 'bayu.sujadmiko@fh.unila.ac.id', 'honourific': None, 'lineage': None, 'family': 'Bayu sujadmiko'}}]",image,1970-01-01 00:00:00.000002022,http://repository.lppm.unila.ac.id/id/eprint/45420,['K1'],submitted,8,2022-10-03 01:37:19,public,['FH1'],disk0/00/04/54/20,,,,,,,,,,,,,,,,,,
12,"[{'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/185594', 'security': 'public', 'placement': 1, 'eprintid': 46685, 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'files': [{'fileid': 514331, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': '6e8d8a86afb5ff0a364705d3364b9b6d', 'filesize': 601826, 'objectid': 185594, 'uri': 'http://repository.lppm.unila.ac.id/id/file/514331', 'filename': 'SK NO 4943 NGAJAR GANJIL 2022 2023.pdf', 'hash_type': 'MD5', 'mtime': '2022-11-16 06:38:03'}], 'main': 'SK NO 4943 NGAJAR GANJIL 2022 2023.pdf', 'docid': 185594, 'format': 'text'}]",2022-11-16 09:17:45,276,show,46685,archive,2022-11-16 09:17:45,SK DOSEN/ASISTEN MENGAJAR SMTR GANJIL FH UNILA,"[{'name': {'given': 'bayu.sujadmiko@fh.unila.ac.id', 'honourific': None, 'family': 'Bayu sujadmiko', 'lineage': None}}]",image,1970-01-01 00:00:00.000002022,http://repository.lppm.unila.ac.id/id/eprint/46685,['K1'],submitted,7,2022-11-16 09:17:45,public,['FH1'],disk0/00/04/66/85,,,,,,,,,,,,,,,,,,
13,"[{'docid': 163844, 'main': 'Ethno Development.pdf', 'files': [{'mtime': '2022-06-07 01:36:45', 'hash_type': 'MD5', 'filename': 'Ethno Development.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/464431', 'filesize': 2510402, 'objectid': 163844, 'mime_type': 'application/pdf', 'hash': '7a553f012b1c6ffcb83eaf7b18b30033', 'datasetid': 'document', 'fileid': 464431}], 'format': 'text', 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'placement': 1, 'eprintid': 42143, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/163844', 'security': 'public'}]",2022-06-07 01:44:08,276,show,42143,archive,2022-06-07 01:44:08,Tourism and Ethnodevelopment: Female Contribution in Rural Community-Based Agritourism,"[{'name': {'honourific': None, 'family': 'Bayu sujadmiko', 'lineage': None, 'given': 'bayu.sujadmiko@fh.unila.ac.id'}}]",article,2022-06-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/42143,['K1'],pub,6,2022-06-07 01:44:08,public,['FH1'],disk0/00/04/21/43,FALSE,International Journal of Sustainable Development and Planning,,,,Hasil Check Similarity,IIETA,,,,,,,,,,,
14,"[{'format': 'text', 'files': [{'mime_type': 'application/pdf', 'hash': '69494ee8f40f48d61c8e4ca50010429b', 'fileid': 467876, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/467876', 'filename': 'Review Tourism.pdf', 'filesize': 349610, 'objectid': 164348, 'mtime': '2022-06-20 03:48:21', 'hash_type': 'MD5'}], 'main': 'Review Tourism.pdf', 'docid': 164348, 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 42638, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/164348'}]",2022-06-20 06:34:45,276,show,42638,archive,2022-06-20 06:34:45,Tourism and Ethnodevelopment: Female Contribution in Rural Community-Based Agritourism,"[{'name': {'lineage': None, 'family': 'Bayu sujadmiko', 'honourific': None, 'given': 'bayu.sujadmiko@fh.unila.ac.id'}}]",article,1970-01-01 00:00:00.000002022,http://repository.lppm.unila.ac.id/id/eprint/42638,['K1'],pub,6,2022-06-20 06:34:45,public,['FH1'],disk0/00/04/26/38,FALSE,International Journal of Sustainable Development and Planning,,,,Hasil Penilaian Sejawat Sebidang atau Peer Review,IIETA,,,,,,,,,,,
15,"[{'eprintid': 47158, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/186119', 'pos': 1, 'format': 'text', 'files': [{'mtime': '2022-12-08 03:11:09', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/517948', 'filename': 'RUWA JURAI MODEL_ THE INDONESIAN COASTAL VILLAGE LEGAL DESIGN.pdf', 'filesize': 1053742, 'objectid': 186119, 'mime_type': 'application/pdf', 'hash': 'f8d9d04234394fa77047505e2d5d53da', 'fileid': 517948, 'datasetid': 'document'}], 'main': 'RUWA JURAI MODEL_ THE INDONESIAN COASTAL VILLAGE LEGAL DESIGN.pdf', 'docid': 186119, 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf'}]",2022-12-08 03:44:10,561,show,47158,archive,2022-12-08 03:44:10,RUWA JURAI MODEL: THE INDONESIAN COASTAL VILLAGE LEGAL DESIGN,"[{'name': {'given': 'Budiyono', 'honourific': None, 'lineage': None, 'family': 'Budiyono'}}, {'name': {'honourific': None, 'family': 'Muhtadi', 'lineage': None, 'given': 'Muhtadi'}}]",article,1970-01-01 00:00:00.000002022,http://repository.lppm.unila.ac.id/id/eprint/47158,['K1'],pub,6,2022-12-08 03:44:10,public,['FH1'],disk0/00/04/71/58,FALSE,"Progressive Law Review,",,,,Hasil Check Similarity,University of Bandar Lampung,,,,,,,,,,,
16,"[{'placement': 1, 'eprintid': 52037, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/251763', 'security': 'public', 'files': [{'mime_type': 'application/pdf', 'hash': 'e9051bb85030f2b11499cbc4527934d3', 'datasetid': 'document', 'fileid': 616534, 'filename': '10._Jurnal_Internasional[1]-IJAR.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/616534', 'objectid': 251763, 'filesize': 220385, 'mtime': '2023-05-28 02:05:02', 'hash_type': 'MD5'}], 'main': '10._Jurnal_Internasional[1]-IJAR.pdf', 'docid': 251763, 'format': 'text', 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1}]",2023-05-29 01:32:53,807,show,52037,archive,2023-05-29 01:32:53,"FUNCTIONAL DIFFERENTIATION IN CRIMINAL CODE: THE ROLE OF PROSECUTORS AS CASE 
CONTROLLERS IN INDONESIAN LAW","[{'id': None, 'name': {'given': 'Didik Kurniawan', 'lineage': None, 'family': 'Didik Kurniawan', 'honourific': None}}, {'id': 'maroniunila@gmail.com', 'name': {'given': 'Maroni', 'honourific': None, 'lineage': None, 'family': 'Maroni'}}, {'name': {'given': 'Heni Siswanto', 'honourific': None, 'family': 'Heni Siswanto', 'lineage': None}, 'id': 'siswanto_heni@gmail.com2'}, {'id': 's.nymus@yahoo.co.id', 'name': {'given': 'Tisnanta', 'lineage': None, 'family': 'HS Tisnanta', 'honourific': None}}]",article,2022-10-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/52037,['K1'],pub,6,2023-05-29 01:32:53,public,['FH1'],disk0_bak/00/05/20/37,TRUE,International Journal of Advanced Research (IJAR),,published,,"The principle of functional differentiation adopted by the Criminal 
Procedure Code can potentially cause significant problems in the 
future, especially for the Prosecutor's office, which will cause many 
free verdicts due to the loss of ammunition of evidence presented by 
the Public Prosecutor. By using normative and empirical legal research 
methods (combined), normative legal research is carried out using a 
statute approach, a historical approach, and a comparative approach. 
This paper will discuss the position of the Prosecutor's Office as a 
dominus litis in the Criminal Procedure Code if combined with an 
integrated criminal justice system that contains the principle of 
functional differentiation. The position of the Prosecutor's Office as the 
controller of the case (dominus litis) after the enactment of the Criminal 
Procedure Code cannot be fully applied in the investigation process. 
Because they cannot be directly involved in the investigation, as in the 
validity period of the HIR, it is necessary to build more open 
communication from the beginning of the investigation. It will be 
perfect if it is built continuously by eliminating the sectoral egos of 
each institution.

Keywords:-
Functional Differentiation, Criminal 
Code, Role Of Prosecutors, Case 
Controllers",IJAR,10.0,10.0,2320-5407,[{'url': 'http://dx.doi.org/10.21474/IJAR01/15598'}],,,,,,,
17,"[{'placement': 1, 'eprintid': 47185, 'uri': 'http://repository.lppm.unila.ac.id/id/document/186163', 'pos': 1, 'security': 'public', 'main': 'Role of Law Enforcement to prevent Cyber laundering and Asset Recovery from Overseas.pdf', 'docid': 186163, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/518198', 'filename': 'Role of Law Enforcement to prevent Cyber laundering and Asset Recovery from Overseas.pdf', 'objectid': 186163, 'filesize': 3534541, 'mtime': '2022-12-12 01:41:27', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'hash': '6dd2d5c3d053a067b8cd23fa6f3c8e03', 'datasetid': 'document', 'fileid': 518198}], 'format': 'text', 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1}]",2022-12-12 01:55:40,836,show,47185,archive,2022-12-12 01:55:40,"Role of Law Enforcement to prevent Cyber laundering
and Asset Recovery from Overseas","[{'name': {'family': 'Eddy', 'lineage': None, 'honourific': None, 'given': 'Rifai'}}]",article,1970-01-01 00:00:00.000002022,http://repository.lppm.unila.ac.id/id/eprint/47185,['K1'],pub,6,2022-12-12 01:55:40,public,['FH1'],disk0/00/04/71/85,TRUE,International Journal of Cyber Criminology,,,,Hasil Check Similarity,IJCC,,,,,,,,,,,
18,"[{'eprintid': 47186, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/186164', 'format': 'text', 'main': 'Role of Law.pdf', 'files': [{'datasetid': 'document', 'fileid': 518204, 'hash': '6dd2d5c3d053a067b8cd23fa6f3c8e03', 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2022-12-12 01:45:59', 'objectid': 186164, 'filesize': 3534541, 'uri': 'http://repository.lppm.unila.ac.id/id/file/518204', 'filename': 'Role of Law.pdf'}], 'docid': 186164, 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1}]",2022-12-12 01:55:44,836,show,47186,archive,2022-12-12 01:55:44,"Role of Law Enforcement to prevent Cyber laundering
and Asset Recovery from Overseas","[{'name': {'family': 'Eddy', 'lineage': None, 'honourific': None, 'given': 'Rifai'}}]",article,1970-01-01 00:00:00.000002022,http://repository.lppm.unila.ac.id/id/eprint/47186,['K1'],pub,6,2022-12-12 01:55:44,public,['FH1'],disk0/00/04/71/86,TRUE,International Journal of Cyber Criminology,,,,Hasil Check Similarity,IJCC,,,,,,,,,,,
19,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/190171', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 50466, 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'main': '12071.pdf', 'files': [{'filename': '12071.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/544510', 'objectid': 190171, 'filesize': 1723879, 'mtime': '2023-04-13 03:24:49', 'hash_type': 'MD5', 'hash': '60901231c263bfeb87de913dd3f31798', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 544510}], 'docid': 190171, 'format': 'text'}]",2023-04-13 03:41:12,18897,show,50466,archive,2023-04-13 03:41:12,"ANALISIS PEMIDANAAN TERHADAP PELAKU
TINDAK PIDANA PENJUALAN BARANG KENA CUKAI
(Studi Penentuan Jenis dan Besaran Sanksi Pidana atas Dasar
Modified Delphi Method (Group Decision Making)","[{'name': {'given': 'Heni Siswanto', 'family': 'Heni Siswanto', 'lineage': None, 'honourific': None}, 'id': 'siswanto_heni@gmail.com2'}]",article,1970-01-01 00:00:00.000002022,http://repository.lppm.unila.ac.id/id/eprint/50466,['K1'],pub,6,2023-04-13 03:41:12,public,['FH1'],disk0_bak/00/05/04/66,TRUE,https://pak.unila.ac.id/dosen/file_penelitian/12071,,published,,,,,,,,,,,,,,
