,type,creators,title,refereed,datestamp,eprintid,eprint_status,metadata_visibility,userid,lastmod,documents,divisions,publisher,publication,dir,full_text_status,status_changed,ispublished,rev_number,subjects,abstract,uri,date,pres_type,pagerange,event_type,event_title,event_location,event_dates,pages,book_title,number,monograph_type,date_type,issn,volume,isbn,place_of_pub,institution
10,book_section,"[{'name': {'honourific': None, 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'lineage': None, 'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali'}}]",Dinamika Penegakan Hukum Pemerintahan Daerah,FALSE,2022-02-23 07:25:30,39757,archive,show,1065,2022-02-23 07:25:30,"[{'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/161033', 'eprintid': 39757, 'placement': 1, 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'format': 'text', 'main': 'DINAMIKA.pdf', 'files': [{'mtime': '2022-02-23 03:42:45', 'hash_type': 'MD5', 'filename': 'DINAMIKA.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/445865', 'objectid': 161033, 'filesize': 590607, 'mime_type': 'application/pdf', 'hash': '28ff42194720d77826a0109049412c8d', 'datasetid': 'document', 'fileid': 445865}], 'docid': 161033}]",['FH1'],AURA CV. Anugrah Utama Raharja Anggota IKAPAI,,disk0/00/03/97/57,public,2022-02-23 07:25:30,pub,7,['K1'],Hasil Penilaian Sejawat Sebidang atau Peer Review,http://repository.lppm.unila.ac.id/id/eprint/39757,1970-01-01 00:00:00.000002017,,,,,,,,Dinamika Penegakan Hukum Pemerintahan Daerah,,,,,,,,
11,conference_item,"[{'id': '<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">amnawaty@yahoo.com</font></font>', 'name': {'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'lineage': None, 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'honourific': None}}]",Implementasi Gadai Emas Syariah dengan Akad Rahn Sebagai Alternatif Pembiayaan Masyarakat Non Bank di Indonesia,FALSE,2021-04-06 06:35:35,28882,archive,show,955,2021-04-06 06:35:35,"[{'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'docid': 42976, 'main': 'Implementasi Gadai.pdf', 'files': [{'datasetid': 'document', 'fileid': 256279, 'mime_type': 'application/pdf', 'hash': '446dc9ff3ae88474cac02f9055829af2', 'hash_type': 'MD5', 'mtime': '2021-04-06 03:06:00', 'filesize': 523413, 'objectid': 42976, 'filename': 'Implementasi Gadai.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/256279'}], 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/42976', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 28882}]",['FH1'],,,disk0/00/02/88/82,public,2021-04-06 06:35:35,pub,7,['K1'],Hasil Penilaian Sejawat Sebidang atau Peer Review,http://repository.lppm.unila.ac.id/id/eprint/28882,2017-02-01 00:00:00.000000000,speech,,conference,Seminar International,,,,,,,,,,,,
12,book_section,"[{'name': {'lineage': None, 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'honourific': None, 'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali'}}]",Konflik Lahan Perkebunan Mengungkap Perjuangan Rakyat Melawan Kooptasi Tanah HGU Sugar Group Companies,FALSE,2021-02-15 08:12:41,27888,archive,show,324,2021-02-15 08:12:41,"[{'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/248523', 'filename': 'Review Yus Konflik Lahan.pdf', 'objectid': 41868, 'filesize': 135788, 'mtime': '2021-02-15 07:46:56', 'hash_type': 'MD5', 'hash': '4374917af1c4e4512cfe529df4e409cd', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 248523}], 'main': 'Review Yus Konflik Lahan.pdf', 'docid': 41868, 'format': 'text', 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'placement': 1, 'eprintid': 27888, 'uri': 'http://repository.lppm.unila.ac.id/id/document/41868', 'pos': 1, 'security': 'public'}]",['FH1'],CV. Cita Inttans Selaras Wisma Kalimetro,,disk0/00/02/78/88,public,2021-02-15 08:12:41,pub,7,['K1'],Hasil Penilaian Sejawat Sebidang atau Peer Review,http://repository.lppm.unila.ac.id/id/eprint/27888,1970-01-01 00:00:00.000002017,,,,,,,,Monograf,,,,,,,,
13,book_section,"[{'name': {'honourific': None, 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'lineage': None, 'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali'}}]",Konflik Lahan Perkebunan Mengungkap Perjuangan Rakyat Melawan Kooptasi Tanah HGU Sugar Group Companies,FALSE,2021-07-05 01:11:50,33056,archive,show,324,2021-07-05 01:11:50,"[{'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'main': 'Review Yus Konflik Lahan.pdf', 'docid': 150808, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/391492', 'filename': 'Review Yus Konflik Lahan.pdf', 'objectid': 150808, 'filesize': 314121, 'mtime': '2021-07-02 08:25:28', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'hash': '297d35ae2a52b03f92168866fc4ea358', 'fileid': 391492, 'datasetid': 'document'}], 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/150808', 'security': 'public', 'placement': 1, 'eprintid': 33056}]",['FH1'],CV. Cita Inttans Selaras Wisma Kalimetro,,disk0/00/03/30/56,public,2021-07-05 01:11:50,pub,7,['K1'],Hasil Penilaian Sejawat Sebidang atau Peer Review,http://repository.lppm.unila.ac.id/id/eprint/33056,2017-12-01 00:00:00.000000000,,,,,,,,Konflik Lahan Perkebunan Mengungkap Perjuangan Rakyat Melawan Kooptasi Tanah HGU Sugar Group Companies,,,,,,,,
14,book_section,"[{'name': {'lineage': None, 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'honourific': None, 'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali'}}]",Pengantar Hukum Internasional Teknologi Informasi Internasional,FALSE,2022-02-22 01:08:19,39680,archive,show,276,2022-02-22 01:08:19,"[{'format': 'text', 'main': 'Pengantar Hukum Internasional Teknologi Informasi Internasional.pdf', 'files': [{'objectid': 160956, 'filesize': 1557649, 'filename': 'Pengantar Hukum Internasional Teknologi Informasi Internasional.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/445207', 'hash_type': 'MD5', 'mtime': '2022-02-21 10:34:27', 'datasetid': 'document', 'fileid': 445207, 'hash': '409c3310280787229ab84fdcd59e3e44', 'mime_type': 'application/pdf'}], 'docid': 160956, 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 39680, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/160956', 'pos': 1}]",['FH1'],ZAM-ZAM TOWER,,disk0/00/03/96/80,public,2022-02-22 01:08:19,pub,7,['K1'],,http://repository.lppm.unila.ac.id/id/eprint/39680,1970-01-01 00:00:00.000002017,,,,,,,,Pengantar Hukum Internasional Teknologi Informasi Internasional,,,,,,,,
15,book_section,"[{'name': {'lineage': None, 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'honourific': None, 'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali'}}]",Pengantar Hukum Teknologi Informasi Internasional,FALSE,2022-02-22 02:14:21,39707,archive,show,276,2022-02-22 02:14:21,"[{'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'format': 'text', 'files': [{'mime_type': 'application/pdf', 'hash': '67c7e71b8b082cab11aeee7fd4eb92c0', 'fileid': 445457, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/445457', 'filename': 'Reviewer PHTI.pdf', 'objectid': 160984, 'filesize': 494612, 'mtime': '2022-02-22 01:29:30', 'hash_type': 'MD5'}], 'main': 'Reviewer PHTI.pdf', 'docid': 160984, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/160984', 'pos': 1, 'eprintid': 39707, 'placement': 1}]",['FH1'],Zam-zam Tower,,disk0/00/03/97/07,public,2022-02-22 02:14:21,pub,7,['K1'],Hasil Penilaian Sejawat Sebidang atau Peer Review,http://repository.lppm.unila.ac.id/id/eprint/39707,1970-01-01 00:00:00.000002017,,,,,,,,Pengantar Hukum Teknologi Informasi Internasional,,,,,,,,
16,conference_item,"[{'name': {'given': 'S.H., M.H', 'honourific': None, 'family': 'Amnawaty', 'lineage': None}, 'id': 'amnawaty@yahoo.com'}]",Implementasi Gadai Emas Syariah sebagai Alternatif Pembiayaan bagi Masyarakat Indonesia,FALSE,2019-12-16 02:56:43,17315,archive,show,955,2019-12-16 02:56:43,"[{'format': 'text', 'main': 'Review Amnawati Implementasi Gadai Emas Syariah.pdf', 'files': [{'hash': 'ce9bfbe07eccd97245ce6ad99efb8fde', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 146569, 'filename': 'Review Amnawati Implementasi Gadai Emas Syariah.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/146569', 'objectid': 30425, 'filesize': 472784, 'mtime': '2019-12-13 07:30:49', 'hash_type': 'MD5'}], 'docid': 30425, 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'eprintid': 17315, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/30425'}]",['FH1'],,,disk0/00/01/73/15,public,2019-12-16 02:56:43,pub,7,['K1'],Hasil Penilaian Sejawat Sebidang atau Peer Review,http://repository.lppm.unila.ac.id/id/eprint/17315,2017-02-01 00:00:00.000000000,paper,746-756,conference,Seminar Internasional Center for Islamic Philanthropy and Social Finance (CIPSF) University Teknologi Mara Malaka Malaysia,Malaysia,February 2017,,,,,published,,,,,
17,conference_item,"[{'name': {'given': 'Budiyono', 'lineage': None, 'family': 'Budiyono', 'honourific': None}}]",Formula of Local Regulation on Legal Aid For The Poor as an Effort to Fulfillment of Equality Before the Law Rights,FALSE,2019-12-26 02:49:19,17390,archive,show,561,2019-12-26 02:49:19,"[{'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'files': [{'mime_type': 'application/pdf', 'hash': '07028703e81ae5c2c8925759908f31ff', 'datasetid': 'document', 'fileid': 147137, 'mtime': '2019-12-23 04:31:40', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/147137', 'filename': 'Formula_of_Local_Regulation_on_Legal_Aid_for_the_P.pdf', 'objectid': 30507, 'filesize': 2922255}], 'main': 'Formula_of_Local_Regulation_on_Legal_Aid_for_the_P.pdf', 'docid': 30507, 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/30507', 'security': 'public', 'placement': 1, 'eprintid': 17390}]",['FH1'],,,disk0/00/01/73/90,public,2019-12-26 02:49:19,pub,7,['K1'],Hasil Similarity Check,http://repository.lppm.unila.ac.id/id/eprint/17390,1970-01-01 00:00:00.000002017,paper,12-16,conference,IISTE,,,,,,,,,,,,
18,article,"[{'name': {'honourific': None, 'family': 'Budiyono', 'lineage': None, 'given': 'Budiyono'}}]",Formula of Local Regulation on Legal Aid For The Poor as an Effort to Fulfillment of Equality Before the Law Rights,FALSE,2020-01-08 03:15:04,17464,archive,show,561,2020-01-08 03:15:04,"[{'main': 'budiyono,.formula of local requalition on legal.pdf', 'files': [{'hash_type': 'MD5', 'mtime': '2020-01-03 06:48:04', 'filesize': 2945325, 'objectid': 30592, 'uri': 'http://repository.lppm.unila.ac.id/id/file/147726', 'filename': 'budiyono,.formula of local requalition on legal.pdf', 'fileid': 147726, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': '3680f40983a5f01c3f625f6734998a73'}], 'docid': 30592, 'format': 'text', 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'placement': 1, 'eprintid': 17464, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/30592', 'security': 'public'}]",['FH1'],IISTE,Public Policy and Administration Research,disk0/00/01/74/64,public,2020-01-08 03:15:04,pub,6,['K1'],,http://repository.lppm.unila.ac.id/id/eprint/17464,1970-01-01 00:00:00.000002017,,12-16,,,,,,,,,,ISSN 2224-5731(Paper) ISSN 2225-0972(Online),,,,
19,article,"[{'name': {'lineage': None, 'family': 'Budiyono', 'honourific': None, 'given': 'Budiyono'}}]",Formula of Local Regulation on Legal Aid For The Poor as an Effort to Fulfillment of Equality Before the Law Rights,FALSE,2020-01-08 03:15:23,17468,archive,show,561,2020-01-08 03:15:23,"[{'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/30595', 'security': 'public', 'placement': 1, 'eprintid': 17468, 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'main': 'Formula_of_Local_Regulation_on_Legal_Aid_for_the_P.pdf', 'files': [{'hash': '07028703e81ae5c2c8925759908f31ff', 'mime_type': 'application/pdf', 'fileid': 147745, 'datasetid': 'document', 'filename': 'Formula_of_Local_Regulation_on_Legal_Aid_for_the_P.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/147745', 'filesize': 2922255, 'objectid': 30595, 'mtime': '2020-01-03 07:06:47', 'hash_type': 'MD5'}], 'docid': 30595, 'format': 'text'}]",['FH1'],IISTE,Public Policy and Administration Research,disk0/00/01/74/68,public,2020-01-08 03:15:23,pub,6,['K1'],Hasil Similarity Check,http://repository.lppm.unila.ac.id/id/eprint/17468,1970-01-01 00:00:00.000002017,,,,,,,,,,,,2225-0972,,,,
