,metadata_visibility,datestamp,eprintid,eprint_status,lastmod,documents,userid,title,refereed,creators,pres_type,type,subjects,event_title,uri,date,event_type,divisions,dir,ispublished,rev_number,full_text_status,status_changed,abstract,pagerange,publisher,publication,issn,date_type,patent_applicant,id_number,book_title,event_dates,event_location,volume,number,corp_creators,contributors,official_url,keywords,funders,related_url,succeeds
10,show,2021-04-05 04:51:56,28857,archive,2021-04-05 04:51:56,"[{'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'format': 'text', 'main': 'sertifikat_EC00201853978.pdf', 'docid': 42949, 'files': [{'datasetid': 'document', 'fileid': 256031, 'mime_type': 'application/pdf', 'hash': '89199d888747e94386dbe566275ecbd3', 'objectid': 42949, 'filesize': 768343, 'uri': 'http://repository.lppm.unila.ac.id/id/file/256031', 'filename': 'sertifikat_EC00201853978.pdf', 'hash_type': 'MD5', 'mtime': '2021-04-05 04:05:38'}], 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/42949', 'eprintid': 28857, 'placement': 1}]",955,"EC00201853978, Pembaharuan Hukum Perkawinan Indonesia dan Globalisasi",,"[{'id': '<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">amnawaty@yahoo.com</font></font>', 'name': {'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'lineage': None, 'honourific': None, 'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali'}}]",,patent,['K1'],,http://repository.lppm.unila.ac.id/id/eprint/28857,2018-11-01 00:00:00.000000000,,['FH1'],disk0/00/02/88/57,pub,7,public,2021-04-05 04:51:56,,,,,,submitted,LPPM UNILA,EC00201853978,,,,,,,,,,,,
11,show,2021-04-05 04:51:58,28858,archive,2021-04-05 04:51:58,"[{'main': 'sertifikat_EC00201853980.pdf', 'docid': 42950, 'files': [{'mime_type': 'application/pdf', 'hash': '805b9adc7edf494906de5fb6ec2b23c6', 'datasetid': 'document', 'fileid': 256039, 'filename': 'sertifikat_EC00201853980.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/256039', 'objectid': 42950, 'filesize': 768616, 'mtime': '2021-04-05 04:07:13', 'hash_type': 'MD5'}], 'format': 'text', 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'placement': 1, 'eprintid': 28858, 'uri': 'http://repository.lppm.unila.ac.id/id/document/42950', 'pos': 1, 'security': 'public'}]",955,"EC00201853980,  Penetapan TAP MPR No. 6/2001 tentang Arah Kebijakan dan Rekomendasi Pemberantasan KKN dan TAP MPR No. 8/2001 tentang Etika Kehidupan Berbangsa dalam Sinergitas Antara Hukum dan Moral",,"[{'id': '<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">amnawaty@yahoo.com</font></font>', 'name': {'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'honourific': None, 'lineage': None, 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali'}}]",,patent,['K1'],,http://repository.lppm.unila.ac.id/id/eprint/28858,2018-11-01 00:00:00.000000000,,['FH1'],disk0/00/02/88/58,pub,7,public,2021-04-05 04:51:58,,,,,,submitted,LPPM UNILA,EC00201853980,,,,,,,,,,,,
12,show,2021-04-05 04:51:48,28854,archive,2021-04-05 04:51:48,"[{'placement': 1, 'eprintid': 28854, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/42946', 'security': 'public', 'docid': 42946, 'main': 'sertifikat_EC00201853985.pdf', 'files': [{'fileid': 256008, 'datasetid': 'document', 'hash': 'e4e3770dbaf607b69ce521312372e144', 'mime_type': 'application/pdf', 'filesize': 768610, 'objectid': 42946, 'filename': 'sertifikat_EC00201853985.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/256008', 'hash_type': 'MD5', 'mtime': '2021-04-05 04:00:52'}], 'format': 'text', 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1}]",955,"EC00201853985, Hukum Acara Peradilan Agama",,"[{'id': '<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">amnawaty@yahoo.com</font></font>', 'name': {'lineage': None, 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'honourific': None, 'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali'}}]",,patent,['K1'],,http://repository.lppm.unila.ac.id/id/eprint/28854,2018-11-01 00:00:00.000000000,,['FH1'],disk0/00/02/88/54,pub,7,public,2021-04-05 04:51:48,,,,,,submitted,LPPM UNILA,EC00201853985,,,,,,,,,,,,
13,show,2021-06-08 08:21:21,32303,archive,2021-06-08 08:21:21,"[{'eprintid': 32303, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/146503', 'format': 'text', 'main': 'reviewer hukum birokrasi.pdf', 'files': [{'objectid': 146503, 'filesize': 355519, 'filename': 'reviewer hukum birokrasi.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/382299', 'hash_type': 'MD5', 'mtime': '2021-06-08 07:39:57', 'fileid': 382299, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': '172a3edf065100da891e737b747fa2fc'}], 'docid': 146503, 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf'}]",807,Hukum Birokrasi Peradilan Pidana,FALSE,"[{'id': '<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">maroniunila@gmail.com</font></font>', 'name': {'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'honourific': None, 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'lineage': None}}]",,book_section,['K1'],,http://repository.lppm.unila.ac.id/id/eprint/32303,2018-08-01 00:00:00.000000000,,['FH1'],disk0/00/03/23/03,pub,7,public,2021-06-08 08:21:21,Hasil Penilaian Sejawat Sebidang atau Peer Review,,AURA CV. Anugrah Utama Raharja Angota IKAPI,,,,,,Hukum Birokrasi Peradilan Pidana,,,,,,,,,,,
14,show,2021-06-24 08:08:27,32833,archive,2021-06-24 08:08:27,"[{'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/149595', 'eprintid': 32833, 'placement': 1, 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'format': 'text', 'main': 'sertifikat_EC00201813398.pdf', 'docid': 149595, 'files': [{'mtime': '2021-06-24 07:16:48', 'hash_type': 'MD5', 'filename': 'sertifikat_EC00201813398.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/388787', 'objectid': 149595, 'filesize': 768450, 'mime_type': 'application/pdf', 'hash': 'aba3287d81e23590eb0a75dd143beb9c', 'datasetid': 'document', 'fileid': 388787}]}]",1065,Hukum Desentralisasi Keuangan,,"[{'name': {'honourific': None, 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'lineage': None, 'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali'}}]",,patent,['K1'],,http://repository.lppm.unila.ac.id/id/eprint/32833,1970-01-01 00:00:00.000002018,,['FH1'],disk0/00/03/28/33,pub,7,public,2021-06-24 08:08:27,,,,,,submitted,LPPM UNILA,EC00201813398,,,,,,,,,,,,
15,show,2021-06-24 08:28:23,32840,archive,2021-06-24 08:28:23,"[{'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'format': 'text', 'main': 'sertifikat_EC00201813398.pdf', 'files': [{'hash': 'aba3287d81e23590eb0a75dd143beb9c', 'mime_type': 'application/pdf', 'fileid': 388866, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/388866', 'filename': 'sertifikat_EC00201813398.pdf', 'filesize': 768450, 'objectid': 149632, 'mtime': '2021-06-24 08:10:21', 'hash_type': 'MD5'}], 'docid': 149632, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/149632', 'pos': 1, 'eprintid': 32840, 'placement': 1}]",1065,Hukum Desentralisasi Keuangan,,"[{'name': {'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'lineage': None, 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'honourific': None}}]",,patent,['K1'],,http://repository.lppm.unila.ac.id/id/eprint/32840,1970-01-01 00:00:00.000002018,,['FH1'],disk0/00/03/28/40,pub,8,public,2021-06-24 08:28:23,Hasil Penilaian Sejawat Sebidang atau Peer Review,,,,,submitted,LPPM UNILA,EC00201813398,,,,,,,,,,,,
16,show,2021-06-24 08:28:29,32842,archive,2021-06-24 08:28:29,"[{'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'docid': 149634, 'main': 'Review Haki Hukum Desentralisasi.pdf', 'files': [{'datasetid': 'document', 'fileid': 388881, 'mime_type': 'application/pdf', 'hash': 'c3d4c6c47aecbc925e4f870fa83500ca', 'objectid': 149634, 'filesize': 289080, 'filename': 'Review Haki Hukum Desentralisasi.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/388881', 'hash_type': 'MD5', 'mtime': '2021-06-24 08:15:09'}], 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/149634', 'security': 'public', 'placement': 1, 'eprintid': 32842}]",1065,Hukum Desentralisasi Keuangan,,"[{'name': {'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'lineage': None, 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'honourific': None}}]",,patent,['K1'],,http://repository.lppm.unila.ac.id/id/eprint/32842,1970-01-01 00:00:00.000002018,,['FH1'],disk0/00/03/28/42,pub,7,public,2021-06-24 08:28:29,Hasil Penialian Sejawat Sebidang atau Peer Review,,,,,submitted,LPPM UNILA,EC00201813398,,,,,,,,,,,,
17,show,2022-02-21 04:43:23,39656,archive,2022-02-21 04:43:23,"[{'docid': 160932, 'main': 'Hukum Desentralisasi Keuangan.pdf', 'files': [{'hash': '50f2f106d30fc5fc510aaa8df9d86f27', 'mime_type': 'application/pdf', 'fileid': 445032, 'datasetid': 'document', 'filename': 'Hukum Desentralisasi Keuangan.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/445032', 'filesize': 24805485, 'objectid': 160932, 'mtime': '2022-02-21 02:55:05', 'hash_type': 'MD5'}], 'format': 'text', 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'placement': 1, 'eprintid': 39656, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/160932', 'security': 'public'}]",1065,Hukum Desentralisasi Keuangan,,"[{'name': {'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'honourific': None, 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'lineage': None}}]",,patent,['K1'],,http://repository.lppm.unila.ac.id/id/eprint/39656,1970-01-01 00:00:00.000002018,,['FH1'],disk0/00/03/96/56,pub,7,public,2022-02-21 04:43:23,,,,,,published,LPPM UNILA,EC00201813398,,,,,,,,,,,,
18,show,2022-02-21 04:43:25,39657,archive,2022-02-21 04:43:25,"[{'eprintid': 39657, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/160933', 'pos': 1, 'format': 'text', 'main': 'Hukum Pajak Daerah Posisi Undang-undang Pajak Daerah.pdf', 'files': [{'hash_type': 'MD5', 'mtime': '2022-02-21 02:58:22', 'objectid': 160933, 'filesize': 9891864, 'uri': 'http://repository.lppm.unila.ac.id/id/file/445039', 'filename': 'Hukum Pajak Daerah Posisi Undang-undang Pajak Daerah.pdf', 'datasetid': 'document', 'fileid': 445039, 'mime_type': 'application/pdf', 'hash': '1ae98bdf6674f9f3dea4e30970d74755'}], 'docid': 160933, 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1}]",1065,Hukum Pajak Daerah : Posisi Undang-undang Pajak Daerah dan Retribusi Daerah dalam Penyelenggara Pemerintah Daerah,,"[{'name': {'lineage': None, 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'honourific': None, 'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali'}}]",,patent,['K1'],,http://repository.lppm.unila.ac.id/id/eprint/39657,1970-01-01 00:00:00.000002018,,['FH1'],disk0/00/03/96/57,pub,7,public,2022-02-21 04:43:25,,,,,,published,LPPM UNILA,EC00201813399,,,,,,,,,,,,
19,show,2021-06-24 08:08:29,32834,archive,2021-06-24 08:08:29,"[{'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'format': 'text', 'files': [{'filesize': 768718, 'objectid': 149596, 'filename': 'sertifikat_EC00201813399.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/388794', 'hash_type': 'MD5', 'mtime': '2021-06-24 07:18:55', 'datasetid': 'document', 'fileid': 388794, 'hash': '54d780fe5849c646087868af835f2edb', 'mime_type': 'application/pdf'}], 'main': 'sertifikat_EC00201813399.pdf', 'docid': 149596, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/149596', 'pos': 1, 'eprintid': 32834, 'placement': 1}]",1065,Hukum Pajak Daerah : Posisi Undang-undang Pajak Daerah dan Retribusi Daerah dalam Penyelenggara Pemerintah Daerah,,"[{'name': {'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'lineage': None, 'honourific': None, 'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali'}}]",,patent,['K1'],,http://repository.lppm.unila.ac.id/id/eprint/32834,1970-01-01 00:00:00.000002018,,['FH1'],disk0/00/03/28/34,pub,7,public,2021-06-24 08:08:29,,,,,,submitted,LPPM UNILA,EC00201813399,,,,,,,,,,,,
