,monograph_type,subjects,abstract,uri,date,divisions,publisher,dir,status_changed,full_text_status,ispublished,rev_number,eprint_status,eprintid,datestamp,metadata_visibility,userid,documents,lastmod,creators,type,title,book_title,refereed,publication,isbn,pagerange,pages,place_of_pub,institution,event_type,event_title,event_dates,pres_type,event_location
10,,['K1'],Penilaian Sejawat Sebidang atau Peer Review,http://repository.lppm.unila.ac.id/id/eprint/17701,2014-09-01 00:00:00.000000000,['FH1'],Indepth Publishing,disk0/00/01/77/01,2020-02-03 02:29:37,public,pub,7,archive,17701,2020-02-03 02:29:37,show,697,"[{'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'format': 'text', 'docid': 30823, 'main': 'peer review rudi Langkah Lampung.pdf', 'files': [{'fileid': 149384, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': 'd626c9afec29f686f9457986919b9660', 'filesize': 129541, 'objectid': 30823, 'uri': 'http://repository.lppm.unila.ac.id/id/file/149384', 'filename': 'peer review rudi Langkah Lampung.pdf', 'hash_type': 'MD5', 'mtime': '2020-01-28 00:33:52'}], 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/30823', 'eprintid': 17701, 'placement': 1}]",2020-02-03 02:29:37,"[{'name': {'given': 'Rudi Natamiharja', 'lineage': None, 'family': 'Rudi Natamiharja', 'honourific': None}, 'id': 'rudi.natamiharja@unila.fh.ac.id'}]",book_section,Langkah Lampung Meningkatkan Kerjasama Luar Negeri,Bookchapter,FALSE,,,132-134,,,,,,,,
11,,['K1'],Hasil Check Similarity,http://repository.lppm.unila.ac.id/id/eprint/17840,1970-01-01 00:00:00.000002014,['FH1'],IISTE USA,disk0/00/01/78/40,2020-02-06 05:23:08,public,pub,6,archive,17840,2020-02-06 05:23:08,show,347,"[{'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/30961', 'eprintid': 17840, 'placement': 1, 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'format': 'text', 'docid': 30961, 'main': 'Article Impact Assessment Local Regulations that Pro Poor Character as an Instrument Society Transformation.pdf', 'files': [{'mime_type': 'application/pdf', 'hash': 'c40f396abafddc41a55a63b58d33f7af', 'fileid': 150312, 'datasetid': 'document', 'mtime': '2020-01-31 06:45:05', 'hash_type': 'MD5', 'filename': 'Article Impact Assessment Local Regulations that Pro Poor Character as an Instrument Society Transformation.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/150312', 'filesize': 2592973, 'objectid': 30961}]}]",2020-02-06 05:23:08,"[{'name': {'given': 'Rudy', 'lineage': None, 'family': 'Rudy', 'honourific': None}, 'id': 'rudy.1981@fh.unila.ac.id'}]",article,Article Impact Assessment Local Regulations That Pro Poor Character as an Instrument Society Transformation,,FALSE,Jurnal Public Policy and Administration Research,,,,,,,,,,
12,,['K1'],,http://repository.lppm.unila.ac.id/id/eprint/17419,2014-02-01 00:00:00.000000000,['FH1'],Indefth Publishing PPKPHAM Bandar Lampung,disk0/00/01/74/19,2020-01-14 01:24:12,public,pub,7,archive,17419,2020-01-14 01:24:12,show,347,"[{'placement': 1, 'eprintid': 17419, 'uri': 'http://repository.lppm.unila.ac.id/id/document/30545', 'pos': 1, 'security': 'public', 'files': [{'filesize': 5550597, 'objectid': 30545, 'filename': '(2014) Article Impact Assesment Mendorong Perda yang Memihan si Miskin.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/147386', 'hash_type': 'MD5', 'mtime': '2019-12-27 02:09:53', 'datasetid': 'document', 'fileid': 147386, 'hash': '228204115f70b6a0049924433cccd46f', 'mime_type': 'application/pdf'}], 'main': '(2014) Article Impact Assesment Mendorong Perda yang Memihan si Miskin.pdf', 'docid': 30545, 'format': 'text', 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1}]",2020-01-14 01:24:12,"[{'name': {'honourific': None, 'lineage': None, 'family': 'Rudy', 'given': 'Rudy'}, 'id': 'rudy.1981@fh.unila.ac.id'}]",book_section,Article Impact Assessment Mendorong Perda yang Memihak si Miskin,Buku Referensi,FALSE,,,1-84,,,,,,,,
13,,['K1'],Hasil penilaian sejawat sebidang atau peer review,http://repository.lppm.unila.ac.id/id/eprint/17804,2014-02-01 00:00:00.000000000,['FH1'],Indepth Publishing PPKPHAM Bandar Lampung,disk0/00/01/78/04,2020-02-06 05:21:10,public,pub,7,archive,17804,2020-02-06 05:21:10,show,347,"[{'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'format': 'text', 'files': [{'mtime': '2020-01-30 04:10:33', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/150040', 'filename': 'peer review rudy article impact assessement Mendorong.pdf', 'filesize': 130038, 'objectid': 30921, 'mime_type': 'application/pdf', 'hash': '10e945775f982e539f91bd83fcd70c70', 'fileid': 150040, 'datasetid': 'document'}], 'main': 'peer review rudy article impact assessement Mendorong.pdf', 'docid': 30921, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/30921', 'pos': 1, 'eprintid': 17804, 'placement': 1}]",2020-02-06 05:21:10,"[{'id': 'rudy.1981@fh.unila.ac.id', 'name': {'lineage': None, 'family': 'Rudy', 'honourific': None, 'given': 'Rudy'}}]",book,Article Impact Assessment Mendorong Perda yang Memihak si Miskin,,FALSE,,,,,,,,,,,
14,,['K1'],,http://repository.lppm.unila.ac.id/id/eprint/17500,2014-05-01 00:00:00.000000000,['FH1'],Lecture Books PT. Nagakusuma Media Kreatif,disk0/00/01/75/00,2020-01-14 02:50:11,public,pub,7,archive,17500,2020-01-14 02:50:11,show,347,"[{'docid': 30628, 'main': '18_Dinamika Sengketa Pemilukada di Indonesia(1).pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/147949', 'filename': '18_Dinamika Sengketa Pemilukada di Indonesia(1).pdf', 'filesize': 1595468, 'objectid': 30628, 'mtime': '2020-01-06 07:27:41', 'hash_type': 'MD5', 'hash': 'c0d3e6feae93366129ceb3e5bc96fe59', 'mime_type': 'application/pdf', 'fileid': 147949, 'datasetid': 'document'}], 'format': 'text', 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'placement': 1, 'eprintid': 17500, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/30628', 'security': 'public'}]",2020-01-14 02:50:11,"[{'name': {'family': 'Rudy', 'lineage': None, 'honourific': None, 'given': 'Rudy'}, 'id': 'rudy.1981@fh.unila.ac.id'}]",book,Dinamika Sengketa Pemilukada di Indonesia,,FALSE,,978-602-1379-07-3,,120.0,Jakarta Timur,,,,,,
15,,['K1'],Hasil Check Similarity,http://repository.lppm.unila.ac.id/id/eprint/17841,1970-01-01 00:00:00.000002014,['FH1'],David Publishing Company,disk0/00/01/78/41,2020-02-06 05:23:10,public,pub,6,archive,17841,2020-02-06 05:23:10,show,347,"[{'main': 'FILLING THE LEGAL GAP IN INDONESIA_ STRENGTHENING THE LOCAL LEGISLATION ON NATIONAL STRATEGIC AREA OF SUNDA STRAIT.pdf', 'files': [{'fileid': 150318, 'datasetid': 'document', 'hash': '6556b412760f25ea291ff2dfe1c69b34', 'mime_type': 'application/pdf', 'objectid': 30962, 'filesize': 3009404, 'uri': 'http://repository.lppm.unila.ac.id/id/file/150318', 'filename': 'FILLING THE LEGAL GAP IN INDONESIA_ STRENGTHENING THE LOCAL LEGISLATION ON NATIONAL STRATEGIC AREA OF SUNDA STRAIT.pdf', 'hash_type': 'MD5', 'mtime': '2020-01-31 06:49:16'}], 'docid': 30962, 'format': 'text', 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'placement': 1, 'eprintid': 17841, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/30962', 'security': 'public'}]",2020-02-06 05:23:10,"[{'id': 'rudy.1981@fh.unila.ac.id', 'name': {'given': 'Rudy', 'lineage': None, 'family': 'Rudy', 'honourific': None}}]",article,Filling The Legal Gap In Indonesia: Strengthening The Local Legislation On National Strategic Area Of Sunda Strait,,FALSE,Jurnal US-China Law Review,,855-865,,,,,,,,
16,discussion_paper,['K1'],,http://repository.lppm.unila.ac.id/id/eprint/17489,2014-09-01 00:00:00.000000000,['FH1'],Indepth Publishing,disk0/00/01/74/89,2020-01-14 02:47:34,public,pub,7,archive,17489,2020-01-14 02:47:34,show,347,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/30617', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 17489, 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'main': '4_DARI OEDIN KE RIDHO.pdf', 'docid': 30617, 'files': [{'hash': 'bb7434222a3886d68ec63b58d065e200', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 147875, 'filename': '4_DARI OEDIN KE RIDHO.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/147875', 'filesize': 36806445, 'objectid': 30617, 'mtime': '2020-01-06 02:35:24', 'hash_type': 'MD5'}], 'format': 'text'}]",2020-01-14 02:47:34,"[{'name': {'given': 'Rudy', 'lineage': None, 'family': 'Rudy', 'honourific': None}, 'id': 'rudy.1981@fh.unila.ac.id'}]",monograph,Gubernur dan Paradigma Barau Pembangunan Hukum di Lampung dalam Buku dari Oedin ke Rido,,,,,,67.0,Bandar Lampung,,,,,,
17,discussion_paper,['K1'],,http://repository.lppm.unila.ac.id/id/eprint/17487,2014-01-01 00:00:00.000000000,['FH1'],PKKPUU dan Bagian Hukum Internasional Fakultas Hukum Universitas Lampung,disk0/00/01/74/87,2020-01-14 02:41:47,public,pub,7,archive,17487,2020-01-14 02:41:47,show,347,"[{'format': 'text', 'main': '3_DIMENSI HUKUM INTERNASIONAL.pdf', 'files': [{'mtime': '2020-01-06 02:29:41', 'hash_type': 'MD5', 'filename': '3_DIMENSI HUKUM INTERNASIONAL.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/147861', 'objectid': 30614, 'filesize': 29695930, 'hash': '70f1b1ad0018be40b9eec86efab09785', 'mime_type': 'application/pdf', 'fileid': 147861, 'datasetid': 'document'}], 'docid': 30614, 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'eprintid': 17487, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/30614'}]",2020-01-14 02:41:47,"[{'id': 'rudy.1981@fh.unila.ac.id', 'name': {'given': 'Rudy', 'lineage': None, 'family': 'Rudy', 'honourific': None}}]",monograph,Kewenangan Mahkamah Konstitusi dalam Melakukan Pengujian terhadap Undang-Undang Hasil Ratifikasi Perjanjian Internasional,,,,,,,Bandar Lampung,Universitas Lampung,,,,,
18,discussion_paper,['K1'],,http://repository.lppm.unila.ac.id/id/eprint/17478,2014-12-01 00:00:00.000000000,['FH1'],Sai Wawai Publishing,disk0/00/01/74/78,2020-01-14 02:41:39,public,pub,7,archive,17478,2020-01-14 02:41:39,show,347,"[{'docid': 30605, 'main': 'rudy menguatkan rezimnegara kepulauan.pdf', 'files': [{'datasetid': 'document', 'fileid': 147810, 'mime_type': 'application/pdf', 'hash': '6aaef83f3abf10d39f920d6c304957c6', 'hash_type': 'MD5', 'mtime': '2020-01-03 08:52:27', 'objectid': 30605, 'filesize': 9452274, 'uri': 'http://repository.lppm.unila.ac.id/id/file/147810', 'filename': 'rudy menguatkan rezimnegara kepulauan.pdf'}], 'format': 'text', 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'placement': 1, 'eprintid': 17478, 'uri': 'http://repository.lppm.unila.ac.id/id/document/30605', 'pos': 1, 'security': 'public'}]",2020-01-14 02:41:39,"[{'name': {'honourific': None, 'family': 'Rudy', 'lineage': None, 'given': 'Rudy'}, 'id': 'rudy.1981@fh.unila.ac.id'}]",monograph,Menguatkan Rezim Negara Kepulauan,,,,,,13.0,Bandar Lampung,,,,,,
19,,['K1'],,http://repository.lppm.unila.ac.id/id/eprint/18529,2014-12-01 00:00:00.000000000,['FH1'],Sai Wawai Publishing,disk0/00/01/85/29,2020-03-12 03:54:09,public,pub,7,archive,18529,2020-03-12 03:54:09,show,347,"[{'eprintid': 18529, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/31683', 'pos': 1, 'format': 'text', 'main': 'rudy menguatkan rezimnegara kepulauan.pdf', 'files': [{'datasetid': 'document', 'fileid': 155692, 'hash': 'c2ba783c8853155897c6ea18493d5757', 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2020-03-10 06:29:37', 'filesize': 9452769, 'objectid': 31683, 'uri': 'http://repository.lppm.unila.ac.id/id/file/155692', 'filename': 'rudy menguatkan rezimnegara kepulauan.pdf'}], 'docid': 31683, 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf'}]",2020-03-12 03:54:09,"[{'name': {'given': 'Rudy', 'honourific': None, 'lineage': None, 'family': 'Rudy'}, 'id': 'rudy.1981@fh.unila.ac.id'}]",book_section,Menguatkan Rezim Negara Kepulauan,Membangun Pradigma Kemaritiman Indonesia,FALSE,,,216-226,,,,,,,,
