,metadata_visibility,eprint_status,eprintid,datestamp,documents,lastmod,userid,refereed,title,type,creators,subjects,uri,date,abstract,divisions,publisher,publication,dir,ispublished,rev_number,status_changed,full_text_status,pagerange,id_number,patent_applicant,date_type,book_title,isbn,pages,place_of_pub,monograph_type,institution,event_location,pres_type,event_dates,event_title,event_type,number,issn,volume,contact_email,official_url,funders,related_url,projects,corp_creators
10,show,archive,27100,2020-12-15 03:26:07,"[{'eprintid': 27100, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/41111', 'pos': 1, 'format': 'text', 'files': [{'fileid': 242898, 'datasetid': 'document', 'hash': '1642f289394369bae039261834935ac5', 'mime_type': 'application/pdf', 'objectid': 41111, 'filesize': 145632, 'filename': 'Review Peranan Piagam Pembentukan Wilayah.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/242898', 'hash_type': 'MD5', 'mtime': '2020-12-15 03:03:17'}], 'main': 'Review Peranan Piagam Pembentukan Wilayah.pdf', 'docid': 41111, 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf'}]",2020-12-15 03:26:07,697,FALSE,Peranan Piagam Pembentukan Wilayah Regional dalam rangka Penguatan terhadap Lingkungan Hidup (Studi terhadap Piagam Pembentukan Uni Eropa),book_section,"[{'id': 'rudi.natamiharja@unila.fh.ac.id', 'name': {'honourific': None, 'lineage': None, 'family': 'Rudi Natamiharja', 'given': 'Rudi Natamiharja'}}]",['K1'],http://repository.lppm.unila.ac.id/id/eprint/27100,2015-02-01 00:00:00.000000000,Hasil Penilaian Sejawat Sebidang atau Peer Review,['FH1'],Indepth Publishing,,disk0/00/02/71/00,pub,7,2020-12-15 03:26:07,public,,,,,(Studi terhadap Piagam Pembentukan Uni Eropa),,,,,,,,,,,,,,,,,,,
11,show,archive,17493,2020-01-14 02:47:38,"[{'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'format': 'text', 'main': '6_DINAMIKA HUKUM LINGKUNGAN.pdf', 'docid': 30621, 'files': [{'datasetid': 'document', 'fileid': 147906, 'mime_type': 'application/pdf', 'hash': 'dafa0a0263c607309e7a9cc52d4b7c89', 'hash_type': 'MD5', 'mtime': '2020-01-06 02:56:29', 'filesize': 35707347, 'objectid': 30621, 'filename': '6_DINAMIKA HUKUM LINGKUNGAN.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/147906'}], 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/30621', 'pos': 1, 'eprintid': 17493, 'placement': 1}]",2020-01-14 02:47:38,347,,Dari Putusan Hijau Mahkamah Konstitusi ke Green (Reflaksi Dinamika Putusan MK danPenguatan Perlindungan Konstitusional dalam UUD 1945,monograph,"[{'id': 'rudy.1981@fh.unila.ac.id', 'name': {'given': 'Rudy', 'lineage': None, 'family': 'Rudy', 'honourific': None}}]",['K1'],http://repository.lppm.unila.ac.id/id/eprint/17493,2015-02-01 00:00:00.000000000,,['FH1'],Indepth Publishing,,disk0/00/01/74/93,pub,7,2020-01-14 02:47:38,public,,,,,,,10.0,Bandar Lampung,discussion_paper,,,,,,,,,,,,,,,
12,show,archive,17431,2020-01-14 01:26:19,"[{'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'format': 'text', 'files': [{'fileid': 147465, 'datasetid': 'document', 'hash': '61194b901da4220eb0c0941076044273', 'mime_type': 'application/pdf', 'objectid': 30556, 'filesize': 9367444, 'uri': 'http://repository.lppm.unila.ac.id/id/file/147465', 'filename': 'nu mengawal zaman(1).pdf', 'hash_type': 'MD5', 'mtime': '2019-12-27 08:11:45'}], 'main': 'nu mengawal zaman(1).pdf', 'docid': 30556, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/30556', 'pos': 1, 'eprintid': 17431, 'placement': 1}]",2020-01-14 01:26:19,347,,Dinamika Perubahan NU dalam Mengawal Zaman,monograph,"[{'name': {'given': 'Rudy', 'honourific': None, 'family': 'Rudy', 'lineage': None}, 'id': 'rudy.1981@fh.unila.ac.id'}]",['K1'],http://repository.lppm.unila.ac.id/id/eprint/17431,2015-12-01 00:00:00.000000000,,['FH1'],Lajnah Ta'lif  Wan Nasyr (LTN) PWNU Lampung,,disk0/00/01/74/31,pub,7,2020-01-14 01:26:19,public,,,,,,,13.0,,manual,,,,,,,,,,,,,,,
13,show,archive,18534,2020-03-12 03:54:13,"[{'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'format': 'text', 'files': [{'fileid': 155733, 'datasetid': 'document', 'hash': '63b62a558a77723a3b974147da2818e4', 'mime_type': 'application/pdf', 'filesize': 2124043, 'objectid': 31690, 'uri': 'http://repository.lppm.unila.ac.id/id/file/155733', 'filename': 'RUDY NU.pdf', 'hash_type': 'MD5', 'mtime': '2020-03-10 06:50:00'}], 'main': 'RUDY NU.pdf', 'docid': 31690, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/31690', 'pos': 1, 'eprintid': 18534, 'placement': 1}]",2020-03-12 03:54:13,347,FALSE,Dinamika Perubahan NU dalam Mengawal Zaman dalam Buku NU Mengawal Perubahan Zaman,book_section,"[{'name': {'given': 'Rudy', 'honourific': None, 'family': 'Rudy', 'lineage': None}, 'id': 'rudy.1981@fh.unila.ac.id'}]",['K1'],http://repository.lppm.unila.ac.id/id/eprint/18534,2015-12-01 00:00:00.000000000,,['FH1'],Lajnah Ta'lif  Wan Nasyr (LTN) PWNU Lampung,,disk0/00/01/85/34,pub,7,2020-03-12 03:54:13,public,1-10,,,,NU MENGAWAL PERUBAHAN ZAMAN,,,,,,,,,,,,,,,,,,,
14,show,archive,17456,2020-01-14 01:27:09,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/30584', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 17456, 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'main': '7_GOTONG ROYONG MELAWAN POLITIK UANG.pdf', 'files': [{'mtime': '2020-01-03 02:04:45', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/147674', 'filename': '7_GOTONG ROYONG MELAWAN POLITIK UANG.pdf', 'objectid': 30584, 'filesize': 14680367, 'hash': '3210ef820b8f7c3d31cb0e0d8d72db4b', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 147674}], 'docid': 30584, 'format': 'text'}]",2020-01-14 01:27:09,347,,Normativisme Versus Kenyataan Hukum,monograph,"[{'name': {'family': 'Rudy', 'lineage': None, 'honourific': None, 'given': 'Rudy'}, 'id': 'rudy.1981@fh.unila.ac.id'}]",['K1'],http://repository.lppm.unila.ac.id/id/eprint/17456,2015-10-01 00:00:00.000000000,,['FH1'],Sai Wawai Publishing,,disk0/00/01/74/56,pub,7,2020-01-14 01:27:09,public,,,,,,,5.0,Bandar Lampung,manual,Universitas Lampung,,,,,,,,,,,,,,
15,show,archive,17459,2020-01-14 02:47:53,"[{'main': '33_ASLI 2015.pdf', 'files': [{'hash_type': 'MD5', 'mtime': '2020-01-03 02:35:45', 'filesize': 13387244, 'objectid': 30587, 'filename': '33_ASLI 2015.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/147695', 'fileid': 147695, 'datasetid': 'document', 'hash': 'bdb5533e263f1e9c91c92fad07367067', 'mime_type': 'application/pdf'}], 'docid': 30587, 'format': 'text', 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'placement': 1, 'eprintid': 17459, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/30587', 'security': 'public'}]",2020-01-14 02:47:53,347,FALSE,"Patways to Customary Rights Recognition in Indonesia: Past, Present and Future Challenges",conference_item,"[{'name': {'given': 'Rudy', 'honourific': None, 'lineage': None, 'family': 'Rudy'}, 'id': 'rudy.1981@fh.unila.ac.id'}]",['K1'],http://repository.lppm.unila.ac.id/id/eprint/17459,2015-05-01 00:00:00.000000000,,['FH1'],,,disk0/00/01/74/59,pub,7,2020-01-14 02:47:53,public,,,,,,,,,,,Collage of Law National Taiwan University,paper,21-22 Mei 2015,Proceeding 12th ASLI Conference 2015 Law 2.0 New Challenges in Asia,conference,,,,,,,,,
16,show,archive,17910,2020-02-06 05:21:33,"[{'placement': 1, 'eprintid': 17910, 'uri': 'http://repository.lppm.unila.ac.id/id/document/31049', 'pos': 1, 'security': 'public', 'docid': 31049, 'main': 'PATHWAYS TO CUSTOMARY RIGHTS RECOGNITION IN INDONESIA_ PAST, PRESENT, AND FUTURE CHALLENGES.pdf', 'files': [{'mtime': '2020-02-06 02:33:59', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/150885', 'filename': 'PATHWAYS TO CUSTOMARY RIGHTS RECOGNITION IN INDONESIA_ PAST, PRESENT, AND FUTURE CHALLENGES.pdf', 'objectid': 31049, 'filesize': 5745283, 'hash': '6259acc4bd279bb0a5e39d2bc2fc170b', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 150885}], 'format': 'text', 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1}]",2020-02-06 05:21:33,347,FALSE,"Patways to Customary Rights Recognition in Indonesia: Past, Present and Future Challenges",conference_item,"[{'id': 'rudy.1981@fh.unila.ac.id', 'name': {'given': 'Rudy', 'lineage': None, 'family': 'Rudy', 'honourific': None}}]",['K1'],http://repository.lppm.unila.ac.id/id/eprint/17910,1970-01-01 00:00:00.000002015,Hasil Check Similarity,['FH1'],,,disk0/00/01/79/10,pub,7,2020-02-06 05:21:33,public,,,,,,,,,,,Collage of Law National Taiwan University,paper,21-22 Mei 2015,Proceeding 12th ASLI Conference 2015 Law 2.0 New Challenges in Asia,conference,,,,,,,,,
17,show,archive,17491,2020-01-14 02:48:17,"[{'format': 'text', 'main': '34_EAST ASIAN LAW.pdf', 'files': [{'filesize': 14074860, 'objectid': 30619, 'filename': '34_EAST ASIAN LAW.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/147892', 'hash_type': 'MD5', 'mtime': '2020-01-06 02:46:39', 'fileid': 147892, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': '77168d0dcc44c10b1eb4b19a16bfcfaa'}], 'docid': 30619, 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'eprintid': 17491, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/30619'}]",2020-01-14 02:48:17,347,FALSE,Reconstruction of Indonesia Legislation Development: Law on Land,conference_item,"[{'id': 'rudy.1981@fh.unila.ac.id', 'name': {'given': 'Rudy', 'lineage': None, 'family': 'Rudy', 'honourific': None}}]",['K1'],http://repository.lppm.unila.ac.id/id/eprint/17491,2015-08-01 00:00:00.000000000,,['FH1'],,,disk0/00/01/74/91,pub,7,2020-01-14 02:48:17,public,,,,,,,,,,,"tokyo, jepang",paper,4-6 Agustus 2015,Proceeding The 4th East Asian Law and Society Conference The Role of Law in Bridging Chasms in and Among Asian Societies,conference,,,,,,,,,
18,show,archive,17731,2020-02-06 05:21:50,"[{'files': [{'filesize': 125309, 'objectid': 30849, 'filename': 'peer review rudy reconstruction of indonesia.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/149552', 'hash_type': 'MD5', 'mtime': '2020-01-29 03:47:28', 'fileid': 149552, 'datasetid': 'document', 'hash': 'd59c91e1ceb3ec845fbbe231fbb253f0', 'mime_type': 'application/pdf'}], 'main': 'peer review rudy reconstruction of indonesia.pdf', 'docid': 30849, 'format': 'text', 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'placement': 1, 'eprintid': 17731, 'uri': 'http://repository.lppm.unila.ac.id/id/document/30849', 'pos': 1, 'security': 'public'}]",2020-02-06 05:21:50,347,FALSE,Reconstruction of Indonesia Legislation Development: Law on Land,conference_item,"[{'name': {'given': 'Rudy', 'family': 'Rudy', 'lineage': None, 'honourific': None}, 'id': 'rudy.1981@fh.unila.ac.id'}]",['K1'],http://repository.lppm.unila.ac.id/id/eprint/17731,2015-08-01 00:00:00.000000000,Hasil penilaian sejawat sebidang atau peer review,['FH1'],,,disk0/00/01/77/31,pub,7,2020-02-06 05:21:50,public,,,,,,,,,,,"tokyo, jepang",paper,4-6 Agustus 2015,Proceeding The 4th East Asian Law and Society Conference The Role of Law in Bridging Chasms in and Among Asian Societies,conference,,,,,,,,,
19,show,archive,17843,2020-02-06 05:21:38,"[{'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'main': 'RECONSTRUCTION OF LEGAL DEVELOPMENT IN INDONESIA_ LAWS ON LAND.pdf', 'docid': 30964, 'files': [{'fileid': 150329, 'datasetid': 'document', 'hash': 'bdfe1f3d90bfc7fe01c1cbc62f48651b', 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2020-01-31 06:53:06', 'filesize': 4875670, 'objectid': 30964, 'uri': 'http://repository.lppm.unila.ac.id/id/file/150329', 'filename': 'RECONSTRUCTION OF LEGAL DEVELOPMENT IN INDONESIA_ LAWS ON LAND.pdf'}], 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/30964', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 17843}]",2020-02-06 05:21:38,347,FALSE,Reconstruction of Indonesia Legislation Development: Law on Land,conference_item,"[{'name': {'given': 'Rudy', 'family': 'Rudy', 'lineage': None, 'honourific': None}, 'id': 'rudy.1981@fh.unila.ac.id'}]",['K1'],http://repository.lppm.unila.ac.id/id/eprint/17843,2015-08-01 00:00:00.000000000,Hasil Check Similarity,['FH1'],,,disk0/00/01/78/43,pub,7,2020-02-06 05:21:38,public,,,,,,,,,,,,paper,,Proceeding The 4th East Asian Law and Society Conference The Role of Law in Bridging Chasms in and Among Asian Societies,conference,,,,,,,,,
