,subjects,uri,date,publisher,divisions,dir,rev_number,ispublished,full_text_status,status_changed,metadata_visibility,datestamp,eprint_status,eprintid,lastmod,official_url,userid,title,creators,type,contact_email,date_type,documents,id_number,place_of_pub,related_url,succeeds,corp_creators,abstract,publication,volume,issn,refereed,pagerange,number,contributors,event_dates,pres_type,event_location,event_title,event_type,referencetext
10,"['L1', 'LB1501', 'LC5201']",http://repository.lppm.unila.ac.id/id/eprint/22565,1970-01-01 00:00:00.000002019,FKIP Unila,['FKIP9'],disk0/00/02/25/65,9,unpub,public,2020-06-17 08:33:50,show,2020-06-17 08:33:50,archive,22565,2020-06-17 08:33:50,,624,A student-generated less-familiar atomic orbitals (l = 4–10) representation using simple and real-time visualization software | [La representación de los orbitales atómicos menos conocidos (l = 4-10) usando simple software de visualización],"[{'name': {'lineage': None, 'family': 'Diawati', 'honourific': None, 'given': 'Chansyanah'}, 'id': 'chansyanah.diawati@fkip.unila.ac.id'}, {'name': {'honourific': None, 'family': 'Kadaritna', 'lineage': None, 'given': 'Nina'}, 'id': 'kadaritna@yahoo.com'}]",other,,,"[{'placement': 1, 'eprintid': 22565, 'uri': 'http://repository.lppm.unila.ac.id/id/document/36024', 'pos': 1, 'security': 'public', 'main': '01 A STUDENT GENERATED.pdf', 'files': [{'filesize': 769576, 'objectid': 36024, 'uri': 'http://repository.lppm.unila.ac.id/id/file/206962', 'filename': '01 A STUDENT GENERATED.pdf', 'hash_type': 'MD5', 'mtime': '2020-06-17 07:18:30', 'datasetid': 'document', 'fileid': 206962, 'mime_type': 'application/pdf', 'hash': '3ac2ff9e5c36a5751ae05ec1fb1505e5'}], 'docid': 36024, 'format': 'text', 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf'}]",,,,,"['Jurusan Pendidikan MIPA FKIP Unila', 'Jurusan Pendidikan MIPA FKIP Unila']",,,,,,,,"[{'type': 'http://www.loc.gov/loc.terms/relators/REV'}, {'type': 'http://www.loc.gov/loc.terms/relators/REV'}]",,,,,,
11,"['L1', 'LB1501', 'LC5201']",http://repository.lppm.unila.ac.id/id/eprint/22564,1970-01-01 00:00:00.000002019,FKIP Unila,['FKIP9'],disk0/00/02/25/64,9,unpub,public,2020-06-17 08:33:36,show,2020-06-17 08:33:36,archive,22564,2020-06-17 08:33:36,,624,Perkembangan Konsepsi Mahasiswa Semester Pertama Sampai Semester Tujuh Tentang Struktur Atom (Suatu Studi Deskriptif Cross-Sectional).,"[{'id': 'chansyanah.diawati@fkip.unila.ac.id', 'name': {'honourific': None, 'lineage': None, 'family': 'Diawati', 'given': 'Chansyanah'}}, {'id': 'kadaritna@yahoo.co.id', 'name': {'given': 'NK', 'honourific': None, 'lineage': None, 'family': 'Nina Kadaritna'}}]",other,,,"[{'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/36023', 'eprintid': 22564, 'placement': 1, 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'format': 'text', 'main': '15 PERKEMBANGAN KONSEPSI.pdf', 'docid': 36023, 'files': [{'hash': 'c6861e09bb1ca6a29e64486d577d9406', 'mime_type': 'application/pdf', 'fileid': 206952, 'datasetid': 'document', 'filename': '15 PERKEMBANGAN KONSEPSI.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/206952', 'objectid': 36023, 'filesize': 11479202, 'mtime': '2020-06-17 07:07:28', 'hash_type': 'MD5'}]}]",,,,,,,,,,,,,"[{'type': 'http://www.loc.gov/loc.terms/relators/REV'}, {'type': 'http://www.loc.gov/loc.terms/relators/REV'}]",,,,,,
12,['L1'],http://repository.lppm.unila.ac.id/id/eprint/11990,1970-01-01 00:00:00.000002019,,['FKIP9'],disk0/00/01/19/90,7,pub,public,2019-05-09 03:10:20,show,2019-05-09 03:10:20,archive,11990,2019-05-09 03:10:20,https://iopscience.iop.org/article/10.1088/1742-6596/1155/1/012043,706,Practicality and Effectiveness of E-Book Based LCDS to Foster Students' Critical Thinking Skills,"[{'name': {'given': 'Rizki Nanda', 'honourific': None, 'family': 'Fardani', 'lineage': None}, 'id': 'rnandafardani@gmail.com'}, {'id': 'chandrafkipunila@gmail.com', 'name': {'given': 'Chandra', 'honourific': None, 'lineage': None, 'family': 'Ertikanto'}}, {'name': {'given': 'Agus', 'honourific': None, 'family': 'Suyatna', 'lineage': None}, 'id': 'asuyatna@yahoo.com'}, {'id': 'undangros@yahoo.com', 'name': {'lineage': None, 'family': 'Rosidin', 'honourific': None, 'given': 'Undang'}}]",conference_item,,published,"[{'files': [{'filesize': 512623, 'objectid': 24978, 'filename': '38. Fardani_2019_J._Phys.__Conf._Ser._1155_012043.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/107451', 'hash_type': 'MD5', 'mtime': '2019-05-08 02:05:25', 'datasetid': 'document', 'fileid': 107451, 'hash': 'd7002dfecefbe550f6926c3dfd7cbf37', 'mime_type': 'application/pdf'}], 'main': '38. Fardani_2019_J._Phys.__Conf._Ser._1155_012043.pdf', 'docid': 24978, 'format': 'text', 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'placement': 1, 'eprintid': 11990, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/24978', 'security': 'public'}]",,,,,,"This study aims to analyze the practicality and effectiveness of E-book based LCDS to foster students' critical thinking skills, especially on static fluid material. The research method used a quasi-experiment with pretest-posttest with control group design. The sampling technique used purposive sampling technique, which was the high school students in Bandar Lampung. The instruments which were used are the e-book implementation observation sheet, students' responses to e-books, and critical thinking skills test questions. Data analysis techniques use descriptive analysis with percentage, N-gain analysis. The results showed that LCDS-based e- books: 1) practical, as indicated by a) average score of e-book implementation in each learning activity, namely 84.43% with very high criteria and b) positive response of students (84.45%) to the e-book. 2) effective, as shown by significant differences in students' critical thinking skills between the experimental class and the control class. The critical thinking skills of students in the experimental class who were taught using E-book based LCDS are better than the control class.",,,,TRUE,1-9,,,9–11 November 2018,paper,Lampung,Young Scholar Symposium on Transdisciplinary in Education and Environment (YSSTEE),conference,
13,['L1'],http://repository.lppm.unila.ac.id/id/eprint/11225,1970-01-01 00:00:00.000002019,IOP Publishing,['FKIP9'],disk0/00/01/12/25,6,pub,public,2019-04-29 08:14:11,show,2019-04-29 08:14:11,archive,11225,2019-04-29 08:14:11,https://iopscience.iop.org/article/10.1088/1742-6596/1155/1/012043/meta,1075,Practicality and Effectiveness of E-Book Based LCDS to Foster Students’ Critical Thinking Skills,"[{'name': {'lineage': None, 'family': 'Fardani', 'honourific': None, 'given': 'Rizki Nanda'}, 'id': 'rnandafardani@gmail.com'}, {'name': {'given': 'Agus', 'honourific': None, 'family': 'Suyatna', 'lineage': None}, 'id': 'asuyatna@yahoo.com'}, {'name': {'honourific': None, 'family': 'Ertikanto', 'lineage': None, 'given': 'Chandra'}, 'id': 'chandrafkipunila@gmail.com'}, {'name': {'given': 'Undang', 'family': 'Rosidin', 'lineage': None, 'honourific': None}, 'id': 'undangros@yahoo.com'}]",article,asuyatna@yahoo.com,published,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/24223', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 11225, 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'main': 'Fardani_2019_J._Phys.__Conf._Ser._1155_012043.pdf', 'files': [{'filesize': 519859, 'objectid': 24223, 'uri': 'http://repository.lppm.unila.ac.id/id/file/102392', 'filename': 'Fardani_2019_J._Phys.__Conf._Ser._1155_012043.pdf', 'hash_type': 'MD5', 'mtime': '2019-04-22 13:42:42', 'fileid': 102392, 'datasetid': 'document', 'hash': '57231a502e76158eef084998abce7c12', 'mime_type': 'application/pdf'}], 'docid': 24223, 'format': 'text'}]",doi:10.1088/1742-6596/1155/1/012043,,"[{'url': 'https://iopscience.iop.org/article/10.1088/1742-6596/1155/1/012043/meta', 'type': 'pub'}]",,['Universitas Lampung'],"Abstract. This study aims to analyze the practicality and effectiveness of E-book based LCDS to foster students' critical thinking skills, especially on static fluid material. The research method used a quasi-experiment with pretest-posttest with control group design. The sampling technique used purposive sampling technique, which was the high school students in Bandar Lampung.
The instruments which were used are the e-book implementation observation sheet, students' responses to e-books, and critical thinking skills test questions. Data analysis techniques use descriptive analysis with percentage, N-gain analysis. The results showed that LCDS-based ebooks: 1)practical, as indicated by a)average score of e-book implementation in each learning activity,
namely 84.43% with very high criteria and b) positive response of students (84.45%) to the e-book. 2)effective,
as shown by significant differences in students' critical
thinking skills between the experimental class and the control class. The critical thinking skills of students
in the experimental class who were taught using E-book based LCDS are better than the control class.",Journal of Physics: Conf. Series,1155.0,1742-6588 Online ISSN: 1742-6596,TRUE,1-9,2019.0,,,,,,,
14,['L1'],http://repository.lppm.unila.ac.id/id/eprint/26439,2019-12-01 00:00:00.000000000,,['FKIP9'],disk0/00/02/64/39,6,pub,public,2020-11-20 06:21:11,show,2020-11-20 06:21:11,archive,26439,2020-11-20 06:21:11,,435,Development of student work sheets based on analogy content in physical learning to improve critical thinking ability of high school students,"[{'id': None, 'name': {'lineage': None, 'family': 'Galih', 'honourific': None, 'given': 'Imas Setiana Esti'}}, {'id': 'abdurrahman.1968@fkip.unila.ac.id', 'name': {'given': 'Abdurrahman', 'lineage': None, 'family': 'Abdurrahman', 'honourific': None}}, {'name': {'honourific': None, 'family': 'Rosidin', 'lineage': None, 'given': 'Undang'}, 'id': 'undangros@yahoo.com'}]",article,,published,"[{'placement': 1, 'eprintid': 26439, 'uri': 'http://repository.lppm.unila.ac.id/id/document/40333', 'pos': 1, 'security': 'public', 'docid': 40333, 'main': '4. V20-2019-2-5 jOURNAL SCIENCE EDUCATION.pdf', 'files': [{'filesize': 250691, 'objectid': 40333, 'filename': '4. V20-2019-2-5 jOURNAL SCIENCE EDUCATION.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/238038', 'hash_type': 'MD5', 'mtime': '2020-11-20 04:39:26', 'fileid': 238038, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': '5901c20e5bf39d14ca8b9ab202dc64f6'}], 'format': 'text', 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1}]",,,,,,"The purpose of this study is to produce a physics student worksheet based on analogy of content to rotational motion material and to find out the validity of the product being developed. This research uses R & D research procedures. In the development stage, a validity test was conducted by 2 experts namely design experts and material experts, then continued with the practicality and effectiveness test of student worksheets conducted by 24 students of class XI IPA SMA. The results of the material expert validation received a value of 83.5% in the ""very feasible"" category. Then the design expert validation results got a value of 95% with the category ""very feasible"". Based on the results of the physics worksheet based on analogy of content from the aspects of design and material has valid criteria and is suitable for use. Then the practicality of the analogy-based physics student worksheets content received a positive response of 89%. And the effectiveness of physics student worksheets based on analogy of effective content improves students' critical thinking skills based on the results of the experimental class that obtained a Gain of 0.6 higher than the control class with a Gain of 0.2.",Journal of Science Education,20.0,0124-5481,TRUE,24-28,2.0,,,,,,,
15,['L1'],http://repository.lppm.unila.ac.id/id/eprint/11226,1970-01-01 00:00:00.000002019,,['FKIP9'],disk0/00/01/12/26,7,pub,public,2019-05-02 04:18:22,show,2019-05-02 04:18:22,archive,11226,2019-05-02 04:18:22,http://shieldproceeding.uprci.com/journal/list_journal/3rd-shield-proceeding,1075,THE PRACTICALITY AND EFFECTIVENESS OF INTERACTIVE ELECTRONIC BOOKS OF RELATIVITY THEORY TO SELF-STUDY AND TO GENERATE STUDENTS’ CRITICAL THINKING,"[{'name': {'family': 'Haryaningtias', 'lineage': None, 'honourific': None, 'given': 'Dita'}, 'id': 'ditha_tias@yahoo.com'}, {'name': {'family': 'Suyatna', 'lineage': None, 'honourific': None, 'given': 'Agus'}, 'id': 'asuyatna@yahoo.com'}, {'id': 'wayandistrik8@gmail.com', 'name': {'lineage': None, 'family': 'Distrik', 'honourific': None, 'given': 'I Wayan'}}]",conference_item,,published,"[{'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'docid': 24224, 'main': 'Shield Dita.pdf', 'files': [{'hash_type': 'MD5', 'mtime': '2019-04-22 14:17:34', 'filesize': 268324, 'objectid': 24224, 'uri': 'http://repository.lppm.unila.ac.id/id/file/102399', 'filename': 'Shield Dita.pdf', 'datasetid': 'document', 'fileid': 102399, 'hash': 'f24866a8fbef63670e1385668a4e39e4', 'mime_type': 'application/pdf'}], 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/24224', 'security': 'public', 'placement': 1, 'eprintid': 11226}]",,,"[{'url': 'http://shieldproceeding.uprci.com/journal/list_journal/3rd-shield-proceeding', 'type': 'pub'}]",,['Universitas Lampung'],"ABSTRACT: The purpose of this study is to determine the practicality and effectiveness of interactive electronic books of relativity theory to self-study and to generate students’ critical thinking. This study method was conducted by quasi experimental. Data gained from 29 Senior High School Students. Data was collected by questionnaire, observation sheets and tested students’ critical thinking skills. Data was analyzed qualitatively and quantitatively. Qualitative analysis used was to determine the practicality of the interactive electronic books and quantitative analysis used was to see the effectiveness of interactive electronic books. This study
result is to show that the interactive electronic books can be used practically for students’ selfstudy. Practicality as a user response shows that inter-active
electronic books are very effective, highly interactive,
efficient, usable, and can be used for students’ self-study. The implementation of the use of interactive electronic books in overall learning worked well. This is
seen from the liveliness and ease of students in using interactive electronic books. The results of effectiveness test indicate that the application of interactive electronic book in learning can improve
students' critical thinking ability. The N-gain results indicate that the magnitude of differences after and before the learning is in moderate category and result of
effect test is in moderate category. The average indicator of critical thinking is getting increased after
being conducted the learning by using interactive electronic books.",,,,TRUE,116-124,,,9-10 November 2018,speech,Lampung Province,The 3 rd  SHIELD International Conference of 2018,conference,
16,['L1'],http://repository.lppm.unila.ac.id/id/eprint/47505,2019-02-24 00:00:00.000000000,"Program Studi S1 Pendidikan Fisika, FKIP, Universitas Lampung",['FKIP9'],disk0_bak/00/04/75/05,7,pub,public,2022-12-28 07:25:03,show,2022-12-28 07:25:03,archive,47505,2022-12-28 07:25:03,http://jurnal.fkip.unila.ac.id/index.php/JPF/article/view/17450,884,Membangun Keterampilan Berpikir Kreatif Siswa Melalui LKPD Berbasis Scientific Approach Materi Elastisitas dan Hukum Hooke: Penelitian Pendahuluan,"[{'id': 'kartini.herlina@fkip.unila.ac.id', 'name': {'lineage': None, 'family': 'Herlina', 'honourific': None, 'given': 'Kartini'}}]",article,,published,"[{'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/186562', 'pos': 1, 'eprintid': 47505, 'placement': 1, 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'format': 'text', 'files': [{'datasetid': 'document', 'fileid': 520863, 'mime_type': 'application/pdf', 'hash': 'c003f1b69472bf0055c8eaf4c54a7eb6', 'objectid': 186562, 'filesize': 488023, 'filename': 'Membangun Keterampilan Berpikir Kreatif Siswa Melalui LKPD Berbasis Scientific Approach Materi Elastisitas dan Hukum Hooke Penelitian Pendahuluan.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/520863', 'hash_type': 'MD5', 'mtime': '2022-12-27 07:17:14'}], 'main': 'Membangun Keterampilan Berpikir Kreatif Siswa Melalui LKPD Berbasis Scientific Approach Materi Elastisitas dan Hukum Hooke Penelitian Pendahuluan.pdf', 'docid': 186562}]",,,[{'url': 'http://jurnal.fkip.unila.ac.id/index.php/JPF/article/view/17450'}],,['Universitas Lampung'],"Building students creative thiking skills through students worksheet scientific approach based in elasticity and Hooke Law: a preliminary research. The purpose of this research is to analyze teacher and students’s needs for supporting learning media as students worksheet, and to offer students worksheet scientific approach based what character students creative thiking skills. This development research uses development model of Borg and Gall with ten main steps development. But this development research done until thirth steps that is product design because limited time. The result of this
premilinary research is physics teacher of SMK Negeri 1 Terusan Nunyai Lampung Tengah stated to really
need students worksheet as supporting learning media  in learning activities with percentage 89,29%, 34
students stated to need students worksheet as supporting learning media  in learning activities with percentage
75%, and students worksheet design what might use to building students skills is students worksheet scientific
approach based what character students creative thiking skills with 5steps learning (observe, ask, do
experiment, reasoning, communicating) and creative thinking indicator as problem sensitivity, fluency,
flexibility, originality and elaboration.",Jurnal Pembelajaran Fisika,6.0,2684-9828,TRUE,198-208,2.0,,,,,,,
17,['H1'],http://repository.lppm.unila.ac.id/id/eprint/17035,1970-01-01 00:00:00.000002019,IOP Publishing,['FKIP9'],disk0/00/01/70/35,7,pub,public,2019-11-18 10:26:56,show,2019-11-18 10:26:56,archive,17035,2019-11-18 10:26:56,,435,Development of Instruments to Train Critical and Creative Thinking Skills in Physics Assessment for High School Students' Learning,"[{'name': {'given': 'Ria', 'honourific': None, 'family': 'Herpiana', 'lineage': None}, 'id': 'ria.herpiana@yahoo.co.id'}, {'id': 'undangros@yahoo.com', 'name': {'given': 'Undang', 'honourific': None, 'lineage': None, 'family': 'Rosidin'}}, {'name': {'given': 'Abdurrahman', 'honourific': None, 'family': 'Abdurrahman', 'lineage': None}, 'id': 'abdurrahman.1968@fkip.unila.ac.id'}]",article,,published,"[{'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'format': 'text', 'main': 'Herpiana_2019_J._Phys.__Conf._Ser._1155_012046 Development of Instruments.pdf', 'docid': 30128, 'files': [{'mtime': '2019-11-18 10:15:46', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/144646', 'filename': 'Herpiana_2019_J._Phys.__Conf._Ser._1155_012046 Development of Instruments.pdf', 'filesize': 640899, 'objectid': 30128, 'mime_type': 'application/pdf', 'hash': '9cbb14f1e42d71cf74126de9d6423191', 'datasetid': 'document', 'fileid': 144646}], 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/30128', 'eprintid': 17035, 'placement': 1}]",,,,,,"This study aims to develop assessment instruments, describe the appropriateness of assessment instruments that fill the elements of validity, practicality, and effectiveness of assessment instruments in training the critical and creative thinking skills of high school students. The research method used a development research model developed by the model of Borg & Gall. In this study, 7 steps were used consisting of research and information gathering, planning, initial product development, limited trials, initial product revisions, field trials, and final product revisions. The sampling technique used was purposive sampling technique, namely the high school students of class X in Tanggamus. The instruments used are validation instruments, practicality tests, and critical and creative thinking skills, and test instruments for critical and creative thinking skills. Test instrument analysis techniques use validity and reliability analysis, different levels of difficulty and power. The validation results of three expert lecturers and three expert practitioners stated that the assessment results of the development were feasible to be used in the high category (72%) for aspects of language, construction, and content. Assessment instruments resulting from practical development are used in physics learning with an average score in the very high category (83.3%). Assessment instruments are used in learning as assessment for learning, students who have the ability to think critically and creatively with good categories reach 56.5% and 57.4%. Thus, assessment instruments for critical and creative thinking skills that have been developed effectively train students to have good critical and creative thinking skills, so that assessment instruments can be used as an assessment for learning for students.",Journal of Physics: Conference Series,1155.0,Print : 1742-6588 Online : 1742-6596,TRUE,,,,,,,,,
18,['L1'],http://repository.lppm.unila.ac.id/id/eprint/11185,2019-02-01 00:00:00.000000000,IOP Publishing,['FKIP9'],disk0/00/01/11/85,7,pub,public,2019-04-29 08:12:20,show,2019-04-29 08:12:20,archive,11185,2019-04-29 08:12:20,https://iopscience.iop.org/article/10.1088/1742-6596/1155/1/012046,435,Development of Instruments to Train Critical and Creative Thinking Skills in Physics Assessment for High School Students’ Learning,"[{'id': 'ria.herpiana@yahoo.co.id', 'name': {'given': 'Ria', 'honourific': None, 'lineage': None, 'family': 'Herpiana'}}, {'id': 'undangros@yahoo.com', 'name': {'given': 'Undang', 'lineage': None, 'family': 'Rosidin', 'honourific': None}}, {'name': {'lineage': None, 'family': 'Abdurrahman', 'honourific': None, 'given': 'Abdurrahman'}, 'id': 'abdurrahman.1968@fkip.unila.ac.id'}]",article,,published,"[{'eprintid': 11185, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/24179', 'pos': 1, 'format': 'text', 'main': '18.  Herpiana_2019_J._Phys.__Conf._Ser._1155_012046.pdf', 'docid': 24179, 'files': [{'datasetid': 'document', 'fileid': 102118, 'mime_type': 'application/pdf', 'hash': '9cbb14f1e42d71cf74126de9d6423191', 'objectid': 24179, 'filesize': 640899, 'filename': '18.  Herpiana_2019_J._Phys.__Conf._Ser._1155_012046.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/102118', 'hash_type': 'MD5', 'mtime': '2019-04-16 08:46:20'}], 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf'}]",,,,,,"This study aims to develop assessment instruments, describe the appropriateness of assessment instruments that fill the elements of validity, practicality, and effectiveness of assessment instruments in training the critical and creative thinking skills of high school students. The research method used a development research model developed by the model of Borg & Gall. In this study, 7 steps were used consisting of research and information gathering, planning, initial product development, limited trials, initial product revisions, field trials, and final product revisions. The sampling technique used was purposive sampling technique, namely the high school students of class X in Tanggamus. The instruments used are validation instruments, practicality tests, and critical and creative thinking skills, and test instruments for critical and creative thinking skills. Test instrument analysis techniques use validity and reliability analysis, different levels of difficulty and power. The validation results of three expert lecturers and three expert practitioners stated that the assessment results of the development were feasible to be used in the high category (72%) for aspects of language, construction, and content. Assessment instruments resulting from practical development are used in physics learning with an average score in the very high category (83.3%). Assessment instruments are used in learning as assessment for learning, students who have the ability to think critically and creatively with good categories reach 56.5% and 57.4%. Thus, assessment instruments for critical and creative thinking skills that have been developed effectively train students to have good critical and creative thinking skills, so that assessment instruments can be used as an assessment for learning for students.",Journal of Physics: Conference Series,1155.0,Print : 1742-6588 Online : 1742-6596,TRUE,1-9,1.0,,,,,,,
19,['L1'],http://repository.lppm.unila.ac.id/id/eprint/11987,1970-01-01 00:00:00.000002019,,['FKIP9'],disk0/00/01/19/87,7,pub,public,2019-05-09 03:10:19,show,2019-05-09 03:10:19,archive,11987,2019-05-09 03:10:19,https://iopscience.iop.org/article/10.1088/1742-6596/1155/1/012046,706,Development of Instruments to Train Critical and Creative Thinking Skills in Physics Assessment for High School Students’ Learning,"[{'id': 'ria.herpiana@yahoo.co.id', 'name': {'family': 'Herpiana', 'lineage': None, 'honourific': None, 'given': 'Ria'}}, {'id': 'undangros@yahoo.com', 'name': {'given': 'Undang', 'honourific': None, 'family': 'Rosidin', 'lineage': None}}, {'id': 'abdurrahman.1968@fkip.unila.ac.id', 'name': {'lineage': None, 'family': 'Abdurrahman', 'honourific': None, 'given': 'Abdurrahman'}}]",conference_item,,published,"[{'docid': 24976, 'main': '34. Herpiana_2019_J._Phys._Conf._Ser..pdf', 'files': [{'mime_type': 'application/pdf', 'hash': 'd0eddda362b03aa103125ddb8dcf5d17', 'fileid': 107433, 'datasetid': 'document', 'mtime': '2019-05-08 01:52:54', 'hash_type': 'MD5', 'filename': '34. Herpiana_2019_J._Phys._Conf._Ser..pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/107433', 'filesize': 640882, 'objectid': 24976}], 'format': 'text', 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'placement': 1, 'eprintid': 11987, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/24976', 'security': 'public'}]",,,,,,"This study aims to develop assessment instruments, describe the appropriateness of assessment instruments that fill the elements of validity, practicality, and effectiveness of assessment instruments in training the critical and creative thinking skills of high school students. The research method used a development research model developed by the model of Borg & Gall. In this study, 7 steps were used consisting of research and information gathering, planning, initial product development, limited trials, initial product revisions, field trials, and final product revisions. The sampling technique used was purposive sampling technique, namely the high school students of class X in Tanggamus. The instruments used are validation instruments, practicality tests, and critical and creative thinking skills, and test instruments for critical and creative thinking skills. Test instrument analysis techniques use validity and reliability analysis, different levels of difficulty and power. The validation results of three expert lecturers and three expert practitioners stated that the assessment results of the development were feasible to be used in the high category (72%) for aspects of language, construction, and content. Assessment instruments resulting from practical development are used in physics learning with an average score in the very high category (83.3%). Assessment instruments are used in learning as assessment for learning, students who have the ability to think critically and creatively with good categories reach 56.5% and 57.4%. Thus, assessment instruments for critical and creative thinking skills that have been developed effectively train students to have good critical and creative thinking skills, so that assessment instruments can be used as an assessment for learning for students.",,,,TRUE,1-9,,,9–11 November 2018,paper,Lampung,Young Scholar Symposium on Transdisciplinary in Education and Environment (YSSTEE),conference,
20,['L1'],http://repository.lppm.unila.ac.id/id/eprint/20548,1970-01-01 00:00:00.000002019,Universitas Lampung,['FKIP9'],disk0/00/02/05/48,8,pub,public,2020-05-27 01:40:08,show,2020-05-27 01:40:08,archive,20548,2020-05-27 01:40:08,http://jurnal.fkip.unila.ac.id/index.php/JPF,1075,Development of Comics Physics Education with STEM for Stimulating Straight Line Motion Concept Mastery in Junior High School Students,"[{'id': 'Niswatulkhoiriyah02@gmail.com', 'name': {'lineage': None, 'family': 'Khoiriyah', 'honourific': None, 'given': 'Niswatul'}}, {'name': {'given': 'Abdurrahman', 'honourific': None, 'family': 'Abdurrahman', 'lineage': None}, 'id': 'abdurrahman.1968@fkip.unila.ac.id'}, {'id': 'asuyatna@yahoo.com', 'name': {'family': 'Suyatna', 'lineage': None, 'honourific': None, 'given': 'Agus'}}]",article,,published,"[{'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/33897', 'security': 'public', 'placement': 1, 'eprintid': 20548, 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'docid': 33897, 'main': 'Niswatul Khoiriyah AB AS 7(2) 2019.pdf', 'files': [{'datasetid': 'document', 'fileid': 192924, 'mime_type': 'application/pdf', 'hash': 'c3d5d580564bd4b6b1321db311960106', 'hash_type': 'MD5', 'mtime': '2020-05-26 08:53:53', 'objectid': 33897, 'filesize': 640912, 'uri': 'http://repository.lppm.unila.ac.id/id/file/192924', 'filename': 'Niswatul Khoiriyah AB AS 7(2) 2019.pdf'}], 'format': 'text'}]",http://dx.doi.org/10.23960/jpf.v7.n2.201904,,"[{'url': 'http://jurnal.fkip.unila.ac.id/index.php/JPF/article/view/19924', 'type': 'pub'}]",,['Universitas Lampung'],"Abstract: One of the lessons that can be used to stimulate mastery of concepts is STEM learning approach. This is effective if it is supported by teaching materials in the form of physics comics. Furthermore, the aim of this research development is to produce STEM-based Physics Comics products that are valid, interesting, easy, and useful, and effective for stimulating concept mastery in junior high school students. It has been done validity test which are consists of design expert test and material expert test, and the product is valid as to be used. The attractiveness, convenience, and benefit
test is conducted by students and the results of attractiveness were obtained by 3.38, convenience with a score of 3.38 and benefit test were obtained 3.31. This research was conducted using one group pre post design. The results of the paired sample t test. Sig value. (2-Tailed) is less than 0.05 which is 0,000, so it can be explained related to the significant use of STEM, on the ability to master students’ concepts. Based on the
value of N-gain, the average N-gain of concept mastery ability is 0.43 with the medium category.",Jurnal Pembelajaran Fisika,7.0,2302-0105,TRUE,77-85,2.0,,,,,,,
