,metadata_visibility,datestamp,eprintid,eprint_status,lastmod,documents,userid,number,title,refereed,creators,type,date_type,subjects,uri,date,abstract,volume,publication,publisher,divisions,dir,rev_number,ispublished,full_text_status,issn,status_changed,official_url,pagerange,event_location,event_dates,pres_type,event_title,event_type,id_number,related_url,corp_creators,contributors,place_of_pub,succeeds,note,contact_email,keywords,referencetext
10,show,2022-12-28 07:24:58,47503,archive,2022-12-28 07:24:58,"[{'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/186560', 'eprintid': 47503, 'placement': 1, 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'format': 'text', 'docid': 186560, 'main': '11-2020.pdf', 'files': [{'hash': '3d9db2ae99e44494a38a9ff0419f93db', 'mime_type': 'application/pdf', 'fileid': 520845, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/520845', 'filename': '11-2020.pdf', 'objectid': 186560, 'filesize': 448336, 'mtime': '2022-12-27 06:48:47', 'hash_type': 'MD5'}]}]",884,,Development and Validation of students’ Worksheet Based on Guided-Inquiry to Improve Students’ Scientific Literacy Skills of Junior High School on Straight Motion Concept,TRUE,"[{'id': 'kartini.herlina@fkip.unila.ac.id', 'name': {'given': 'Kartini', 'lineage': None, 'family': 'Herlina', 'honourific': None}}]",conference_item,published,['L1'],http://repository.lppm.unila.ac.id/id/eprint/47503,1970-01-01 00:00:00.000002020,"The student worksheet that is currently used generally contain material and questions. A student worksheet is only used on certain materials, so it has not been an effective teaching material. This research aims to develop guided inquiry-based worksheets to improve the ability of Scientific literacy in straight-motion material. The method used in this study is research and development. The research design used in this development refers to Lee and Owens with stages consisting of analyzing, design, development, implementation, evaluation. The worksheet developed has very 
high validity. This can be seen based on the average score on the material expert test of 0.90 with very high validity criteria and the design expert test obtained an average 
score of 0.90 with very high validity criteria. Based on the readability test obtained an average score of 0.85 with a very good category. The worksheets developed have been 
able to improve students' scientific literacy abilities. This can be seen from the n-gain test results of 0.8 with high criteria, and sig values. in the paired sample t-test of 0,000. Teachers and students also give a good response to the worksheet. The conclusions of this study are valid guided inquiry-based worksheets to improve students' literacy skills.",,,,['FKIP9'],disk0_bak/00/04/75/03,8,pub,public,,2022-12-28 07:24:58,https://iopscience.iop.org/article/10.1088/1742-6596/1467/1/012073/meta,1-7,Bandar Lampung,"September 22-23, 2020",paper,Young Scholar Symposium on Science Education and Environment,conference,,"[{'url': 'https://iopscience.iop.org/journal/1742-6596', 'type': 'pub'}]",['Universitas Lampung'],,,,,,,
11,show,2022-12-28 07:24:39,47496,archive,2022-12-28 07:24:39,"[{'format': 'text', 'docid': 186552, 'main': '5-2020.pdf', 'files': [{'hash': 'e797195e30e7d9d5d85638a83cc8c088', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 520797, 'mtime': '2022-12-27 05:01:27', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/520797', 'filename': '5-2020.pdf', 'objectid': 186552, 'filesize': 514985}], 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'eprintid': 47496, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/186552', 'pos': 1}]",884,,Exploring teacher perception about STEM learning material to foster students understanding of dispersion concept,TRUE,"[{'name': {'honourific': None, 'lineage': None, 'family': 'Herlina', 'given': 'Kartini'}, 'id': 'kartini.herlina@fkip.unila.ac.id'}]",conference_item,published,['L1'],http://repository.lppm.unila.ac.id/id/eprint/47496,1970-01-01 00:00:00.000002020,"In the 21st century, the required human resources must be of high quality and possess high-level thinking skills, including critical, creative, innovative. Thus, the teacher's role is needed to develop these skills in preparing appropriate learning. The design of a learning plan must be able to accommodate the needs associated with the learning process in class. Activities undertaken as well as the results to be achieved through indicators of
achievement must be fully reflected in the learning plans. This research was conducted to analyze teacher perceptions of STEM learning to improve understanding of diffraction
concepts. The research method used qualitative methods. Data obtained from document analysis and in-depth interviews. This study involved 75 respondents/educators in physics who
were scattered throughout the region in Lampung Province. The results showed the tendency of teachers to still use conventional learning methods. This was identified from the learning implementation plan and student worksheets compiled by the teacher had not developed learning innovations that can train students improving the understanding of concepts. So in future research, it is necessary to develop teaching materials that are integrate with STEM, so that they can improve students conceptualization and skill.",,,,['FKIP9'],disk0_bak/00/04/74/96,7,pub,public,,2022-12-28 07:24:39,https://iopscience.iop.org/article/10.1088/1742-6596/1572/1/012032/meta,1-9,Bandar Lampung,26-28 September 2019,paper,"The 9th International Conference on Theoretical and Applied Physics (ICTAP) 26-28 September 2019, Bandar Lampung, Indonesia",conference,,"[{'url': 'https://iopscience.iop.org/journal/1742-6596', 'type': 'pub'}]",['Universitas Lampung'],,,,,,,
12,show,2022-12-28 07:24:48,47499,archive,2022-12-28 07:24:48,"[{'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'main': '7-2020.pdf', 'docid': 186556, 'files': [{'mtime': '2022-12-27 05:28:26', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/520825', 'filename': '7-2020.pdf', 'filesize': 704395, 'objectid': 186556, 'mime_type': 'application/pdf', 'hash': 'cc17793df1e64ed4cfc5469cc6b8f993', 'datasetid': 'document', 'fileid': 520825}], 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/186556', 'security': 'public', 'placement': 1, 'eprintid': 47499}]",884,,"Flipped classroom mode for geometry optics
teaching and learning: teachers’ perceptions and
expectations",TRUE,"[{'id': 'kartini.herlina@fkip.unila.ac.id', 'name': {'lineage': None, 'family': 'Herlina', 'honourific': None, 'given': 'Kartini'}}]",conference_item,published,['L1'],http://repository.lppm.unila.ac.id/id/eprint/47499,1970-01-01 00:00:00.000002020,"Integrating active learning with traditional learning in the classroom can actually be done simply. However, teachers are still trying to find learning innovations so the learning 
process can be focused on each student. One of the learning models that can be used by teachers is flipped classroom. This study aims to analyze the perceptions and expectations of teachers towards the use of flipped classroom models for the learning process of physics. The research model used is a mixed-method with Sequential Explanatory Strategy. The study was conducted in high schools in the Lampung province with the subjects of the research were 60 physics teachers. Data collection used a four-point questionnaire instrument with Likert Scale and interviews. The results of the study showed that teachers had considerable expectations for the 
use of flipped classroom model. The flipped classroom learning model can help teachers to convey all the physics material easily so as students can understand the material, active, interest with physics, then communication and the relationship between teachers and students will increase. The flipped classroom model will work well if it is supported by appropriate media and teaching materials. The results of this study will be a reference for the next research.",,,,['FKIP9'],disk0_bak/00/04/74/99,8,pub,public,,2022-12-28 07:24:48,https://iopscience.iop.org/article/10.1088/1742-6596/1572/1/012033/meta,1-8,Bandar Lampung,26-28 September 2019,paper,"The 9th International Conference on Theoretical and Applied Physics (ICTAP) 26-28 September 2019, Bandar Lampung, Indonesia",conference,,"[{'url': 'https://iopscience.iop.org/journal/1742-6596', 'type': 'pub'}]",['Universitas Lampung'],,,,,,,
13,show,2022-12-27 03:47:47,47486,archive,2022-12-27 03:47:47,"[{'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'docid': 186542, 'main': '2-2020.pdf', 'files': [{'mime_type': 'application/pdf', 'hash': 'b12f74c1f5971c867739fd4d3cccf870', 'fileid': 520727, 'datasetid': 'document', 'filename': '2-2020.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/520727', 'objectid': 186542, 'filesize': 706605, 'mtime': '2022-12-27 03:21:26', 'hash_type': 'MD5'}], 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/186542', 'security': 'public', 'placement': 1, 'eprintid': 47486}]",884,1,"GUIDED INQUIRY BASED STUDENTS’ WORKSHEET TO GROW 
STUDENTS’ CRITICAL THINKING AND COMMUNICATION 
SKILLS",TRUE,"[{'id': 'kartini.herlina@fkip.unila.ac.id', 'name': {'family': 'Herlina', 'lineage': None, 'honourific': None, 'given': 'Kartini'}}]",article,published,['L1'],http://repository.lppm.unila.ac.id/id/eprint/47486,2020-03-30 00:00:00.000000000,"Weak learning process is one of the problems in education. 
Therefore, to create the ideal learning process, interactive teaching 
materials are needed to make student-centered learning.This study 
aims to describe and analyze teacher and student responses to the 
development of guided inquiry students worksheets, as well as see 
their effectiveness in growing critical thinking skills and student 
communication skills. The research method used is the Mix method 
with Research and Development type. The instrument used in the 
form of a feasibility questionnaire and tests of critical thinking 
skills and communication skills. Based on the research results 
obtained that the development of worksheets got very valid results 
from the validators, got very good responses from teachers and 
students and proven able to foster critical thinking and 
communication skills.",3.0,Indonesian Journal Of Science and Mathematics Education,"Unit Riset dan Publikasi Ilmiah, akultas Tarbiyah dan Keguruan, UIN Raden Intan Lampung",['FKIP9'],disk0_bak/00/04/74/86,6,pub,public,2615-8639,2022-12-27 03:47:47,http://103.88.229.8/index.php/IJSME/article/view/5146,18-26,,,,,,10.24042/ijsme.v3i1.5146,"[{'url': 'http://ejournal.radenintan.ac.id/index.php/IJSME/index', 'type': 'pub'}]",['Universitas Lampung'],,,,,,,
14,show,2022-12-28 07:24:14,47489,archive,2022-12-28 07:24:14,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/186545', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 47489, 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'main': '3-2020.pdf', 'docid': 186545, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/520754', 'filename': '3-2020.pdf', 'objectid': 186545, 'filesize': 339188, 'mtime': '2022-12-27 04:09:58', 'hash_type': 'MD5', 'hash': '1898006c52ca3798263d7280fcfb48a8', 'mime_type': 'application/pdf', 'fileid': 520754, 'datasetid': 'document'}], 'format': 'text'}]",884,2,A Need Analysis Of Stem-Integrated Flipped Classroom E-Module To Improve Critical Thinking Skills,TRUE,"[{'name': {'honourific': None, 'lineage': None, 'family': 'Herlina', 'given': 'Kartini'}, 'id': 'kartini.herlina@fkip.unila.ac.id'}]",article,published,['L1'],http://repository.lppm.unila.ac.id/id/eprint/47489,2020-07-31 00:00:00.000000000,"In recent years, the flipped classroom and STEM learning approach has become one of the interesting studies in Education. Various researches were conducted to determine their impact on learning. This research is a descriptive survey conducted to determine the needs of teachers and students about e-module with the STEM integrated flipped classroom. Data were collected using a questionnaire with 15 respondents who work as physics teachers in Lampung Province and 30 respondents from grade XI students in one of the high schools in Bandar Lampung. Based on the survey results, we concluded that (1) 86% of physics teachers stated that 
they needed a STEM-integrated flipped classroom e-module, and(2) 78% of students stated that they were interested in learning by using a STEM-integrated flipped classroom e-module. So it is clear that physics teachers and students in Lampung need e-modules with a flipped classroom approach and integrated STEM.",3.0,Indonesian Journal Of Science and Mathematics Education,"Unit Riset dan Publikasi Ilmiah, akultas Tarbiyah dan Keguruan, UIN Raden Intan Lampung",['FKIP9'],disk0_bak/00/04/74/89,6,pub,public,2615-8639,2022-12-28 07:24:14,http://103.88.229.8/index.php/IJSME/article/view/6121,178-184,,,,,,10.24042/ijsme.v3i2.6121,"[{'url': 'http://ejournal.radenintan.ac.id/index.php/IJSME/index', 'type': 'pub'}]",['Universitas Lampung'],,,,,,,
15,show,2022-12-28 07:24:52,47501,archive,2022-12-28 07:24:52,"[{'placement': 1, 'eprintid': 47501, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/186558', 'security': 'public', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/520835', 'filename': '8-2020.pdf', 'objectid': 186558, 'filesize': 880456, 'mtime': '2022-12-27 06:26:16', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'hash': '29353b1f1f1c1079268cb5a08ee5ac96', 'datasetid': 'document', 'fileid': 520835}], 'main': '8-2020.pdf', 'docid': 186558, 'format': 'text', 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1}]",884,1,Perception of Physics Teachers and Students about E-Modules Using Stem-Integrated Flipped Classroom Approach to Improve Critical Thinking Skills,TRUE,"[{'name': {'honourific': None, 'family': 'Herlina', 'lineage': None, 'given': 'Kartini'}, 'id': 'kartini.herlina@fkip.unila.ac.id'}]",article,published,['L1'],http://repository.lppm.unila.ac.id/id/eprint/47501,2020-06-30 00:00:00.000000000,"The purpose of this study was to describe the perceptions of teachers and students related to the use of e-modules using the integrated STEM flipped classroom approach. The approach used was a STEM-integrated flipped classroom . Data collection methods using a questionnaire were analyzed with descriptive analysis with the 15 professional and unprofessional teachers and 30 students in Lampung province as respondents. The results of teachers 'perceptions about e-modules amounted to 66.7% if presented as belonging to the 
required category, while the results of students'perceptions using e-modules amounted to 63.3% and classified as needed. The practice was also needed in making e-modules with the results of 73.3% of teachers answering practical answers and 56.7% of students answering practical questions. It can be inferred that students need new teaching materials to support practical and 
easy to use learning t any time limit.",8.0,Jurnal Pembelajaran Fisika,"Program Studi S1 Pendidikan Fisika, FKIP, Universitas Lampung",['FKIP9'],disk0_bak/00/04/75/01,6,pub,public,2684-9828,2022-12-28 07:24:52,http://jurnal.fkip.unila.ac.id/index.php/JPF,1-8,,,,,,10.23960/jpf.v8.n1.202001,"[{'type': 'pub', 'url': 'http://jurnal.fkip.unila.ac.id/index.php/JPF'}]",['Universitas Lampung'],,,,,,,
16,show,2022-12-28 07:25:00,47504,archive,2022-12-28 07:25:00,"[{'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'main': '12-2020.pdf', 'files': [{'objectid': 186561, 'filesize': 534857, 'uri': 'http://repository.lppm.unila.ac.id/id/file/520857', 'filename': '12-2020.pdf', 'hash_type': 'MD5', 'mtime': '2022-12-27 07:08:19', 'fileid': 520857, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': 'fa00a428446eece15c98038e049fec4d'}], 'docid': 186561, 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/186561', 'security': 'public', 'placement': 1, 'eprintid': 47504}]",884,,The Practicality and Effectiveness of Multiple Representations Based Teaching Material to Improve Student’s Self-Efficacy and Ability of Physics Problem Solving,TRUE,"[{'name': {'given': 'Kartini', 'honourific': None, 'family': 'Herlina', 'lineage': None}, 'id': 'kartini.herlina@fkip.unila.ac.id'}]",conference_item,published,['L1'],http://repository.lppm.unila.ac.id/id/eprint/47504,1970-01-01 00:00:00.000002020,"The objective of this research was to find out the practicality and effectiveness of multiple representation based teaching material to improve student’s self-efficacy and ability of physics problem solving in static electricity material. This was a quasi-experiment research by using pretest-posttest control group design. Samples were taken by using purposive sampling. Samples were grade XII students in Public Senior High School 15 (SMAN 15) in Bandar Lampung, YP UNILA Senior High School in Bandar Lampung, and Public Senior High School 2 (SMAN 2) in Kalianda. Instruments used were observation sheets for teaching material implementation, students’ response to teaching material, student’s activity sheet, self-efficacy sheet, and problems for student’s problem solving ability test. Data were analyzed by using descriptive analysis with percentage, N-gain analysis, and independent t-test. The research results showed that multiple representations based teaching material were: 1) practical to use in learning, and it was shown by (a) the average implementation of teaching materials in each 
learning activity, and (b) positive student’s response in using teaching materials; 2) effective, and it was shown by (a) active category for student’s activity during learning, and (b) significant differences of self-efficacy and problem solving ability.",,,,['FKIP9'],disk0_bak/00/04/75/04,7,pub,public,,2022-12-28 07:25:00,,,Bandar Lampung,"November 4-5, 2019",paper,"Young Scholar Symposium on Science Education and Environment 2019 4-5 November 2019, Lampung, Indonesia",conference,,,['Universitas Lampung'],,,,,,,
17,show,2022-12-28 07:24:43,47498,archive,2022-12-28 07:24:43,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/186555', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 47498, 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'main': '6-2020.pdf', 'files': [{'datasetid': 'document', 'fileid': 520814, 'hash': '8ba381ac194908ff002b7a703aa4d32a', 'mime_type': 'application/pdf', 'objectid': 186555, 'filesize': 1086739, 'uri': 'http://repository.lppm.unila.ac.id/id/file/520814', 'filename': '6-2020.pdf', 'hash_type': 'MD5', 'mtime': '2022-12-27 05:14:53'}], 'docid': 186555, 'format': 'text'}]",884,,"Teachers perceptions and anxiety about using
multimedia in learning geometry optics concept: A
preliminary research on STEM learning makerspace",TRUE,"[{'id': 'kartini.herlina@fkip.unila.ac.id', 'name': {'family': 'Herlina', 'lineage': None, 'honourific': None, 'given': 'Kartini'}}]",conference_item,published,['L1'],http://repository.lppm.unila.ac.id/id/eprint/47498,1970-01-01 00:00:00.000002020,"One of the effects of the rapid development in 21st century that has raised the attention of practitioners, international organizations is the demand in education. Learning activities are a major part of education in schools. So in the learning process infrastructure updates are needed including multimedia learning. This research was conducted to analyze the form of multimedia as a learning resource that supports STEM learning and teacher anxiety levels in the use of multimedia in physics lessons. The research method used is a mixed method. The study was 
conducted in several high schools in Lampung with research subject is 90 Teachers of physics subjects. Data collection techniques used questionnaires, interviews and observations. The results showed that teachers tended to use print media and had not used multimedia. Teachers have considerable anxiety when they only teach physics using print media. Multimedia that is expected according to the perceptions of teachers is able to present the lessons in a clear, detailed, easy to use, easy to understand the language, presenting images, animations, and videos that clarify the material. So in future research, it is necessary to develop multimedia that is expected to be able to support STEM learning and student learning independence.",,,,['FKIP9'],disk0_bak/00/04/74/98,7,pub,public,,2022-12-28 07:24:43,https://iopscience.iop.org/article/10.1088/1742-6596/1572/1/012066/meta,1-8,"Bandar Lampung, Indonesia","26-28 September 2019,",paper,The 9th International Conference on Theoretical and Applied Physics (ICTAP),conference,,"[{'url': 'https://iopscience.iop.org/journal/1742-6596', 'type': 'pub'}]",['Universitas Lampung'],,,,,,,
18,show,2020-11-19 11:32:28,26193,archive,2020-11-19 11:32:28,"[{'format': 'text', 'main': '1 a Artikel Literasi Sains_JPP_Nina K.pdf', 'files': [{'mime_type': 'application/pdf', 'hash': '0dc9a8b214bdce00017fc71349cb6f31', 'datasetid': 'document', 'fileid': 236090, 'filename': '1 a Artikel Literasi Sains_JPP_Nina K.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/236090', 'objectid': 40079, 'filesize': 1705797, 'mtime': '2020-11-19 03:42:45', 'hash_type': 'MD5'}], 'docid': 40079, 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 26193, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/40079', 'pos': 1}]",706,1,"Identification of Scientific Literacy of Elementary School Students in
Central Lampung District",TRUE,"[{'name': {'honourific': None, 'family': 'Kadaritna', 'lineage': None, 'given': 'Nina'}, 'id': 'kadaritna@yahoo.com'}, {'name': {'given': 'Undang', 'honourific': None, 'family': 'Rosidin', 'lineage': None}, 'id': 'undangros@yahoo.com'}, {'name': {'lineage': None, 'family': 'Nurulsari', 'honourific': None, 'given': 'Novinta'}, 'id': 'novintanurulsari@fkip.unila.ac.id'}, {'name': {'family': 'Rakhmawati', 'lineage': None, 'honourific': None, 'given': 'Ismi'}, 'id': 'ismirakhmawati@gmail.com'}]",article,published,['L1'],http://repository.lppm.unila.ac.id/id/eprint/26193,1970-01-01 00:00:00.000002020,"Objective: Identify scientific literacy skills of elementary school students that
can be actualized in the form of local government policies. Method: This descriptive study involved
36 schools with a total of 380 Elementary School students in Lampung Tengah District obtained using
purposive sampling technique. Students examined with scientific literacy questions adapted from PISA
(Programs for International Student Assessment) question items and scientific literacy data are analyzed
descriptively. Findings: The research data shows that students who understand concepts of science
are only 16.07%, misconcept are 8.6%, mistaken are 37.5%, and not understand are 37.8%. Elementary
students who understand the concepts of science are still fewin all knowledge categories which are
factual category 16.75%, conceptual 16.08%, and procedural 13.5%. Conclusion: Elementary students’
scientific literacy in Central Lampung is still in the low category.",10.0,Jurnal Pendidikan Progresif,FKIP Universitas Lampung,['FKIP9'],disk0/00/02/61/93,6,pub,public,e-ISSN: 2550-1313 | p-ISSN: 2087-9849,2020-11-19 11:32:28,http://jurnal.fkip.unila.ac.id/index.php/jpp/issue/archive,,,,,,,,,,,,,,,,
19,show,2021-06-02 01:08:08,31626,archive,2021-06-02 01:08:08,"[{'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/143252', 'pos': 2, 'eprintid': 31626, 'placement': 2, 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'format': 'text', 'main': '21480-51502-1-PB.pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/374837', 'filename': '21480-51502-1-PB.pdf', 'objectid': 143252, 'filesize': 645504, 'mtime': '2021-06-01 13:50:05', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'hash': 'f28593ca0ef8c17d2295c1cb7ab02d8b', 'datasetid': 'document', 'fileid': 374837}], 'docid': 143252}]",44,2,The Role of Social Media in Learning Physics: Teacher and Student Perceptions,TRUE,"[{'id': None, 'name': {'given': 'Rika Dwi', 'honourific': None, 'lineage': None, 'family': 'Kurniati'}}, {'id': 'doniandra.fisika10@gmail.com', 'name': {'given': 'Doni', 'family': 'Andra', 'lineage': None, 'honourific': None}}, {'id': 'wayandistrik8@gmail.com', 'name': {'honourific': None, 'family': 'Distrik', 'lineage': None, 'given': 'I Wayan'}}]",article,published,['L1'],http://repository.lppm.unila.ac.id/id/eprint/31626,2020-12-29 00:00:00.000000000,"This study aims to determine the role of social media in learning . We know that today, social media has an indispensable role in the learning process. In addition, social media has made it a smaller world through social media so that people from anywhere in the world can interact 
without being limited by distance and time. This study used a mixed method consisting of qualitative and quantitative data. This research involved 308 students in Lampung province. The results of the research conducted stated that 65% of students used smartphones in learning. 73.2% 
of students stated that the application that is often opened is social media. 87.2% stated that the most frequently accessed social media is chatting media. 48.2% of students prefer playing on social media than learning physics. 72.3% of students stated that they prefer to discuss through 
chatting media. Based on the results of the preliminary study, the role of social media is very active, 48% of students stated that they use social media for learning discussions 43% of teachers stated that they always use social media to support learning.",8.0,Jurnal Pembelajaran Fisika,Universitas Lampung,['FKIP9'],disk0/00/03/16/26,9,pub,public,2302-0105,2021-06-02 01:08:08,http://jurnal.fkip.unila.ac.id/index.php/JPF,159-166,,,,,,http://dx.doi.org/10.23960/jpf.v8.n2.202004,[{'url': 'http://jurnal.fkip.unila.ac.id/index.php/JPF/article/view/21480/pdf'}],['Universitas Lampung'],,,,,,,
20,show,2021-04-24 03:06:13,29595,archive,2021-04-24 03:06:13,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/43782', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 29595, 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 2, 'main': 'Community Participation in Flood Disaster Mitigation Oriented on The Preparedness A Literature Review.pdf', 'docid': 43782, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/261972', 'filename': 'Community Participation in Flood Disaster Mitigation Oriented on The Preparedness A Literature Review.pdf', 'filesize': 2111870, 'objectid': 43782, 'mtime': '2020-12-30 10:31:29', 'hash_type': 'MD5', 'hash': 'd6d945cf76bf89a904af15d2d9f4d0e8', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 261972}], 'format': 'text'}, {'main': 'PR-17.pdf', 'files': [{'hash_type': 'MD5', 'mtime': '2021-04-23 02:29:42', 'filesize': 754583, 'objectid': 43783, 'uri': 'http://repository.lppm.unila.ac.id/id/file/261973', 'filename': 'PR-17.pdf', 'datasetid': 'document', 'fileid': 261973, 'mime_type': 'application/pdf', 'hash': '1148ab195fe3f59022269ec25b2a079c'}], 'docid': 43783, 'format': 'text', 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'placement': 2, 'eprintid': 29595, 'pos': 2, 'uri': 'http://repository.lppm.unila.ac.id/id/document/43783', 'security': 'public'}]",1075,,Cek Similarity/Originality: Community Participation in Flood Disaster Mitigation Oriented on The Preparedness: A Literature Review,,"[{'name': {'given': 'Irma Lusi', 'honourific': None, 'lineage': None, 'family': 'Nugraheni'}, 'id': 'irmalusi42@gmail.com'}, {'name': {'given': 'Agus', 'honourific': None, 'lineage': None, 'family': 'Suyatna'}, 'id': 'asuyatna@yahoo.com'}]",other,published,['GE'],http://repository.lppm.unila.ac.id/id/eprint/29595,1970-01-01 00:00:00.000002020,"The purpose of this paper is to examine community participation in mitigating flood preparedness. The method used in the form of meta-analysis from the literature study of various journal articles in 2011-2019 with the topic of flood disaster mitigation in Indonesia includes Sumatra, Java, Sulawesi, Kalimantan, taken from the international journal Disaster risk reduction, Sumatra Journal of disaster, geography and geography education Jamba: Journal of disaster risk studies, nature science, and from international seminars. The lack of articles in Indonesia that discusses public participation in English language flooding disasters such as articles from other countries, causes this research has never been done. The review results show that of the 9 articles used, it turns out that community participation in dealing with floods in several regions in Indonesia is included in the active category. Forms of participation include participation in the form of money, labor contributions, inter-community education, supervision of infrastructure development and the addition of green open space.",,,IOP Publishing,['FKIP9'],disk0/00/02/95/95,4,pub,public,,2021-04-24 03:06:13,https://iopscience.iop.org/article/10.1088/1742-6596/1467/1/012028,,,,,,,10.1088/1742-6596/1467/1/012059,"[{'type': 'pub', 'url': 'https://iopscience.iop.org/issue/1742-6596/1467/1'}]","['Universitas Lampung', 'Universitas Lampung']",,"Journal of Physics: Conference Series, Volume 1467",27212.0,,,,
21,show,2021-05-20 07:33:05,30247,archive,2021-05-20 07:33:05,"[{'format': 'text', 'main': 'Pengaruh Penerapan Pembelajaran Project Based Learning Terhadap Kreativitas Siswa pada Materi Energi Terbarukan.pdf', 'docid': 135954, 'files': [{'hash_type': 'MD5', 'mtime': '2021-05-20 02:33:17', 'objectid': 135954, 'filesize': 822011, 'uri': 'http://repository.lppm.unila.ac.id/id/file/358599', 'filename': 'Pengaruh Penerapan Pembelajaran Project Based Learning Terhadap Kreativitas Siswa pada Materi Energi Terbarukan.pdf', 'fileid': 358599, 'datasetid': 'document', 'hash': '194e5d0b08963974cc6dfdaa7fc5a0a9', 'mime_type': 'application/pdf'}], 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'eprintid': 30247, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/135954', 'pos': 1}]",734,,Reviewer : Pengaruh Penerapan Pembelajaran Project Based Learning  Terhadap Kreativitas Siswa pada Materi Energi Terbarukan,,"[{'id': 'idewaputunyeneng@gmail.com', 'name': {'given': 'I Dewa Putu', 'honourific': None, 'family': 'Nyeneng', 'lineage': None}}]",other,,"['L1', 'LB1501', 'LB2300']",http://repository.lppm.unila.ac.id/id/eprint/30247,1970-01-01 00:00:00.000002020,,,,FKIP UNILA,['FKIP9'],disk0/00/03/02/47,10,pub,public,,2021-05-20 07:33:05,,,,,,,,,,,[{'type': 'http://www.loc.gov/loc.terms/relators/AUT'}],,,,,,
