,subjects,event_title,date_type,abstract,uri,date,divisions,dir,event_type,status_changed,full_text_status,rev_number,ispublished,eprint_status,eprintid,datestamp,metadata_visibility,userid,documents,lastmod,pres_type,type,creators,refereed,event_dates,title,event_location,publisher,volume,series,number,pages,editors,place_of_pub,isbn,corp_creators,official_url,pagerange,book_title,id_number,patent_applicant,publication,issn,related_url,contributors,contact_email,referencetext,keywords
10,['HB'],,published,"Buku ajar Operasi Bisnis ini ditulis untuk melengkapi media pembelajaran dan sekaligus sebagai pegangan bagi mahasiswa Jurusan Ilmu Administrasi Bisnis FISIP Universitas Lampung dalam menempuh mata kuliah Operasi Bisnis. Buku ini cocok digunakan oleh mahasiswa, terutama strata satu (S-1), Jurusan Adm. Bisnis, Manajemen, dan Akuntansi. Sajian materi  dalam buku ajar ini lebih ringkas dan langsung menuju pada pokok bahasannya. Penyampaian materi ajar tiap bab dapat dilakukan secara tutorial, latihan soal, dan praktikum. Khusus pada Bab Manajemen Mutu, penyampaian materi ajar pada Subbab Pengukuran Mutu Secara Statistik, memerlukan bantuan software POM For Windows. Untuk mempermudah memahami penggunaan software tersebut pembaca dapat merujuk ke buku karangan Rander & Heizer (2001).",http://repository.lppm.unila.ac.id/id/eprint/50473,1970-01-01 00:00:00.000002017,['FISIP1'],disk0_bak/00/05/04/73,,2023-04-13 05:07:26,public,7,pub,archive,50473,2023-04-13 05:07:26,show,348,"[{'format': 'text', 'main': 'Operasi Bisnis.pdf', 'docid': 190177, 'files': [{'mtime': '2023-04-13 03:41:53', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/544575', 'filename': 'Operasi Bisnis.pdf', 'filesize': 2904019, 'objectid': 190177, 'hash': '14dd7fddcf3b78426fe59b187a0f40a5', 'mime_type': 'application/pdf', 'fileid': 544575, 'datasetid': 'document'}], 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'eprintid': 50473, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/190177'}]",2023-04-13 05:07:26,,book,"[{'id': 'rifaiunila@gmail.com', 'name': {'given': 'Ahmad', 'family': ""Rifa'i"", 'lineage': None, 'honourific': None}}]",TRUE,,Operasi Bisnis,,AURA,,,,83.0,,Bandar Lampung,978-602-5636-01-1,['Universitas Lampung'],,,,,,,,,,,,
11,['HB'],"Seminar Nasional Metode Kuantitatif  “Penggunaan Matematika, Statistika, dan Komputer dalam Berbagai Disiplin Ilmu untuk Mewujudkan Kemakmuran Bangsa”",published,"Tujuan penelitian ini adalah menghitung pengaruh Angka Harapan Hidup, Rata-Rata Lama Sekolah, Banyaknya Tenaga Kesehatan, Persentase Penduduk Miskin, Pendapatan  Per Kapita, dan Pertumbuhan Ekonomi terhadap Indek Pembangunan Manusia (IPM) Kota Bandar Lampung dan Kota Metro di Provinsi Lampung Tahun 2002 – 2015. Data yang kami gunakan adalah data sekunder. Teknik analisis data menggunakan regresi linear berganda. Kami juga menggunakan uji asumsi klasik, yaitu uji gejala multikolineritas, heteroskedastisitas, dan autokolerasi untuk memperoleh pemerkira hasil estimasi yang bersifat BLUE (Best Linear Unbiased Estimator). Hasil penelitian menunjukkan pemerkira hasil estimasi terbebas dari gajala asumsi klasik sehingga model yang diperoleh memenuhi sifat Best Linear Unbiased Estimator. Secara parsial Angka Harapan Hidup berpengaruh signifikan terhadap IPM dengan tingkat signifikansi 99%. Sedangkan Rata-Rata Lama Sekolah, Banyaknya Tenaga Kesehatan, Persentase Penduduk Miskin, Pendapatan Per Kapita, dan Pertumbuhan Ekonomi tidak berpengaruh sigifikan terhadap IPM, karena tingkat signifikansi yang diperoleh dibawah 95%. Secara simultan seluruh faktor berpengaruh signifikan terhadap IPM dengan tingkat signifikansi 99% dan tingkat keeratan hubungan antara variabel dependent dengan variabel independent-nya (koefisien determinasi – R2) mencapai 67,05%.

Keywords: Human Developmen Index, Life Expectacy at Birth, Mean Years Schooling, Health Personal, Poverty, GDP per Capita, dan Growth.",http://repository.lppm.unila.ac.id/id/eprint/7778,2017-12-01 00:00:00.000000000,['FISIP1'],disk0/00/00/77/78,conference,2018-06-26 02:48:57,public,8,pub,archive,7778,2018-06-26 02:48:57,show,348,"[{'files': [{'fileid': 69617, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': '33c1f52d1549fb42ad02abc7512f3a30', 'hash_type': 'MD5', 'mtime': '2018-06-25 15:46:50', 'filesize': 1459742, 'objectid': 20813, 'filename': 'Ahmad Rifai Prosiding Semnas Metode Kuantitatif 2017.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/69617'}], 'main': 'Ahmad Rifai Prosiding Semnas Metode Kuantitatif 2017.pdf', 'docid': 20813, 'format': 'text', 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'placement': 1, 'eprintid': 7778, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/20813', 'security': 'public'}]",2019-02-20 07:40:21,paper,conference_item,"[{'name': {'given': 'Ahmad', 'honourific': None, 'family': ""Rifa'i"", 'lineage': None}, 'id': 'rifaiunila@gmail.com'}, {'id': None, 'name': {'given': 'Hartono', 'family': 'Hartono', 'lineage': None, 'honourific': None}}]",TRUE,24-25 November 2017,"Indek Pembangunan Manusia dan Faktor Yang Mempengaruhinya 
di Daerah Perkotaan Provinsi Lampung","Bandar Lampung, Lampung, Indonesia",,,,,,,,,"['Jurusan Ilmu Admiminstrasi Bisnis FISIP Universitas Lampung', 'Jurusan Ilmu Admiminstrasi Bisnis FISIP Universitas Lampung']",,195-213,,,,,,,,,,
12,['HB'],,published,"Tujuan penelitian ini adalah menghitung pengaruh Angka Harapan Hidup, Rata-Rata Lama Sekolah, Banyaknya Tenaga Kesehatan, Persentase Penduduk Miskin, Pendapatan  Per Kapita, dan Pertumbuhan Ekonomi terhadap Indek Pembangunan Manusia (IPM) Kota Bandar Lampung dan Kota Metro di Provinsi Lampung Tahun 2002 – 2015. Data yang kami gunakan adalah data sekunder. Teknik analisis data menggunakan regresi linear berganda. Kami juga menggunakan uji asumsi klasik, yaitu uji gejala multikolineritas, heteroskedastisitas, dan autokolerasi untuk memperoleh pemerkira hasil estimasi yang bersifat BLUE (Best Linear Unbiased Estimator). Hasil penelitian menunjukkan pemerkira hasil estimasi terbebas dari gajala asumsi klasik sehingga model yang diperoleh memenuhi sifat Best Linear Unbiased Estimator. Secara parsial Angka Harapan Hidup berpengaruh signifikan terhadap IPM dengan tingkat signifikansi 99%. Sedangkan Rata-Rata Lama Sekolah, Banyaknya Tenaga Kesehatan, Persentase Penduduk Miskin, Pendapatan Per Kapita, dan Pertumbuhan Ekonomi tidak berpengaruh sigifikan terhadap IPM, karena tingkat signifikansi yang diperoleh dibawah 95%. Secara simultan seluruh faktor berpengaruh signifikan terhadap IPM dengan tingkat signifikansi 99% dan tingkat keeratan hubungan antara variabel dependent dengan variabel independent-nya (koefisien determinasi – R2) mencapai 67,05%.

Keywords: Human Developmen Index, Life Expectacy at Birth, Mean Years Schooling, Health Personal, Poverty, GDP per Capita, dan Growth.",http://repository.lppm.unila.ac.id/id/eprint/7779,2017-12-01 00:00:00.000000000,['FISIP1'],disk0/00/00/77/79,,2018-06-26 02:45:43,public,9,pub,archive,7779,2018-06-26 02:45:43,show,348,"[{'eprintid': 7779, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/20814', 'pos': 1, 'format': 'text', 'docid': 20814, 'main': 'Ahmad Rifai Prosiding Semnas Metode Kuantitatif 2017.pdf', 'files': [{'objectid': 20814, 'filesize': 1459742, 'filename': 'Ahmad Rifai Prosiding Semnas Metode Kuantitatif 2017.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/69625', 'hash_type': 'MD5', 'mtime': '2018-06-25 16:13:23', 'datasetid': 'document', 'fileid': 69625, 'hash': '33c1f52d1549fb42ad02abc7512f3a30', 'mime_type': 'application/pdf'}], 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf'}]",2019-02-20 07:38:36,,article,"[{'name': {'given': 'Ahmad', 'family': ""Rifa'i"", 'lineage': None, 'honourific': None}, 'id': 'rifaiunila@gmail.com'}, {'name': {'honourific': None, 'family': 'Hartono', 'lineage': None, 'given': 'Hartono'}, 'id': None}]",TRUE,,"Indek Pembangunan Manusia dan Faktor Yang Mempengaruhinya 
di Daerah Perkotaan Provinsi Lampung",,Jurusan Matematika FMIPA Unila,,,,,,,,"['Jurusan Ilmu Admiminstrasi Bisnis FISIP Universitas Lampung', 'Jurusan Ilmu Admiminstrasi Bisnis FISIP Universitas Lampung']",,195-213,,,,Prosiding Seminar Nasional METODE KUANTITATIF 2017,978-602-98559-3-7,,,,,
13,['HB'],,published,"Surevy ini bertujuan untuk mengetahui karakteristik Rumah Tangga Miskin (RTM) penerima Raskin di Kota Metro Lampung. Jumlah sampel adalah 375 KK penerima Raskin, di ambil secara proporsional per kelurahan. Teknik pengumpulan data mengunakan kuisioner terbuka. Teknik analisis data dilakukan dengan penghitungan rasio ketergantungan dan penghitungan Indek Pembangunan Manusia (IPM) RTM penerima Raskin. Hasil survey menunjukkan nilai rasio ketergantungan RTM penerima Raskin Kota Metro adalah 64,7%, rasio ketergantungan anak adalah 53,4%, rasio ketergantungan lanjut usia adalah 11,3%. Nilai IPM  RTM penerima Raskin Kota Metro adalah 70,31 yang berarti berada pada tingkatan menengah-atas. Untuk mengurangi rasio ketergantungan Pemkot Metro dapat melakukan transisi demografi untuk memperoleh “bonus demografi” dan window of opportunity, akselelari dan intensifikasi program wajar 12 tahun, pengintensifan kejar paket A, paket B, pendidikan luar sekolah, dan madrasah salafiyah, pelibatan peran orang tua dan masyarakat dalam pendidikan, meningkatkan porsi anggaran, melakukan revitalisasi sarana sekolah, melibatkan RTM dalam kegiatan ekonomi mikro dan kecil untuk peningkatan daya beli, serta mengarahkan investasi pada sektor yang bersentuhan dengan RTM penerima Raskin.

Keyword: Indek Pembangunan Manusia, Rasio Ketergantungan Rumah Tangga Miskin, Rasio Ketergantungan Anak, Rasio Ketergantungan Usia Lanjut.",http://repository.lppm.unila.ac.id/id/eprint/7780,2017-10-18 00:00:00.000000000,['FISIP1'],disk0/00/00/77/80,,2018-06-26 02:45:45,public,7,pub,archive,7780,2018-06-26 02:45:45,show,348,"[{'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'docid': 20815, 'main': 'Ahmad Rifai Prosiding Semnas Etika Politik 2017.pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/69631', 'filename': 'Ahmad Rifai Prosiding Semnas Etika Politik 2017.pdf', 'objectid': 20815, 'filesize': 1119587, 'mtime': '2018-06-25 16:24:19', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'hash': 'cb3abeaffb755a525e4b35a563f29321', 'datasetid': 'document', 'fileid': 69631}], 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/20815', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 7780}]",2019-02-20 07:39:55,,article,"[{'name': {'family': ""Rifa'i"", 'lineage': None, 'honourific': None, 'given': 'Ahmad'}, 'id': 'rifaiunila@gmail.com'}, {'id': None, 'name': {'given': 'Ferry', 'honourific': None, 'family': 'Triatmodjo', 'lineage': None}}]",TRUE,,"KARAKTERISTIK RUMAH TANGGA MISKIN PENERIMA RASKIN 
DI KOTA METRO LAMPUNG",,FISIP UNILA,,,,,,,,"['Jurusan Ilmu Admiminstrasi Bisnis FISIP Universitas Lampung', 'Jurusan Ilmu Admiminstrasi Negara FISIP Universitas Lampung']",,358-370,,,,PROSIDING: Membangun Etika Sosial Politik Menuju Masyarakat Yang Berkeadilan,987-979-95174-9-4,,,,,
14,['H1'],,published,Hasil Cek Similarity,http://repository.lppm.unila.ac.id/id/eprint/14079,2017-08-01 00:00:00.000000000,['FISIP1'],disk0/00/01/40/79,,2019-09-09 04:09:15,public,6,pub,archive,14079,2019-09-09 04:09:15,show,539,"[{'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/27110', 'eprintid': 14079, 'placement': 1, 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'format': 'text', 'docid': 27110, 'main': 'Hasil Cek Similarity_DYNAMIC_CAPABILITIES_AND_CREATING_ORGANIZATIONAL_K(1).pdf', 'files': [{'datasetid': 'document', 'fileid': 122454, 'mime_type': 'application/pdf', 'hash': '8ce048210236b3e87494f4b587fa0ff8', 'hash_type': 'MD5', 'mtime': '2019-09-06 04:33:29', 'objectid': 27110, 'filesize': 4001834, 'filename': 'Hasil Cek Similarity_DYNAMIC_CAPABILITIES_AND_CREATING_ORGANIZATIONAL_K(1).pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/122454'}]}]",2019-09-09 04:09:15,,article,"[{'name': {'given': 'Arif', 'honourific': None, 'family': 'Sugiono', 'lineage': None}, 'id': 'arifsugiono01@gmail.com'}]",TRUE,,Dynamic Capabilities & Creating Organizational Knowledge: Important Linkage for Building Competitive Advantage,,Ivolga Press,8.0,,68.0,,,,,['Ilmu Adm. Bisnis FISIP Unila'],https://doi.org/10.18551/rjoas.2017-08.26,233-241,,,,Russian Journal of Agricultural and Socio-Economic Sciences,2226-1184,,,,,
15,['H1'],International Conference,published,Hasil Penilaian Teman Sejawat/Peer Review,http://repository.lppm.unila.ac.id/id/eprint/14049,2017-11-01 00:00:00.000000000,['FISIP1'],disk0/00/01/40/49,conference,2019-09-09 04:09:27,public,9,pub,archive,14049,2019-09-09 04:09:27,show,539,"[{'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'main': '6. A New Model SM.pdf', 'docid': 27081, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/122265', 'filename': '6. A New Model SM.pdf', 'filesize': 987074, 'objectid': 27081, 'mtime': '2019-09-05 04:49:00', 'hash_type': 'MD5', 'hash': 'aaa8ed93b5634efb69b32224d213049f', 'mime_type': 'application/pdf', 'fileid': 122265, 'datasetid': 'document'}], 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/27081', 'security': 'public', 'placement': 1, 'eprintid': 14049}]",2019-09-09 04:09:27,speech,conference_item,"[{'name': {'given': 'Arif', 'family': 'Sugiono', 'lineage': None, 'honourific': None}, 'id': 'arifsugiono01@gmail.com'}]",TRUE,9-10 November 2016,A New Model Strategic Management in the Knowledge and Networked Innovatioan Economy Era,Pekan Baru Riau,,,,,,,,,['Ilmu Adm. Bisnis FISIP Unila'],,1-5,,,,,,,,,,
16,['H1'],,published,Hasil Cek Similarity,http://repository.lppm.unila.ac.id/id/eprint/14080,2017-11-01 00:00:00.000000000,['FISIP1'],disk0/00/01/40/80,,2019-09-09 04:09:19,public,6,pub,archive,14080,2019-09-09 04:09:19,show,539,"[{'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/27111', 'security': 'public', 'placement': 1, 'eprintid': 14080, 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'docid': 27111, 'main': 'Hasil Cek Similarity_UNDERSTANDING_AND_CRITICIZING_DYNAMIC_CAPABILITIES.pdf', 'files': [{'objectid': 27111, 'filesize': 2868900, 'filename': 'Hasil Cek Similarity_UNDERSTANDING_AND_CRITICIZING_DYNAMIC_CAPABILITIES.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/122460', 'hash_type': 'MD5', 'mtime': '2019-09-06 04:38:40', 'datasetid': 'document', 'fileid': 122460, 'hash': '0b9a72a1e931d559aaffb8608f7dc7cb', 'mime_type': 'application/pdf'}], 'format': 'text'}]",2019-09-09 04:09:19,,article,"[{'id': 'arifsugiono01@gmail.com', 'name': {'honourific': None, 'lineage': None, 'family': 'Sugiono', 'given': 'Arif'}}]",TRUE,,Understanding and Criticizing Dynamic Capabilities Models,,Ivolga Press,11.0,,71.0,,,,,['Ilmu Adm. Bisnis FISIP Unila'],https://rjoas.com/issue-2017-11/,84-91,,,,Russian Journal of Agricultural and Socio-Economic Sciences,2226-1184,,,,,
17,['H1'],,published,Hasil Penilaian Peer Review,http://repository.lppm.unila.ac.id/id/eprint/14110,2017-11-01 00:00:00.000000000,['FISIP1'],disk0/00/01/41/10,,2019-10-16 03:06:39,public,6,pub,archive,14110,2019-10-16 03:06:39,show,539,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/27151', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 14110, 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'main': '2.Understanding & Criticizing DC Model.pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/122751', 'filename': '2.Understanding & Criticizing DC Model.pdf', 'filesize': 1221638, 'objectid': 27151, 'mtime': '2019-09-09 07:28:49', 'hash_type': 'MD5', 'hash': '4b3587856e41c226b60c986e7bb13a26', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 122751}], 'docid': 27151, 'format': 'text'}]",2019-10-16 03:06:39,,article,"[{'id': 'arifsugiono01@gmail.com', 'name': {'honourific': None, 'lineage': None, 'family': 'Sugiono', 'given': 'Arif'}}]",TRUE,,Understanding and Criticizing Dynamic Capabilities Models,,Ivolga Press,11.0,,71.0,,,,,['Ilmu Adm. Bisnis FISIP Unila'],https://rjoas.com/issue-2017-11/article_11.pdf,84-91,,,,Russian Journal of Agricultural and Socio-Economic Sciences,2226-1184,,,,,
18,['HF'],,published,"As a concept derived from the resource-based view, dynamic capabilities essentially have an important linkage with activities related to the creation of organizational knowledge. Using literature study method, this paper aims to discuss the linkage between the creation of dynamic knowledge capabilities and the creation of knowledge company. The study shows that the discussion of dynamic capabilities creation finally puts both learning and knowledge in an important position. Correspondingly, the relationship between a growth strategy that is generally chosen by the organization brings a consequence that the creation of organizational knowledge becomes something that can not be ignored. In order to make the process of knowledge creation in line with dynamic capabilities creation within a growth strategy creation framework, we need a dynamic process of knowledge creation. Among the various models of knowledge creation, SECI model still becomes a relevant model within organizational knowledge creation framework. In general, this study is still theoretical, therefore, more empirical subsequent discussions are expected.",http://repository.lppm.unila.ac.id/id/eprint/8679,2017-08-01 00:00:00.000000000,['FISIP1'],disk0/00/00/86/79,,2018-07-30 08:17:15,public,6,pub,archive,8679,2018-07-30 08:17:15,show,539,"[{'format': 'text', 'main': 'RJOAS (Agustus) 2017.pdf', 'files': [{'hash_type': 'MD5', 'mtime': '2018-07-26 06:53:15', 'objectid': 21751, 'filesize': 260696, 'filename': 'RJOAS (Agustus) 2017.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/84659', 'datasetid': 'document', 'fileid': 84659, 'mime_type': 'application/pdf', 'hash': '67a65bed6f1468e55b3ddd9c16cf316a'}], 'docid': 21751, 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 8679, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/21751', 'pos': 1}]",2018-07-30 08:17:15,,article,"[{'name': {'honourific': None, 'family': 'Sugiono', 'lineage': None, 'given': 'Arif'}, 'id': 'arifsugiono01@gmail.com'}, {'id': None, 'name': {'lineage': None, 'family': 'Arifianti', 'honourific': None, 'given': 'Ria'}}, {'id': None, 'name': {'given': 'Sam""un', 'family': 'Jaja R', 'lineage': None, 'honourific': None}}, {'id': None, 'name': {'given': 'Erna', 'honourific': None, 'lineage': None, 'family': 'Maulina'}}]",TRUE,,Dynamic Capabilities & Creating Organizational Knowledge: Important Linkage for Building Competitive Advantage,,,8.0,,68.0,,,,,"['Business Administration Departement, University Of Lampung', 'Business Administration Department, Universitas Padjadjaran, Indonesia', 'siness Administration Department, Universitas Padjadjaran, Indonesia', 'siness Administration Department, Universitas Padjadjaran, Indonesia']",https://doi.org/10.18551/rjoas.2017-08.26,233-241,,,,Russian Journal Of Agricultural and socio economic science,2226-1184,,,,,
19,['HF'],,published,"Industri Kreatif hadir sebagai sebuah lokomotif baru dalam perekonomian sebuah bangsa, khususnya Indonesia. Untuk mewujudkan itu, dibutuhkan sebuah usaha yang bersifat kolaboratif diantara berbagai aktor (pentha helix) yang terlibat, yakni pelaku bisnis, komunitas, akademisi pemerintah, dan media 

Sebagai sebuah emerging industry, Industri kreatif, masih membutuhkan bebera pekerjaan rumah. Baik pada level makro, meso dan mikro. Buku ini fokus pada agenda yang harus disiapkan pada level mikro (pelaku industri kreatif). Tanpa bermaksud mengabaikan perspektif lain (market based view) yang tidak kalah pentingnya dalam mendesain sebuah strategi bisnis, dalam rangka mencapai keunggulan daya saing yang berkelanjutan, pembahasan pada buku ini fokus pada resource based view, yakni dynamic capabilities. Sebuah bahasan yang penting bagi pelaku industri kreatif, ketika ingin menciptakan sebuah capabilities organisasi ditengah di tengah dinamika lingkungan yang berubah dengan cepat bahkan cenderung  disruption.  

Ketika kreativitas menjadi hak setiap warga negara, maka kewajiban kita semua untuk menjadi kreatif, dan memajukan industri kreatif.",http://repository.lppm.unila.ac.id/id/eprint/8692,2017-09-01 00:00:00.000000000,['FISIP1'],disk0/00/00/86/92,,2018-07-30 08:17:26,public,7,pub,archive,8692,2018-07-30 08:17:26,show,539,"[{'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/21765', 'security': 'public', 'placement': 1, 'eprintid': 8692, 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'main': 'Dynamic Capabilities.pdf', 'docid': 21765, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/84742', 'filename': 'Dynamic Capabilities.pdf', 'filesize': 241380, 'objectid': 21765, 'mtime': '2018-07-30 03:18:47', 'hash_type': 'MD5', 'hash': 'a1899eaca49609640c936373e7cda348', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 84742}], 'format': 'text'}]",2018-07-30 08:17:26,,book,"[{'name': {'lineage': None, 'family': 'Sugiono', 'honourific': None, 'given': 'Arif'}, 'id': 'arifsugiono01@gmail.com'}, {'id': None, 'name': {'given': 'Ria', 'family': 'Arifianti', 'lineage': None, 'honourific': None}}, {'name': {'family': 'Raharja', 'lineage': None, 'honourific': None, 'given': ""Sam'un""}, 'id': None}, {'id': None, 'name': {'honourific': None, 'lineage': None, 'family': 'Maulina', 'given': 'Erna'}}]",TRUE,,Dynamic Capabilities : Strategi dan Kunci Sukses Persaingan dalam Bidang Industri Kreatif,,Penerbit Ombak,,,,173.0,,Yogjakarta,9786022584551,"['Business Administration Departement, University Of Lampung']",,,,,,,,,,,,
20,['H1'],,published,Hasil Cek Similarity,http://repository.lppm.unila.ac.id/id/eprint/14078,1970-01-01 00:00:00.000002017,['FISIP1'],disk0/00/01/40/78,,2019-09-09 04:09:11,public,6,pub,archive,14078,2019-09-09 04:09:11,show,539,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/27109', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 14078, 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'files': [{'hash': 'd63775eb123dc70d8476747bd345befc', 'mime_type': 'application/pdf', 'fileid': 122448, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/122448', 'filename': 'Hasil Cek Similarity_A_New_Model_Strategic_Management_in_the_Knowledge_.pdf', 'objectid': 27109, 'filesize': 1875768, 'mtime': '2019-09-06 04:28:12', 'hash_type': 'MD5'}], 'main': 'Hasil Cek Similarity_A_New_Model_Strategic_Management_in_the_Knowledge_.pdf', 'docid': 27109, 'format': 'text'}]",2019-09-09 04:09:11,,article,"[{'id': 'arifsugiono01@gmail.com', 'name': {'given': 'Arif', 'honourific': None, 'lineage': None, 'family': 'Sugiono'}}, {'name': {'given': 'Yudith D', 'family': 'Hapsari', 'lineage': None, 'honourific': None}, 'id': None}]",TRUE,,A New Model Strategic Management in the Knowledge and Networked Innovation Economy Era,,LPPM Universitas Riau,1.0,,1.0,,,,,['Ilmu Adm. Bisnis FISIP Unila'],,1-5,,,,International Conference on Science and Technology,,[{'url': 'http://repository.lppm.unila.ac.id/8681/%20//www.estech.org'}],,,,
21,['HF'],,published,"There are at least four researchers who discussed the  dynamic capabilities creation model, including  Zollo & Winter (2002), Helfat (2007), Teece (2007) and Mc Carthy & Gordon (2010). This paper aims to understand and critize the models proposed by the four researchers above. The method used is literature study. Therefore  this study can be used as a reference in formulating dynamic capabilities creation model that can adopt  the dynamic  of organization environment. The results of understanding and criticism some models, showing some important discussion that could be used as guidelines when it required to design a more comprehensive dynamic creation model.",http://repository.lppm.unila.ac.id/id/eprint/8680,2017-11-01 00:00:00.000000000,['FISIP1'],disk0/00/00/86/80,,2018-07-30 08:17:17,public,7,pub,archive,8680,2018-07-30 08:17:17,show,539,"[{'eprintid': 8680, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/21753', 'pos': 1, 'format': 'text', 'docid': 21753, 'main': 'Naskah Arif S ugiono, November 2017.pdf', 'files': [{'hash': '48f79af75c7ea36f580d37703b106aec', 'mime_type': 'application/pdf', 'fileid': 84667, 'datasetid': 'document', 'mtime': '2018-07-26 07:20:49', 'hash_type': 'MD5', 'filename': 'Naskah Arif S ugiono, November 2017.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/84667', 'filesize': 301718, 'objectid': 21753}], 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf'}]",2018-07-30 08:17:17,,article,"[{'name': {'honourific': None, 'family': 'Sugiono', 'lineage': None, 'given': 'Arif'}, 'id': 'arifsugiono01@gmail.com'}, {'id': None, 'name': {'given': 'Yudith D', 'family': 'Hapsari', 'lineage': None, 'honourific': None}}]",TRUE,,Understanding and Criticizing Dynamic Capabilities Models,,,11.0,,71.0,,,,,"['Business Administration Departement, University Of Lampung', 'Management Departement, Univerity Of Katolic Atmajaya Jakarta']",https://rjoas.com/issue-2017-11/,84-91,,10.18551/rjoas.2017-11.11,,Russian Journal of Agricultural and Socio-Economic Sciences,2226-1184,,,,,
