,divisions,dir,event_type,status_changed,full_text_status,rev_number,ispublished,subjects,event_title,abstract,date,uri,pres_type,type,creators,refereed,event_dates,title,event_location,eprintid,eprint_status,datestamp,metadata_visibility,userid,documents,lastmod,date_type,publisher,issn,publication,volume,number,pagerange,official_url
10,['FP11'],disk0/00/04/07/21,,2022-03-30 01:07:46,public,7,pub,['SD'],,Hasil Penilian Peer Review Keanekaragaman Amfibi Ordo Anura di Blok Perlindungan dan Blok Pemanfaatan Hutan Pendidikan Konservasi Terpadu Taman Hutan Raya  Wan Abdul Rachman,2019-09-05 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/40721,,other,"[{'id': 'kornelius_siahaan@yahoo.com', 'name': {'honourific': None, 'lineage': None, 'family': 'Siahaan', 'given': 'Kornelius'}}, {'name': {'given': 'Bainah Sari', 'family': 'Dewi', 'lineage': None, 'honourific': None}, 'id': None}, {'name': {'lineage': None, 'family': 'Darmawan', 'honourific': None, 'given': 'Arif'}, 'id': 'arif.darmawan@feb.unila.ac.id'}]",,,Hasil Penilian Peer Review Keanekaragaman Amfibi Ordo Anura di Blok Perlindungan dan Blok Pemanfaatan Hutan Pendidikan Konservasi Terpadu Taman Hutan Raya  Wan Abdul Rachman,,40721,archive,2022-03-30 01:07:46,show,469,"[{'placement': 1, 'eprintid': 40721, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/162096', 'security': 'public', 'docid': 162096, 'main': 'Peer Keanekaragaman amfibi Ordo Anura.pdf', 'files': [{'datasetid': 'document', 'fileid': 453108, 'mime_type': 'application/pdf', 'hash': 'a6cd9c610f3fbfebb171a58f0a3bdeaf', 'objectid': 162096, 'filesize': 818514, 'filename': 'Peer Keanekaragaman amfibi Ordo Anura.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/453108', 'hash_type': 'MD5', 'mtime': '2022-03-30 00:03:40'}], 'format': 'text', 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf'}]",2022-03-30 01:07:46,published,Jurusan Kehutanan Fakultas Pertanian Universitas Lampung,,,,,,
11,['FP11'],disk0/00/01/72/88,,2020-02-17 03:41:01,public,6,pub,['SD'],,"Ekowisata adalah salah satu bentuk pariwisata yang dominan kaidah keindahan alamnya, mempunyai unsur pendidikan, dan mendukung pengembangan kelembagaan masyarakatnya. Dengan demikian program ini cocok untuk dikembangkan di hutan lindung karena dapat menambah pendapatan masyarakat akibat adanya larangan penebangan dalam memanfaatkan hasilnya. Program ekowisata akan bisa berkembang dengan baik jika ada kerjasama yang baik antar anggota pengurusnya berdasarkan modal sosial yang dimiliki. Penelitian ini dilakukan pada bulan April-Mei 2018 di hutan lindung tepatnya di lokasi ekowisata Pinus Ecopark, Provinsi Lampung karena masih minimnya penelitian modal sosial dalam pengembangan ekowisata terutama di hutan lindung. Tujuan penelitian adalah untuk menganalisis modal sosial masyarakat yang mengelola ekowisata di hutan lindung. Berdasarkan hasil penelitian diketahui bahwa tingkatan modal sosial para pengurus Pinus Ecopark adalah sedang dan dominasi interelasinya bersifat bridging sehingga mudah untuk dapat dikembangkan level modal sosialnya dalam mendukung pengembangan lokasi ekowisata tersebut.",2019-11-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/17288,,article,"[{'name': {'given': 'Christine', 'honourific': None, 'lineage': None, 'family': 'Wulandari'}, 'id': 'christine.wulandari@fp.unila.ac.id'}]",TRUE,,Modal Sosial Masyarakat dalam Mendukung Pengembangan Ekowisata di Hutan Lindung,,17288,archive,2020-02-17 03:41:01,show,981,"[{'files': [{'hash_type': 'MD5', 'mtime': '2019-12-10 03:29:33', 'objectid': 30394, 'filesize': 603271, 'uri': 'http://repository.lppm.unila.ac.id/id/file/146391', 'filename': '01_Christine Wulandari_233-239 JHT Nov 2019.pdf', 'fileid': 146391, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': '097451af294b609c2173a054a17dadad'}], 'main': '01_Christine Wulandari_233-239 JHT Nov 2019.pdf', 'docid': 30394, 'format': 'text', 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'placement': 1, 'eprintid': 17288, 'uri': 'http://repository.lppm.unila.ac.id/id/document/30394', 'pos': 1, 'security': 'public'}]",2020-02-17 03:41:01,published,Fakultas Kehutanan Universitas Lambung Mangkurat,2337-7771,Jurnal Hutan Tropis,7,3,233-239,https://ppjp.ulm.ac.id/journal/index.php/jht/issue/archive
12,['FP11'],disk0/00/01/80/70,,2020-02-19 02:11:19,public,8,pub,['SD'],,"Ecotourism is one of the major forms of tourism in terms of its natural beauty, education, and supports the development of the community’s institution. This program is suitable to be developed in protected forests because it can increase community income due to the prohibition of logging in utilizing the forest products. The ecotourism program will be well developed if there is good collaboration between its management members based on their social capital. This research was conducted in April-May 2018 in protected forests at the “Pinus Ecopark” ecotourism location, Lampung due to the lack of social capital research in development of ecotourism in protected forests. The research objective is to analyzed the social capital of the community who manage ecotourism in protected forests. The social capital of members of “Pinus Ecopark”management unit is an intermediary and has bridging interelations, therefore easy to increase the level of social capital in supporting the development of these ecotourism site.",2019-11-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/18070,,article,"[{'id': 'christine.wulandari@fp.unila.ac.id', 'name': {'given': 'Christine', 'lineage': None, 'family': 'Wulandari', 'honourific': None}}]",TRUE,,"PEER REVIEW RESULTS OF PAPER ""Modal Sosial Masyarakat dalam Mendukung Pengembangan Ekowisata di Hutan Lindung""",,18070,archive,2020-02-19 02:11:19,show,981,"[{'pos': 2, 'uri': 'http://repository.lppm.unila.ac.id/id/document/31204', 'security': 'public', 'placement': 2, 'eprintid': 18070, 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'main': '2. Modal Sosial Wisata HL_Ganjil 2019_20.pdf', 'docid': 31204, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/152278', 'filename': '2. Modal Sosial Wisata HL_Ganjil 2019_20.pdf', 'filesize': 828082, 'objectid': 31204, 'mtime': '2020-02-18 22:22:41', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'hash': '50c34295318ecd4305a0284c91ee8950', 'fileid': 152278, 'datasetid': 'document'}], 'format': 'text'}]",2020-02-19 02:11:19,published,Fakultas Kehutanan Universitas Lambung Mangkurat,2337-7771,Jurnal Hutan Tropis,7,3,233-239,https://ppjp.ulm.ac.id/journal/index.php/jht/article/view/7509
13,['FP11'],disk0/00/01/70/28,,2019-11-18 10:26:40,public,6,pub,['SD'],,"comAbstrakKesatuan  Pemangkuan  Hutan  (KPH)  mempunyai  mandat  untuk  dapat  menjaga  kelestarian  hutan  sekaligus  mempertahan  fungsinya.  Adanya tanggung jawab yang demikian berat ini tentu harus dikerjakan bersama mitra yang benar-benar mempunyai komitmen untuk bekerjasama dengan KPH  menuju  kelestarian  hutan  sekaligus  meningkatkan  kesejahteraan  masyarakat  di  sekitarnya.  Berdasarkan  Peraturan  Menetri  Lingkungan Hidup dan Kehutanan Nomor 83 Tahun 2016 diketahui ada beberapa program Perhutanan Sosial (PS) yang bisa dan harus dilaksanakan di suatu KPH dalam menjawab kondisi dan tantangan di lapangan. Penelitian ini menggunakan analisis medan juang (Force Field Analysisatau FFA) untuk mengetahui nilai dari faktor-faktor pendukung dan penghambat dalam bermitra di KPH baik yang internal  maupun ekternal. Dari hasil analisis FFA diketahui bahwa faktor pendukung internal yang tertinggi: karena dengan PS secara bermitra lebihjelas pembagian keuntungannya. Adapun untuk faktor pendukung eksternalnya  yaitu karena ada permintaan yang tinggi atas komoditas yang dikelola secara bermitra tersebut. Faktor penghambat internal tertinggi nilainya adalah masih banyaknya masyarakat yang bermukim dalam hutan, dan faktor penghambat eksternal tertinggi adalah fluktuasi harga penjualan komoditas hasil hutan. Pada prinsipnya, implementasi program PS adalah salah satu tanggung jawab seorang Kepala KPH dalam mengoperasionalkan lembaganya terutamaketika banyak masalah sosial ditemui di lapangan. Dengan diketahuinya faktorpendukung maupun penghambat maka hasil analisa penelitian  ini  dapat digunakan  oleh  Kepala  KPH menyusun  strategi  pelaksanaan program perhutanan sosial bersama mitra agar dapat mencapai tujuannya secara efektif. Kata Kunci: Perhutanan Sosial, Peraturan Kesatuan Pemangkuan Hutan, KerjasamaAbstractThe",1970-01-01 00:00:00.000002019,http://repository.lppm.unila.ac.id/id/eprint/17028,,article,"[{'id': 'christine.wulandari@fp.unila.ac.id', 'name': {'given': 'Christine', 'lineage': None, 'family': 'Wulandari', 'honourific': None}}]",TRUE,,Peran Kesatuan Pengelolaan Hutan dalam Pelaksanaan Program Perhutanan Sosial oleh Mitra,,17028,archive,2019-11-18 10:26:40,show,981,"[{'placement': 1, 'eprintid': 17028, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/30126', 'security': 'public', 'files': [{'filename': '565-Article Text-456-1-10-20190723 Talenta CW.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/144622', 'filesize': 1008609, 'objectid': 30126, 'mtime': '2019-11-18 10:06:05', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'hash': 'a8f366d81ddea4c6d43d2353f30e2459', 'datasetid': 'document', 'fileid': 144622}], 'main': '565-Article Text-456-1-10-20190723 Talenta CW.pdf', 'docid': 30126, 'format': 'text', 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1}]",2019-11-18 10:26:40,published,Published by TALENTA Publisher Universitas Sumatera Utara,2654-7023,TALENTA Conference Series (Prosiding,2,1,1-5,https://talentaconfseries.usu.ac.id/anr
14,['FP11'],disk0/00/01/80/63,,2020-02-19 02:08:25,public,7,pub,['SD'],,"Indonesia and Philippines are homes of biodiversity in Southeast Asia.  In recent years, however, there has been a decline in biodiversity brought about by land use change.  This condition poses threat on the food security of communities around the watersheds.  items the and physiological conditions of the watersheds, in this case,  The type and volume of main food depend on  ecological Way Betung and Molawin Dampalit. When edible food is sufficient in an area, and available there is higher livelihood that the communities are food secured.  This paper argues based on research which has been conducted in May to November 2015 that the food security of communities in the selected agroforestry landscapes in Way Betung and Molawin Dampalit have moderate. Levels of its food security based on four dimensions, namely: food availability, food accessibility, food stability and food utilization. Amounted 261 Indonesia farmer's respondents and 106 Philippine's respondents mentioned that the farm households generally practice agroforestry where the production of short-term and medium-term agricultural crops, woody perennials and livestock are deliberately combined.  The type of crops grown by farm households contribute to the level of food security.   

Keywords: agroforestry, food availability, food accessibility, food stability, food utilization, watershed",2019-12-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/18063,,article,"[{'name': {'family': 'Wulandari', 'lineage': None, 'honourific': None, 'given': 'Christine'}, 'id': 'christine.wulandari@fp.unila.ac.id'}, {'id': 'irwanbanuwa@yahoo.com', 'name': {'given': 'Irwan Sukri', 'lineage': None, 'family': 'Banuwa', 'honourific': None}}, {'id': 'ptjbudiono@gmail.com', 'name': {'honourific': None, 'family': 'Budiono', 'lineage': None, 'given': 'Pitojo'}}, {'id': 'sh4nt@yahoo.com', 'name': {'honourific': None, 'family': 'Herwanti', 'lineage': None, 'given': 'Susni'}}, {'id': 'ldlandicho@gmail.com', 'name': {'family': 'Landicho', 'lineage': None, 'honourific': None, 'given': 'Leila D'}}, {'id': 'cabahug_weng@yahoo.com', 'name': {'family': 'Cabahug', 'lineage': None, 'honourific': None, 'given': 'Rowena E.D.'}}, {'name': {'honourific': None, 'lineage': None, 'family': 'Baliton', 'given': 'Romnick S'}, 'id': 'rsbaliton@gmail.com'}]",TRUE,,"Food Security Status Agroforestry Landscapes of Way Betung Watershed, Indonesia and Molawin Dampalit Subwatershed, Philippines",,18063,archive,2020-02-19 02:08:25,show,981,"[{'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'format': 'text', 'docid': 31197, 'main': '4. Christine Wulandari_JMHT 165-172_20122019.pdf', 'files': [{'datasetid': 'document', 'fileid': 152221, 'mime_type': 'application/pdf', 'hash': '5ee417804457b517e9aa1f9d72c8d2d6', 'hash_type': 'MD5', 'mtime': '2020-02-18 09:13:41', 'objectid': 31197, 'filesize': 233483, 'uri': 'http://repository.lppm.unila.ac.id/id/file/152221', 'filename': '4. Christine Wulandari_JMHT 165-172_20122019.pdf'}], 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/31197', 'eprintid': 18063, 'placement': 1}]",2020-02-19 02:08:25,published,IPB,2087-0469,Jurnal Manajemen Hutan Tropika,25,3,164-172,https://journal.ipb.ac.id/index.php/jmht/article/view/27907/18152
15,['FP11'],disk0/00/01/80/48,,2020-02-18 07:55:09,public,7,pub,['SD'],,"Indonesia and Philippines are homes of biodiversity in Southeast Asia.  In recent years, however, there has been a decline in biodiversity brought about by land use change.  This condition poses threat on the food security of communities around the watersheds.  items the and physiological conditions of the watersheds, in this case,  The type and volume of main food depend on  ecological Way Betung and Molawin Dampalit. When edible food is sufficient in an area, and available there is higher livelihood that the communities are food secured.  This paper argues based on research which has been conducted in May to November 2015 that the food security of communities in the selected agroforestry landscapes in Way Betung and Molawin Dampalit have moderate. Levels of its food security based on four dimensions, namely: food availability, food accessibility, food stability and food utilization. Amounted 261 Indonesia farmer's respondents and 106 Philippine's respondents mentioned that the farm households generally practice agroforestry where the production of short-term and medium-term agricultural crops, woody perennials and livestock are deliberately combined.  The type of crops grown by farm households contribute to the level of food security.  
 
Keywords: agroforestry, food availability, food accessibility, food stability, food utilization, watershed",2019-12-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/18048,,article,"[{'name': {'given': 'Christine', 'family': 'Wulandari', 'lineage': None, 'honourific': None}, 'id': 'christine.wulandari@fp.unila.ac.id'}, {'id': 'irwanbanuwa@yahoo.com', 'name': {'given': 'Irwan Sukri', 'honourific': None, 'family': 'Banuwa', 'lineage': None}}, {'name': {'given': 'Pitojo', 'family': 'Budiono', 'lineage': None, 'honourific': None}, 'id': 'ptjbudiono@gmail.com'}, {'id': 'sh4nt@yahoo.com', 'name': {'honourific': None, 'lineage': None, 'family': 'Herwanti', 'given': 'Susni'}}, {'id': 'ldlandicho@gmail.com', 'name': {'given': 'Leila D', 'honourific': None, 'family': 'Landicho', 'lineage': None}}, {'id': 'cabahug_weng@yahoo.com', 'name': {'given': 'Rowena E.D.', 'honourific': None, 'family': 'Cabahug', 'lineage': None}}, {'name': {'given': 'Romnick S', 'family': 'Baliton', 'lineage': None, 'honourific': None}, 'id': 'rsbaliton@gmail.com'}]",TRUE,,"PEER REVIEW RESULTS OF PAPER "" Food Security Status Agroforestry Landscapes of Way Betung Watershed, Indonesia and Molawin Dampalit Subwatershed, Philippines""",,18048,archive,2020-02-18 07:55:09,show,981,"[{'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/152133', 'filename': '1. Food Security_Ganjil 2019_20.pdf', 'filesize': 970737, 'objectid': 31183, 'mtime': '2020-02-18 07:06:17', 'hash_type': 'MD5', 'hash': '254b7ba43f4236848fe3477ab7b1c0af', 'mime_type': 'application/pdf', 'fileid': 152133, 'datasetid': 'document'}], 'main': '1. Food Security_Ganjil 2019_20.pdf', 'docid': 31183, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/31183', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 18048}]",2020-02-18 07:55:09,published,IPB,2087-0469,Jurnal Manajemen Hutan Tropika,25,3,164-172,https://journal.ipb.ac.id/index.php/jmht/article/view/27907/18152
16,['FP11'],disk0/00/01/51/17,,2019-11-04 07:56:59,public,6,pub,['SD'],,"Abstract. Establishment of Law 23/2014 on Local Government has shifted authority of forest resources management from district to province level, including community empowerment programs in Lampung Province such as Village Forest (Hutan Desa), Community Forest (Hutan Kemasyarakatan or HKm). This study focused on HKm because it is the largest CBFM program in Lampung Province. As a result of Law 23/2014, 16 PAK (working area designation) in 4 districts (16,961 Ha) of HKm candidates were canceled, because they cannot be extended. Under these conditions it is necessary to make a study to determine the impact and strategy of local government in dealing with Law 23/2014. The study was conducted on March-April 2016 using a qualitative approach. The selection of respondents uses purposive sampling method followed by a descriptive analysis. This research finds that local governments tend to wait until there are specific regulations set on HKm in accordance with Law 23/2014. However, it can be concluded that (1) Ministry should immediately publish the Ministry Regulation on HKm, (2) Provincial and district governments should immediately coordinate transfers of personnel, funding, facilities, and documents",1970-01-01 00:00:00.000002019,http://repository.lppm.unila.ac.id/id/eprint/15117,,article,"[{'id': 'christine.wulandari@fp.unila.ac.id', 'name': {'given': 'Christine', 'honourific': None, 'family': 'Wulandari', 'lineage': None}}, {'id': 'ptjbudiono@gmail.com', 'name': {'given': 'Pitojo', 'honourific': None, 'family': 'Budiono', 'lineage': None}}, {'id': 'meti.ekayani@ipb.ac.id', 'name': {'honourific': None, 'lineage': None, 'family': 'Ekayani', 'given': 'Meti'}}]",TRUE,,"Impacts of the new Decentralization Law 23/2014 to the implementation of Community Based Forest Management in Lampung Province, Indonesia",,15117,archive,2019-11-04 07:56:59,show,981,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/28260', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 15117, 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'main': 'Wulandari_2019_IOP_Conf._Ser.__Earth_Environ._Sci._285_012006.pdf', 'docid': 28260, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/130130', 'filename': 'Wulandari_2019_IOP_Conf._Ser.__Earth_Environ._Sci._285_012006.pdf', 'filesize': 1063616, 'objectid': 28260, 'mtime': '2019-11-03 15:42:02', 'hash_type': 'MD5', 'hash': 'ab8362b30f55fe5af109a122fc61c434', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 130130}], 'format': 'text'}]",2019-11-04 07:56:59,published,IOP Publishing,1755-1315,IOP Conference Series: Earth and Environmental Science,285,,1-16,https://iopscience.iop.org/article/10.1088/1755-1315/285/1/012006/pdf
17,['FP11'],disk0/00/01/80/74,,2020-02-19 02:13:48,public,6,pub,['SD'],,"Establishment of Law 23/2014 on Local Government has shifted authority of forest resources management from district to province level, including community empowerment programs in Lampung Province such as Village Forest (Hutan Desa), Community Forest (Hutan Kemasyarakatan or HKm). This study focused on HKm because it is the largest CBFM program in Lampung Province. As a result of Law 23/2014, 16 PAK (working area designation) in 4 districts (16,961 Ha) of HKm candidates were canceled, because they cannot be extended. Under these conditions it is necessary to make a study to determine the impact and strategy of local government in dealing with Law 23/2014. The study was conducted on March-April 2016 using a qualitative approach. The selection of respondents uses purposive sampling method followed by a descriptive analysis. This research finds that local governments tend to wait until there are specific regulations set on HKm in accordance with Law 23/2014. However, it can be concluded that (1) Ministry should immediately publish the Ministry Regulation on HKm, (2) Provincial and district governments should immediately coordinate transfers of personnel, funding, facilities, and documents.",2019-05-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/18074,,article,"[{'id': 'christine.wulandari@fp.unila.ac.id', 'name': {'honourific': None, 'lineage': None, 'family': 'Wulandari', 'given': 'Christine'}}, {'name': {'honourific': None, 'lineage': None, 'family': 'Budiono', 'given': 'Pitojo'}, 'id': 'ptjbudiono@gmail.com'}, {'id': 'meti.ekayani@ipb.ac.id', 'name': {'honourific': None, 'family': 'Ekayani', 'lineage': None, 'given': 'Meti'}}]",TRUE,,"PEER REVIEW RESULTS OF PAPER ""Impacts of The New Decentralization Law 23/2014 to The Implementation of Community Based Forest Management in Lampung Province, Indonesia""",,18074,archive,2020-02-19 02:13:48,show,981,"[{'eprintid': 18074, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/31208', 'pos': 1, 'format': 'text', 'main': '4. Impacts the new decentralization_Genap 2018_19.pdf', 'docid': 31208, 'files': [{'hash': '527ab4d89bd8b3dee0ead1e29e035842', 'mime_type': 'application/pdf', 'fileid': 152304, 'datasetid': 'document', 'mtime': '2020-02-18 22:55:50', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/152304', 'filename': '4. Impacts the new decentralization_Genap 2018_19.pdf', 'filesize': 383471, 'objectid': 31208}], 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1}]",2020-02-19 02:13:48,published,IOP Publishing,1755-1315,IOP Conf. Series: Earth and Environmental Science,285,,1-16,https://iopscience.iop.org/article/10.1088/1755-1315/285/1/012006
18,['FP11'],disk0/00/01/88/39,,2020-03-24 01:44:07,public,6,pub,['SD'],,"Establishment of Law 23/2014 on Local Government has shifted authority of forest resources management from district to province level, including community empowerment programs in Lampung Province such as Village Forest (Hutan Desa), Community Forest (Hutan Kemasyarakatan or HKm). This study focused on HKm because it is the largest CBFM program in Lampung Province. As a result of Law 23/2014, 16 PAK (working area designation) in 4 districts (16,961 Ha) of HKm candidates were canceled, because they cannot be extended. Under these conditions it is necessary to make a study to determine the impact and strategy of local government in dealing with Law 23/2014. The study was conducted on March-April 2016 using a qualitative approach. The selection of respondents uses purposive sampling method followed by a descriptive analysis. This research finds that local governments tend to wait until there are specific regulations set on HKm in accordance with Law 23/2014. However, it can be concluded that (1) Ministry should immediately publish the Ministry Regulation on HKm, (2) Provincial and district governments should immediately coordinate transfers of personnel, funding, facilities, and documents.",2019-05-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/18839,,article,"[{'name': {'given': 'Christine', 'honourific': None, 'lineage': None, 'family': 'Wulandari'}, 'id': 'christine.wulandari@fp.unila.ac.id'}, {'name': {'honourific': None, 'family': 'Budiono', 'lineage': None, 'given': 'Pitojo'}, 'id': 'ptjbudiono@gmail.com'}, {'name': {'given': 'Meti', 'honourific': None, 'family': 'Ekayani', 'lineage': None}, 'id': 'meti.ekayani@ipb.ac.id'}]",TRUE,,"SIMILARITY CHECK RESULT PAPER ""Impacts of the new Decentralization Law 23/2014 to the implementation of Community Based Forest Management in Lampung Province, Indonesia""",,18839,archive,2020-03-24 01:44:07,show,981,"[{'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'format': 'text', 'docid': 32044, 'main': 'Impact_of_The_New_Decentralization_13%.pdf', 'files': [{'mime_type': 'application/pdf', 'hash': '733df2e2bc6319e8908499efd18e8411', 'datasetid': 'document', 'fileid': 158088, 'mtime': '2020-03-23 12:31:31', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/158088', 'filename': 'Impact_of_The_New_Decentralization_13%.pdf', 'objectid': 32044, 'filesize': 1479680}], 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/32044', 'pos': 1, 'eprintid': 18839, 'placement': 1}]",2020-03-24 01:44:07,published,IOP Publishing,1755-1315,IOP Conf. Series: Earth and Environmental Science 285 (2019) 012006,285,,1-16,https://iopscience.iop.org/article/10.1088/1755-1315/285/1/012006/pdf
19,['FP11'],disk0/00/01/51/21,conference,2019-11-04 08:04:59,public,9,submitted,['SD'],The 3rd International Conference in Agroforestry,"The topic of 'restoration' has been familiar to people that it is assumed to be attempts only for protected forest ecology. It is expected to be caused by unawareness that social aspects are heavily related to the forest condition in Indonesia, moreover those forests which habitated and/or surrounded by local people who lives nearby. Social aspects become important when a forest restoration program is conducted. Current majority condition of Indonesia's forests are under agroforestry landscape, hence, it is logical to implement restoration method through a agroforestry approach which has been done by the local people nearby the forest. Since the existing protected forests are maintained by Community Based Forest Management (CBFM), the social aspects are emphasized as the focus of this research to support efforts to succeed the restoration program.",1970-01-01 00:00:00.000002019,http://repository.lppm.unila.ac.id/id/eprint/15121,paper,conference_item,"[{'id': 'christine.wulandari@fp.unila.ac.id', 'name': {'given': 'Christine', 'family': 'Wulandari', 'lineage': None, 'honourific': None}}, {'id': 'ptjbudiono@gmail.com', 'name': {'honourific': None, 'lineage': None, 'family': 'Budiono', 'given': 'Pitojo'}}, {'name': {'family': 'Iswandaru', 'lineage': None, 'honourific': None, 'given': 'Dian'}, 'id': 'ndaruforest57@gmail.com'}, {'name': {'given': 'Leila D', 'lineage': None, 'family': 'Landicho', 'honourific': None}, 'id': 'ldlandicho@gmail.com'}, {'name': {'honourific': None, 'lineage': None, 'family': 'Cabahug', 'given': 'Rowena E.D.'}, 'id': 'cabahug_weng@yahoo.com'}]",TRUE,16-17 October 2019,"The Social Aspects of Restoration Program of
Protected Forest based on Agroforestry",Yogyakarta,15121,archive,2019-11-04 08:04:59,show,981,"[{'format': 'text', 'docid': 28265, 'main': 'Christine dkk_ICAF.rar', 'files': [{'hash_type': 'MD5', 'mtime': '2019-11-03 16:23:58', 'objectid': 28265, 'filesize': 367693, 'filename': 'Christine dkk_ICAF.rar', 'uri': 'http://repository.lppm.unila.ac.id/id/file/130155', 'datasetid': 'document', 'fileid': 130155, 'hash': '033c9919117526c671251b104bcc74f4', 'mime_type': 'application/x-rar'}], 'language': 'en', 'mime_type': 'application/x-rar', 'rev_number': 2, 'eprintid': 15121, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/28265', 'pos': 1}]",2019-11-04 08:04:59,submitted,,,,,,,
20,['FP11'],disk0/00/01/51/14,,2019-11-04 07:56:54,public,6,pub,['SD'],,"Abstract: A number of studies have discussed the importance of facilitation for improving the outcomes of Social Forestry programs. However, more detailed studies about the SF stakeholders should be prioritized, particularly  those  related  to  the  types  of  facilitation  among  those  that  work  with  community  forest  user groups. This paper aims to fill this gap by analyzing community perspectives on who should be prioritized to receive facilitation and what type of facilitation is needed. We conduct the study in Lampung Province in 2017,  focusing  on  Community  Forestry  (Hutan  Kemasyarakatan/HKm),  one  of  the  first  social  forestry schemes implemented by the Indonesian Government. Based on an analysis of Analytic Hierarchy Process, this  paper  found  that  HKm  participants  have  identified  three  top  priorities  for  facilitation:  individual members,  community  forestry  groups,  and  other  villagers  (non-members  of  community  forestry  groups). Nevertheless, communities still see the importance of facilitation for external facilitators and government staff. The Analytic Hierarchy Process also shows that the most preferable type of facilitation for communities is based on entrepreneurship. These are particularly important for SF groups that have been established for more than ten years. This finding contrasts with previous studies arguing that the most needed facilitation in SF is strengthening community institutions.Keywords: Social  Forestry  (SF);  Communities  Preferences;  Appropriate  Facilitation;Community  Forestry Hutan Kemasyarakatan(HKm); Analytic Hierarchy Process",2019-04-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/15114,,article,"[{'id': 'christine.wulandari@fp.unila.ac.id', 'name': {'given': 'Christine', 'family': 'Wulandari', 'lineage': None, 'honourific': None}}, {'name': {'honourific': None, 'lineage': None, 'family': 'Kurniasih', 'given': 'Heni'}, 'id': 'henik@smeru.or.id'}]",TRUE,,"Community preferences for social forestry facilitation programming in Lampung, Indonesia",,15114,archive,2019-11-04 07:56:54,show,981,"[{'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/28258', 'security': 'public', 'placement': 1, 'eprintid': 15114, 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'main': '6026-16479-1-PB.pdf', 'docid': 28258, 'files': [{'objectid': 28258, 'filesize': 793351, 'filename': '6026-16479-1-PB.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/130117', 'hash_type': 'MD5', 'mtime': '2019-11-03 15:21:06', 'datasetid': 'document', 'fileid': 130117, 'mime_type': 'application/pdf', 'hash': 'f01b16fc2a073e72cdadbe22a74513f9'}], 'format': 'text'}]",2019-11-04 07:56:54,published,University of Hasanudin,2549-4724,Journal of Forestry and Society,3,1,114-132,http://journal.unhas.ac.id/index.php/fs/article/view/6026/pdf
