,related_url,publisher,publication,divisions,dir,ispublished,rev_number,full_text_status,issn,status_changed,date_type,subjects,date,uri,abstract,volume,title,refereed,creators,type,metadata_visibility,datestamp,eprintid,eprint_status,lastmod,official_url,documents,userid,number,corp_creators,succeeds,pagerange,pres_type,event_type,event_title,contact_email,contributors,id_number
10,,Anka Publisher,,['FT8'],disk0/00/04/66/19,pub,9,public,,2022-11-14 08:44:38,,['AC'],1970-01-01 00:00:00.000002022,http://repository.lppm.unila.ac.id/id/eprint/46619,,,Consumer Segmentation Knowledge Analysis Using Data Science Approach for Marketing Strategy Recommendations - Similarity check,,"[{'name': {'given': 'Gigih Forda', 'honourific': None, 'lineage': None, 'family': 'Nama'}, 'id': 'gigih@eng.unila.ac.id'}]",other,show,2022-11-14 08:44:38,46619,archive,2023-01-09 07:51:18,,"[{'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'main': '20221201122355pm647.pdf', 'docid': 186732, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/522083', 'filename': '20221201122355pm647.pdf', 'objectid': 186732, 'filesize': 1462288, 'mtime': '2023-01-09 07:51:02', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'hash': '4504e2952ed648e2d6d8905231a18318', 'datasetid': 'document', 'fileid': 522083}], 'format': 'text', 'pos': 2, 'uri': 'http://repository.lppm.unila.ac.id/id/document/186732', 'security': 'public', 'placement': 2, 'eprintid': 46619}]",1,,,,,,,,,,
11,,,Journal of Engineering and Scientific Research (JESR),['FT8'],disk0/00/04/68/08,pub,8,public,,2022-11-23 08:37:23,published,['AC'],1970-01-01 00:00:00.000002022,http://repository.lppm.unila.ac.id/id/eprint/46808,"Lampung  Province  is  one  of  the  palm  oil  producers,  especially  in  Way  Kanan Regency.  Way  Kanan  Regency  has  two  palm  oil-producing  mills,  namely  PT.  Sawit  Indo  Mas  which  is  located  in  Kampung  Tanjung  Raja  Sakti  Blambangan Umpu and PT PLP which is located inKampung Bumi  Agung, Bahuga District. The two factories duce thousands of tons of Crude Palm Oil (CPO)vegetable oil daily produced from palm fruit plants (Elaeis Guineensis Jacq, Arecaceae). From oil  management,  it  is  undeniable  that  it  can  create  a  lot of  solid waste  from  the palm shell. Meanwhile, the government has not made much effort to use the waste from the waste. When managing palm fruit, palm shells cannot be processed into oil  because  they  have  a  hard  texture,  so  the  shells  are  discarded  and  become waste. Then we use the shell for research material as a filler. Palm shell ash has a  silicon  dioxide  (SiO2)  content  which  is  also  contained  in  Portland  cement,  so this  content  can  allow  the  acquisition  of  a  good  asphalt  mixture  on  the  AC-BC layer.  Thisstudy  aims  to  see  the  effect  of  the  effectiveness  of  adding  shell  ash fillers  from  palm  shell  waste  in Marshall  test  tests  and  value  the  resulting durability.  The  addition  of  fillers  with  percentages  of  20%,  30%,  40%,  50%and 60%.  From  the  results  obtainedfrom  the  test  results  in  the  laboratory  that  the addition of shell ash fillers of 40% gets better performance compared to shell ash with  percentages  of  20%,  30%,  and  60%,  with  a  higher  state  value  of  1225  kg shown. In Marshall testing, using palm shell ash fillers can increase the value of KAO.   So   that   from   the Marshall   test,   the   durability   value  of   the   sample immersion  at  the  IRS  value  of  0%  was  98.4%  greater  than  the  40%,  which  was 91.13%. Overall, using palm shell ash fillers meets the minimum requirements of Indonesia  Bureau  for  Construction Bina  Marga  as  an  asphalt  mixture.  The degree of weather change in immersion durability affects the strength level of the Marshall test",4.0,The Effect of Filler Adding Palm Kernel Shell Ash on Durability and the Marshall Values Properties of Asphalt Concrete Mix,TRUE,"[{'name': {'given': 'Gigih Forda', 'honourific': None, 'family': 'Nama', 'lineage': None}, 'id': 'gigih@eng.unila.ac.id'}]",article,show,2022-11-23 08:37:23,46808,archive,2022-11-23 08:38:41,,"[{'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/185734', 'eprintid': 46808, 'placement': 1, 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'format': 'text', 'docid': 185734, 'main': '100-Article Text-484-1-10-20220819.pdf', 'files': [{'hash': '8881870259d80281149f611d2a93c496', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 515267, 'filename': '100-Article Text-484-1-10-20220819.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/515267', 'filesize': 1032007, 'objectid': 185734, 'mtime': '2022-11-23 08:36:19', 'hash_type': 'MD5'}]}]",1,1.0,,,,,,,,,
12,,Teknik Elektro Unila,Jurnal informatika dan Teknik elektro terapan (JITET),['FT8'],disk0/00/04/68/10,pub,6,public,2303-0577,2022-11-23 08:57:46,published,['AC'],1970-01-01 00:00:00.000002022,http://repository.lppm.unila.ac.id/id/eprint/46810,"Produk perkebunan merupakan salah satu komoditas yang sangat penting
Indonesia. Duku adalah salas satu produk perkebunan musiman yang menjadi salah satu
sumber pendapatan ketika panen. Namun, umur simpan duku sangat pendek, batas
penyimpanan buah duku tidak lebih dari satu minggu. Buah duku akan mengalami
perubahan pada warna buah, buah segar akan mengalami kecoklatan pada umur 3 sampai
5 hari pasca panen. Berubahnya warna buah duku menjadi kecoklatan tersebut tentunya
dapat menurunkan kualitas dan harga dari buah duku tersebut. Pendeknya umur
penyimpanan buah duku tersebut merupakan salah satu sulitnya penjualan duku.
Penelitian ini melakukan pengklasifikasian duku sesuai warna dengan mengembangkan
konveyor sabuk sebagai alat untuk melakukan sortasi duku berdasar warna dengan
mikrokontroler. Sistem sortasi menjadi penting dalam mengelompokkan duku dalam
umur yang sama sehingga dapat dipilih duku untuk pasar lokal yang sudah matang, duku
untuk pasar luar yang belum matang dan akan matang dalam perjalanan serta duku yang
cacat. Adapun tujuan dari riset ini adalah membuat sistem sortasi warna buah duku
berbasis mikrokontroler dan mengembangkan sistem yang dapat memisahkan tiga
kelompok kelas duku, duku kelas super, duku kelas a dan duku kelas b berdasar warna
dengan sensor AS7262.",10.0,PENGEMBANGAN SISTEM SORTASI BUAH DUKU (LANSIUM DOMESTICUM) BERDASAR WARNA MENGGUNAKAN MIKROKONTROLER ARDUINO DAN SENSOR WARNA AS7262,TRUE,"[{'id': 'gigih@eng.unila.ac.id', 'name': {'lineage': None, 'family': 'Nama', 'honourific': None, 'given': 'Gigih Forda'}}]",article,show,2022-11-23 08:57:46,46810,archive,2022-11-23 08:57:46,,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/185738', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 46810, 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'main': '2446-5263-3-PB (1).pdf', 'files': [{'datasetid': 'document', 'fileid': 515290, 'hash': 'baaaf8c6a7d7179df50a8831845cff56', 'mime_type': 'application/pdf', 'objectid': 185738, 'filesize': 712756, 'filename': '2446-5263-3-PB (1).pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/515290', 'hash_type': 'MD5', 'mtime': '2022-11-23 08:56:20'}], 'docid': 185738, 'format': 'text'}]",1,2.0,,,,,,,,,
13,,,,['FT8'],disk0/00/04/68/12,pub,7,public,,2022-11-23 09:26:51,,['AC'],1970-01-01 00:00:00.000002022,http://repository.lppm.unila.ac.id/id/eprint/46812,"Penelitian ini bertujuan untuk membuat sistem yang mampu mengenali Aksara Lampung dengan
metode CNN (Convolutional Neural Network). Sebelum penelitian ini, telah ada beberapa penelitian
yang bertujuan serupa dengan metode yang berbeda. Penelitian ini memiliki tingkat kesulitan sendiri
dalam hal mengumpulkan dataset yang akan digunakan untuk proses pelatihan dikarenakan dataset
tidak tersedia secara publik sehingga harus dibangun sendiri. Secara garis besar, proses pengenalan
Aksara Lampung dapat dibagi menjadi 3 bagian, yaitu : Pengumpulan bahan (dataset), Ekstraksi fitur
dari setiap aksara Lampung dan Image Classification. Sistem pengenalan aksara Lampung ini
dibangun menggunakan tools Google Colaboratory dengan Bahasa pemrograman Python.
Berdasarkan hasil perhitungan menggunakan confusion matrix didapatkan hasil akurasi sebesar 100%.
Hal ini dikarenakan pola yang digunakan sangat sederhana karena aksara Lampung memiliki pola
yang sederhana dan bentuk yang hampir sama hanya yang membedakan adalah rotasinya. Sistem ini
sudah dilakukan proses Save Model dimana bertujuan untuk meminimalisir waktu untuk training
ulang dan hasil save model berupa file bisa digunakan untuk pengembangan proyek baru seperti
android atau embedded system dengan ukuran file yaitu 211 KB",,"Pengenalan Aksara Lampung Menggunakan Metode CNN (Convolutional Neural
Network)",TRUE,"[{'name': {'given': 'Gigih Forda', 'honourific': None, 'lineage': None, 'family': 'Nama'}, 'id': 'gigih@eng.unila.ac.id'}]",conference_item,show,2022-11-23 09:26:51,46812,archive,2022-11-23 09:26:51,,"[{'docid': 185745, 'main': '81_Meizano (5).pdf', 'files': [{'hash': 'ad36eb4ed8c6a47d2e4f1b5c19c2a058', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 515317, 'mtime': '2022-11-23 09:25:27', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/515317', 'filename': '81_Meizano (5).pdf', 'filesize': 418136, 'objectid': 185745}], 'format': 'text', 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'placement': 1, 'eprintid': 46812, 'uri': 'http://repository.lppm.unila.ac.id/id/document/185745', 'pos': 1, 'security': 'public'}]",1,,,,,paper,conference,Prosiding Seminar Nasional Keinsinyuran (SNIP) Volume 2 Nomor 1,,,
14,,Teknik Elektro,JITET Jurnal Informatika dan Teknik Elektro,['FT8'],disk0/00/04/23/24,pub,7,public,2303-0577,2022-06-12 11:37:35,published,"['Q1', 'T1']",2022-04-10 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/42324,"Pengembangan sebuah sistem informasi tidak lepas dengan adanya pengembangan basis data yang dapat menunjang pengelolaan dan penggunaan data pada sebuah sistem yang berjalan. Basis data yang baik dikembangkan dengan menerapkan metode Database System Development Lifecycle (DBSDLC) yang mencakup fase pengembangan Database Design. Dalam fase ini dibuat model database meliputi pengembangan sisi konseptual dan logikal. Pada penelitian ini kami membuat model basis data konseptual dan logikal yang akan diterapkan pada sebuah sistem informasi berbasis website. Tujuan dari fase database design untuk merancang struktur basis data yang sesuai dengan kebutuhan pengguna dan mendapatkan basis data yang handal untuk diterapkan pada sistem berbasis website yang dibangun. Dari penelitian ini dihasilkan rancangan model basis data yang selanjutnya dapat diterapkan pada fase implementasi sistem berbasis website.

The development of an information system closely related with the development of a database system that can support the management and use of data on a running system. A good database is developed by applying the Database System Development Lifecycle (DBSDLC) method which includes the Database Design development phase. In this phase, a database model is created including the development of the conceptual and logical. In this study, we create a conceptual and logical database model that will be applied to a web-based information system. The purpose of the database design phase is to design a database structure that suits user requirements and developed a reliable database that will be suitably applied to the web-based system. This research will deliver a database model design that can be applied to the implementation phase of a web-based system development.",10.0,PERANCANGAN PEMODELAN BASIS DATA SISTEM INFORMASI SECARA KONSEPTUAL DAN LOGIKAL,TRUE,"[{'name': {'honourific': None, 'family': 'Pradipta', 'lineage': None, 'given': 'Rio Ariestia'}, 'id': 'rio.ariestia@eng.unila.ac.id'}]",article,show,2022-06-12 11:37:35,42324,archive,2022-06-12 11:37:35,https://journal.eng.unila.ac.id/index.php/jitet/index,"[{'placement': 1, 'eprintid': 42324, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/164027', 'security': 'public', 'main': '2541-5531-5-PB.pdf', 'files': [{'hash': 'edde0fc33459e2c6c40c025fb485c175', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 465645, 'uri': 'http://repository.lppm.unila.ac.id/id/file/465645', 'filename': '2541-5531-5-PB.pdf', 'filesize': 383737, 'objectid': 164027, 'mtime': '2022-06-11 01:52:00', 'hash_type': 'MD5'}], 'docid': 164027, 'format': 'text', 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf'}]",3233,2.0,,,127-132,,,,rio.ariestia@eng.unila.ac.id,"[{'name': {'honourific': None, 'family': 'Wintoro', 'lineage': None, 'given': 'Puput Budi'}, 'id': 'budi.wintoro@eng.unila.ac.id'}, {'id': 'deny.budiyanto@eng.unila.ac.id', 'name': {'given': 'Deny', 'honourific': None, 'lineage': None, 'family': 'Budiyanto'}}]",https://doi.org/10.23960/jitet.v10i2.2541
15,,STMIK Bina Nusantara Jaya Lubuklinggau Sumatera Selatan,Binary: Jurnal Ilmiah Binary STMIK Bina Nusantara Jaya,['FT8'],disk0_bak/00/04/98/97,pub,9,public,2657-2117,2023-04-08 13:29:01,published,"['T1', 'ZA', 'ZA4050', 'ZA4450']",2022-10-12 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/49897,"Nasabah pembiayaan mikro yang ada pada Bank Syariah Indonesia dapat dikatakan sangat banyak, untuk lingkup
cabang penelitian ini memiliki 144 nasabah terhitung dari pasca merger BSI yaitu Februari 2021. Permasalahan
yang terjadi adalah ketika semakin banyak nasabah pembiayaan mikro yang melakukan restrukturasi maka akan
semakin dikit pula bagi hasil yang diterima oleh bank, pada bulan Juni 2022 terhitung ada 10 nasabah pembiayaan
mikro yang mengajukan restrukturasi. Oleh karena itu, pihak marketing harus bijak dalam memproses nasabah
yang ingin melakukan peminjaman. Dengan menerapkan data mining dengan metode decision tree menggunakan
RapidMiner Studi, didapatkan beberapa kesimpulan antara lain. Terdapat aturan pada pemodelan pohon
keputusan, dimana keputusan lancar atau macetnya angsuran bergantung pada kondisi jangka waktu dan besar
pinjaman. Nilai akurasi hasil dari data prediksi dengan data yang sebenarnya bisa didapat menggunakan
RapidMiner Studio dengan presentase akurasi sebesar 93,06%.
 
Kata kunci: Data Mining, Decision Tree, RapidMiner",4.0,Metode Decision Tree Untuk Memprediksi Kelancaran Angsuran Nasabah Pembiayaan Mikro KCP BSI,TRUE,"[{'name': {'given': 'Annisa', 'lineage': None, 'family': 'Resty', 'honourific': None}, 'id': 'resty.annisa@eng.unila.ac.id'}]",article,show,2023-04-08 13:29:01,49897,archive,2023-04-08 13:29:01,https://e-journal.stmik-bnj.ac.id/index.php/jb/article/view/75,"[{'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/189573', 'pos': 1, 'eprintid': 49897, 'placement': 1, 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'format': 'text', 'files': [{'datasetid': 'document', 'fileid': 540163, 'hash': 'bbdb3d8c72c815d7912b2069d0809070', 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2023-04-08 07:22:04', 'objectid': 189573, 'filesize': 485662, 'filename': 'Jurnal 4_Binary-10-22.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/540163'}], 'main': 'Jurnal 4_Binary-10-22.pdf', 'docid': 189573}]",2822,2.0,,,48-56,,,,,,https://doi.org/10.52303/jb.v4i2.75
16,,Fakultas Teknik Universitas Lampung,SENAPATI 2022,['FT8'],disk0_bak/00/05/00/77,pub,6,public,2685-0427,2023-04-10 07:11:34,published,['T1'],2022-10-20 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/50077,"Sebuah sistem informasi sangat penting dalam berbagai hal, terlebih pada sebuah tempat kunjungan seperti
museum. Sebagai pusat pengembangan kebudayaan, pusat pendidikan sejarah, bahkan pusat riset bidang
sejarah, museum harus memiliki sistem informasi yang baik agar keberadaan museum dan berbagai informasi
di dalamnya dapat diketahui oleh masyarakat luas. Saat ini Museum Lampung, salah satu museum terpenting
di provinsi Lampung, belum memiliki sistem informasi yang memadai dan bisa diakses masyarakat. Untuk
mengatasi permasalahan tersebut, pada kegiatan Pengabdian Kepada masyarakat (PKM) ini dibuatlah suatu
sistem informasi Musem Lampung berupa website interaktif. Website ini tidak hanya memberikan informasi
berupa koleksi museum yang database-nya bisa selalu di-update, tetapi juga dilengkapi dengan sarana
komunikasi interaktif antara pihak pengelola dan pengunjung website. Pada kegiatan ini juga dilakukan
pelatihan agar pihak pengelola Museum dapat mengelola website tersebut dengan baik. Saat ini website
tersebut memang belum dioperasikan ke masyarakarat luas, karena masih sampai pada tahap pelatihan dan
melengkapi informasi di dalammnya. Namun dengan dibuatnya website tersebut, diharapkan terdapat manfaat
yang bisa didapatkan. Dari sisi pengelola museum manfaatnya adalah mudah menyebarkan informasi tentang
kegiatan yang sedang dan akan dilakukan museum, sehingga membuat ketertarikan pengunjung lebih tinggi
dan menambah minat pengunjung untuk mendatangi museum. Sedangkan manfaat bagi masyarakat adalah
mudahnya mengakses informasi yang ada pada museum. 
 
Kata kunci: database, koleksi, museum, sistem informasi, website interaktif",,Pembuatan Sistem Informasi Berbasis Website Interaktif Museum Negeri Provinsi Lampung,TRUE,"[{'id': 'resty.annisa@eng.unila.ac.id', 'name': {'given': 'Annisa', 'honourific': None, 'lineage': None, 'family': 'Resty'}}]",article,show,2023-04-10 07:11:34,50077,archive,2023-04-10 07:11:34,https://sites.google.com/eng.unila.ac.id/prosiding-senapati-2022/?pli=1,"[{'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/189777', 'eprintid': 50077, 'placement': 1, 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'format': 'text', 'files': [{'hash_type': 'MD5', 'mtime': '2023-04-10 06:49:15', 'filesize': 7312258, 'objectid': 189777, 'filename': 'Prosiding3_SENAPATI 22-FULL.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/541639', 'datasetid': 'document', 'fileid': 541639, 'hash': 'e6e5036c82de2fd71190747f9e175e1f', 'mime_type': 'application/pdf'}], 'main': 'Prosiding3_SENAPATI 22-FULL.pdf', 'docid': 189777}]",2822,,,,155-159,,,,,,
17,"[{'url': 'https://ioinformatic.org/index.php/JUKI/article/view/119', 'type': 'pub'}]",Yayasan Kita Menulis,JUKI : Jurnal Komputer dan Informatika,['FT8'],disk0_bak/00/04/98/93,pub,10,public,2722-4368,2023-04-08 13:28:45,published,"['ZA', 'ZA4050', 'ZA4450']",2022-12-15 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/49893,"PT. Bank Syariah Indonesia KCP Bintaro Kebayoran Arcade 1 merupakan salah satu bank yang
menyediakan layanan program pesta hadiah dan program labbaik special gift terhadap nasabah dengan
melakukan pembukaan buku rekening serta melakukan deposito dengan nominal jumlah tertentu dan nantinya
akan ditukarkan dengan hadiah dalam bentuk barang kepada nasabah. Pada PT. Bank Syariah Indonesia
KCP Bintaro Kebayoran Arcade 1 penawaran kedua program tersebut terhadap nasabah terdapat masalah
dikarenakan kedua program tersebut memerlukan deposito dengan nominal jumlah tertentu. Sedangkan, pihak
nasabah yang berdatangan memiliki nominal saldo rekening, background pekerjaan, dan pendapatan yang
berbeda-beda. Dengan menerapkan data mining dan menggunakan algoritma C4.5 data nasabah Bank
Syariah Indonesia dapat diprediksi dengan accuracy yang cukup tinggi dengan menggunakan data training
dan data testing sebesar 94.65% dan 88.18% dengan dua kasus split data yang berbeda.

Kata Kunci: Data Mining, Algoritma C4.5, RapidMiner",4.0,Rekomendasi Klasifikasi Nasabah BSI Mengikuti Program Pesta Hadiah dan Labbaik Special Gift Menggunakan Algoritma C4. 5,TRUE,"[{'name': {'given': 'Annisa', 'family': 'Resty', 'lineage': None, 'honourific': None}, 'id': 'resty.annisa@eng.unila.ac.id'}]",article,show,2023-04-08 13:28:45,49893,archive,2023-04-08 13:28:45,https://ioinformatic.org/index.php/JUKI/article/view/119,"[{'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/189569', 'security': 'public', 'placement': 1, 'eprintid': 49893, 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'main': 'Jurnal 2_JUKI-11-22.pdf', 'docid': 189569, 'files': [{'fileid': 540124, 'datasetid': 'document', 'hash': '56992bb217f1de14463e3f9f70243d09', 'mime_type': 'application/pdf', 'filesize': 816499, 'objectid': 189569, 'uri': 'http://repository.lppm.unila.ac.id/id/file/540124', 'filename': 'Jurnal 2_JUKI-11-22.pdf', 'hash_type': 'MD5', 'mtime': '2023-04-08 06:06:25'}], 'format': 'text'}]",2822,2.0,,,62-75,,,,,,10.53842
18,,Yayasan Kita Menulis,JUKI : Jurnal Komputer dan Informatika,['FT8'],disk0_bak/00/04/98/96,pub,9,public,2722-4369,2023-04-08 13:28:57,published,"['T1', 'ZA', 'ZA4050', 'ZA4450']",2022-12-15 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/49896,"Dengan Berkembangnya teknologi informasi dari tahun ketahun menjadi tantangan berat bagi pengguna teknologi informasi. Hal tersebut mendorong setiap sektor organisasi baik formal maupun informal atau lembaga - lembaga lainnya untuk dapat memanfaatkannya sebagai penunjang kegiatan kerja sehingga dapat menghasilkan informasi yang cepat, tepat dan akurat. Untuk mewujudkan hal tersebut, maka dibutuhkan sumber daya pendukung lain seperti perangkat lunak yang dapat diandalkan kemampuannya. Selain itu sumber daya manusia juga harus menguasai kemampuan teknologi informasi itu sendiri. Dibalik kesuksesan
Keripik Aiza terdapat kesulitan dalam mengolah barang yang ada. Toko Keripik Aiza belum memiliki sebuah sistem data penjualan dan monitoring stok barang yang dapat mengolah barang yang keluar dan masuk di gudang hingga berapa barang yang terjual di toko setiap harinya. Oleh karena itu, perlu sebuah sistem yang dapat membantu pekerjaan pengolahan ketersediaan barang tersebut sehingga waktu yang digunakan dalam pekerjaan tersebut lebih efisien. Sistem data penjualan dan monitoring stok barang merupakan sebuah sistem
yang dipakai dalam mempermudah melakukan proses inventarisasi barang. Sistem data penjualan dan monitoring stok barang yang dibuat berbasis website sehingga dapat digunakan admin kasir dan admin
gudang. Penggunaan framework dan alat bantu lain dalam pengembangan sistem informasi mempermudah
dalam menyelesaikan sistem data penjualan dan monitoring stok barang ini. Sistem ini memiliki 3 (tiga) fitur
utama yaitu dapat melakukan pengelolaan data ketersediaan barang yang keluar dan masuk di gudang, dapat melakukan pengecekan data ketersediaan barang di toko serta pengolahan data penjualan setiap harinya, dan dapat mencetak laporan penjualan bulanan. Metode dalam proses jalannya penyelesaian proyek ini yaitu menggunakan metode scrum. Hasil setelah dilakukannya pengujian fungsionalitas  sistem yaitu seluruh fitur utama pada sistem dan seluruh fungsionalitas sistem ini berjalan dengan baik.

Kata Kunci : monitoring, scrum, website",4.0,Sistem Data Penjualan dan Monitoring Stok Barang pada Toko Keripik Aiza,TRUE,"[{'id': 'resty.annisa@eng.unila.ac.id', 'name': {'family': 'Resty', 'lineage': None, 'honourific': None, 'given': 'Annisa'}}]",article,show,2023-04-08 13:28:57,49896,archive,2023-04-08 13:28:57,https://ioinformatic.org/index.php/JUKI/article/view/118,"[{'placement': 1, 'eprintid': 49896, 'uri': 'http://repository.lppm.unila.ac.id/id/document/189572', 'pos': 1, 'security': 'public', 'docid': 189572, 'main': 'Jurnal 3_JUKI-11-22.pdf', 'files': [{'mime_type': 'application/pdf', 'hash': '27852fd4490350ace7aa029aaa1f4545', 'datasetid': 'document', 'fileid': 540154, 'uri': 'http://repository.lppm.unila.ac.id/id/file/540154', 'filename': 'Jurnal 3_JUKI-11-22.pdf', 'objectid': 189572, 'filesize': 923285, 'mtime': '2023-04-08 07:02:39', 'hash_type': 'MD5'}], 'format': 'text', 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf'}]",2822,2.0,,,76-85,,,,,,10.53842
19,,Yayasan Kita Menulis,,['FT8'],disk0_bak/00/04/98/95,submitted,11,public,,2023-04-08 13:28:53,submitted,"['TA', 'ZA', 'ZA4050', 'ZA4450']",2022-12-14 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/49895,"PT. Bank Syariah Indonesia KCP Bintaro Kebayoran Arcade 1 merupakan salah satu bank yang
menyediakan layanan program pesta hadiah dan program labbaik special gift terhadap nasabah dengan
melakukan pembukaan buku rekening serta melakukan deposito dengan nominal jumlah tertentu dan nantinya
akan ditukarkan dengan hadiah dalam bentuk barang kepada nasabah. Pada PT. Bank Syariah Indonesia
KCP Bintaro Kebayoran Arcade 1 penawaran kedua program tersebut terhadap nasabah terdapat masalah
dikarenakan kedua program tersebut memerlukan deposito dengan nominal jumlah tertentu. Sedangkan, pihak
nasabah yang berdatangan memiliki nominal saldo rekening, background pekerjaan, dan pendapatan yang
berbeda-beda. Dengan menerapkan data mining dan menggunakan algoritma C4.5 data nasabah Bank
Syariah Indonesia dapat diprediksi dengan accuracy yang cukup tinggi dengan menggunakan data training
dan data testing sebesar 94.65% dan 88.18% dengan dua kasus split data yang berbeda.

Kata Kunci: Data Mining, Algoritma C4.5, RapidMiner",,URL Korespondensi untuk Jurnal berjudul Rekomendasi Klasifikasi Nasabah BSI Mengikuti Program Pesta Hadiah dan Labbaik Special Gift Menggunakan Algoritma C4. 5,,"[{'id': 'resty.annisa@eng.unila.ac.id', 'name': {'honourific': None, 'lineage': None, 'family': 'Resty', 'given': 'Annisa'}}]",other,show,2023-04-08 13:28:53,49895,archive,2023-04-08 13:28:53,,"[{'language': 'en', 'rev_number': 1, 'mime_type': 'image/jpeg', 'main': 'URL Korespondensi Jurnal 2.jpg', 'docid': 189571, 'files': [{'fileid': 540143, 'datasetid': 'document', 'mime_type': 'image/jpeg', 'hash': 'ff2e0c46a5e100cb88a0343c0ac826bd', 'hash_type': 'MD5', 'mtime': '2023-04-08 06:53:40', 'objectid': 189571, 'filesize': 67466, 'filename': 'URL Korespondensi Jurnal 2.jpg', 'uri': 'http://repository.lppm.unila.ac.id/id/file/540143'}], 'format': 'image', 'uri': 'http://repository.lppm.unila.ac.id/id/document/189571', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 49895}]",2822,,,,,,,,,,
