,place_of_pub,creators,type,isbn,refereed,title,userid,documents,lastmod,eprint_status,eprintid,datestamp,pagerange,metadata_visibility,status_changed,full_text_status,ispublished,rev_number,publisher,divisions,dir,uri,date,subjects,book_title,contact_email,note,funders,publication,volume,date_type,official_url,number,referencetext,keywords,related_url,projects,abstract,pages,issn,id_number,corp_creators,monograph_type,institution,department,event_location,pres_type,event_dates,event_title,event_type
10,,"[{'name': {'given': 'Hertanto', 'lineage': None, 'family': 'Hertanto', 'honourific': None}, 'id': 'hertanto.1960@fisip.unila.ac.id'}]",other,,,HAKI : Buku Teori-Teori Politik,813,"[{'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/166624', 'security': 'public', 'placement': 1, 'eprintid': 44746, 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'main': '4072.pdf', 'files': [{'hash_type': 'MD5', 'mtime': '2022-09-05 06:20:11', 'objectid': 166624, 'filesize': 2069345, 'uri': 'http://repository.lppm.unila.ac.id/id/file/483200', 'filename': '4072.pdf', 'datasetid': 'document', 'fileid': 483200, 'hash': 'bd7060ff7c649d9ca1158cd79f4c170a', 'mime_type': 'application/pdf'}], 'docid': 166624, 'format': 'text'}]",2022-09-05 09:59:12,archive,44746,2022-09-05 09:59:12,,show,2022-09-05 09:59:12,public,pub,7,Kementrian Hukum dan Hak Asasi Manusia,['FISIP3'],disk0/00/04/47/46,http://repository.lppm.unila.ac.id/id/eprint/44746,1970-01-01 00:00:00.000002022,['H1'],,,,,,,,,,,,,,,,,,,,,,,,,,
11,,"[{'name': {'family': 'Hertanto', 'lineage': None, 'honourific': None, 'given': 'Hertanto'}, 'id': 'hertanto.1960@fisip.unila.ac.id'}]",other,,,Similirity : Candidates and Popular Issues in the 2020 Regional Head Election among Netizens in Bandar Lampung,813,"[{'placement': 1, 'eprintid': 44749, 'uri': 'http://repository.lppm.unila.ac.id/id/document/166628', 'pos': 1, 'security': 'public', 'main': 'Candidates & Popular Issues in 2020, UMA 2021.pdf.pdf', 'docid': 166628, 'files': [{'filesize': 437758, 'objectid': 166628, 'uri': 'http://repository.lppm.unila.ac.id/id/file/483218', 'filename': 'Candidates & Popular Issues in 2020, UMA 2021.pdf.pdf', 'hash_type': 'MD5', 'mtime': '2022-09-05 06:25:53', 'datasetid': 'document', 'fileid': 483218, 'mime_type': 'application/pdf', 'hash': '3da257ab2f7e4910b56e71ffd4d785d7'}], 'format': 'text', 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf'}]",2022-09-05 09:59:20,archive,44749,2022-09-05 09:59:20,,show,2022-09-05 09:59:20,public,pub,8,Journal of Governance and Political Social,['FISIP3'],disk0/00/04/47/49,http://repository.lppm.unila.ac.id/id/eprint/44749,1970-01-01 00:00:00.000002022,"['JA', 'JC']",,,,,,,,,,,,,,,,,,,,,,,,,,
12,,"[{'name': {'lineage': None, 'family': 'Hertanto', 'honourific': None, 'given': 'Hertanto'}, 'id': 'hertanto.1960@fisip.unila.ac.id'}]",other,,,"Similirity : Social media and election under covid-19 pandemic in Malang
regency Indonesia",813,"[{'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/166661', 'eprintid': 44774, 'placement': 1, 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'format': 'text', 'files': [{'datasetid': 'document', 'fileid': 483406, 'mime_type': 'application/pdf', 'hash': '7dd0f8e5c7504c332e7b11fdf1c04b98', 'hash_type': 'MD5', 'mtime': '2022-09-05 07:17:10', 'filesize': 577003, 'objectid': 166661, 'uri': 'http://repository.lppm.unila.ac.id/id/file/483406', 'filename': 'Social Media and Election_June_2022.pdf.pdf'}], 'main': 'Social Media and Election_June_2022.pdf.pdf', 'docid': 166661}]",2022-09-05 10:00:21,archive,44774,2022-09-05 10:00:21,,show,2022-09-05 10:00:21,public,pub,7,Association for Scientic Computing Electronics and Engineering (ASCEE),['FISIP3'],disk0/00/04/47/74,http://repository.lppm.unila.ac.id/id/eprint/44774,1970-01-01 00:00:00.000002022,['H1'],,,,,,,,,,,,,,,,,,,,,,,,,,
13,Bandar Lampung,"[{'name': {'given': 'Hertanto', 'lineage': None, 'family': 'Hertanto', 'honourific': None}, 'id': 'hertanto.1960@fisip.unila.ac.id'}, {'id': 'handi.mulyaningsih@fisip.unila.ac.id', 'name': {'given': 'Handi', 'family': 'Mulyaningsih', 'lineage': None, 'honourific': None}}]",monograph,,,Relasi Modalitas Korporasi dengan Petahana pada Pemilihan Kepala Daerah di Lampung,813,"[{'placement': 1, 'eprintid': 50895, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/190609', 'security': 'public', 'main': 'Laporan Penelitian Modalitas_2022.pdf', 'docid': 190609, 'files': [{'hash': 'ffbf9e3383f91e64bc410a51afd2435c', 'mime_type': 'application/pdf', 'fileid': 547845, 'datasetid': 'document', 'mtime': '2023-05-01 14:52:11', 'hash_type': 'MD5', 'filename': 'Laporan Penelitian Modalitas_2022.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/547845', 'filesize': 2076790, 'objectid': 190609}], 'format': 'text', 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1}]",2023-05-02 01:43:19,archive,50895,2023-05-02 01:43:19,,show,2023-05-02 01:43:19,public,unpub,7,LPPM Universitas Lampung,['FISIP3'],disk0_bak/00/05/08/95,http://repository.lppm.unila.ac.id/id/eprint/50895,2022-09-30 00:00:00.000000000,['JS'],,,,,,,completed,http://repository.lppm.unila.ac.id/cgi/users/home?screen=EPrint::Edit&eprintid=50895&stage=core#t,,,,,,"Keterlibatan korporasi atau perusahaan sebagai badan hukum swasta dalam pemilu atau pilkada seringkali menyisakan cerita tentang penyimpangan kewenangan otonomi pemerintahan oleh penguasa (petahana) untuk mengambil kebijakan di kemudian hari. Korporasi kerapkali “bermurah hati” memberikan sumbangan dana kampanye untuk pasangan calon. Modalitas sumbangan korporasi sering dicurigai memiliki agenda ekonomi- politik yang tersembunyi. Calon petahana (incumbent) selama menjabat periode 5 tahun pertama sudah membangun relasi politik lebih awal ke berbagai organisasi maupun masyarakat selama berkuasa. Dengan adanya dukungan korporasi, maka petahana memiliki modal ekonomi-politik lebih unggul dibandingkan kandidat lainya. Tujuan penelitian ini untuk menjelaskan: 1) Pola interaksi antara kandidat, parpol, dan pengusaha dalam pemilihan; 2) bentuk dukungan korporasi terhadap kandidat; 3) implikasi aliansi ekonomi- politik antara kandidat dan pengusaha terhadap kemenangan pilkada. Hasil penelitian menujukkan, pertama, bahwa pola interaksi dan pertarungan politik lokal hanya terjadi pada segelintir orang yang berpengaruh di daerah. Mereka disebut Bosisme lokal, yaitu, elit partai, konglomerat/cukong, birokrat, elite kultural lokal, dan broker. Kedua, bentuk dukungan korporasi terhadap kandidat berupa sumbangan dana kampanye uang, barang, dan jasa. Ketiga, implikasi aliansi ekonomi-politik antara kandidat dan pengusaha cenderung menghasilkan kemenangan bagi kandidat dan petahana pilkada. Urgensi hasil penelitian diharapkan dapat dijadikan sebagai masukan bagi perbaikan regulasi pemilu dan pilkada, terutama dalam memenuhi hak dan kewajiban kesetaraan peserta pemilu dan pilkada. Juga dapat merumuskan dan menawarkan model strategi pencegahan politik uang dalam pemilu dan pilkada kepada penyelenggara pemilu, kandidat dan partai politik. Target luaran penelitian ini adalah penerbitan publikasi ilmiah pada jurnal internasional bereputasi.",70.0,,http://repository.lppm.unila.ac.id/cgi/users/home?screen=EPrint::Edit&eprintid=50895&stage=core#t,,project_report,Lampung University,Goverment Science,,,,,
14,"lampung, indonesia","[{'name': {'honourific': None, 'family': 'Indrajat', 'lineage': None, 'given': 'Himawan'}}]",book_section,978-623-418-029-9,TRUE,"Regulasi dan Teknis Pencalonan Kepala Daerah dan
Wakil Kepala Daerah",266,"[{'files': [{'hash': '2a6b9a3a45e519e9232b9f695ed4b416', 'mime_type': 'application/pdf', 'fileid': 610667, 'datasetid': 'document', 'mtime': '2023-05-13 07:05:19', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/610667', 'filename': 'Catatan Dibalik Pilkada (2).pdf', 'filesize': 2028312, 'objectid': 249168}], 'main': 'Catatan Dibalik Pilkada (2).pdf', 'docid': 249168, 'format': 'text', 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 2, 'placement': 1, 'eprintid': 51548, 'uri': 'http://repository.lppm.unila.ac.id/id/document/249168', 'pos': 1, 'security': 'public'}]",2023-05-15 01:20:37,archive,51548,2023-05-15 01:20:37,79-99,show,2023-05-15 01:20:37,public,pub,8,PUSAKA MEDIA,['FISIP3'],disk0_bak/00/05/15/48,http://repository.lppm.unila.ac.id/id/eprint/51548,2022-01-01 00:00:00.000000000,['JA'],Catatan Dibalik Pilkada Lampung Timur Tahun 2020,,,,,,,,,,,,,,,,,,,,,,,,,
15,,"[{'name': {'lineage': None, 'family': 'Indrajat', 'honourific': None, 'given': 'Himawan'}, 'id': 'himawan.indrajat@fisip.unila.ac,id'}, {'id': 'robi_ck@yahoo.com, robi.cahyadi@fisip.unila.ac.id', 'name': {'honourific': None, 'family': 'Cahyadi', 'lineage': None, 'given': 'Robi'}}, {'name': {'given': 'Dedy', 'family': 'Hermawan', 'lineage': None, 'honourific': None}, 'id': 'dedy.hermawan@fisip.unila.ac.id'}, {'id': None, 'name': {'given': 'Bendi', 'honourific': None, 'lineage': None, 'family': 'Juantara'}}]",article,,TRUE,"Pendidikan Wawasan Kebangsaan dan Demokrasi bagi Pelajar dan
Mahasiswa di Kota Bandar Lampung dalam Membangun Semangat
Nasionalisme dan Demokrasi",266,"[{'eprintid': 46183, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/185074', 'format': 'text', 'docid': 185074, 'main': '274-909-1-PB (1).pdf', 'files': [{'filename': '274-909-1-PB (1).pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/510603', 'objectid': 185074, 'filesize': 233649, 'mtime': '2022-11-01 15:05:54', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'hash': 'e1298169a1d22f7652b57b8afc9a9e49', 'datasetid': 'document', 'fileid': 510603}], 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf'}]",2022-11-02 05:40:12,archive,46183,2022-11-02 05:40:12,35-48,show,2022-11-02 05:40:12,public,pub,7,Yayasan Pendidikan dan Kebudayaan Dharma Wacana,['FISIP3'],disk0/00/04/61/83,http://repository.lppm.unila.ac.id/id/eprint/46183,2022-03-04 00:00:00.000000000,['JA'],,,,['Universitas Lampung'],Jurnal Pengabdian Dharma Wacana,Vol 3,published,https://e-jurnal.dharmawacana.ac.id/index.php/jp/article/view/274,1.0,,,,,"Tujuan pengabdian ini adalah memberikan pendidikan wawasan kebangsaan dan demokrasi bagi pelajar dan
mahasiswa di Kota Bandar Lampung. Karena seperti kita ketahui bahwa hasil dari survey Badan Nasional
Penanggulangan Terorisme (BNPT) di Tahun 2017 menempatkan provinsi Lampung dalam provinsi dengan
tingkat radikalisme tertinggi. Kemudian hasil penelitian FKPT (Forum Kordinasi Penanggulangan Terorisme)
Provinsi Lampung Bandar Lampung merupakan yang masuk dalam daerah rawan radikalisme. Berdasarkan
hasil penelitian BNPT dan FKPT Provinsi Lampung maka sasaran pendidikan wawasan kebangsaan dan
demokrasi ini adalah generasi muda yang terdiri dari pelajar sekolah menengah atas dan mahasiswa yang ada
di Kota Bandar Lampung. Dan bertujuan agar dapat memberikan kesadaran berbangsa dan bernegara serta
nilai-nilai demokrasi sehingga bisa mencegah pemahaman radikalisme dan memiliki tingkat melek politik yang
demokratis.
Pengabdian dilakukan dalam bentuk penjajagan pengetahuan dan pemahaman peserta dengan menggunakan
evaluasi awal melalui pre test. Cara ini digunakan untuk mengetahui tingkat pengetahuan dan pemahaman
peserta pendidikan wawasan kebangsaan dan demorasi mengenai Pancasila, UUD 1945, Negara Kesatuan
Republik Indonesia, dan Bhineka Tunggal Ika serta Sistem Politik Indonesia. Evaluasi akhir melalui post test
dan diskusi atas masalah-masalah yang belum dipahami berkaitan dengan materi yang disampaikan.
Diharapkan dengan Pendidikan Wawasan Kebangsaan dan Demokrasi ini mampu meningkatkan rasa
nasionalisme, toleransi dan melek politik.",,2776-0030 (e),https://doi.org/10.37295/jpdw.v3i1,,,,,,,,,
16,"lampung, indonesia","[{'name': {'honourific': None, 'family': 'Juantara', 'lineage': None, 'given': 'Bendi'}}]",book_section,978-623-418-029-9,TRUE,"Manajemen Daftar Pemilih Tetap; Upaya Membangun
Akurasi Data Pemilih",8114,"[{'eprintid': 51546, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/249162', 'pos': 1, 'format': 'text', 'main': 'Catatan Dibalik Pilkada (2).pdf', 'docid': 249162, 'files': [{'fileid': 610652, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': '2a6b9a3a45e519e9232b9f695ed4b416', 'hash_type': 'MD5', 'mtime': '2023-05-13 06:53:48', 'filesize': 2028312, 'objectid': 249162, 'filename': 'Catatan Dibalik Pilkada (2).pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/610652'}], 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 2}]",2023-05-15 01:20:32,archive,51546,2023-05-15 01:20:32,60-78,show,2023-05-15 01:20:32,public,pub,9,PUSAKA MEDIA,['FISIP3'],disk0_bak/00/05/15/46,http://repository.lppm.unila.ac.id/id/eprint/51546,2022-01-01 00:00:00.000000000,['JA'],Catatan Dibalik Pilkada Lampung Timur Tahun 2020,,,,,,published,,,,,,,,,,,,,,,,,,,
17,,"[{'id': None, 'name': {'lineage': None, 'family': 'Juantara', 'honourific': None, 'given': 'Bendi'}}, {'name': {'lineage': None, 'family': 'Purba', 'honourific': None, 'given': 'Darmawan'}, 'id': None}, {'id': 'ptjbudiono@gmail.com', 'name': {'lineage': None, 'family': 'Budiono', 'honourific': None, 'given': 'Pitojo'}}]",conference_item,,TRUE,Exploitation Versus Advocation: A Case Study of Hill Land Use in Bandar Lampung City,8741,"[{'main': 'Exploitation Versus Advocation A Case Study.pdf', 'files': [{'filesize': 398039, 'objectid': 159920, 'uri': 'http://repository.lppm.unila.ac.id/id/file/438410', 'filename': 'Exploitation Versus Advocation A Case Study.pdf', 'hash_type': 'MD5', 'mtime': '2022-01-31 07:52:53', 'datasetid': 'document', 'fileid': 438410, 'hash': '25f1faa4f9edb26eb5faa6d68e0b0742', 'mime_type': 'application/pdf'}], 'docid': 159920, 'format': 'text', 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 2, 'placement': 1, 'eprintid': 38804, 'uri': 'http://repository.lppm.unila.ac.id/id/document/159920', 'pos': 1, 'security': 'public'}, {'uri': 'http://repository.lppm.unila.ac.id/id/document/159922', 'pos': 2, 'security': 'public', 'placement': 2, 'eprintid': 38804, 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 2, 'main': 'Exploitation Versus Advocation A Case Study.pdf', 'files': [{'fileid': 438420, 'datasetid': 'document', 'hash': '25f1faa4f9edb26eb5faa6d68e0b0742', 'mime_type': 'application/pdf', 'objectid': 159922, 'filesize': 398039, 'uri': 'http://repository.lppm.unila.ac.id/id/file/438420', 'filename': 'Exploitation Versus Advocation A Case Study.pdf', 'hash_type': 'MD5', 'mtime': '2022-01-31 08:05:02'}], 'docid': 159922, 'format': 'text'}]",2022-01-31 12:49:23,archive,38804,2022-01-31 12:49:23,191-197,show,2022-01-31 12:49:23,public,pub,11,,['FISIP3'],disk0/00/03/88/04,http://repository.lppm.unila.ac.id/id/eprint/38804,2022-01-06 00:00:00.000000000,['H1'],,,,,,,published,https://www.atlantis-press.com/article/125968236.pdf,,,,,,,,,,"['Universitas Lampung', 'Universitas Lampung', 'Universitas Lampung']",,,,"Online, Universitas Lampung",other,27-28 Agustus 2021,"The 2nd Universitas Lampung International Conference on Science, Technology and Environment (ULICoSTE) 2021",conference
18,,"[{'name': {'given': 'Budi', 'honourific': None, 'family': 'Kurniawan', 'lineage': None}, 'id': 'budi.kurniawan@fisip.unila.ac.id'}]",article,,FALSE,Democracy and Development in Indonesia: A Natural Resource Curse ?,284,"[{'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/184446', 'security': 'public', 'placement': 1, 'eprintid': 45636, 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'files': [{'objectid': 184446, 'filesize': 939720, 'uri': 'http://repository.lppm.unila.ac.id/id/file/506380', 'filename': 'The Natural Resource Curse in Indonesia.pdf', 'hash_type': 'MD5', 'mtime': '2022-10-10 15:40:47', 'datasetid': 'document', 'fileid': 506380, 'hash': 'e30f374b27c92ae410be3828b6e92250', 'mime_type': 'application/pdf'}], 'main': 'The Natural Resource Curse in Indonesia.pdf', 'docid': 184446, 'format': 'text'}]",2022-10-11 00:58:40,archive,45636,2022-10-11 00:58:40,,show,2022-10-11 00:58:40,public,submitted,7,,['FISIP3'],disk0/00/04/56/36,http://repository.lppm.unila.ac.id/id/eprint/45636,1970-01-01 00:00:00.000002022,['JF'],,,,,"Department of Government Studies, University of Lampung",,,,,,,,,"Few researchers have investigated the issue of resource curse as a political factor in Indonesia's current development. So far, the literature has only explained the economic factors that influence the middle-income trap's condition. This article aims to examine the issue of development in Indonesia because of the resources curse from the standpoint of political economy. The Indonesian case is particularly well-suited to investigating theories of the middle- resource curse. To investigate this research puzzle, I use quantitative methods. I conduct quantitative research to create a model of the relationship between natural resources and democracy quality, and then the relationship between democracy and development. The dataset is produced by combining the data from Indonesia Democracy Index, Human Development Index and some government and media reports. This paper argues that there is a resource curse at the subnational level; provinces with abundant natural resources have a negative relationship with political institutions. This research also finds that there is a positive relationship between democracy quality and development. Higher in democracy means higher in the quality of development.
Keywords: development, resource curse, democracy",,,,,,,,,,,,
19,,"[{'id': 'budi.kurniawan@fisip.unila.ac.id', 'name': {'honourific': None, 'family': 'Kurniawan', 'lineage': None, 'given': 'Budi'}}]",article,,FALSE,Do religious parties inevitably have political/electoral advantages in religious societies?,284,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/184361', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 45581, 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'main': 'Do religius get bennefit .pdf', 'files': [{'mime_type': 'application/pdf', 'hash': '5b0f73ccfac6b6de4670fcb7cba87f6a', 'datasetid': 'document', 'fileid': 505928, 'mtime': '2022-10-06 16:43:36', 'hash_type': 'MD5', 'filename': 'Do religius get bennefit .pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/505928', 'objectid': 184361, 'filesize': 166197}], 'docid': 184361, 'format': 'text'}]",2022-10-07 01:41:30,archive,45581,2022-10-07 01:41:30,,show,2022-10-07 01:41:30,public,pub,7,,['FISIP3'],disk0/00/04/55/81,http://repository.lppm.unila.ac.id/id/eprint/45581,1970-01-01 00:00:00.000002022,"['JA', 'JC']",,,,,Journal of Politics and Identity,,,,,,,,,"Do religious parties have an electoral advantage in winning the election easily compared to secular parties? I argue that religious parties have some electoral advantages from having religious voters as their primary supporters. However, they must have some strategies to attract median voters or other social classes outside their traditional base to win the election. They must also make a ""holy"" effort to maintain their morality as their religious and moral guardian in government, which is difficult in democratic politics. This essay also argues that Indonesia is an outlier in the winning trend of Islamic parties in religious societies across the globe, but further studies are needed because there is a new critical juncture. The rest of this essay will support my argument with some evidence from several countries.",,,,,,,,,,,,
20,,"[{'id': 'budi.kurniawan@fisip.unila.ac.id', 'name': {'family': 'Kurniawan', 'lineage': None, 'honourific': None, 'given': 'Budi'}}]",article,,FALSE,Faktor Ekonomi yang Mempengaruhi Demokrasi dan Demokratisasi,284,"[{'placement': 1, 'eprintid': 47283, 'uri': 'http://repository.lppm.unila.ac.id/id/document/186268', 'pos': 1, 'security': 'public', 'main': 'Economic Factors Influencing Democracy and Dictatorship id (1).pdf', 'files': [{'datasetid': 'document', 'fileid': 518911, 'mime_type': 'application/pdf', 'hash': '279fd2ebdc405b2dfe8ff875569ff46e', 'filesize': 127439, 'objectid': 186268, 'uri': 'http://repository.lppm.unila.ac.id/id/file/518911', 'filename': 'Economic Factors Influencing Democracy and Dictatorship id (1).pdf', 'hash_type': 'MD5', 'mtime': '2022-12-16 01:29:10'}], 'docid': 186268, 'format': 'text', 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1}]",2022-12-16 01:45:30,archive,47283,2022-12-16 01:45:30,,show,2022-12-16 01:45:30,public,unpub,6,,['FISIP3'],disk0/00/04/72/83,http://repository.lppm.unila.ac.id/id/eprint/47283,1970-01-01 00:00:00.000002022,['JC'],,,,,Journal Indonesian Democracy,,,,,,,,,"Apa dampak faktor-faktor ekonomi seperti sumber daya alam, bantuan luar negeri, dan ketidaksetaraan terhadap demokrasi? Mengapa beberapa negara kaya terus menjadi otoriter? Makalah ini menantang teori modernisasi, yang berpendapat bahwa peningkatan kesejahteraan dapat memfasilitasi demokrasi dan demokratisasi. Saya berpendapat bahwa pembangunan ekonomi tidak dapat memfasilitasi demokrasi dan demokratisasi. Namun, kemajuan dalam pembangunan ekonomi akan bertahan bagi suatu negara untuk tetap demokratis daripada memfasilitasi demokratisasi dari otoriter. Sumber daya alam dan bantuan asing menghambat demokrasi karena otonomi negara dari masyarakat.


Makalah ini dibagi menjadi beberapa bagian berikut ini. Pertama, saya mengevaluasi teori modernisasi. Pada bagian ini, saya memberikan beberapa penjelasan mengapa beberapa negara berpenghasilan tinggi tetap otoriter, dan mengapa bantuan asing menghambat demokrasi. Pada bagian kedua, saya menganalisis kelangsungan hidup demokrasi untuk mendukung argumen saya mengapa pembangunan ekonomi/kesejahteraan dapat mempertahankan demokrasi. Pada bagian ketiga, saya menganalisis isu ketimpangan dan demokrasi. Pada bagian ini saya berargumen bahwa ketidaksetaraan menghambat demokrasi jika jenis ketidaksetaraan yang dimaksud adalah kepemilikan tanah, bukan ketidaksetaraan pendapatan.",,,,,,,,,,,,
21,,"[{'id': 'budi.kurniawan@fisip.unila.ac.id', 'name': {'family': 'Kurniawan', 'lineage': None, 'honourific': None, 'given': 'Budi'}}]",article,,FALSE,Why Does New Public Management (NPM) Fail in Developing Countries?,284,"[{'docid': 184447, 'main': 'Why Does New Public Management (NPM) Fail in Developing Countries_.pdf', 'files': [{'fileid': 506387, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': '44dca3cdfb39f4221ac84ff2fbfdab11', 'filesize': 449514, 'objectid': 184447, 'filename': 'Why Does New Public Management (NPM) Fail in Developing Countries_.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/506387', 'hash_type': 'MD5', 'mtime': '2022-10-10 15:53:08'}], 'format': 'text', 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'placement': 1, 'eprintid': 45637, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/184447', 'security': 'public'}]",2022-10-11 00:58:43,archive,45637,2022-10-11 00:58:43,,show,2022-10-11 00:58:43,public,unpub,6,,['FISIP3'],disk0/00/04/56/37,http://repository.lppm.unila.ac.id/id/eprint/45637,1970-01-01 00:00:00.000002022,['JA'],,,,,"Department of Government, University of Lampung",,,,,,,,,"Why does NPM fail? This article seeks to investigate this puzzle using the cultural theory approach. This paper will argue that NPM is failing in many developing countries because policy recommendations neglect the cultural context of developing countries. This paper will investigate the theory of origin of public administration institutions based on grid-group cultural theory. This paper will also argue that gird-group cultural theory has a strong argument to explain the origin of institution in public administration theory. In addition, as part policy recommendation grid-group cultural theory can explain why NPM is ineffective to achieve its goals in developing countries.

Keywords: New Public Management, Cultural Theory",,,,,,,,,,,,
22,,"[{'name': {'given': 'Budi', 'lineage': None, 'family': 'Kurniawan', 'honourific': None}, 'id': 'budi.kurniawan@fisip.unila.ac.id'}, {'name': {'honourific': None, 'lineage': None, 'family': 'Cahyadi', 'given': 'Robi'}, 'id': 'robi_ck@yahoo.com'}]",article,,FALSE,"Fox News and CNN Sentiment on Twitter after President Biden's speeches in Europe from March 25 to April 1, 2022",284,"[{'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'docid': 162512, 'main': 'Biden Speech .pdf', 'files': [{'hash_type': 'MD5', 'mtime': '2022-04-05 13:39:14', 'objectid': 162512, 'filesize': 678318, 'filename': 'Biden Speech .pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/456249', 'fileid': 456249, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': 'abd359c3f55d1de12521e010440c89d7'}], 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/162512', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 41089}]",2022-04-06 01:21:48,archive,41089,2022-04-06 01:21:48,,show,2022-04-06 01:21:48,public,pub,6,,['FISIP3'],disk0/00/04/10/89,http://repository.lppm.unila.ac.id/id/eprint/41089,2022-05-01 00:00:00.000000000,['JA'],,,,,Research in Social Media,,,,,,,,,"One of the trending topics on Twitter this month is Putin’s invasion to Ukraine. I was inspired by the work of Bligh et al. (2004 cited in Bryman, 2012, p. 293) when they examined the rhetoric of President George W. Bush’s speeches before and after the terrorist attacks on the World Trade Center, the Pentagon, and Flight 73 on September 11, 2001. Therefore, I try to find a similar way. I try to analyze the impact of President Biden’s speeches on social media in the context of the Ukraine Crises. I did a content analysis on Biden’s communications impact on tones of Fox News and CNN on Twitter. In the context of President Bush’s speech, Bligh et al. (Bryman, 2012, p.293) found that the media portrayal of Bush also tended to incorporate a more charismatic tone. Therefore, what about Joe Biden's speech after the NATO emergency meeting in Brussels and Poland?",,,,,,,,,,,,
23,,"[{'id': 'maulanamukhlis1978@gmail.com', 'name': {'honourific': None, 'family': 'Mukhlis', 'lineage': None, 'given': 'Maulana'}}]",other,,,"A Critical Analysis of the Challenges of Collaborative Governance in Climate Change Adaptation Policies in Bandar Lampung City, Indonesia",681,"[{'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'format': 'text', 'main': 'Korespondensi_Maulana Mukhlis_MDPI_2022.pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/472923', 'filename': 'Korespondensi_Maulana Mukhlis_MDPI_2022.pdf', 'filesize': 1295971, 'objectid': 165144, 'mtime': '2022-07-13 08:57:13', 'hash_type': 'MD5', 'hash': '93e6013bb80fc971f58fba07fa7f0437', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 472923}], 'docid': 165144, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/165144', 'eprintid': 43282, 'placement': 1}]",2022-07-14 01:18:19,archive,43282,2022-07-14 01:18:19,,show,2022-07-14 01:18:19,public,unpub,8,MDPI,['FISIP3'],disk0/00/04/32/82,http://repository.lppm.unila.ac.id/id/eprint/43282,2022-05-01 00:00:00.000000000,['H1'],,,,,,,,,,,,,,Correspondency Process,,,,"['Jurusan Ilmu Pemerintahan , FISIP, Universitas Lampung']",,,,,,,,
