,abstract,volume,date,uri,date_type,subjects,full_text_status,issn,status_changed,ispublished,rev_number,related_url,divisions,publisher,publication,dir,userid,number,official_url,lastmod,documents,datestamp,eprintid,eprint_status,metadata_visibility,type,creators,title,refereed,place_of_pub,isbn,pages,pagerange,book_title,referencetext,corp_creators,id_number,editors,monograph_type,institution,department,succeeds,contact_email,event_dates,pres_type,event_location,event_type,event_title,note,contributors,keywords,funders
10,Peer Review,,1970-01-01 00:00:00.000002019,http://repository.lppm.unila.ac.id/id/eprint/23043,published,['AC'],public,,2020-07-08 07:55:29,pub,7,,['FISIP3'],Prosiding Seminar Internasional,,disk0/00/02/30/43,912,,,2020-07-08 07:55:29,"[{'eprintid': 23043, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/36602', 'format': 'text', 'main': 'Reviewer Dr.Feni R .  Metagpvernance on Disaster.pdf', 'files': [{'filesize': 421384, 'objectid': 36602, 'uri': 'http://repository.lppm.unila.ac.id/id/file/211364', 'filename': 'Reviewer Dr.Feni R .  Metagpvernance on Disaster.pdf', 'hash_type': 'MD5', 'mtime': '2020-07-08 07:45:58', 'datasetid': 'document', 'fileid': 211364, 'hash': '516d116c5cb80fef1b604f01bc28ca39', 'mime_type': 'application/pdf'}], 'docid': 36602, 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1}]",2020-07-08 07:55:29,23043,archive,show,other,"[{'name': {'honourific': None, 'lineage': None, 'family': 'Darmastuti', 'given': 'Ari'}, 'id': None}, {'name': {'given': 'Feni', 'honourific': None, 'lineage': None, 'family': 'Rosalia'}, 'id': 'feni.rosalia@fisip.unila.ac.id'}]",Metagovernance on Disaster: Learning from Lampung Tsunami in Indonesia,,,,,,,,,,,,,,,,,,,,,,,,
11,Similarity,,1970-01-01 00:00:00.000002019,http://repository.lppm.unila.ac.id/id/eprint/23046,published,['AC'],public,,2020-07-08 08:17:21,pub,7,,['FISIP3'],ICONSIER 2019,,disk0/00/02/30/46,912,,,2020-07-08 08:17:21,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/36605', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 23046, 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'main': 'Feni. R. Similarity Metagovernance.pdf', 'files': [{'hash_type': 'MD5', 'mtime': '2020-07-08 08:04:16', 'filesize': 2183080, 'objectid': 36605, 'uri': 'http://repository.lppm.unila.ac.id/id/file/211386', 'filename': 'Feni. R. Similarity Metagovernance.pdf', 'fileid': 211386, 'datasetid': 'document', 'hash': '151439eae9aefc33ec4c61906da10f6e', 'mime_type': 'application/pdf'}], 'docid': 36605, 'format': 'text'}]",2020-07-08 08:17:21,23046,archive,show,other,"[{'name': {'honourific': None, 'lineage': None, 'family': 'Darmastuti', 'given': 'Ari'}, 'id': None}, {'name': {'given': 'Feni', 'lineage': None, 'family': 'Rosalia', 'honourific': None}, 'id': 'feni.rosalia@fisip.unila.ac.id'}]",Metagovernance on Disaster: Learning from Lampung Tsunami in Indonesia,,,,,,,,,,,,,,,,,,,,,,,,
12,"Gerakan perempuan yang telah mapan seperti Nasyiatul Aisyiyah (NA) telah memiliki 
analisis situasi yang responsif terhadap persoalan kerentanan perempuan pada kejahatan
narkoba. Namun, analisis kritis tetap perlu dilakukan dalam merumuskan kontribusi 
masing-masing pimpinan wilayah NA agar mampu menerjemahkan kebijakan pimpinan
pusat berupa program dan kegiatan. Artikel ini berupa opini yang berupaya mengkaji
peluang NA Wilayah Lampung, dilihat pada upaya mewujudkan karakteristik gerakan
perempuan yaitu aktivis, kelembagaan dan pelibatan aspek lintas sektoral.
Kata kunci: S Kajian Peluang, Nasyiatul Aisyiyah, Kerentanan Perempuan, Kejahatan
Narkoba",3,2019-10-09 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/21328,published,['JA'],public,ISBN NO. 9 786239 197209,2020-06-01 05:44:16,pub,6,,['FISIP3'],FAKULTAS ILMU SOSIAL DAN ILMU POLITIK (FISIP) UNIVERSITAS LAMPUNG,"Prosiding Seminar Nasional FISIP Universitas Lampung (SeFila) 3 'Agenda Baru Pembangunan Indonesia Berbasis Local Knowledge', Kamis, 8 Agustus 2019, Hotel Bukit Randu, Kota Bandarlampung, Indonesia",disk0/00/02/13/28,269,,,2020-06-01 05:44:16,"[{'format': 'text', 'main': 'sefila 2020.pdf', 'docid': 34725, 'files': [{'fileid': 198352, 'datasetid': 'document', 'hash': 'dfa182e8a87bb0177c5f35a9f71ed80a', 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2020-06-01 02:42:55', 'objectid': 34725, 'filesize': 419590, 'uri': 'http://repository.lppm.unila.ac.id/id/file/198352', 'filename': 'sefila 2020.pdf'}], 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 21328, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/34725', 'pos': 1}]",2020-06-01 05:44:16,21328,archive,show,article,"[{'name': {'given': 'Dwi Wahyu', 'honourific': None, 'lineage': None, 'family': 'Handayani'}, 'id': 'dwi.wahyu@fisip.unila.id.'}]","KAJIAN PELUANG PIMPINAN WILAYAH NASYIATUL AISYIYAH
LAMPUNG DALAM PENCEGAHAN KERENTANAN PEREMPUAN
PADA KEJAHATAN NARKOBA",TRUE,,,,43-48,,,['UNIVERSITAS LAMPUNG'],,,,,,,,,,,,,,,,
13,"Pesisir Lampung adalah wilayah yang disinggahi para
imigran pencari suaka dan pengungsi sebelum menuju
negara tujuan, karena konflik dan ingin mendapat kehidupan
lebih baik dari negara asal. Sementara pembangunan
maritim harus memperhatikan keamanan sosial. Tujuan
penelitian ini adalah mendapatkan pengembangan model
kerjasama penanganan penyelundupan manusia di Wilayah
Pesisir Lampung. Peneliti menggunakan formula Lani Kass
mengenai ancaman keamanan non tradisional. Peneliti
menjelaskan dengan metode kualitatif deskriptif mengenai
tiga aspek yaitu kerentanan negara, tujuan masuknya orang
asing dan kapabilitas negara. Hasil penelitian ini bahwa ada kerentanan keamanan pemerintah daerah akibat migran
illegal dan penyelundupan manusia. Namun penanganan
penyelundupan manusia di daerah sangat tergantung pada
kebijakan, anggaran, program pemerintah pusat, hingga
jaringan kerjasama internasionalnya.",8,2019-05-30 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/13563,published,['JA'],public,2355-9500,2019-07-17 02:39:23,pub,6,,['FISIP3'],Andalas Institute of International Studies,Andalas Journal of International Studies,disk0/00/01/35/63,307,1.0,http://ajis.fisip.unand.ac.id/index.php/ajis,2019-07-17 02:39:23,"[{'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'format': 'text', 'main': '146-689-1-PB.pdf', 'files': [{'filesize': 535516, 'objectid': 26573, 'uri': 'http://repository.lppm.unila.ac.id/id/file/118472', 'filename': '146-689-1-PB.pdf', 'hash_type': 'MD5', 'mtime': '2019-07-16 06:44:39', 'datasetid': 'document', 'fileid': 118472, 'mime_type': 'application/pdf', 'hash': 'f31d9a006491b3f6bcadaa3bbb5dad49'}], 'docid': 26573, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/26573', 'pos': 1, 'eprintid': 13563, 'placement': 1}]",2019-07-17 02:39:23,13563,archive,show,article,"[{'id': 'dwi.wahyu@fisip.unila.id.', 'name': {'given': 'Dwi Wahyu', 'family': 'Handayani', 'lineage': None, 'honourific': None}}, {'name': {'given': 'i Gede', 'family': 'Sidemen', 'lineage': None, 'honourific': None}, 'id': 'igede.sidemen@fisip.unila.ac.id'}, {'id': 'iickmaniez@yahoo.com', 'name': {'honourific': None, 'lineage': None, 'family': 'Ratnasari', 'given': 'Yuni'}}]","Penanganan Penyelundupan Manusia di Wilayah
Pesisir Provinsi Lampung",TRUE,,,,88-103,,,"['Jurusan Ilmu Pemerintahan', 'Jurusan Sosiologi', 'Jurusan Sosiologi']",DOI: https://doi.org/10.25077/ajis.8.1.88-103.2019,,,,,,,,,,,,,,,
14,"Kabupaten Pesisir  Barat Provinsi Lampung memiliki pesona alam pesisir yang 
menakjubkan banyak wisatawan, bahkan dari mancanegara. Jumlah wisatawan
mancanegara  yang berkunjung selama tahun 2016  sebanyak 15.389 orang.
Pemerintah melalui pembangunan pariwisata  ini, berharap dapat menjadi
penggerak roda perekonomian masyarakat setempat, sehingga dapat keluar dari
penilaian sebagai salah satu daerah tertinggal di Indonesia. Geliat pengembangan
pariwisata di suatu daerah, namun  sebagian besar ekonomi masyarakat masih di
bawah rata-rata, menimbulkan permasalahan. Salah satunya  adalah aspek
keamanan, yaitu kejahatan human trafficking (perdagangan manusia).  Badan
Pemberdayaan Perempuan dan Perlindungan Anak (BP3A) Lampung mewaspadai
adanya human trafficking dengan modus kawin kontrak di lingkungan wisata
Pesisir Barat, Tanjungsetia. 
Sosialisasi bertujuan membentuk aparatur pemerintah  dan tokoh masyarakat
yang bersinergi dalam melindungi warganya dari praktik tersebut. Sasaran
sosialisasi ini diperuntukkan bagi aparatur pemerintah dan tokoh masyarakat dari
wilayah wisata yaitu dari Pekon Bumi Waras, dan Pekon Labuhan Mandi 
(Kecamatan Way Krui), Pekon Seray dan Pekon Kampung Jawa (Kecamatan Pesisir
Tengah), Pekon Mandiri Sejati (Kecamatan Krui Selatan), serta Pekon Tanjung Setia
(Kecamatan Pesisir Selatan). Jumlah  peserta 50 orang. Metode Kegiatan, adalah
menggelar forum discussion group (FGD) dengan  Badan Pemberdayaan Perempuan
dan Perlindungan Anak (BP3A) Kabupaten Pesisir Barat, serta kegiatan sosialisasi. 
Kata Kunci: Pemberdayaan, Pembangunan Pariwisata, Perdagangan Manusia",,2019-12-03 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/21326,published,['H1'],public,,2020-06-01 05:44:09,pub,7,,['FISIP3'],LPPM UNIVERSITAS LAMPUNG,Prosiding  Seminar Hasil Pengabdian Kepada Masyarakat Tahun 2019,disk0/00/02/13/26,269,,,2020-06-01 05:44:09,"[{'placement': 1, 'eprintid': 21326, 'uri': 'http://repository.lppm.unila.ac.id/id/document/34724', 'pos': 1, 'security': 'public', 'main': 'PROSIDING PENGABDIAN dwi wahyu 2020.pdf', 'files': [{'mime_type': 'application/pdf', 'hash': 'b04174221521da78f25b1928daf76734', 'fileid': 198342, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/198342', 'filename': 'PROSIDING PENGABDIAN dwi wahyu 2020.pdf', 'objectid': 34724, 'filesize': 325745, 'mtime': '2020-06-01 02:30:24', 'hash_type': 'MD5'}], 'docid': 34724, 'format': 'text', 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1}]",2020-06-01 05:44:09,21326,archive,show,article,"[{'name': {'honourific': None, 'lineage': None, 'family': 'Handayani', 'given': 'Dwi Wahyu'}, 'id': 'dwi.wahyu@fisip.unila.id.'}, {'id': 'iickmaniez@yahoo.com', 'name': {'given': 'Yuni', 'honourific': None, 'family': 'ratnasari', 'lineage': None}}, {'id': 'indrajaya.wiranata@fisip.unila.ac.id', 'name': {'given': 'indra jaya', 'honourific': None, 'lineage': None, 'family': 'wiranata'}}]","PEMBERDAYAAN BAGI TOKOH MASYARAKAT DAN
APARATUR PEMERINTAH DI DESA WISATA 
KABUPATEN PESISIR BARAT DALAM PENCEGAHAN
KASUS PERDAGANGAN PEREMPUAN DAN ANAK",TRUE,,,,158-171,,,"['UNIVERSITAS LAMPUNG', 'UNIVERSITAS LAMPUNG', 'UNIVERSITAS LAMPUNG']",,,,,,,,,,,,,,,,
15,"Distributive politics is part of the concept of patronage or clientelism, term of clientelism commonly referred to in some scientific literature. Research on distributive politics in the context of local politics, especially in the election of regional heads is still rare. Previous studies are still conducted within the national scope, such as presidential and legislative elections. This research tries to answer the question of how the process of distributive politics and manipulative policies runs in the local context of Bandar Lampung Local Election in 2015.The study was conducted in Bandar Lampung City in September 2016 until January 2017. This research used qualitative method through in-depth interview approach to informants related to the research. The informant consisted of several political actors, Herman HN's successful team and academics. The result of this research indicates that politics of distributive among voters occurs in the selection of Bandar Lampung Mayor. There is a symbiotic mutualism between candidate and the voters in Bandar Lampung Local Election. Voters can be influenced by the choice of imaging of candidate, through the concept of distributive politics or pork barrels politics or provide necessary needs for the voting community with infrastructure policy; roads and bridges, free education, free health and religious social assistance. Other results indicate that the manipulative policies carried out by candidate make voters lulled to absurd performance that ends in the Bandar Lampung City budget crisis after the policy is rolled out.",4,2019-07-25 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/13671,published,['JA'],public,"2477-8060, 2503-4456",2019-07-31 08:29:55,pub,6,"[{'url': 'https://journal.unnes.ac.id/nju/index.php/jpi/article/view/19122/9441', 'type': 'pub'}]",['FISIP3'],Universitas Negeri Semarang,Politik Indonesia: Indonesian Political Science Review,disk0/00/01/36/71,680,2.0,https://journal.unnes.ac.id/nju/index.php/jpi/article/view/19122/9441,2019-07-31 08:29:55,"[{'docid': 26682, 'main': 'IPSR 2019.pdf', 'files': [{'hash_type': 'MD5', 'mtime': '2019-07-26 06:22:10', 'objectid': 26682, 'filesize': 81684, 'uri': 'http://repository.lppm.unila.ac.id/id/file/119283', 'filename': 'IPSR 2019.pdf', 'datasetid': 'document', 'fileid': 119283, 'hash': 'dffe2d13650ead6e6a65436bb3460776', 'mime_type': 'application/pdf'}], 'format': 'text', 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'placement': 1, 'eprintid': 13671, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/26682', 'security': 'public'}]",2019-07-31 08:29:55,13671,archive,show,article,"[{'name': {'given': 'Dedy', 'honourific': None, 'lineage': None, 'family': 'Hermawan'}, 'id': 'hermawan.dedy@yahoo.com'}, {'id': 'robi_ck@yahoo.com', 'name': {'given': 'Robi', 'family': 'Cahyadi', 'lineage': None, 'honourific': None}}]",Distributive Politics and Manipulative Policy in Local Election,TRUE,,,,180-190,,,,,,,,,,,,,,,,,,,
16,Similarity index,4,1970-01-01 00:00:00.000002019,http://repository.lppm.unila.ac.id/id/eprint/15866,published,['JS'],public,"2477-8060, 2503-4456",2019-11-14 07:44:11,pub,6,[{'url': 'https://journal.unnes.ac.id/nju/index.php/jpi/article/view/19122'}],['FISIP3'],Universitas Negeri Semarang,Politik Indonesia: Indonesian Political Science Review,disk0/00/01/58/66,680,2.0,https://journal.unnes.ac.id/nju/index.php/jpi/article/view/19122,2019-11-14 07:44:11,"[{'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/28958', 'pos': 1, 'eprintid': 15866, 'placement': 1, 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'format': 'text', 'files': [{'filename': '7. JurNas Terakreditasi IPSR_2019, Cek Similarity 13.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/136161', 'objectid': 28958, 'filesize': 2973361, 'mtime': '2019-11-07 05:11:47', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'hash': '7d782350898e7ffd612475f89f925c77', 'datasetid': 'document', 'fileid': 136161}], 'main': '7. JurNas Terakreditasi IPSR_2019, Cek Similarity 13.pdf', 'docid': 28958}]",2019-11-14 07:44:11,15866,archive,show,article,"[{'name': {'family': 'Hermawan', 'lineage': None, 'honourific': None, 'given': 'Dedy'}, 'id': 'hermawan.dedy@yahoo.com'}, {'name': {'family': 'Cahyadi', 'lineage': None, 'honourific': None, 'given': 'Robi'}, 'id': 'robi_ck@yahoo.com'}]","Similarity Check Result Jurnal ""Distributive Politics and Manipulative Policy in Local Election""",TRUE,,,,,,,,,,,,,,,,,,,,,,,
17,Buku kumpulan tulisan tentang dinamika kebijakan publik di Bangka Belitung paska Otonomi Daerah,,1970-01-01 00:00:00.000002019,http://repository.lppm.unila.ac.id/id/eprint/21025,published,['JA'],public,,2020-05-29 07:13:46,pub,8,,['FISIP3'],Deepublish,,disk0/00/02/10/25,284,,https://books.google.co.id/books/about/Dinamika_Dan_Rekonstruksi_Kebijakan_Publ.html?id=dVnHDwAAQBAJ&source=kp_book_description&redir_esc=y,2020-05-29 07:13:46,"[{'format': 'text', 'main': 'reader_id=dVnHDwAAQBAJ&lr=&printsec=frontcover&pg=GBS.PP1', 'files': [{'mime_type': 'text/html', 'hash': '0717288669be3661190a6f0f7dd0bd71', 'datasetid': 'document', 'fileid': 196215, 'filename': 'reader_id=dVnHDwAAQBAJ&lr=&printsec=frontcover&pg=GBS.PP1', 'uri': 'http://repository.lppm.unila.ac.id/id/file/196215', 'objectid': 34404, 'filesize': 42239, 'mtime': '2020-05-29 07:00:30', 'hash_type': 'MD5'}], 'docid': 34404, 'content': 'published', 'language': 'en', 'mime_type': 'text/html', 'rev_number': 3, 'eprintid': 21025, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/34404'}]",2020-05-29 07:13:46,21025,archive,show,book_section,"[{'name': {'family': 'Idi', 'lineage': None, 'honourific': None, 'given': 'Abdullah'}}, {'name': {'honourific': None, 'family': 'Kurniawan', 'lineage': None, 'given': 'Budi'}}]",Merubah Watak Birokrasi,FALSE,Yogyakarta,978-623-02-0132-5,99.0,62-66,Dinamika Dan Rekonstruksi Kebijakan Publik Di Era Otonomi Daerah,,,,"[{'name': {'family': 'Arkom', 'lineage': None, 'honourific': None, 'given': 'Darol'}}, {'name': {'lineage': None, 'family': 'Ariady', 'honourific': None, 'given': 'Shulby Yozar'}}]",,,,,,,,,,,,,,
18,"Penelitian ini bertujuan untuk melakukan evalusi partisipasi pemilih dalam pemilihan umum 2019 di Kabutan Pangka Barat. Partisipasi politik dalam pemilihan umum atau diistilahkan dengan voter turnout telah menjadi concern banyak ilmuan politk dan stake-holders kepemiluan. Umumnya mereka berpendapat semakin tinggi partisipasi dalam pemilu maka makin baiklah legitimasi politik dan kualitas demokrasi. Semakin banyak yang ikut pemilu maka sukeslah penyelanggara pemilu dalam hal ini Komisi Pemilihan Umum. Semakin banyak partisipasi maka semakin tinggilah angka Index Demokrasi di daerah yang dihitung Badan Pusat Statistik setiap tahun untuk konteks Indonesia. 
 
Namun masalah partisipasi memilih tidak sesederhana banyak-nya partisipasi pemilih yang ikut pemilu. Perlu juga dievaluasi apakah jumlah yang banyak berbanding lurus pula dengan kualitas memilih masyarakat.  Kesuksesan dalam jumlah yang banyak ikut melakukan pemungutan suara seharusnya diikuti pula dengan kualitas pemilu yang baik seperti rendahnya politik uang atau vote buying, hoax dan kampanye hitam. 
 
Kata Kunci:  Voter Turnout, partisipasi politik, politik identitas, budaya politik, cliente",,2019-12-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/21190,,['JA'],public,,2020-05-30 20:01:31,unpub,7,,['FISIP3'],Jurusan Ilmu Pemerintahan Universitas Lampung,,disk0/00/02/11/90,284,,,2020-05-30 20:01:31,"[{'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'format': 'text', 'main': 'Laporan Penelitian Pemilu Bangka Barat.pdf', 'docid': 34574, 'files': [{'hash': '2cb54bc0e2e4cba6cba77753ce27c8f7', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 197344, 'mtime': '2020-05-30 13:32:28', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/197344', 'filename': 'Laporan Penelitian Pemilu Bangka Barat.pdf', 'objectid': 34574, 'filesize': 1346372}], 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/34574', 'eprintid': 21190, 'placement': 1}]",2020-05-30 20:01:31,21190,archive,show,monograph,"[{'name': {'lineage': None, 'family': 'Kurniawan', 'honourific': None, 'given': 'Budi'}, 'id': 'budi.kurniawan@fisip.unila.ac.id'}]",EVALUASI PARTISIPASI POLITIK PEMILIH PADA PEMILU 2019 DI KABUPATEN BANGKA BARAT,,Bandar Lampung,,39.0,,,,,,,project_report,University of Lampung,Government,,,,,,,,,,,
19,"Munculnya Ahok, Rudianto Tjen, Hidayat Arsani dan Ir. Bahar dalam kancah politik Bangka Belitung yang selama ini di dominasi oleh etnis melayu adalah suatu fenomena yang menarik. Menjadi menarik karena paradoks dengan sejarah perjalanan orde baru dan orde lama yang menempatkan etnis Tionghoa sebagai kelompok yang tesingkirkan dalam kancah dunia politik. Pada masa orde baru suatu hal yang tabu bagi individu Tionghoa untuk terjun ke dunia politik. Etnis Tionghoa justru berkuasa dan mendapat jatah di sektor ekonomi. Aset-aset ekonomi secara dominan dikuasai oleh etnis Tionghoa termasuk di provinsi kepulauan Bangka Belitung ini.

Kemunculan etnis Tionghoa dalam artian positif mengindikasikan bahwa polarisasi etnis telah mati di Bangka-Belitung. Indikasi positif ini menandakan bahwa Bangka-Belitung telah memasuki fase tarakhir dari perjalanan demokrasi yaitu advance demokrasi, dimana demokrasi diartikan sebagai media menajemen konflik masyarakat. Konflik baik beradasrkan ras, suku, agama dan aliran disalurkan dan diredam melalui sistem demokrasi yang lebih mengedepankan perbedaan atau jualan program kerja (sebagai hasil turunan nilai dan ideologi yang dianut) oleh partai politik atau kandidat bagi kemajuan masyarakat.",,1970-01-01 00:00:00.000002019,http://repository.lppm.unila.ac.id/id/eprint/22078,published,"['JA', 'JF', 'JQ', 'JS']",public,,2020-06-08 05:36:32,pub,5,,['FISIP3'],Deepublish,,disk0/00/02/20/78,284,,https://play.google.com/books/reader?id=dVnHDwAAQBAJ&pg=GBS.PA22,2020-06-08 05:36:32,"[{'format': 'image', 'docid': 35474, 'main': 'Dinamika Kebijakan Publik.jpg', 'files': [{'filename': 'Dinamika Kebijakan Publik.jpg', 'uri': 'http://repository.lppm.unila.ac.id/id/file/203449', 'filesize': 195032, 'objectid': 35474, 'mtime': '2020-05-31 00:57:56', 'hash_type': 'MD5', 'hash': '9577cfa5925c0268eaf8f61f1480eb42', 'mime_type': 'image/jpeg', 'datasetid': 'document', 'fileid': 203449}], 'language': 'en', 'rev_number': 2, 'mime_type': 'image/jpeg', 'eprintid': 22078, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/35474', 'pos': 1}]",2020-06-08 05:36:32,22078,archive,show,book_section,"[{'id': 'budi.kurniawan@fisip.unila.ac.id', 'name': {'given': 'Budi', 'family': 'Kurniawan', 'lineage': None, 'honourific': None}}]",Etnisitas dalam Pemilihan Kepala Daerah di Bangka Belitung,FALSE,,978-623-02-0132-5,,22-25,Dinamika Dan Rekonstruksi Kebijakan Publik Di Era Otonomi Daerah,,,,"[{'name': {'given': 'Darol', 'honourific': None, 'lineage': None, 'family': 'Arkum'}}, {'name': {'honourific': None, 'family': 'Ariadhy', 'lineage': None, 'given': 'Shulby Yozar'}}]",,,,21225.0,,,,,,,,,,
20,"Why do some governments perform well, when the others perform badly in the issue of development such as poverty, welfare, public good provision, environment, and the lack of human development? Different theories exist in the literature regarding these questions. The main aims of this book are; firstly, to discuss the debate among scholars to frame these questions. Secondly, to find novelty in this study so far in order to support this thesis argument that academia has insufficiently addressed the research question so far.",,1970-01-01 00:00:00.000002019,http://repository.lppm.unila.ac.id/id/eprint/21643,published,"['HB', 'JA']",public,,2020-06-03 07:15:30,pub,8,,['FISIP3'],CV. Anugrah Utama Raharja,,disk0/00/02/16/43,284,,,2020-06-03 07:15:30,"[{'format': 'text', 'files': [{'mtime': '2020-06-03 06:45:18', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/200373', 'filename': 'Political Economy of Development.pdf', 'objectid': 35028, 'filesize': 1375368, 'hash': 'b0b79f14360faba56b0a2d3ef9819360', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 200373}], 'main': 'Political Economy of Development.pdf', 'docid': 35028, 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'eprintid': 21643, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/35028'}]",2020-06-03 07:15:30,21643,archive,show,book,"[{'id': 'budi.kurniawan@fisip.unila.ac.id', 'name': {'given': 'Budi', 'honourific': None, 'lineage': None, 'family': 'Kurniawan'}}, {'name': {'family': 'Cahyadi', 'lineage': None, 'honourific': None, 'given': 'Robi'}, 'id': 'robi_ck@yahoo.com'}]",Political Economy of Development from Global to Indonesian Context A Review of Literature,FALSE,Bandar Lampung,978-623-211-058-8,,,,,,,,,,,,,,,,,,,,,
