,monograph_type,subjects,abstract,uri,divisions,publisher,dir,status_changed,full_text_status,rev_number,ispublished,eprint_status,eprintid,datestamp,metadata_visibility,userid,documents,lastmod,creators,type,title,official_url,refereed,date_type,issn,publication,referencetext,number,volume,editors,pagerange,place_of_pub,book_title,corp_creators,contributors,related_url,isbn
10,,['H1'],"Masalah yang mencuat tentang TKI  di Malaysia adalah deportasi, perlakuan tidak manusiawi, eksploitasi dan sebagainya. Apabila Pemerintah RI memandang TKI  sebagai pasar yang penting karena terkait devisa, maka perlu dilengkapi dengan undang-undang serta kelembagaan, kesepakatan kerjasama, termasuk dukungan APBN yang memadai. Namun, terjadi tarik ulur kesepakatan antara Indonesia dan Malaysia mengenai upaya kerjasama dalam perlindungan dan penempatan TKI di Malaysia. Kesepakatan sudah ada tetapi belum sepenuhnya mampu melindungi TKI. Oleh sebab itu, penelitian untuk menganalisa dinamika kerjasama Indonesia dan Malaysia dalam penempatan dan perlindungan tenaga kerja pada era kepemimpinan Presiden Soesilo Bambang Yudoyono (2004-2014) menjadi sangat penting. Masalah penelitian adalah bagaimana dinamika kerjasama Indonesia dan Malaysia tentang penempatan dan perlindungan tenaga kerja? Hasil penelitian dengan metode deskriptif kualitatif ini untuk menjawab bagaimana dinamika kerjasama Indonesia dan Malaysia tentang penempatan dan perlindungan tenaga kerja. Kegunaan secara teoritis adalah memperkaya kajian kontemporer dalam bidang pemerintahan dan hubungan internasional. Kegunaan secara praktis, dapat memberikan informasi yang bermanfaat bagi pemerintah sebagai garda terdepan pelayanan masyarakat. Hubungan bilateral Indonesia dan Malaysia mengenai tenaga kerja tidak terlepas dari tujuan masing-masing untuk memenuhi terwujudnya kepentingan nasional. Hasil penelitian adalah pertama, TKI di Malaysia adalah sebuah fenomena rasional ekonomi yang didasarkan kepentingan dua negara, angka permintaan Malaysia atas TKI tinggi, Indonesia juga mendapat manfaat ekonomi sebagai sumber devisa terbesar dan membantu perekonomian nasional. Kedua, dinamika kerjasama upaya penempatan dan perlindungan TKI di Malaysia dari masa ke masa dipengaruhi oleh kendala internal 2 negara yaitu sistem ketenagakerjaan masing-masing negara. Malaysia dan Indonesia belum meratifikasi konvensi Buruh Migran. Malaysia pun tidak memiliki aturan hukum yang khusus mengurusi para TKI sektor informal. Malaysia juga menentang konsep legally binding dan standar perlindungan pekerja migran ilegal berdasarkan hak asasi manusia. Ketiga, power bargaining Indonesia lemah karena citra buruk pengelolaan tenaga kerja yang akan bekerja di luar negeri, diantaranya adanya TKI illegal, TKI tanpa keahlian dan pemahaman budaya negara penerima, tidak jelasnya kontrak kerja, adanya pungli terhadap TKI di dalam negeri.

Kata kunci: Kerjasama Indonesia dan Malaysia, Penempatan dan Perlindungan  
                   Tenaga Kerja",http://repository.lppm.unila.ac.id/id/eprint/6823,['FISIP8'],"FISIP, Universitas Lampung",disk0/00/00/68/23,2018-04-25 06:37:28,public,6,pub,archive,6823,2018-04-25 06:37:28,show,269,"[{'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'format': 'text', 'files': [{'fileid': 62507, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': '2753143814f19afb5c821ce8b6384dd9', 'filesize': 158500, 'objectid': 19796, 'uri': 'http://repository.lppm.unila.ac.id/id/file/62507', 'filename': 'dokumen jurnal dinamika migrasi.pdf', 'hash_type': 'MD5', 'mtime': '2018-04-25 04:42:07'}], 'main': 'dokumen jurnal dinamika migrasi.pdf', 'docid': 19796, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/19796', 'pos': 1, 'eprintid': 6823, 'placement': 1}]",2018-04-25 06:37:28,"[{'name': {'honourific': None, 'lineage': None, 'family': 'Handayani', 'given': 'Dwi Wahyu'}}]",article,"DINAMIKA KERJASAMA INDONESIA DAN MALAYSIA TENTANG
PENEMPATAN DAN PERLINDUNGAN TENAGA KERJA",,TRUE,,14110040,Jurnal Sosiologi,,,,,,,,,,,
11,,['H1'],"Laboratorium Politik Lokal dan Otonomi Daerah, Jurusan Ilmu Pemerintahan Universitas Lampung dan Program Studi Magister Ilmu Pemerintahan Universitas Lampung memberi sumbangsih pemikiran dalam rangka perbaikan Undang-Undang Pemerintahan daerah dengan menyelenggarakan Seminar Nasional dengan Tema; “UU Pemerintahan Daerah: Solusi atau Masalah yang Baru ?”, pada tanggal 30 Oktober 2015 bertempat di Universitas Lampung.
Pembicara utama dalam seminar ini adalah para penggiat Ilmu Pemerintahan di Indonesia yakni; Professor Purwo Santoso, Ph.D, Dr. Syarif Makhya ( MIP UNILA), Hertanto Ph.D ( MIP UNILA ),  Dr. Suwondo ( MIP UNILA ) , dan Syafarudin, MA ( Labpolotda UNILA ). Pemmbicara dari praktisi adalah Dr. Pahada Hidayat (perwakilan APKASI Lampung).  Peserta yang hadir beraneka ragam dari unsur akademisi, mahasiswa, wartawan dan perwakilan pemerintah kabupaten dan kota se Provinsi Lampung.
Adapun tujuh butir rekomendasi kami sebagai hasil seminar ini adalah sebagai berikut:
1.	Seminar ini memandang UU No.23/2014  menegasikan demokrasi partisipatif atau cacat secara proses pembuatan kebijakan karena tidak adanya uji publik dan keterlibatan policy networks seperti Pemerintah Daerah, Kampus, masyarakat sipil dan sebagainya. Untuk itu kami menghimbau agar peraturan teknis turunan UU ini jangan hanya menjadikan pemerintah daerah, kampus, masyarakat sipil, dll  sebagai objek sosialisasi kebijakan saja setelah aturan dibuat, namun haruslah melibatkan mereka secara aktif dan partisipatif dalam proses kebijakannya.  
2.	Seminar ini memandang perlunya semangat nawacita Presiden Jokowi yang merekomendasikan asymetric decentralization yakni penguatan ciri khas masing-masing daerah ketimbang penyeragaman oleh pusat segera terelalisasikan.  
3.	Seminar ini bersepakat bahwa UU No.23/ 2014 telah kehilangan semangat otonomi daerah yang merupakan cita-cita reformasi 1998. UU ini jelas mempunyai semangat dan misi resentralisasi ala orde baru ketimbang otonomi daerah. 
4.	Seminar ini menilai perlu adanya pemahaman yang benar tentang otonomi sesuai dengan Undang-Undang Dasar yakni dilakukan secara seluas-luasnya. Kami juga menolak autarkhi yakni daerah berbuat semau-maunya. 
5.	Seminar ini mengingatkan kembali bahwa daerah jangan diposisikan sebagai taklukan pusat, namun daerah adalah mitra sejajar pemerintah pusat dalam menjalankan pemerintahan demi mewujudkan cita-cita bangsa.  
6.	Seminar ini mengingatkan kembali tentang semangat membangun Indonesia dari pinggiran, membangun Indonesia dari daerah bukan dari Jakarta. Membangun Indonesia secara bottom-up ketimbang top-down.
7.	Seminar ini menyadari akan adanya kelemahan UU 32 / 2004, namun solusinya tidaklah dengan merampas kewenangan yang merupakan modal dasar pembangunan daerah namun dengan meningkatkan pengawasan. Untuk itu daerah perlu diawasi secara demokratis dengan melibatkan partisipasi masyarakat bukan dengan mencabut kewenangan.",http://repository.lppm.unila.ac.id/id/eprint/6797,['FISIP8'],Jurusan Ilmu Pemerintahan FISIP UNILA,disk0/00/00/67/97,2018-04-25 04:03:15,public,7,pub,archive,6797,2018-04-25 04:03:15,show,269,"[{'language': 'en', 'rev_number': 1, 'mime_type': 'application/msword', 'files': [{'hash_type': 'MD5', 'mtime': '2018-04-24 04:35:45', 'objectid': 19768, 'filesize': 957952, 'filename': 'Desentralisasi_atau_Resentralisasi.doc', 'uri': 'http://repository.lppm.unila.ac.id/id/file/62241', 'datasetid': 'document', 'fileid': 62241, 'hash': '170658949d27114fafc262e6524f036d', 'mime_type': 'application/msword'}], 'main': 'Desentralisasi_atau_Resentralisasi.doc', 'docid': 19768, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/19768', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 6797}]",2018-04-25 04:03:15,"[{'name': {'given': 'Dwi Wahyu', 'lineage': None, 'family': 'Handayani', 'honourific': None}}]",book_section,KAJIAN INTERMESTIK: RUANG KERJASAMA DAERAH TANPA BATAS,,TRUE,published,,,,,1.0,"[{'name': {'given': 'budi', 'family': 'kurniawan', 'lineage': None, 'honourific': None}}]",105-110,Bandar Lampung,Resentralisasi atau Desentralisasi,,,,
12,,['JA'],"Budaya Lampung pada aspek sejarah, wanita dipersepsikan berperan sangat positif dan
dihargai justru ketika menjadi penegak rumah tangga. Pada perkembangannya apakah
mengalami pergeseran, kontraproduktif pandangan, pro kontra tentang wilayah domestik dan
publik, ketika perempuan dituntut tanggungjawabnya yang lebih luas. Beberapa data
menunjukkan keterlibatan perempuan di Lampung dalam partisipasi politik masih rendah.
Keterwakilan perempuan di kursi DPRD Lampung kurang dari 30%. Jumlah keseluruhan 85
kursi, hanya 12 orang perempuan. Sementara itu, laki-laki di Lampung lebih mendominasi
kekuasaan di institusi politik dan pemerintahan dengan istilah putra daerah. Dari sekian posisi
penting, laki-laki Lampung mendominasi meskipun penduduk asli ini bukan mayoritas di
Lampung. Lampung memiliki multi suku dengan budaya yang beranekaragam. Prosentase
JURNAL ANALISIS SOSIAL POLITIK
VOLUME 1, NO 2, DESEMBER 2017
120 JURNAL ANALISIS SOSIAL POLITIK
VOLUME 1, NO 2, DESEMBER 2017
terbesar penduduknya adalah suku pendatang, yang sebagian besar adalah Jawa. Maka itu,
penelitian mengenai penyebab rendahnya partisipasi politik perempuan Lampung menjadi hal
yang menarik. Salah satunya dikaitkan dengan dominasi politik laki-laki Lampung meskipun
bukan mayoritas, untuk mengetahui persepsi dan pengaruh terhadap peran perempuan di
ranah publik khususnya politik. Metode penelitian yang digunakan adalah kualitatif deskriptif.
Teori yang dipergunakan adalah meninjau berbagai relevansi teori mengenai feminisme. Hasil
penelitian adalah pertama perempuan di Lampung dari sistem adat budaya Lampung memiliki
kesempatan sama untuk berkiprah di ranah publik, dalam bidang apapun termasuk politik.
Kedua, laki-laki Lampung bersikap fleksibel terhadap pilihan perempuan dengan berbagai
varian sikap. Laki-laki memposisikan diri sebagai patner perempuan di area domestik, sehingga
meringankan langkah perempuan di ranah publik. Laki-laki menolak maksimalisasi peran publik
perempuan karena keterikatannya pada peran domestik, karena sikap perempuan
menganggap peran domestik bukan hal penting ataupun adanya perjuangan pemikiran
feminism marxis. Hal ini juga terbaca dengan struktural fungsional, tanpa disadari pembagian
peran bukan sekedar ranah publik dan domestik tetapi juga terbawa pada ranah publik,
adanya pembatasan ruang gerak perempuan dalam berpolitik. Selanjutnya, yang mewarnai
dunia politik dengan kualitas feminis atau nama lain adalah ekofeminisme.Ketiga, kiprah
perempuan dalam politik Lampung bukan terkendala budaya setempat tetapi lebih kepada
kapasitas, dukungan dan persaingan politik. Kapasitas, faktor pendidikan dan pengalaman.
Dukungan rendah karena keterbatasan ruang lingkup sosialisasi dan komunikasi politik.
Persaingan politik di Lampung tidak mengarah kepada sisi gender, namun lebih kepada intrik
politik, tidak fair dan tindakan pelanggaran politik.",http://repository.lppm.unila.ac.id/id/eprint/6817,['FISIP8'],FISIP UNILA,disk0/00/00/68/17,2018-04-25 04:22:40,public,7,pub,archive,6817,2018-04-25 04:22:40,show,269,"[{'main': 'DOKUMEN JURNAL PERSEPSI LAKI LAKI.pdf', 'files': [{'fileid': 62366, 'datasetid': 'document', 'hash': '0b3011951d8d45020852b645563f3ffe', 'mime_type': 'application/pdf', 'objectid': 19789, 'filesize': 430641, 'filename': 'DOKUMEN JURNAL PERSEPSI LAKI LAKI.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/62366', 'hash_type': 'MD5', 'mtime': '2018-04-25 02:14:28'}], 'docid': 19789, 'format': 'text', 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'placement': 1, 'eprintid': 6817, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/19789', 'security': 'public'}]",2018-06-28 07:57:57,"[{'id': None, 'name': {'honourific': None, 'family': 'Handayani', 'lineage': None, 'given': 'Dwi Wahyu'}}, {'name': {'given': 'yuni ratna', 'honourific': None, 'lineage': None, 'family': 'sari'}, 'id': 'iickmaniez@yahoo.com'}]",article,"PERSEPSI LAKI-LAKI LAMPUNG TENTANG
PARTISIPASI PEREMPUAN DALAM POLITIK",,TRUE,published,2580-8559,Jurnal Analisis Sosial Politik,,2.0,1.0,,120-136,,,['FISIP Unila'],,,
13,,['H1'],,http://repository.lppm.unila.ac.id/id/eprint/45182,['FISIP8'],Prov. Lampung,disk0/00/04/51/82,2022-09-23 04:05:23,public,7,pub,archive,45182,2022-09-23 04:05:23,show,1187,"[{'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'format': 'text', 'files': [{'mime_type': 'application/pdf', 'hash': 'a9bd39c41a49d187ca23fd7220da8fb4', 'fileid': 486568, 'datasetid': 'document', 'filename': 'Kejahatan.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/486568', 'filesize': 739753, 'objectid': 167132, 'mtime': '2022-09-23 03:47:01', 'hash_type': 'MD5'}], 'main': 'Kejahatan.pdf', 'docid': 167132, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/167132', 'eprintid': 45182, 'placement': 1}]",2022-09-23 04:05:23,"[{'name': {'given': 'Sulistiyo', 'lineage': None, 'family': 'Iwa', 'honourific': None}}]",other,"Reviewer : Kejahatan Terorganisasi Lintas-Negara di Eropa Pascabrexit, 2016-2022",,,,,,,,,,,,,,,,
14,,['H1'],,http://repository.lppm.unila.ac.id/id/eprint/45191,['FISIP8'],-,disk0/00/04/51/91,2022-09-26 01:33:03,public,7,unpub,archive,45191,2022-09-26 01:33:03,show,1187,"[{'format': 'text', 'docid': 167142, 'main': 'EU.pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/486672', 'filename': 'EU.pdf', 'filesize': 487891, 'objectid': 167142, 'mtime': '2022-09-23 06:44:48', 'hash_type': 'MD5', 'hash': '53be07de855948a233c395edc677d757', 'mime_type': 'application/pdf', 'fileid': 486672, 'datasetid': 'document'}], 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 45191, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/167142'}]",2022-09-26 01:33:03,"[{'name': {'given': 'Sulistiyo', 'lineage': None, 'family': 'Iwan', 'honourific': None}}]",other,Reviewer : EU-Indonesia Prospective Strategic Cooperation in Combating Terrorism: Best Practice between the Two,,,,,,,,,,,,,,,,
15,,['H1'],,http://repository.lppm.unila.ac.id/id/eprint/45193,['FISIP8'],-,disk0/00/04/51/93,2022-09-26 01:33:07,public,7,unpub,archive,45193,2022-09-26 01:33:07,show,1187,"[{'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'main': 'Geo.pdf', 'files': [{'hash': '96211f5f630967c9f3e0f1050c164f01', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 486686, 'uri': 'http://repository.lppm.unila.ac.id/id/file/486686', 'filename': 'Geo.pdf', 'filesize': 492166, 'objectid': 167144, 'mtime': '2022-09-23 07:01:52', 'hash_type': 'MD5'}], 'docid': 167144, 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/167144', 'security': 'public', 'placement': 1, 'eprintid': 45193}]",2022-09-26 01:33:07,"[{'name': {'given': 'Sulistiyo', 'honourific': None, 'lineage': None, 'family': 'Iwan'}}]",other,Reviewer : GEOPOLITICAL STRUCTURES DAN GEOPOLITICAL AGENTS PADA HUBUNGAN INTERNASIONAL DI ASIA TENGGARA DALAM KONTEKS KERJA SAMA INDO-PASIFIK,,,,,,,,,,,,,,,,
16,,['H1'],,http://repository.lppm.unila.ac.id/id/eprint/45196,['FISIP8'],-,disk0/00/04/51/96,2022-09-26 01:33:11,public,7,unpub,archive,45196,2022-09-26 01:33:11,show,1187,"[{'format': 'text', 'main': 'Maritime.pdf', 'docid': 167147, 'files': [{'hash': '58e97b58b4c07e202e3971c0fc41d779', 'mime_type': 'application/pdf', 'fileid': 486707, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/486707', 'filename': 'Maritime.pdf', 'filesize': 633500, 'objectid': 167147, 'mtime': '2022-09-23 07:22:34', 'hash_type': 'MD5'}], 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 45196, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/167147'}]",2022-09-26 01:33:11,"[{'name': {'given': 'Sulistiyo', 'honourific': None, 'lineage': None, 'family': 'Iwan'}}]",other,"Reviewer : Maritime Security in Southeast Asia: Facing the Threats, Securing the Ocean",,,,,,,,,,,,,,,,
17,,['H1'],,http://repository.lppm.unila.ac.id/id/eprint/45183,['FISIP8'],Badan Penelitian dan Pengembangan Daerah Provinsi Lampung,disk0/00/04/51/83,2022-09-23 04:05:26,public,7,pub,archive,45183,2022-09-23 04:05:26,show,1187,"[{'main': 'Pamswakarsa.pdf', 'files': [{'fileid': 486575, 'datasetid': 'document', 'hash': 'e6c966e84214c71254ad7bffb306941c', 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2022-09-23 03:54:00', 'filesize': 700271, 'objectid': 167133, 'filename': 'Pamswakarsa.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/486575'}], 'docid': 167133, 'format': 'text', 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'placement': 1, 'eprintid': 45183, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/167133', 'security': 'public'}]",2022-09-23 04:05:26,"[{'name': {'given': 'Sulistiyo', 'honourific': None, 'family': 'Iwan', 'lineage': None}}]",other,"Reviewer : Pamswakarsa dalam Konflik Agraria di Lampung: antara Kepentingan Perusahaan, Negara, dan Masyarakat",,,,,,,,,,,,,,,,
18,,['H1'],,http://repository.lppm.unila.ac.id/id/eprint/45185,['FISIP8'],FISIP Unila,disk0/00/04/51/85,2022-09-26 01:32:41,public,7,pub,archive,45185,2022-09-26 01:32:41,show,1187,"[{'eprintid': 45185, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/167135', 'format': 'text', 'main': 'Strategi.pdf', 'docid': 167135, 'files': [{'mtime': '2022-09-23 04:04:56', 'hash_type': 'MD5', 'filename': 'Strategi.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/486612', 'filesize': 716728, 'objectid': 167135, 'mime_type': 'application/pdf', 'hash': '21eb1e38c55ac877ba62a288a0fddaa6', 'fileid': 486612, 'datasetid': 'document'}], 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf'}]",2022-09-26 01:32:41,"[{'name': {'given': 'Sulistiyo', 'honourific': None, 'lineage': None, 'family': 'Iwan'}}]",other,Reviewer : STRATEGI PEMERINTAH KOTA BANDARLAMPUNG - INDONESIA TERKAIT PERUBAHAN IKLIM PADA 2015-2020,,,,,,,,,,,,,,,,
19,,['H1'],,http://repository.lppm.unila.ac.id/id/eprint/45197,['FISIP8'],-,disk0/00/04/51/97,2022-09-26 01:33:13,public,7,unpub,archive,45197,2022-09-26 01:33:13,show,1187,"[{'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'format': 'text', 'main': 'Therole.pdf', 'docid': 167148, 'files': [{'fileid': 486714, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': 'deb39008b42d54fd29b9968c13b274a2', 'hash_type': 'MD5', 'mtime': '2022-09-23 07:24:16', 'filesize': 696352, 'objectid': 167148, 'uri': 'http://repository.lppm.unila.ac.id/id/file/486714', 'filename': 'Therole.pdf'}], 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/167148', 'eprintid': 45197, 'placement': 1}]",2022-09-26 01:33:13,"[{'name': {'honourific': None, 'lineage': None, 'family': 'Iwan', 'given': 'Sulistiyo'}}]",other,Reviewer : The Role of Local Government on Human Rights City and SDGs through Post-NPM Perspective: Best Practice of Bandar Lampung City of Indonesia,,,,,,,,,,,,,,,,
20,,['H1'],,http://repository.lppm.unila.ac.id/id/eprint/45174,['FISIP8'],FISIP Unila,disk0/00/04/51/74,2022-09-23 04:04:53,public,7,pub,archive,45174,2022-09-23 04:04:53,show,1185,"[{'main': 'Strategi.pdf', 'docid': 167124, 'files': [{'fileid': 486512, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': '0bddefa1d6d143456a7776c662e8a79c', 'hash_type': 'MD5', 'mtime': '2022-09-23 02:30:19', 'objectid': 167124, 'filesize': 642494, 'uri': 'http://repository.lppm.unila.ac.id/id/file/486512', 'filename': 'Strategi.pdf'}], 'format': 'text', 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'placement': 1, 'eprintid': 45174, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/167124', 'security': 'public'}]",2022-09-23 04:04:53,"[{'name': {'given': 'Sulistiyo', 'lineage': None, 'family': 'Iwan', 'honourific': None}}, {'name': {'honourific': None, 'family': 'Gita', 'lineage': None, 'given': 'Karisma'}}, {'name': {'given': 'Jaya W', 'family': 'Indra', 'lineage': None, 'honourific': None}}]",other,Reviewer : Strategi Pemerintah Kota Bandarlampung- Indonesia terkait Perubahan Iklim pada 2015-2020,,,,,,,,,,,,,,,,
21,,['H1'],,http://repository.lppm.unila.ac.id/id/eprint/45181,['FISIP8'],Atlantis Press,disk0/00/04/51/81,2022-09-23 04:05:21,public,7,pub,archive,45181,2022-09-23 04:05:21,show,1187,"[{'docid': 167131, 'main': 'A Reviewer.pdf', 'files': [{'mime_type': 'application/pdf', 'hash': '85b2d9f025f9a7e23e19c4ff12aca013', 'fileid': 486561, 'datasetid': 'document', 'mtime': '2022-09-23 03:41:16', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/486561', 'filename': 'A Reviewer.pdf', 'objectid': 167131, 'filesize': 833553}], 'format': 'text', 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'placement': 1, 'eprintid': 45181, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/167131', 'security': 'public'}]",2022-09-23 04:05:21,"[{'name': {'honourific': None, 'family': 'Iwan', 'lineage': None, 'given': 'Sulistiyo'}}, {'name': {'honourific': None, 'family': 'Indra', 'lineage': None, 'given': 'Jaya W'}}]",other,"Reviewer : A Review towards Theories, Concepts, Methods in International Relations, and Related International Legal Instruments for Conducting Research on Transnational Organized Crime",,,,,,,,,,,,,,,,
22,,['JZ'],"Salah satu dimensi penting dari profesi/organisasi militer dan kemudian layak diterjemahkan ke dalam makna yang tepat oleh kepemimpinan dan organisasi sipil ialah kedisiplinan. Oleh sebab itu, memperkuat kompetensi kepemimpinan sipil (civilian leadership competency) secara perlahan di semua level pemerintahan tidak bisa dielakkan. Sebab, ia merupakan tumpuan untuk mewujudkan pengelolaan pemerintahan yang baik dan bersih secara menyeluruh. Makin demokratis Indonesia, tuntutan itu tentu kian meningkat.",http://repository.lppm.unila.ac.id/id/eprint/7284,['FISIP8'],,disk0/00/00/72/84,2018-06-21 01:51:51,public,13,pub,archive,7284,2018-06-21 01:51:51,show,1187,"[{'placement': 1, 'eprintid': 7284, 'uri': 'http://repository.lppm.unila.ac.id/id/document/20331', 'pos': 1, 'security': 'public', 'files': [{'fileid': 66024, 'datasetid': 'document', 'hash': '89e8f1d5bf02486bcfe862f4e3cf42a9', 'mime_type': 'image/png', 'hash_type': 'MD5', 'mtime': '2018-06-18 08:28:30', 'objectid': 20331, 'filesize': 1416018, 'uri': 'http://repository.lppm.unila.ac.id/id/file/66024', 'filename': 'Opini Lampost 5 Oktober 2017.png'}], 'main': 'Opini Lampost 5 Oktober 2017.png', 'docid': 20331, 'format': 'image', 'language': 'en', 'mime_type': 'image/png', 'rev_number': 1}, {'content': 'published', 'language': 'en', 'rev_number': 3, 'mime_type': 'text/html', 'format': 'image', 'main': 'berita-kompetensi-pemimpin-sipil', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/66027', 'filename': 'berita-kompetensi-pemimpin-sipil', 'filesize': 52386, 'objectid': 20332, 'mtime': '2018-06-18 08:28:50', 'hash_type': 'MD5', 'mime_type': 'text/html', 'hash': 'ee71f52264aae56c0d4242001f89e17c', 'fileid': 66027, 'datasetid': 'document'}], 'docid': 20332, 'security': 'public', 'pos': 2, 'uri': 'http://repository.lppm.unila.ac.id/id/document/20332', 'eprintid': 7284, 'placement': 2}]",2018-06-21 01:51:51,"[{'id': 'iwsulistyo@gmail.com', 'name': {'honourific': None, 'lineage': None, 'family': 'Iwan Sulistyo', 'given': 'Iwan'}}]",article,Kompetensi Pemimpin Sipil,,FALSE,,,Kompetensi Pemimpin Sipil,,,,,,,,,"[{'id': 'iwsulistyo@gmail.com', 'name': {'honourific': None, 'lineage': None, 'family': 'Iwan Sulistyo', 'given': 'Iwan'}}]",,
23,,['JZ'],"Lampung's tourism has high potency. It needs attention and priority to increase the competitiveness of Lampung tourist destinations. On average, foreign tourists who come to Lampung come from Australia and the Netherlands, who are interested in surfing attractions on Pisang Island. Besides the high undulating beaches tourists for surfing, foreign tourists also enjoy visiting Way Kambas National Park and the iconic Mount Anak Krakatau tourism. Data on tourist visits in 2018 shows high foreign tourist interest in coastal and natural attractions in Lampung. However, the tourism potential is not optimal considering that the tourism sector has not been prioritized as a strategic sector that can support the improvement of community welfare. This study aims to examine the opportunities and challenges in the initiation of tourism cooperation between Lampung and Australia, in order to increase competitiveness and optimize the tourism sector in the Lampung region as a source of community economic activity. Data obtained by using literacy studies and interviews. The output target to be achieved is a study of opportunities and challenges in initiating the initiation of cooperation in the regional tourism sector with the Australian government as one of Lampung's foreign partners.",http://repository.lppm.unila.ac.id/id/eprint/51870,['FISIP8'],,disk0_bak/00/05/18/70,2023-05-19 09:45:57,public,6,unpub,archive,51870,2023-05-19 09:45:57,show,2803,"[{'eprintid': 51870, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/250866', 'pos': 1, 'format': 'text', 'main': 'artikel ulicoss fix.docx', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/614535', 'filename': 'artikel ulicoss fix.docx', 'objectid': 250866, 'filesize': 33599, 'mtime': '2023-05-19 09:02:54', 'hash_type': 'MD5', 'hash': '58a07077ce41714a86bc1d2570832ee4', 'mime_type': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'fileid': 614535, 'datasetid': 'document'}], 'docid': 250866, 'rev_number': 1, 'language': 'en', 'mime_type': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document'}]",2023-05-19 09:45:57,"[{'name': {'family': 'Rahayu Lestari', 'lineage': None, 'honourific': None, 'given': 'Ayu'}, 'id': None}, {'name': {'family': 'Tety Rachmawati', 'lineage': None, 'honourific': None, 'given': 'Tety'}, 'id': 'tety.rachmawati@fisip.unila.ac.id'}]",article,Lampung-Australia Tourism Cooperation: Opportunities And Challenges,,FALSE,,,Lampung-Australia Tourism Cooperation: Opportunities And Challenges,,,,,,,,,,,
